HZ IN Equity,price,volume,mc,pe,bm,div
2022-05-31,300.95,19447059.0,1271609.753,13.2112,3.7135,18.0
2022-06-30,249.35,12877859.0,1053583.293,9.8131,3.128,18.0
2022-07-31,269.7,30924213.0,1139568.534,10.6139,3.128,39.0
2022-08-31,285.0,21841665.0,1204215.915,11.2161,3.128,39.0
2022-09-30,267.2,12342367.0,1129005.237,9.9036,3.6095,39.0
2022-10-31,283.7,8946716.0,1198723.0,10.5152,3.8324,39.0
2022-11-30,307.25,22737136.0,1298229.263,11.3881,4.1506,54.5
2022-12-31,321.7,14948148.0,1359285.122,12.5224,4.4066,36.5
2023-01-31,332.85,28667062.0,1406397.429,12.9564,4.4066,49.5
2023-02-28,304.0,9159139.0,1284496.976,11.8334,4.4066,49.5
2023-03-31,293.35,53257000.0,1239497.329,11.7953,9.5953,75.5
2023-04-30,314.35,15639230.0,1328229.028,12.6397,10.2822,75.5
2023-05-31,306.0,8812198.0,1292947.614,12.304,10.0091,75.5
2023-06-30,307.35,13637353.0,1298651.795,13.8446,10.0386,75.5
2023-07-31,321.95,26217404.0,1360341.452,14.5023,10.0386,61.5
2023-08-31,318.15,8234564.0,1344285.24,14.3311,10.0386,61.5
2023-09-30,308.65,11002147.0,1304144.709,15.4712,9.5507,61.5
2023-10-31,295.55,13494524.0,1248793.031,14.8145,9.1453,61.5
2023-11-30,299.25,6152094.0,1264426.711,15.0,9.2598,46.0
2023-12-31,318.05,21173601.0,1343862.708,16.1858,9.6729,52.0
2024-01-31,317.25,15818892.0,1340482.453,16.145,9.6729,39.0
2024-02-29,306.45,8632931.0,1294849.008,15.5954,9.6729,39.0
2024-03-31,292.3,11401781.0,1235060.744,15.9205,8.1371,13.0
2024-04-30,426.95,118282776.0,1803999.947,23.2544,11.8855,13.0
2024-05-31,687.25,188552189.0,2903850.483,37.4319,19.1317,23.0
2024-06-30,669.65,25447505.0,2829484.868,34.769,18.742,23.0
2024-07-31,646.85,17123328.0,2733147.595,33.5852,18.742,16.0
2024-08-31,500.75,126175606.0,2115828.489,25.9995,18.742,35.0
2024-09-30,522.5,52691845.0,2207729.178,25.266,28.9728,35.0
2024-10-31,553.2,60396217.0,2337446.471,26.7505,30.6752,35.0
2024-11-30,504.6,56267667.0,2132095.967,24.4004,27.9803,35.0
2024-12-31,444.0,28342488.0,1876041.636,19.982,23.9767,29.0
2025-01-31,450.15,29238581.0,1902027.348,20.2588,23.9767,29.0
2025-02-28,390.8,30585848.0,1651254.665,17.5878,23.9767,29.0
2025-03-31,461.9,48081857.0,1951674.846,18.8454,14.6618,29.0
2025-04-30,439.2,42148252.0,1855760.105,17.9192,13.9413,29.0
2025-05-31,458.2,45791478.0,1936041.166,18.6944,14.5444,19.0
2025-06-30,450.85,317149968.0,1904985.071,18.5918,14.3206,20.0
2025-07-31,424.05,64414844.0,1791746.522,17.4866,14.3206,20.0
2025-08-31,419.25,32730231.0,1771464.991,17.2887,14.3206,20.0
2025-09-30,482.45,122267141.0,2038505.152,19.2903,14.8829,20.0
2025-10-31,476.5,149989979.0,2013364.504,19.0524,14.6993,10.0
2025-11-30,485.2,67526205.0,2050124.779,19.4002,14.9677,10.0
2025-12-31,612.45,314702691.0,2587796.622,21.9202,19.2896,10.0
2026-01-31,628.5,475152788.0,2655612.992,22.4946,19.2896,10.0
2026-02-28,603.8,258641039.0,2551247.612,21.6106,19.2896,10.0
2026-03-31,596.3,25553623.0,2519557.668,21.3422,19.2896,10.0
