CDSL IN Equity,price,volume,mc,pe,bm,div
2025-03-31,1220.05,96596914.0,254990.45,48.4147,14.4853,11.0
2025-04-30,1320.0,90112933.0,275880.0,52.381,15.6719,11.0
2025-05-31,1529.7,117093332.0,319707.3,60.7024,18.1616,11.0
2025-06-30,1794.0,136074662.0,374946.0,71.1905,21.2996,11.0
2025-07-31,1480.8,68678895.0,309487.2,58.7619,17.5811,9.5
2025-08-31,1424.4,45860310.0,297699.6,56.5238,16.9114,12.5
2025-09-30,1458.6,36116512.0,304847.4,57.881,17.3175,12.5
2025-10-31,1587.2,40346257.0,331724.8,62.9841,18.8443,12.5
2025-11-30,1617.2,38846551.0,337994.8,64.1746,19.2005,12.5
2025-12-31,1443.6,27425226.0,301712.4,57.2857,17.1394,12.5
2026-01-31,1320.2,32494311.0,275921.8,52.3889,15.6743,12.5
2026-02-28,1272.2,43173076.0,265889.8,50.4841,15.1044,12.5
2026-03-31,1241.0,7220505.0,259369.0,49.246,14.734,12.5
