SEML IN Equity,price,volume,mc,pe,bm,div
2024-09-30,443.0,17202153.0,156104.9026,29.8518,4.0144,1.0
2024-10-31,454.2,22264489.0,160051.5728,30.6065,4.1159,1.0
2024-11-30,447.0,7968206.0,157514.4277,30.1213,4.0506,1.0
2024-12-31,482.65,12143806.0,170076.82,32.5236,4.3737,1.0
2025-01-31,473.2,10154770.0,166746.817,31.8868,4.288,1.0
2025-02-28,453.55,12016701.0,159822.525,30.5627,4.11,1.0
2025-03-31,513.9,35255044.0,181088.7347,25.8761,2.8806,1.0
2025-04-30,452.0,44304291.0,159276.334,22.7593,2.5337,1.0
2025-05-31,437.1,17749208.0,154025.8531,22.0091,2.4501,1.0
2025-06-30,443.35,8067299.0,156228.2361,22.3238,2.4852,1.0
2025-07-31,447.5,8572076.0,157690.6183,22.5327,2.5084,1.0
2025-08-31,598.35,84724280.0,210847.3329,30.1284,3.354,1.5
2025-09-30,539.4,32335807.0,190074.457,27.1601,3.0236,1.5
2025-10-31,529.5,13758216.0,186585.8825,26.6616,2.9681,1.5
2025-11-30,489.5,13453830.0,172490.6317,24.6475,2.7439,1.5
2025-12-31,520.55,11154376.0,183432.0701,26.211,2.9179,1.5
2026-01-31,489.8,7885565.0,172596.346,24.6626,2.7455,1.5
2026-02-28,551.6,15087353.0,194373.5085,27.7744,3.092,1.5
2026-03-31,543.0,2557012.0,191343.0296,27.3414,3.0437,1.5
