ATLP IN Equity,price,volume,mc,pe,bm,div
2014-06-30,890.55,1194880.0,26415.2569,12.0507,2.7846,7.5
2014-07-31,1192.75,4334372.0,35379.0328,16.1401,3.7295,7.5
2014-08-31,1356.6,2386627.0,40239.1078,18.3572,4.2419,7.5
2014-09-30,1389.6,1523740.0,41217.945,18.8038,4.345,7.5
2014-10-31,1275.75,1401479.0,37840.9567,17.2632,3.9891,7.5
2014-11-30,1279.2,892706.0,37943.2878,17.3099,3.9998,7.5
2014-12-31,1388.0,1332143.0,41170.4863,18.7821,4.34,7.5
2015-01-31,1292.75,938220.0,38345.2061,17.4932,4.0422,7.5
2015-02-28,1286.15,394635.0,38149.7821,17.4039,4.0216,7.5
2015-03-31,1132.0,646928.0,33577.0825,14.8282,3.2317,7.5
2015-04-30,1158.05,1148996.0,34349.7725,15.1695,3.3061,7.5
2015-05-31,1171.3,415177.0,34742.7905,15.343,3.3439,7.5
2015-06-30,1195.2,273561.0,35451.7022,15.6561,3.4121,8.5
2015-07-31,1270.55,947984.0,37686.7175,16.6431,3.6272,8.5
2015-08-31,1352.85,1790901.0,40127.8763,17.7212,3.8622,8.5
2015-09-30,1555.5,1000490.0,46138.8267,20.3757,4.4407,8.5
2015-10-31,1670.25,972992.0,49542.5106,21.8789,4.7683,8.5
2015-11-30,1663.8,728011.0,49351.1943,21.7944,4.7499,8.5
2015-12-31,1611.75,416290.0,47807.2992,21.1126,4.6013,8.5
2016-01-31,1452.5,583679.0,43083.6681,19.0265,4.1467,8.5
2016-02-29,1352.65,232214.0,40121.944,17.7186,3.8616,8.5
2016-03-31,1534.3,324009.0,45509.9998,16.5986,2.8183,8.5
2016-04-30,1800.95,955954.0,53419.2973,19.4833,3.3081,8.5
2016-05-31,1879.05,821525.0,55735.8824,20.3282,3.4516,8.5
2016-06-30,2050.5,436027.0,60821.3848,22.183,3.7665,8.5
2016-07-31,1921.65,2923351.0,56999.4704,20.7891,3.5298,10.0
2016-08-31,2226.45,2058400.0,66040.365,24.0865,4.0897,10.0
2016-09-30,2284.35,452245.0,67757.7849,24.7129,4.1961,10.0
2016-10-31,2334.9,679906.0,69257.1781,25.2597,4.2889,10.0
2016-11-30,2234.75,455132.0,66286.5592,24.1763,4.105,10.0
2016-12-31,2077.9,534133.0,61634.1126,22.4794,3.8168,10.0
2017-01-31,2269.8,629485.0,67326.2048,24.5555,4.1693,10.0
2017-02-28,2228.3,360472.0,66095.2429,24.1065,4.0931,10.0
2017-03-31,2391.85,938367.0,70946.4213,21.9669,3.6088,10.0
2017-04-30,2443.2,491818.0,72469.5457,22.4385,3.6863,10.0
2017-05-31,2510.1,922870.0,74453.9176,23.0529,3.7872,10.0
2017-06-30,2414.65,345523.0,71622.7051,22.1763,3.6432,10.0
2017-07-31,2198.85,722734.0,65221.703,20.1944,3.3176,10.0
2017-08-31,2183.9,489890.0,64778.2601,20.0571,3.295,10.0
2017-09-30,2390.1,462815.0,70894.5095,21.9508,3.6061,10.0
2017-10-31,2397.75,750177.0,71121.4218,22.0211,3.6177,10.0
2017-11-30,2562.95,375231.0,76021.5412,23.5383,3.8669,10.0
2017-12-31,2735.7,431636.0,81145.6057,25.1248,4.1276,10.0
2018-01-31,2712.45,643776.0,80455.9704,24.9113,4.0925,10.0
2018-02-28,2687.5,383782.0,79715.9074,24.6821,4.0548,10.0
2018-03-31,2613.4,195088.0,77517.973,28.0378,3.4546,10.0
2018-04-30,2945.35,469499.0,87364.1853,31.5991,3.8934,10.0
2018-05-31,2824.35,650833.0,83775.1156,30.3009,3.7334,10.0
2018-06-30,2651.5,174058.0,78648.085,28.4465,3.5049,10.0
2018-07-31,2845.1,413842.0,84390.5966,30.5235,3.7609,12.0
2018-08-31,3232.3,576228.0,95875.6196,34.6776,4.2727,12.0
2018-09-30,3165.45,319944.0,93892.7327,33.9604,4.1843,12.0
2018-10-31,3304.65,637940.0,98021.646,35.4538,4.3683,12.0
2018-11-30,3469.35,502027.0,102906.9334,37.2208,4.586,12.0
2018-12-31,3436.95,277177.0,101945.8932,36.8732,4.5432,12.0
2019-01-31,3466.2,413903.0,102813.4989,37.187,4.5819,12.0
2019-02-28,3366.95,212439.0,99869.5719,36.1222,4.4507,12.0
2019-03-31,3585.9,366617.0,106364.0084,24.6082,3.9351,12.0
2019-04-30,3426.65,171008.0,101640.3774,23.5153,3.7603,12.0
2019-05-31,4046.55,548376.0,120027.6857,27.7694,4.4406,12.0
2019-06-30,3980.5,504305.0,118068.5282,27.3161,4.3681,12.0
2019-07-31,3641.1,842361.0,108001.336,24.987,3.9956,15.0
2019-08-31,3547.25,486705.0,105217.5824,24.343,3.8927,15.0
2019-09-30,3996.8,333767.0,118552.0145,27.428,4.386,15.0
2019-10-31,4295.25,309521.0,127404.5587,29.4761,4.7135,15.0
2019-11-30,4046.3,341673.0,120020.2702,27.7677,4.4403,27.5
2019-12-31,4050.8,309110.0,120153.748,27.7986,4.4452,27.5
2020-01-31,4913.5,675591.0,145742.9251,33.7188,5.3919,27.5
2020-02-29,5143.65,520332.0,152569.5729,35.2982,5.6445,27.5
2020-03-31,3988.45,952900.0,118304.339,17.7509,3.7537,27.5
2020-04-30,4852.45,921759.0,143932.0763,21.5962,4.5668,27.5
2020-05-31,4512.55,776552.0,133850.0532,20.0834,4.2469,27.5
2020-06-30,4550.85,647571.0,134986.0976,20.2539,4.283,27.5
2020-07-31,5053.95,796619.0,149908.9155,22.493,4.7564,27.5
2020-08-31,5780.45,1148091.0,171458.1645,25.7263,5.4402,27.5
2020-09-30,6112.3,1873975.0,181301.4106,27.2033,5.7525,27.5
2020-10-31,6008.6,640937.0,178225.4949,26.7417,5.6549,27.5
2020-11-30,6310.35,474471.0,187175.9231,28.0847,5.9389,15.0
2020-12-31,6430.1,765202.0,190727.9158,28.6177,6.0516,15.0
2021-01-31,6372.6,919894.0,189022.3661,28.3617,5.9975,15.0
2021-02-28,6559.45,705962.0,194074.7817,29.1933,6.1733,15.0
2021-03-31,7083.05,498857.0,209566.5616,32.0254,5.4822,15.0
2021-04-30,8088.7,933006.0,239320.7794,36.5723,6.2606,15.0
2021-05-31,8594.05,512781.0,254272.5956,38.8572,6.6518,0.0
2021-06-30,8977.9,757872.0,265629.5852,40.5928,6.9489,0.0
2021-07-31,9053.35,532314.0,267861.9282,40.9339,7.0073,20.0
2021-08-31,9128.15,558169.0,270075.0396,41.2721,7.0651,20.0
2021-09-30,9462.55,682398.0,279968.9494,42.7841,7.324,20.0
2021-10-31,9128.4,876443.0,270082.4363,41.2732,7.0653,20.0
2021-11-30,8705.8,762062.0,257578.9486,39.3625,6.7383,20.0
2021-12-31,9039.1,663736.0,267440.3127,40.8695,6.9962,20.0
2022-01-31,9559.75,1297502.0,282844.8108,43.2235,7.3992,20.0
2022-02-28,9256.55,617713.0,273874.0169,41.8526,7.1645,20.0
2022-03-31,10292.55,1208789.0,304526.2018,50.3969,6.8765,20.0
2022-04-30,8952.8,1201880.0,264886.9502,43.8369,5.9814,20.0
2022-05-31,8145.2,852398.0,240992.4478,39.8825,5.4418,20.0
2022-06-30,8030.8,700441.0,237607.6892,39.3223,5.3654,20.0
2022-07-31,8886.95,1021460.0,262287.2561,43.5144,5.9374,25.0
2022-08-31,9162.45,665809.0,270418.3045,44.8634,6.1215,25.0
2022-09-30,9023.9,810704.0,266329.1737,44.185,6.0289,25.0
2022-10-31,8373.3,725290.0,247127.5247,40.9994,5.5942,25.0
2022-11-30,8364.75,563885.0,246875.1821,40.9575,5.5885,32.5
2022-12-31,8258.0,742667.0,243724.5888,40.4348,5.5172,32.5
2023-01-31,7134.55,1038204.0,210567.3607,34.9339,4.7666,32.5
2023-02-28,7032.95,640569.0,207568.7632,34.4364,4.6987,32.5
2023-03-31,6959.05,625274.0,205387.6967,39.9601,4.4012,32.5
2023-04-30,6871.6,529823.0,202806.7189,39.4579,4.3459,32.5
2023-05-31,6733.9,1229911.0,198742.6748,38.6672,4.2588,32.5
2023-06-30,6995.25,1202181.0,206456.0947,40.168,4.4241,32.5
2023-07-31,6796.65,2002991.0,200594.6629,39.0276,4.2985,32.5
2023-08-31,7334.1,1302115.0,216456.8305,42.1137,4.6384,32.5
2023-09-30,7045.6,681107.0,207942.1122,40.4571,4.4559,32.5
2023-10-31,6241.7,1112432.0,184216.0046,35.8409,3.9475,32.5
2023-11-30,6598.85,928070.0,194756.8422,37.8918,4.1734,25.0
2023-12-31,7154.95,1185441.0,211169.4413,41.085,4.5251,25.0
2024-01-31,6431.25,1060448.0,189347.2868,36.9294,4.0674,25.0
2024-02-29,6217.75,595484.0,183061.4722,35.7034,3.9324,25.0
2024-03-31,5740.5,1015434.0,169010.3946,52.4055,3.3046,25.0
2024-04-30,5985.75,1938281.0,176230.985,54.6444,3.4458,25.0
2024-05-31,5621.1,1373342.0,165495.049,51.3155,3.2359,25.0
2024-06-30,6479.5,1088798.0,190767.8515,59.1519,3.7301,25.0
2024-07-31,7968.1,2896350.0,234594.848,72.7415,4.587,20.0
2024-08-31,7967.45,1162861.0,234575.7109,72.7355,4.5866,20.0
2024-09-30,7690.1,1802904.0,226410.0401,70.2036,4.427,20.0
2024-10-31,7841.9,2039443.0,230879.2985,71.5894,4.5144,20.0
2024-11-30,7295.8,855801.0,214801.1561,66.604,4.2,20.0
2024-12-31,6959.95,832120.0,204913.1427,63.538,4.0066,20.0
2025-01-31,6285.7,1162316.0,185062.0394,57.3827,3.6185,20.0
2025-02-28,5309.35,1736636.0,156316.5819,48.4695,3.0564,20.0
2025-03-31,6136.6,1579840.0,180672.2737,37.3341,3.2304,20.0
2025-04-30,6746.0,3893985.0,198614.0792,41.0416,3.5512,20.0
2025-05-31,7136.5,1220882.0,210111.0846,43.4173,3.7568,20.0
2025-06-30,7474.5,1003020.0,220062.3977,45.4736,3.9347,20.0
2025-07-31,6629.0,997651.0,195169.3939,40.3297,3.4896,25.0
2025-08-31,6278.5,810136.0,184850.0588,38.1974,3.3051,25.0
2025-09-30,6059.0,511727.0,178387.5935,36.862,3.1896,25.0
2025-10-31,5762.5,897201.0,169658.1132,35.0581,3.0335,25.0
2025-11-30,5874.0,828403.0,172940.8689,35.7364,3.0922,25.0
2025-12-31,6141.0,784783.0,180801.8175,37.3608,3.2327,25.0
2026-01-31,6234.5,414767.0,183554.6215,37.9297,3.282,25.0
2026-02-28,6674.0,622662.0,196494.2729,40.6035,3.5133,25.0
2026-03-31,6549.5,50744.0,192828.7744,39.8461,3.4478,25.0
