KOEL IN Equity,price,volume,mc,pe,bm,div
2015-07-31,325.8,874591.0,47115.1959,32.9091,3.5123,5.0
2015-08-31,273.75,881936.0,39588.0445,27.6515,2.9512,5.0
2015-09-30,280.6,3328463.0,40578.6494,28.3434,3.025,5.0
2015-10-31,271.25,1279040.0,39226.5098,27.399,2.9242,5.0
2015-11-30,262.15,270865.0,37910.5237,26.4798,2.8261,5.0
2015-12-31,249.4,1054129.0,36066.697,25.1919,2.6887,5.0
2016-01-31,240.7,522750.0,34808.5564,24.3131,2.5949,5.0
2016-02-29,210.15,185500.0,30390.6029,21.2273,2.2655,5.0
2016-03-31,211.0,357975.0,30513.5247,18.4441,2.1134,10.0
2016-04-30,236.8,410626.0,34244.5623,20.6993,2.3718,10.0
2016-05-31,244.9,1045966.0,35415.9346,21.4073,2.4529,10.0
2016-06-30,268.45,440514.0,38821.591,23.4659,2.6888,10.0
2016-07-31,277.25,355925.0,40094.193,24.2351,2.7769,5.0
2016-08-31,280.6,564720.0,40578.6494,24.528,2.8105,5.0
2016-09-30,334.35,940992.0,48351.6445,29.2264,3.3489,5.0
2016-10-31,342.1,1991115.0,49472.4019,29.9038,3.4265,5.0
2016-11-30,334.9,372394.0,48431.1821,29.2745,3.3544,5.0
2016-12-31,324.9,502480.0,46985.0435,28.4003,3.2542,5.0
2017-01-31,330.05,398959.0,47729.8049,28.8505,3.3058,5.0
2017-02-28,351.6,403017.0,50846.2336,30.7343,3.5216,5.0
2017-03-31,388.4,1065299.0,56168.0236,32.3128,3.4732,5.0
2017-04-30,395.05,553653.0,57129.7058,32.8661,3.5327,5.0
2017-05-31,383.85,669407.0,55510.0306,31.9343,3.4326,0.0
2017-06-30,400.05,486780.0,57852.7751,33.282,3.5774,0.0
2017-07-31,403.7,512223.0,58380.6157,33.5857,3.6101,5.0
2017-08-31,371.65,1375168.0,53745.7415,30.9193,3.3235,5.0
2017-09-30,364.8,746482.0,52755.1365,30.3494,3.2622,5.0
2017-10-31,356.0,2699431.0,51482.5345,29.6173,3.1835,5.0
2017-11-30,350.0,1312375.0,50614.8493,29.1181,3.1299,5.0
2017-12-31,380.55,1338750.0,55032.8025,31.6597,3.403,5.0
2018-01-31,381.0,2285978.0,55097.8788,31.6972,3.4071,5.0
2018-02-28,356.85,280633.0,51605.4563,29.688,3.1911,2.5
2018-03-31,325.2,360419.0,47028.4276,32.52,2.9963,2.5
2018-04-30,333.5,429291.0,48228.7226,33.35,3.0728,2.5
2018-05-31,325.7,395967.0,47100.7345,32.57,3.0009,2.5
2018-06-30,261.45,186669.0,37809.294,26.145,2.4089,2.5
2018-07-31,260.35,292693.0,37650.2187,26.035,2.3988,2.5
2018-08-31,297.95,3258030.0,43087.6999,29.795,2.7453,5.0
2018-09-30,201.35,1387487.0,29118.0009,20.135,1.8552,5.0
2018-10-31,217.95,492019.0,31518.591,21.795,2.0081,5.0
2018-11-30,203.95,470734.0,29493.997,20.395,1.8792,5.0
2018-12-31,205.55,480235.0,29725.3791,20.555,1.8939,5.0
2019-01-31,172.65,448771.0,24967.5831,17.265,1.5908,5.0
2019-02-28,171.45,236533.0,24794.0465,17.145,1.5797,5.0
2019-03-31,175.45,427237.0,25372.5019,11.5732,1.4938,5.0
2019-04-30,163.2,479746.0,23600.9821,10.7652,1.3895,5.0
2019-05-31,196.0,1622433.0,28344.3168,12.9288,1.6687,5.0
2019-06-30,187.55,3656989.0,27122.3296,12.3714,1.5968,5.0
2019-07-31,169.25,560532.0,24475.896,11.1642,1.441,5.0
2019-08-31,167.35,585400.0,24201.1296,11.0389,1.4248,5.0
2019-09-30,185.85,512823.0,26876.4861,12.2592,1.5823,5.0
2019-10-31,169.8,324515.0,24555.4336,11.2005,1.4456,5.0
2019-11-30,158.4,337689.0,22906.8356,10.4485,1.3486,5.0
2019-12-31,144.9,1257405.0,20954.5485,9.558,1.2337,5.0
2020-01-31,146.75,1436787.0,21222.0841,9.6801,1.2494,5.0
2020-02-29,126.45,835520.0,18286.4227,8.341,1.0766,5.0
2020-03-31,86.9,646557.0,12566.9445,6.7838,0.7201,6.5
2020-04-30,113.45,460928.0,16406.4425,8.8564,0.9401,6.5
2020-05-31,102.4,301867.0,14808.4594,7.9938,0.8485,6.5
2020-06-30,106.65,2225566.0,15423.0683,8.3255,0.8838,6.5
2020-07-31,105.45,2454792.0,15249.5316,8.2319,0.8738,6.5
2020-08-31,123.05,8443116.0,17794.7356,9.6058,1.0197,6.5
2020-09-30,107.75,1644062.0,15582.1435,8.4114,0.8929,4.0
2020-10-31,102.0,1408942.0,14750.6132,7.9625,0.8452,4.0
2020-11-30,114.5,3460716.0,16558.2864,8.9383,0.9488,4.0
2020-12-31,126.95,8573150.0,18358.7289,9.9102,1.052,4.0
2021-01-31,123.7,13099496.0,17888.7339,9.6565,1.0251,4.0
2021-02-28,160.85,9191675.0,23261.1386,12.5566,1.3329,4.0
2021-03-31,163.6,7037762.0,23658.8267,12.1365,1.2309,5.5
2021-04-30,175.25,3692024.0,25343.5781,13.0007,1.3185,5.5
2021-05-31,231.85,10995988.0,33528.7223,17.1996,1.7443,1.5
2021-06-30,238.0,7434562.0,34418.0975,17.6558,1.7906,1.5
2021-07-31,248.35,7108440.0,35914.8524,18.4236,1.8685,1.5
2021-08-31,218.05,4239118.0,31533.0524,16.1758,1.6405,4.0
2021-09-30,207.8,2816755.0,30050.7603,15.4154,1.5634,4.0
2021-10-31,201.7,5587555.0,29168.6158,14.9629,1.5175,4.0
2021-11-30,183.1,3227626.0,26478.7979,13.5831,1.3776,4.0
2021-12-31,184.65,17847374.0,26702.9494,13.6981,1.3892,4.0
2022-01-31,170.7,5628392.0,24685.5861,12.6632,1.2843,4.0
2022-02-28,132.0,5681075.0,19089.0297,9.7923,0.9931,5.5
2022-03-31,131.95,5745418.0,19081.799,10.9321,0.9167,4.0
2022-04-30,162.45,7660153.0,23492.5217,13.459,1.1285,4.0
2022-05-31,153.75,3681743.0,22234.3811,12.7382,1.0681,4.0
2022-06-30,134.95,2087876.0,19515.8525,11.1806,0.9375,4.0
2022-07-31,164.05,2166209.0,23724.1616,13.5915,1.1397,4.0
2022-08-31,226.95,34267804.0,32824.3434,18.8028,1.5766,4.0
2022-09-30,243.05,13240537.0,35152.9265,20.1367,1.6885,4.0
2022-10-31,260.7,13038809.0,37705.6899,21.599,1.8111,4.0
2022-11-30,331.8,25515386.0,48000.0779,27.4896,2.305,4.0
2022-12-31,322.6,8763848.0,46669.1535,26.7274,2.2411,4.0
2023-01-31,313.4,6313875.0,45350.4185,25.9652,2.1772,4.0
2023-02-28,315.15,5545868.0,45603.6515,26.1102,2.1894,5.0
2023-03-31,396.1,27777645.0,57321.091,17.2367,2.4889,5.0
2023-04-30,393.85,4700275.0,57007.2814,17.1388,2.4747,5.0
2023-05-31,405.0,10560986.0,58621.173,17.624,2.5448,5.0
2023-06-30,392.0,4673546.0,56755.9764,17.0583,2.4631,5.0
2023-07-31,450.8,8511960.0,65292.6521,19.6171,2.8326,5.0
2023-08-31,483.9,20394882.0,70102.3811,21.0574,3.0405,5.0
2023-09-30,539.9,15900495.0,78215.0765,23.4943,3.3924,5.0
2023-10-31,543.7,8775485.0,78772.5799,23.6597,3.4163,5.0
2023-11-30,597.65,9289606.0,86592.4411,26.0074,3.7553,5.0
2023-12-31,655.45,6600002.0,94975.3251,28.5226,4.1185,5.0
2024-01-31,710.9,4700000.0,103010.0825,30.9356,4.4669,5.0
2024-02-29,913.3,8159900.0,132356.4635,39.7433,5.7386,5.0
2024-03-31,859.45,4880010.0,124582.2675,28.1787,4.6552,5.0
2024-04-30,1022.35,5635050.0,148195.5683,33.5197,5.5375,5.0
2024-05-31,1246.1,11361341.0,180681.3785,40.8557,6.7495,5.0
2024-06-30,1393.25,6651857.0,202103.0561,45.6803,7.5465,5.0
2024-07-31,1234.2,3852127.0,179031.4673,40.4656,6.685,5.0
2024-08-31,1334.35,7412065.0,193590.4109,43.7492,7.2275,6.0
2024-09-30,1229.3,7676152.0,178380.0867,40.3049,6.6585,6.0
2024-10-31,1146.95,5797766.0,166430.5218,37.6049,6.2124,6.0
2024-11-30,1121.75,4834056.0,162779.9009,36.7787,6.0759,6.0
2024-12-31,1027.15,5495309.0,149076.1281,33.677,5.5635,6.0
2025-01-31,903.45,5271495.0,131122.8427,29.6213,4.8935,6.0
2025-02-28,576.1,14919686.0,83627.7182,18.8885,3.1204,6.0
2025-03-31,719.75,14181394.0,104480.212,21.3512,3.3855,6.0
2025-04-30,746.5,5986343.0,108376.2907,22.1448,3.5113,6.0
2025-05-31,904.65,18104915.0,131381.3922,26.8363,4.2552,6.0
2025-06-30,851.05,6571503.0,123597.1192,25.2462,4.0031,6.0
2025-07-31,904.2,17339289.0,131339.288,26.8229,4.2531,6.5
2025-08-31,898.45,11689467.0,130504.0735,26.6523,4.226,6.5
2025-09-30,918.8,9380811.0,133473.6019,27.256,4.3218,6.5
2025-10-31,999.9,8596685.0,145254.9571,29.6618,4.7032,6.5
2025-11-30,1124.85,20902957.0,163476.041,33.3684,5.291,6.5
2025-12-31,1218.8,23311010.0,177129.9274,36.1554,5.7329,6.5
2026-01-31,1174.0,5398467.0,170629.8632,34.8265,5.5221,6.5
2026-02-28,1393.2,14808838.0,202501.1644,41.329,6.5532,6.5
2026-03-31,1472.0,1475947.0,213954.7187,43.6666,6.9238,6.5
