HNAL IN Equity,price,volume,mc,pe,bm,div
2024-10-31,4246.7,34060268.0,2840086.793,33.3414,9.1032,35.0
2024-11-30,4476.85,31481970.0,2994005.359,35.1484,9.5965,35.0
2024-12-31,4178.35,29183553.0,2794376.021,32.1313,8.7481,35.0
2025-01-31,3936.8,38952486.0,2632833.42,30.2738,8.7481,35.0
2025-02-28,3088.2,43785920.0,2065310.955,23.7481,8.7481,38.0
2025-03-31,4177.45,49789589.0,2793774.124,33.4009,7.9864,38.0
2025-04-30,4487.9,49334730.0,3001395.323,35.8831,8.5799,38.0
2025-05-31,4974.1,71952011.0,3326553.728,39.7705,9.5094,38.0
2025-06-30,4869.8,38653953.0,3256800.495,39.1873,9.3638,38.0
2025-07-31,4533.9,24819159.0,3032158.973,36.4843,9.3638,38.0
2025-08-31,4332.6,27269343.0,2897534.565,34.8644,9.3638,40.0
2025-09-30,4746.5,28532031.0,3174340.538,37.4812,8.5529,40.0
2025-10-31,4679.8,18733047.0,3129733.245,36.9545,8.4327,40.0
2025-11-30,4542.4,23252653.0,3037843.56,35.8695,8.1851,40.0
2025-12-31,4388.7,19942143.0,2935052.843,32.9377,7.7943,40.0
2026-01-31,4619.4,20598570.0,3089339.235,34.6691,7.7943,40.0
2026-02-28,3913.2,50980797.0,2617050.33,29.369,7.7943,50.0
2026-03-31,3892.3,8913102.0,2603072.965,29.2122,7.7943,50.0
