TATAINVE IN Equity,price,volume,mc,pe,bm,div
2017-08-31,84.8,13291430.0,46720.8101,23.3159,1.8551,1.8
2017-09-30,84.53,25282120.0,46572.0528,23.2417,1.8492,1.8
2017-10-31,86.91,7577510.0,47880.5661,23.8947,1.9012,1.8
2017-11-30,89.35,11294780.0,49227.6452,24.567,1.9547,1.8
2017-12-31,88.96,8249880.0,49012.7735,24.4597,1.9461,1.8
2018-01-31,84.67,20659680.0,46646.4307,23.2788,1.8522,1.8
2018-02-28,80.07,5396720.0,44111.3674,22.014,1.7515,1.8
2018-03-31,73.57,4800100.0,40530.2285,30.9227,0.4882,1.8
2018-04-30,86.57,14705180.0,47695.261,36.3892,0.5745,1.8
2018-05-31,80.84,4729530.0,44538.3493,33.9807,0.5365,1.8
2018-06-30,81.53,16204990.0,44915.7463,34.2686,0.541,1.8
2018-07-31,80.7,9202190.0,44458.4624,33.9197,0.5355,2.0
2018-08-31,80.66,7378120.0,44439.1793,33.905,0.5353,2.0
2018-09-30,72.55,3856270.0,39968.2651,30.4939,0.4814,2.0
2018-10-31,67.57,4271900.0,37224.5618,28.4006,0.4484,2.0
2018-11-30,85.06,27475310.0,46863.3349,35.7545,0.5645,2.0
2018-12-31,89.16,7171470.0,49122.2072,37.4779,0.5917,2.0
2019-01-31,85.42,6789360.0,47061.6749,35.9058,0.5669,2.0
2019-02-28,82.46,4976530.0,45428.1246,34.6595,0.5472,2.0
2019-03-31,83.32,2676140.0,45904.6916,34.0359,0.532,2.0
2019-04-30,85.53,3011750.0,43273.4288,34.9387,0.5461,2.0
2019-05-31,88.87,3464870.0,44960.7535,36.3011,0.5674,2.0
2019-06-30,88.85,2412050.0,44953.1644,36.2949,0.5673,2.0
2019-07-31,82.01,2584910.0,41489.9746,33.4988,0.5236,2.0
2019-08-31,77.11,3166120.0,39013.3765,31.4992,0.4923,2.0
2019-09-30,82.03,2062650.0,41502.6232,33.509,0.5238,2.0
2019-10-31,83.92,3735570.0,42458.8582,34.281,0.5358,2.0
2019-11-30,83.5,2585220.0,42243.8319,34.1074,0.5331,2.0
2019-12-31,80.8,2190990.0,40877.7818,33.0045,0.5159,2.0
2020-01-31,90.0,9963340.0,45535.0005,36.7647,0.5746,2.0
2020-02-29,90.94,15283560.0,46008.0586,37.1467,0.5806,2.0
2020-03-31,66.32,6598320.0,33554.2359,37.071,0.4004,2.0
2020-04-30,74.31,6837410.0,37596.7321,41.5372,0.4004,2.0
2020-05-31,72.6,2996970.0,36729.0373,40.5785,0.4004,2.0
2020-06-30,77.13,4109010.0,39023.4954,43.1135,0.4004,2.0
2020-07-31,73.22,4366820.0,37047.7824,40.9307,0.4004,1.8
2020-08-31,81.1,9562650.0,41029.5652,45.3298,0.4004,1.8
2020-09-30,84.28,10723340.0,42638.4685,47.1073,0.4004,1.8
2020-10-31,84.54,4336630.0,42770.7343,47.2527,0.4004,1.8
2020-11-30,94.12,6758660.0,47617.7638,52.6076,0.4004,1.8
2020-12-31,100.03,14295300.0,50607.9458,55.9111,0.4004,1.8
2021-01-31,103.39,14138010.0,52307.9478,57.7893,0.4004,1.8
2021-02-28,110.98,6798040.0,56148.1308,62.0319,0.4004,1.8
2021-03-31,103.55,10113810.0,52391.43,34.0177,0.3679,1.8
2021-04-30,102.59,6666250.0,51903.1854,33.7007,0.3645,1.8
2021-05-31,105.89,7569690.0,53575.36,34.7865,0.3763,1.8
2021-06-30,113.04,15726630.0,57192.9237,37.1353,0.4017,2.4
2021-07-31,115.36,9739300.0,58366.2986,37.8975,0.4099,2.4
2021-08-31,126.07,48102950.0,63782.4846,41.4143,0.4479,2.4
2021-09-30,136.7,19276930.0,69163.2543,44.908,0.4857,2.4
2021-10-31,151.23,57859280.0,76514.696,49.6813,0.5374,2.4
2021-11-30,140.48,10064860.0,71078.4925,46.1514,0.4992,2.4
2021-12-31,135.56,5672410.0,68586.685,44.5335,0.4817,2.4
2022-01-31,148.13,10871190.0,74943.9563,48.6613,0.5263,2.4
2022-02-28,133.09,4047270.0,67336.9866,43.7221,0.4729,2.4
2022-03-31,135.65,4839880.0,68632.2206,32.0383,0.3488,2.4
2022-04-30,149.39,10981570.0,75581.4543,35.2822,0.3841,2.4
2022-05-31,152.9,7586990.0,77357.3415,36.1112,0.3932,2.4
2022-06-30,134.22,4939560.0,67906.1813,31.6993,0.3451,5.5
2022-07-31,147.36,9844800.0,74557.2282,34.804,0.3789,5.5
2022-08-31,160.2,8662790.0,81053.6642,37.8366,0.4119,5.5
2022-09-30,230.27,150881550.0,116505.7881,54.3859,0.5921,5.5
2022-10-31,234.64,13110240.0,118714.2728,55.4169,0.6034,5.5
2022-11-30,234.62,6735860.0,118706.6835,55.4133,0.6033,5.5
2022-12-31,211.04,7260320.0,106776.3127,49.8441,0.5427,5.5
2023-01-31,212.73,13281570.0,107628.8434,50.2421,0.547,5.5
2023-02-28,203.69,9038860.0,103057.5584,48.1082,0.5238,5.5
2023-03-31,174.47,7019650.0,88273.6129,35.0482,0.451,5.5
2023-04-30,216.12,24246070.0,109344.024,43.414,0.5587,5.5
2023-05-31,221.39,10727500.0,112010.396,44.4727,0.5723,5.5
2023-06-30,234.28,16133540.0,118532.1297,47.0621,0.6056,4.8
2023-07-31,252.78,14211980.0,127894.7892,50.7794,0.6535,4.8
2023-08-31,243.75,10616720.0,123326.034,48.9654,0.6301,4.8
2023-09-30,327.34,103518800.0,165618.6419,65.7573,0.8462,4.8
2023-10-31,310.58,34587320.0,157136.3406,62.3895,0.8029,4.8
2023-11-30,423.75,142290510.0,214395.037,85.1235,1.0954,4.8
2023-12-31,428.21,35261130.0,216651.5872,86.0195,1.107,4.8
2024-01-31,563.56,71119180.0,285137.3799,113.2111,1.4569,4.8
2024-02-29,728.09,43671690.0,368376.7609,146.2605,1.8822,4.8
2024-03-31,624.4,16528090.0,315914.4985,82.0601,1.0543,4.8
2024-04-30,663.0,9400380.0,335446.8125,87.1337,1.1195,4.8
2024-05-31,641.96,4703030.0,324804.092,84.3692,1.084,4.8
2024-06-30,647.47,9318690.0,327589.363,85.0927,1.0932,2.8
2024-07-31,634.66,6721030.0,321105.5758,83.4085,1.0716,2.8
2024-08-31,728.34,39666330.0,368505.7789,95.7209,1.2298,2.8
2024-09-30,680.82,14091150.0,344460.3645,89.475,1.1495,2.8
2024-10-31,688.71,32313340.0,348452.3333,90.5119,1.1629,2.8
2024-11-30,664.3,8462570.0,336104.5513,87.3045,1.1217,2.8
2024-12-31,684.92,38777620.0,346537.3014,90.0145,1.1565,2.8
2025-01-31,602.54,8746760.0,304854.3668,79.1871,1.0174,2.8
2025-02-28,606.54,40194380.0,306883.2381,79.7142,1.0241,2.8
2025-03-31,631.77,20108740.0,319645.9015,102.427,1.0281,2.8
2025-04-30,593.55,6628610.0,300308.3794,96.2305,0.9659,2.8
2025-05-31,672.95,10675960.0,340481.0444,109.1034,1.0951,2.8
2025-06-30,686.15,22136280.0,347159.6235,111.2435,1.1166,2.7
2025-07-31,680.1,9718120.0,344098.6081,110.2626,1.1068,2.7
2025-08-31,681.55,24245560.0,344832.2399,110.4977,1.1091,2.7
2025-09-30,1033.05,177334760.0,522674.7053,167.4854,1.6811,2.7
2025-10-31,799.0,290714539.0,404256.415,129.5396,1.3003,2.7
2025-11-30,745.75,22715219.0,377314.4199,120.9063,1.2136,2.7
2025-12-31,697.55,12700145.0,352927.4872,113.0918,1.1352,2.7
2026-01-31,622.9,8162563.0,315158.0988,100.989,1.0137,2.7
2026-02-28,658.7,54492177.0,333271.2148,106.7931,1.0719,2.7
2026-03-31,662.45,5989926.0,335168.5445,107.4011,1.078,2.7
