AAVAS IN Equity,price,volume,mc,pe,bm,div
2021-03-31,2420.85,2198305.0,190047.7471,65.6769,7.8976,0.0
2021-04-30,2274.65,2338842.0,178570.3815,61.7105,7.4207,0.0
2021-05-31,2302.7,1529002.0,180772.4342,62.4715,7.5122,0.0
2021-06-30,2712.4,2266294.0,212958.1648,73.5865,8.8488,0.0
2021-07-31,2521.7,1777777.0,197985.7656,68.4129,8.2266,0.0
2021-08-31,2409.75,14926373.0,189196.2559,65.3757,7.8614,0.0
2021-09-30,2560.0,1996033.0,202015.1834,69.452,8.3516,0.0
2021-10-31,2800.75,1541002.0,221013.2909,75.9835,9.137,0.0
2021-11-30,2816.05,1253975.0,222220.6473,76.3985,9.1869,0.0
2021-12-31,2616.05,1663137.0,206489.7342,70.9726,8.5345,0.0
2022-01-31,2874.1,2112495.0,226858.1048,77.9734,9.3763,0.0
2022-02-28,2795.25,3904362.0,220634.3264,75.8342,9.1191,0.0
2022-03-31,2569.45,3475139.0,202823.264,56.9723,7.2271,0.0
2022-04-30,2288.3,1577858.0,180630.2808,50.7384,6.4363,0.0
2022-05-31,2224.2,1822081.0,175592.5695,49.3171,6.256,0.0
2022-06-30,2015.45,1871393.0,159141.5927,44.6885,5.6689,0.0
2022-07-31,2385.5,2491063.0,188361.0457,52.8936,6.7097,0.0
2022-08-31,2274.6,1708540.0,179604.2903,50.4346,6.3978,0.0
2022-09-30,2241.7,1631635.0,177153.5123,49.7051,6.3052,0.0
2022-10-31,2018.8,2189640.0,159538.5246,44.7627,5.6783,0.0
2022-11-30,1913.75,2804445.0,151236.7998,42.4335,5.3828,0.0
2022-12-31,1845.85,2830797.0,145894.8359,40.9279,5.1918,0.0
2023-01-31,1809.25,3393492.0,143001.9946,40.1164,5.0889,0.0
2023-02-28,1827.9,3809597.0,144476.079,40.5299,5.1413,0.0
2023-03-31,1610.75,2407846.0,127340.8598,29.6203,3.8946,0.0
2023-04-30,1387.2,4726252.0,109667.6956,25.5094,3.3541,0.0
2023-05-31,1397.85,7262595.0,110509.6513,25.7052,3.3799,0.0
2023-06-30,1536.95,15513863.0,121550.7559,28.2631,3.7162,0.0
2023-07-31,1548.8,5878625.0,122487.9213,28.4811,3.7448,0.0
2023-08-31,1632.4,5601883.0,129162.54,30.0184,3.947,0.0
2023-09-30,1739.3,5227954.0,137620.9298,31.9842,4.2054,0.0
2023-10-31,1407.8,4542350.0,111391.2177,25.8882,3.4039,0.0
2023-11-30,1439.6,3167744.0,113924.7542,26.473,3.4808,0.0
2023-12-31,1532.25,8060395.0,121256.7412,28.1767,3.7048,0.0
2024-01-31,1476.55,6750542.0,116848.844,27.1524,3.5701,0.0
2024-02-29,1454.9,4676962.0,115135.5411,26.7543,3.5178,0.0
2024-03-31,1315.65,17725825.0,104120.1529,21.2099,2.7594,0.0
2024-04-30,1624.1,15148572.0,128530.7949,26.1825,3.4063,0.0
2024-05-31,1596.8,5432621.0,126370.2809,25.7424,3.3491,0.0
2024-06-30,1853.1,7929525.0,146653.7873,29.8743,3.8866,0.0
2024-07-31,1675.65,5675661.0,132610.4467,27.0135,3.5144,0.0
2024-08-31,1720.75,8710568.0,136182.8738,27.7406,3.609,0.0
2024-09-30,1816.45,7514012.0,143756.723,29.2834,3.8097,0.0
2024-10-31,1672.65,3581980.0,132376.1638,26.9652,3.5081,0.0
2024-11-30,1673.15,2001562.0,132419.4155,26.9732,3.5092,0.0
2024-12-31,1679.55,3365028.0,132925.9357,27.0764,3.5226,0.0
2025-01-31,1712.8,4891213.0,135557.4664,27.6124,3.5923,0.0
2025-02-28,1685.55,3827244.0,133410.5594,27.1731,3.5352,0.0
2025-03-31,2084.05,13378889.0,164952.445,28.7297,3.7828,0.0
2025-04-30,1942.9,6041859.0,153787.6557,26.7838,3.5266,0.0
2025-05-31,1843.4,3210510.0,145911.8661,25.4122,3.346,0.0
2025-06-30,2092.5,4169734.0,165635.8237,28.8462,3.7981,0.0
2025-07-31,1724.4,4341502.0,136498.167,23.7717,3.13,0.0
2025-08-31,1520.2,6517203.0,120341.0888,20.9567,2.7593,0.0
2025-09-30,1633.9,5096879.0,129341.7347,22.5241,2.9657,0.0
2025-10-31,1650.0,2099368.0,130625.2398,22.7461,2.9949,0.0
2025-11-30,1546.5,4798194.0,122431.4748,21.3193,2.8071,0.0
2025-12-31,1464.0,5786985.0,115918.8041,20.182,2.6573,0.0
2026-01-31,1461.3,6406760.0,115705.0194,20.1447,2.6524,0.0
2026-02-28,1285.6,5437132.0,101809.0758,17.7226,2.3335,0.0
2026-03-31,1226.9,620345.0,97160.5146,16.9134,2.227,0.0
