PSYS IN Equity,price,volume,mc,pe,bm,div
2019-10-31,309.8,3195958.0,47352.93,14.0946,2.0538,5.5
2019-11-30,342.18,7287012.0,52301.4488,15.5676,2.2684,5.5
2019-12-31,337.08,3512456.0,51521.9138,15.3216,2.1599,5.5
2020-01-31,350.48,4922690.0,53570.1038,15.9307,2.2457,5.5
2020-02-29,348.2,3311526.0,53222.37,15.8273,2.2312,6.0
2020-03-31,275.48,3693198.0,42106.3538,12.4144,1.765,6.0
2020-04-30,237.25,3981030.0,36263.6625,10.6918,1.5201,6.0
2020-05-31,262.77,7908666.0,40165.1587,11.842,1.6837,6.0
2020-06-30,317.55,3811464.0,48537.5175,13.9552,1.9376,6.0
2020-07-31,459.05,13806198.0,70165.7925,20.1736,2.8009,6.0
2020-08-31,479.13,8383426.0,73234.2562,21.0558,2.9234,6.0
2020-09-30,670.63,11433272.0,102505.0313,28.1834,3.9898,6.0
2020-10-31,579.33,10617064.0,88549.8263,24.3465,3.4466,6.0
2020-11-30,596.67,5231234.0,91201.7737,25.0756,3.5498,6.0
2020-12-31,758.58,8392380.0,115948.1888,29.2265,4.2299,6.0
2021-01-31,762.13,8138386.0,116490.8063,29.3633,4.2497,6.0
2021-02-28,828.28,6539074.0,126601.8338,31.912,4.6186,8.5
2021-03-31,961.03,7481936.0,146892.6712,32.5937,5.2546,8.5
2021-04-30,1019.15,8151688.0,155777.0775,34.565,5.5725,8.5
2021-05-31,1271.47,9480322.0,194344.9537,43.1228,6.9521,7.0
2021-06-30,1469.43,7555186.0,224601.6113,43.8765,7.5837,7.0
2021-07-31,1571.6,13737914.0,240219.06,46.9274,8.111,10.0
2021-08-31,1661.03,10920456.0,253887.6713,49.5976,8.5725,10.0
2021-09-30,1858.15,11960952.0,284018.2275,49.6832,9.1813,10.0
2021-10-31,1961.85,17535750.0,299868.7725,52.4559,9.6937,10.0
2021-11-30,2069.4,8889534.0,316307.79,55.3316,10.2251,10.0
2021-12-31,2452.18,17023832.0,374814.9488,59.7654,11.274,10.0
2022-01-31,2200.05,15474178.0,336277.6425,53.6205,10.1148,13.0
2022-02-28,1968.9,11344096.0,300946.365,47.9868,9.0521,13.0
2022-03-31,2382.65,14967720.0,364188.0525,52.7543,10.8132,13.0
2022-04-30,2160.32,13689798.0,330205.6762,47.8318,9.8042,13.0
2022-05-31,1879.95,12694064.0,287350.3575,41.624,8.5318,13.0
2022-06-30,1700.9,10668278.0,259982.565,34.3477,7.8351,13.0
2022-07-31,1816.43,18740602.0,277640.5612,36.6806,8.3673,15.5
2022-08-31,1758.98,13082064.0,268859.3288,35.5205,8.1026,15.5
2022-09-30,1620.6,15149198.0,247708.71,30.3858,7.0281,15.5
2022-10-31,1846.53,14398608.0,282241.3463,34.6218,8.0079,15.5
2022-11-30,2077.35,11868868.0,317522.9475,38.9497,9.0089,15.5
2022-12-31,1935.45,14996948.0,295833.5325,33.5177,7.7128,15.5
2023-01-31,2343.78,23493016.0,358246.0088,40.589,9.34,19.5
2023-02-28,2396.55,14432708.0,366312.6675,41.5029,9.5503,19.5
2023-03-31,2304.75,14359934.0,352281.0375,37.7531,8.8852,19.5
2023-04-30,2368.63,16206150.0,364412.9563,38.7994,9.1314,19.5
2023-05-31,2569.2,13197502.0,395271.42,42.085,9.9047,19.5
2023-06-30,2505.53,12987026.0,385475.0213,40.3805,9.0815,19.5
2023-07-31,2372.03,19633858.0,364936.0463,38.2289,8.5976,25.0
2023-08-31,2685.35,14939412.0,413141.0975,43.2786,9.7333,25.0
2023-09-30,2898.35,16219016.0,445911.1475,44.7512,10.0915,25.0
2023-10-31,3080.1,18469724.0,473873.385,47.5575,10.7244,25.0
2023-11-30,3199.98,30318386.0,492316.1537,49.4084,11.1418,25.0
2023-12-31,3694.7,17195168.0,568429.595,54.8061,13.09,25.0
2024-01-31,4176.58,15709498.0,642566.0638,61.9541,13.09,27.0
2024-02-29,4315.18,9835862.0,663889.6738,64.01,13.09,27.0
2024-03-31,3984.55,10821007.0,613819.9275,55.5801,12.3811,27.0
2024-04-30,3368.6,15563962.0,518932.83,46.9883,10.4672,27.0
2024-05-31,3410.5,10155504.0,525387.525,47.5727,10.5974,27.0
2024-06-30,4241.45,13571517.0,653395.3725,55.4219,12.0045,27.0
2024-07-31,4832.3,16447810.0,744415.815,63.1424,13.6767,26.0
2024-08-31,5170.85,9568724.0,799671.9525,67.5661,14.6349,26.0
2024-09-30,5450.4,8590653.0,849444.84,67.6159,15.2659,26.0
2024-10-31,5372.5,11979627.0,837304.125,66.6495,15.0477,26.0
2024-11-30,5905.65,7949055.0,920395.5525,73.2636,16.541,26.0
2024-12-31,6457.7,10433691.0,1006432.545,74.8372,16.4887,26.0
2025-01-31,6032.6,15544279.0,940180.71,69.9108,15.4033,30.0
2025-02-28,5303.9,9022830.0,826612.815,61.466,13.5426,30.0
2025-03-31,5513.75,11442589.0,859317.9375,60.4578,13.5988,30.0
2025-04-30,5321.5,22592070.0,829355.775,58.3498,13.1247,30.0
2025-05-31,5638.0,9769782.0,881783.2,61.8202,13.9053,30.0
2025-06-30,6041.5,9933808.0,944890.6,61.3101,13.8045,30.0
2025-07-31,5160.5,13108404.0,807102.2,52.3696,11.7914,35.0
2025-08-31,5305.5,8314747.0,829780.2,53.8411,12.1228,35.0
2025-09-30,4822.5,12142615.0,754239.0,44.8625,10.5525,35.0
2025-10-31,5916.6,11507601.0,925356.24,55.0406,12.9466,35.0
2025-11-30,6353.0,8069692.0,1002185.75,59.1003,13.9015,35.0
2025-12-31,6272.0,8093051.0,989408.0,56.3192,13.5295,35.0
2026-01-31,6035.0,9818630.0,952021.25,54.1911,13.5295,37.0
2026-02-28,4733.0,22834752.0,746630.75,42.4998,13.5295,37.0
2026-03-31,4632.9,2032694.0,730839.9596,41.601,13.5295,37.0
