HMCL IN Equity,price,volume,mc,pe,bm,div
2020-01-31,2501.85,14349439.0,499712.6089,14.5077,3.8085,87.0
2020-02-29,2051.75,23277942.0,409815.2483,11.8977,3.1233,97.0
2020-03-31,1596.45,27029257.0,318873.914,8.7645,2.2134,97.0
2020-04-30,2166.7,32628113.0,432775.2886,11.8951,3.0041,97.0
2020-05-31,2360.85,44089841.0,471554.6869,12.961,3.2733,97.0
2020-06-30,2546.95,47377907.0,508730.4469,13.9827,3.5313,97.0
2020-07-31,2676.5,32703735.0,534606.8989,14.6939,3.7109,90.0
2020-08-31,3006.05,37996154.0,600431.5593,16.5032,4.1678,90.0
2020-09-30,3147.3,34263869.0,628671.6737,17.2786,4.3637,90.0
2020-10-31,2799.8,42062970.0,559258.7145,15.3708,3.8819,90.0
2020-11-30,3108.85,37482125.0,621047.5499,17.0675,4.3103,90.0
2020-12-31,3110.0,21926859.0,621277.2827,17.0738,4.3119,90.0
2021-01-31,3256.05,30048441.0,650453.3428,17.8757,4.5144,90.0
2021-02-28,3224.0,27518827.0,644091.4003,17.6997,4.47,95.0
2021-03-31,2913.6,21180101.0,582079.6228,19.9466,3.7757,95.0
2021-04-30,2819.15,17224781.0,563210.3818,19.3,3.6533,95.0
2021-05-31,3007.5,21446639.0,600868.1032,20.5894,3.8974,95.0
2021-06-30,2902.6,16684429.0,579910.1434,19.8713,3.7615,95.0
2021-07-31,2763.3,10933525.0,552079.4003,18.9176,3.5809,105.0
2021-08-31,2741.85,12215167.0,547805.7273,18.7708,3.5531,105.0
2021-09-30,2832.5,14425620.0,565917.0715,19.3914,3.6706,105.0
2021-10-31,2657.1,10656929.0,530873.1688,18.1906,3.4433,105.0
2021-11-30,2449.3,14599481.0,489355.9341,16.768,3.174,105.0
2021-12-31,2462.1,10163531.0,491913.2998,16.8556,3.1906,105.0
2022-01-31,2724.3,13561860.0,544299.3391,18.6506,3.5304,105.0
2022-02-28,2535.45,16809595.0,506613.1858,17.3578,3.2857,95.0
2022-03-31,2294.15,20930217.0,458398.5644,19.784,2.8925,95.0
2022-04-30,2506.65,18404007.0,500858.6019,21.6165,3.1605,95.0
2022-05-31,2773.9,19065628.0,554276.9616,23.9212,3.4974,95.0
2022-06-30,2719.7,16304560.0,543446.7906,23.4538,3.4291,95.0
2022-07-31,2818.05,10267713.0,563098.9551,24.3019,3.5531,95.0
2022-08-31,2837.7,14968889.0,567035.5506,24.4714,3.5779,95.0
2022-09-30,2549.2,16419546.0,509386.8364,21.9834,3.2141,95.0
2022-10-31,2676.85,9561920.0,534894.1444,23.0843,3.3751,95.0
2022-11-30,2851.9,12787085.0,569896.4119,24.5938,3.5958,95.0
2022-12-31,2738.85,7345959.0,547305.5814,23.6189,3.4532,95.0
2023-01-31,2763.25,5459939.0,552181.444,23.8293,3.484,95.0
2023-02-28,2419.1,9084457.0,483432.2618,20.8615,3.0501,100.0
2023-03-31,2347.35,7438969.0,469093.762,16.6929,2.8164,100.0
2023-04-30,2558.6,8747384.0,511309.9025,18.1951,3.0699,100.0
2023-05-31,2759.9,15007690.0,551542.9809,19.6267,3.3114,100.0
2023-06-30,2910.1,17033728.0,581559.1973,20.6948,3.4916,100.0
2023-07-31,3203.7,20077156.0,640232.7069,22.7827,3.8439,100.0
2023-08-31,2915.95,18810774.0,582807.9464,20.7364,3.4987,100.0
2023-09-30,3057.25,9138043.0,611049.433,21.7412,3.6682,100.0
2023-10-31,3088.35,10843039.0,617265.3582,21.9624,3.7055,100.0
2023-11-30,3819.05,18630930.0,763379.0317,27.1587,4.5822,100.0
2023-12-31,4139.55,16640908.0,827442.8642,29.4378,4.9668,100.0
2024-01-31,4621.55,16055736.0,923788.4719,32.8655,5.5451,100.0
2024-02-29,4426.5,17107836.0,884953.5865,31.4785,5.3111,135.0
2024-03-31,4722.3,11457335.0,944090.4375,25.2044,5.3342,135.0
2024-04-30,4543.05,15841164.0,908254.4655,24.2477,5.1317,135.0
2024-05-31,5119.6,19506239.0,1023567.311,27.3249,5.7829,135.0
2024-06-30,5579.6,17403891.0,1115535.621,29.7801,6.3026,135.0
2024-07-31,5488.45,12437493.0,1097311.901,29.2936,6.1996,135.0
2024-08-31,5455.4,16095706.0,1090971.536,29.1172,6.1623,140.0
2024-09-30,5712.4,17146993.0,1142366.426,30.4889,6.4526,140.0
2024-10-31,4989.55,15389839.0,997810.7978,26.6308,5.636,140.0
2024-11-30,4761.7,13491346.0,952337.7668,25.4147,5.3787,140.0
2024-12-31,4160.6,15016976.0,832118.0487,22.2064,4.6997,140.0
