CIPLA IN Equity,price,volume,mc,pe,bm,div
2010-09-30,322.35,37097971.0,258821.709,23.5292,4.379,2.8
2010-10-31,352.95,42181344.0,283391.1034,25.7628,4.7946,2.8
2010-11-30,343.3,45411034.0,275642.9121,25.0584,4.6636,2.8
2010-12-31,369.8,43528536.0,296920.3288,26.9927,5.0235,2.8
2011-01-31,332.15,28930359.0,266690.3386,24.2445,4.5121,2.8
2011-02-28,299.65,31087669.0,240595.3935,21.8723,4.0706,2.8
2011-03-31,321.65,37301906.0,258259.664,26.108,3.8742,2.8
2011-04-30,309.5,19260282.0,248504.1692,25.1218,3.7279,2.8
2011-05-31,326.05,26953251.0,261792.5181,26.4651,3.9272,2.8
2011-06-30,331.05,29729965.0,265807.1251,26.8709,3.9874,2.8
2011-07-31,306.6,23231343.0,246175.6972,24.8864,3.6929,2.8
2011-08-31,280.7,28710555.0,225380.0333,22.7841,3.381,2.8
2011-09-30,281.35,28074616.0,225901.9322,22.8369,3.3888,2.0
2011-10-31,295.4,25453461.0,237182.9776,23.9773,3.558,2.0
2011-11-30,328.05,39378614.0,263398.3609,26.6274,3.9513,2.0
2011-12-31,319.9,28175108.0,256854.5516,25.9659,3.8531,2.0
2012-01-31,350.25,25341362.0,281223.2157,28.4294,4.2187,2.0
2012-02-29,316.95,35931003.0,254485.9335,25.7265,3.8176,2.0
2012-03-31,305.1,46816422.0,244971.2965,21.4105,3.2069,2.0
2012-04-30,312.0,23264512.0,250511.4536,21.8947,3.2794,2.0
2012-05-31,309.9,35590155.0,248825.3188,21.7474,3.2573,2.0
2012-06-30,316.55,23425905.0,254164.7456,22.214,3.3272,2.0
2012-07-31,338.6,25848031.0,271869.1609,23.7614,3.559,2.0
2012-08-31,376.45,44689722.0,302259.7331,26.4175,3.9568,2.0
2012-09-30,380.1,51431674.0,305190.3959,26.6737,3.9952,2.0
2012-10-31,363.3,36253550.0,291701.3176,25.4947,3.8186,2.0
2012-11-30,414.65,51994427.0,332931.3277,29.0982,4.3584,2.0
2012-12-31,414.25,30584524.0,332610.1592,29.0702,4.3541,2.0
2013-01-31,407.05,43756541.0,326829.1256,28.5649,4.2785,2.0
2013-02-28,359.85,52550101.0,288931.239,25.2526,3.7824,2.0
2013-03-31,379.75,27143000.0,304909.3734,19.7375,3.3809,2.0
2013-04-30,405.3,25147192.0,325424.0133,21.0655,3.6083,2.0
2013-05-31,370.55,38315209.0,297522.4972,19.2594,3.299,2.0
2013-06-30,391.95,35652860.0,314705.0136,20.3716,3.4895,2.0
2013-07-31,400.3,25764650.0,321409.4067,20.8056,3.5638,2.0
2013-08-31,416.95,35535964.0,334778.0467,21.671,3.7121,2.0
2013-09-30,432.5,27774891.0,347263.4734,22.4792,3.8505,2.0
2013-10-31,413.2,25399050.0,331767.0918,21.4761,3.6787,2.0
2013-11-30,391.25,27481471.0,314142.9687,20.3352,3.4832,2.0
2013-12-31,400.8,29657209.0,321810.8673,20.8316,3.5683,2.0
2014-01-31,410.6,27632281.0,329679.4963,21.341,3.6555,2.0
2014-02-28,384.3,49127607.0,308562.6655,19.974,3.4214,2.0
2014-03-31,382.8,30648874.0,307358.2835,22.14,3.0582,2.0
2014-04-30,397.45,27671851.0,319121.0809,22.9873,3.1752,2.0
2014-05-31,384.55,41144272.0,308763.3958,22.2412,3.0722,2.0
2014-06-30,438.0,45548693.0,351679.5406,25.3326,3.4992,2.0
2014-07-31,456.5,29404113.0,366533.5852,26.4025,3.647,2.0
2014-08-31,514.2,33527597.0,412862.1457,29.7397,4.1079,2.0
