APNT IN Equity,price,volume,mc,pe,bm,div
2019-09-30,1762.15,31655961.0,1690250.386,78.1788,17.8474,10.5
2019-10-31,1809.6,28483097.0,1735764.321,80.2839,18.328,11.0
2019-11-30,1706.15,25531610.0,1636535.309,75.6943,17.2803,11.0
2019-12-31,1784.95,23963933.0,1712120.095,79.1903,18.0784,11.0
2020-01-31,1795.65,29262874.0,1722383.512,79.665,18.1867,11.0
2020-02-29,1797.95,31297007.0,1724589.667,79.7671,18.21,11.0
2020-03-31,1666.5,64187610.0,1598503.117,58.9912,15.7796,18.15
2020-04-30,1758.7,42132208.0,1686941.153,62.2549,16.6527,18.15
2020-05-31,1683.1,71856861.0,1614425.8,59.5788,15.9368,18.15
2020-06-30,1687.45,65126881.0,1618598.311,59.7327,15.978,10.5
2020-07-31,1715.5,51201460.0,1645503.809,60.7257,16.2436,4.5
2020-08-31,1899.1,54282607.0,1821612.523,67.2248,17.9821,4.5
2020-09-30,1986.4,54878298.0,1905350.49,70.315,18.8087,4.5
2020-10-31,2211.5,55932952.0,2121265.833,78.2832,20.9401,7.275
2020-11-30,2215.3,50882300.0,2124910.784,78.4177,20.9761,7.275
2020-12-31,2764.5,47540352.0,2651702.191,97.8584,26.1763,7.275
2021-01-31,2407.35,56516925.0,2309124.713,85.2159,22.7946,7.275
2021-02-28,2277.2,62374880.0,2184285.125,80.6088,21.5622,7.275
2021-03-31,2537.4,47767221.0,2433868.381,77.5252,19.0053,7.275
2021-04-30,2536.4,30231953.0,2432909.183,77.4947,18.9978,7.275
2021-05-31,2977.5,40506926.0,2856011.313,90.9716,22.3016,4.85
2021-06-30,2992.7,29111465.0,2870591.118,91.436,22.4155,19.35
2021-07-31,2958.45,26462237.0,2837738.702,90.3896,22.1589,19.35
2021-08-31,3201.35,26942032.0,3070727.845,97.8109,23.9783,19.35
2021-09-30,3244.65,23635187.0,3112261.109,99.1338,24.3026,17.85
2021-10-31,3100.1,34516388.0,2973609.069,94.7174,23.2199,18.15
2021-11-30,3143.65,22816371.0,3015382.133,96.048,23.5461,18.15
2021-12-31,3382.95,27230304.0,3244918.164,103.3593,25.3385,18.15
2022-01-31,3152.25,26168773.0,3023631.234,96.3107,23.6105,18.15
2022-02-28,3174.65,18089548.0,3045117.264,96.9951,23.7783,18.15
2022-03-31,3079.95,50683001.0,2954281.233,97.4976,21.3899,18.15
2022-04-30,3237.2,19669640.0,3105115.086,102.4755,22.482,18.15
2022-05-31,2859.65,32944476.0,2742969.96,90.5239,19.86,18.15
2022-06-30,2695.2,35871642.0,2585229.884,85.3181,18.7179,31.0
2022-07-31,3333.75,30356088.0,3197725.632,105.5318,23.1525,31.0
2022-08-31,3391.6,22369736.0,3253215.225,107.3631,23.5543,31.0
2022-09-30,3342.45,25563058.0,3206070.653,105.8072,23.213,31.0
2022-10-31,3107.7,22232083.0,2980898.972,98.3761,21.5826,19.9
2022-11-30,3175.15,21315083.0,3045596.863,100.5112,22.0511,19.9
2022-12-31,3087.9,20997158.0,2961906.856,97.7493,21.4451,19.9
2023-01-31,2725.85,27984912.0,2614629.296,86.2884,18.9307,19.9
2023-02-28,2828.8,20116654.0,2713378.708,89.5473,19.6457,19.9
2023-03-31,2761.65,22287574.0,2648968.577,64.4793,16.5641,19.9
2023-04-30,2902.35,16000131.0,2783927.706,67.7644,17.408,19.9
2023-05-31,3192.95,22594059.0,3062670.584,74.5494,19.151,19.9
2023-06-30,3362.05,19369066.0,3224870.93,78.4975,20.1652,25.65
2023-07-31,3377.35,18052367.0,3239546.656,78.8548,20.257,25.65
2023-08-31,3256.1,17155123.0,3123243.924,76.0238,19.5298,25.65
2023-09-30,3161.05,19174870.0,3032072.174,73.8046,18.9597,25.65
2023-10-31,2995.7,19636788.0,2873468.82,69.944,17.9679,25.65
2023-11-30,3119.9,15929637.0,2992601.185,72.8438,18.7128,26.4
2023-12-31,3402.4,20764919.0,3263574.561,79.4396,20.4073,26.4
2024-01-31,2957.85,26285254.0,2837163.183,69.0602,17.7409,26.4
2024-02-29,2821.9,33242040.0,2706760.244,65.8861,16.9255,26.4
2024-03-31,2846.75,22959457.0,2730596.309,49.9868,15.1243,26.4
2024-04-30,2875.9,21626374.0,2758556.924,50.4987,15.2791,26.4
2024-05-31,2881.2,34253543.0,2763640.673,50.5917,15.3073,26.4
2024-06-30,2917.05,26374803.0,2798027.913,51.2212,15.4977,33.3
2024-07-31,3084.45,40555946.0,2958597.623,54.1607,16.3871,33.3
2024-08-31,3126.8,24041994.0,2999219.65,54.9043,16.6121,33.3
2024-09-30,3329.1,26013200.0,3193265.363,58.4565,17.6869,33.3
2024-10-31,2935.65,21603089.0,2815868.992,51.5478,15.5966,33.3
2024-11-30,2479.6,37589259.0,2378426.84,43.5399,13.1737,32.4
2024-12-31,2281.35,30840537.0,2188265.878,40.0588,12.1204,32.4
2025-01-31,2300.8,28135893.0,2206922.275,40.4004,12.2237,32.4
2025-02-28,2179.75,29885044.0,2090811.383,38.2748,11.5806,32.4
