HCLT IN Equity,price,volume,mc,pe,bm,div
2015-10-31,435.85,153985264.0,1225889.736,17.5346,4.776,9.0
2015-11-30,435.48,53681884.0,1225994.596,17.5195,4.7719,9.0
2015-12-31,427.55,50197582.0,1204937.882,16.6371,4.4538,9.0
2016-01-31,432.88,71283206.0,1220116.524,16.8443,4.5093,10.0
2016-02-29,406.63,52511740.0,1146714.863,15.8228,4.2358,10.0
2016-03-31,407.05,95737276.0,1148191.455,15.45,4.1045,10.0
2016-04-30,375.15,90933042.0,1058343.304,14.2392,3.7828,10.0
2016-05-31,369.9,168383080.0,1043532.422,14.04,3.7299,11.0
2016-06-30,365.23,115846004.0,1030486.974,13.3858,3.5463,11.0
2016-07-31,376.48,70880968.0,1062228.992,13.7981,3.6555,11.0
2016-08-31,389.28,108455668.0,1098344.355,14.2672,3.7798,11.5
2016-09-30,399.95,76402974.0,1128464.003,14.2799,3.7686,11.5
2016-10-31,383.88,69156970.0,1083108.186,13.706,3.6172,12.0
2016-11-30,401.9,81027548.0,1133965.952,14.3496,3.787,12.0
2016-12-31,413.98,55067118.0,1168366.918,14.5184,3.7692,12.0
2017-01-31,405.58,78574152.0,1144693.256,14.2239,3.6927,12.0
2017-02-28,420.05,62773598.0,1185547.438,14.7315,3.8245,12.0
2017-03-31,437.38,82888932.0,1248078.821,14.5911,3.6872,12.0
2017-04-30,407.05,41994654.0,1161842.139,13.5795,3.4316,12.0
2017-05-31,432.13,115255768.0,1233274.306,14.416,3.643,12.0
2017-06-30,425.45,70588590.0,1184595.751,14.0175,3.585,12.0
2017-07-31,446.45,59594928.0,1243066.807,14.7094,3.762,12.0
2017-08-31,432.65,50278446.0,1204642.97,14.2547,3.6457,10.0
2017-09-30,437.4,60228294.0,1217868.566,14.1004,3.7667,10.0
2017-10-31,427.9,72044394.0,1191417.374,13.7942,3.6849,10.0
2017-11-30,424.0,68677876.0,1180558.464,13.6685,3.6513,8.0
2017-12-31,445.25,66027176.0,1239725.604,14.0861,3.6433,8.0
2018-01-31,493.28,87281262.0,1373443.31,15.6055,4.0363,6.0
2018-02-28,470.15,76534670.0,1309086.548,14.8739,3.847,6.0
2018-03-31,484.3,76151388.0,1348485.834,15.4767,3.74,6.0
2018-04-30,526.38,87287978.0,1465687.381,16.8213,4.065,6.0
2018-05-31,455.18,106980416.0,1267559.382,14.5459,3.5151,4.0
2018-06-30,463.13,106456270.0,1289698.333,14.3643,3.3848,4.0
2018-07-31,482.55,119474350.0,1343811.71,14.9668,3.5268,4.0
2018-08-31,523.23,82693264.0,1457204.295,16.2284,3.8241,4.0
2018-09-30,543.9,98499508.0,1514785.066,16.2769,3.7281,4.0
2018-10-31,527.8,94781744.0,1469945.869,15.7951,3.6177,4.0
2018-11-30,507.5,75679116.0,1413409.489,15.1876,3.4786,4.0
2018-12-31,482.18,103757684.0,1342977.826,13.7156,3.4732,4.0
2019-01-31,502.6,93081816.0,1399866.554,14.2966,3.6204,4.0
2019-02-28,526.95,65581994.0,1429363.75,14.9892,3.7958,4.0
2019-03-31,543.73,78948678.0,1474885.455,14.8314,3.5927,4.0
2019-04-30,591.67,87439426.0,1604952.598,16.1393,3.9096,4.0
2019-05-31,546.28,102468488.0,1481802.477,14.9009,3.6096,4.0
2019-06-30,532.33,62563378.0,1443962.297,14.678,3.3144,4.0
2019-07-31,517.28,61320582.0,1403177.368,14.2631,3.2207,4.0
2019-08-31,550.17,85756972.0,1492474.146,15.1702,3.4255,4.0
2019-09-30,540.3,85819460.0,1465685.975,14.5821,3.2575,4.0
2019-10-31,581.38,81220204.0,1577367.334,15.6907,3.5051,4.0
2019-11-30,563.83,63421022.0,1530032.223,15.2171,3.3993,4.0
2019-12-31,568.1,62319386.0,1541633.141,14.7244,3.2036,4.0
2020-01-31,591.4,85232526.0,1604861.538,15.3284,3.335,5.0
2020-02-29,534.35,79924051.0,1450046.944,13.8497,3.0133,5.0
2020-03-31,436.4,152476724.0,1184243.448,10.7474,2.3428,5.0
2020-04-30,543.55,103389705.0,1475012.663,13.3862,2.918,5.0
2020-05-31,550.25,119117210.0,1493194.219,13.5512,2.954,5.0
2020-06-30,556.85,102494461.0,1511104.409,12.9171,2.8004,5.0
2020-07-31,705.2,189419760.0,1913676.626,16.3583,3.5464,6.0
2020-08-31,694.4,116769757.0,1884369.043,16.1078,3.4921,6.0
2020-09-30,811.6,268300661.0,2202410.592,18.0392,3.9463,7.0
2020-10-31,841.95,260917264.0,2284770.28,18.7138,4.0939,10.0
2020-11-30,822.1,152954834.0,2230904.029,18.2726,3.9974,10.0
2020-12-31,946.15,157797374.0,2567534.177,19.5171,4.3379,10.0
2021-01-31,914.0,178257673.0,2480289.846,18.8539,4.1905,12.0
2021-02-28,909.45,121621100.0,2467942.67,18.7601,4.1697,12.0
2021-03-31,982.65,133265974.0,2666582.951,21.4518,4.4147,12.0
2021-04-30,898.95,142880756.0,2439449.187,19.6245,4.0387,26.0
2021-05-31,945.2,106563270.0,2564956.195,20.6342,4.2465,26.0
2021-06-30,983.5,85914475.0,2668889.566,20.9448,4.4649,26.0
2021-07-31,1024.95,105754355.0,2781371.04,21.8275,4.6531,30.0
2021-08-31,1182.3,120053472.0,3208366.243,25.1785,5.3675,30.0
2021-09-30,1279.55,106518950.0,3472270.174,27.1131,5.6794,30.0
2021-10-31,1143.75,136610770.0,3103754.454,24.2356,5.0766,36.0
2021-11-30,1138.65,76283517.0,3089914.762,24.1275,5.054,36.0
2021-12-31,1319.1,86404506.0,3579595.628,29.1522,5.7259,36.0
2022-01-31,1099.4,120290178.0,2983403.407,24.2968,4.7722,42.0
2022-02-28,1126.95,73894534.0,3058164.88,24.9056,4.8918,42.0
2022-03-31,1163.75,79501124.0,3158027.756,23.4756,5.0919,42.0
2022-04-30,1079.25,71803947.0,2928723.055,21.771,4.7221,44.0
2022-05-31,1040.75,71923678.0,2824246.949,20.9944,4.5537,44.0
2022-06-30,973.25,59143551.0,2641074.555,19.4102,4.3705,44.0
2022-07-31,948.4,91946428.0,2573639.977,18.9146,4.2589,48.0
2022-08-31,938.95,72442480.0,2547995.842,18.7262,4.2165,48.0
2022-09-30,932.35,71229664.0,2530085.652,18.2289,4.1314,48.0
2022-10-31,1041.15,64417102.0,2825332.415,20.3561,4.6135,48.0
2022-11-30,1120.8,57697707.0,3041475.84,21.9134,4.9665,48.0
2022-12-31,1039.3,67183006.0,2820312.134,19.4685,4.4157,48.0
2023-01-31,1122.2,79038513.0,3045274.971,21.0214,4.7679,48.0
2023-02-28,1077.6,63514232.0,2924245.507,20.1859,4.5784,48.0
2023-03-31,1085.25,56712963.0,2945005.045,19.8332,4.5039,48.0
2023-04-30,1064.1,55081480.0,2887611.029,19.4467,4.4161,48.0
2023-05-31,1145.1,46489747.0,3107417.901,20.927,4.7523,48.0
2023-06-30,1187.95,39245465.0,3223698.451,21.3861,5.0039,48.0
2023-07-31,1116.7,70835831.0,3030349.813,20.1034,4.7038,48.0
2023-08-31,1172.15,57376683.0,3180822.542,21.1016,4.9373,48.0
2023-09-30,1234.8,48660007.0,3350833.661,21.7365,5.0988,48.0
2023-10-31,1276.0,52533637.0,3462636.663,22.4618,5.2689,50.0
2023-11-30,1340.9,40090353.0,3638753.527,23.6042,5.5369,50.0
2023-12-31,1466.1,60231627.0,3978504.397,25.4701,5.8917,50.0
2024-01-31,1576.0,74701327.0,4276736.191,27.3794,6.3334,52.0
2024-02-29,1663.85,57942453.0,4515131.67,28.9056,6.6864,52.0
2024-03-31,1543.55,58352157.0,4188677.759,26.7665,6.1393,52.0
2024-04-30,1366.6,74645065.0,3708494.72,23.698,5.4355,52.0
2024-05-31,1324.1,89299463.0,3593163.954,22.961,5.2664,52.0
2024-06-30,1459.6,81127439.0,3960865.574,24.5109,5.8919,52.0
2024-07-31,1642.6,84814638.0,4457466.287,27.584,6.6306,54.0
2024-08-31,1753.25,55968897.0,4757733.33,29.4422,7.0773,54.0
2024-09-30,1796.1,57899331.0,4874013.879,29.2457,7.065,54.0
2024-10-31,1766.05,60358348.0,4792468.243,28.7564,6.9468,54.0
2024-11-30,1848.05,47379727.0,5014988.781,30.0916,7.2694,54.0
2024-12-31,1917.4,53104792.0,5203181.455,30.688,7.4519,54.0
2025-01-31,1725.45,90894373.0,4682293.44,27.6158,6.7059,60.0
2025-02-28,1575.05,44540791.0,4274158.21,25.2087,6.1214,60.0
2025-03-31,1592.5,61472913.0,4321511.665,25.0267,6.2006,60.0
2025-04-30,1567.5,80864193.0,4253670.038,24.6339,6.1032,60.0
2025-05-31,1636.6,54783753.0,4441184.296,25.7198,6.3723,60.0
2025-06-30,1728.6,55830229.0,4690841.485,27.3595,6.7105,60.0
2025-07-31,1467.9,85183811.0,3983388.994,23.2332,5.6984,60.0
2025-08-31,1454.8,64130444.0,3947839.982,23.0259,5.6476,60.0
2025-09-30,1385.1,60376942.0,3758697.525,21.9859,5.2571,60.0
2025-10-31,1541.5,51344595.0,4183114.746,24.4685,5.8508,60.0
2025-11-30,1624.2,51525558.0,4407534.849,25.7812,6.1646,60.0
2025-12-31,1623.3,47663342.0,4405092.55,26.5039,6.0385,60.0
2026-01-31,1695.6,58767713.0,4601290.537,27.6844,6.3075,54.0
2026-02-28,1389.1,86799508.0,3769552.185,22.6801,5.1673,54.0
2026-03-31,1356.0,7691989.0,3679729.87,22.1397,5.0442,54.0
