TECHM IN Equity,price,volume,mc,pe,bm,div
2022-04-30,1259.0,57053783.0,1223626.587,19.8827,4.1096,45.0
2022-05-31,1180.25,84262644.0,1147256.356,18.6391,3.8525,45.0
2022-06-30,1000.0,76685214.0,972420.383,15.7925,3.2642,45.0
2022-07-31,1048.65,70427870.0,1020097.794,16.5608,3.423,45.0
2022-08-31,1076.1,68308642.0,1046849.898,16.9943,3.5126,45.0
2022-09-30,1008.6,80215905.0,981528.5708,17.5479,3.6644,45.0
2022-10-31,1063.4,41531097.0,1034955.548,18.5014,3.8635,45.0
2022-11-30,1077.0,58125451.0,1048463.957,18.738,3.9129,48.0
2022-12-31,1016.4,50291234.0,989748.9075,17.6836,3.6927,48.0
2023-01-31,1015.0,44729187.0,988456.9512,17.6593,3.6876,48.0
2023-02-28,1100.25,72766902.0,1071570.931,19.1425,3.9973,48.0
2023-03-31,1101.85,62388442.0,1073364.395,19.9072,3.472,48.0
2023-04-30,1023.7,41697859.0,997250.3816,18.4953,3.2257,48.0
2023-05-31,1115.55,50447541.0,1086941.581,20.1547,3.5151,48.0
2023-06-30,1130.85,50705080.0,1102238.889,20.4311,3.5634,48.0
2023-07-31,1115.5,81416917.0,1087329.893,20.1538,3.515,50.0
2023-08-31,1201.95,52994623.0,1171832.684,21.7157,3.7874,50.0
2023-09-30,1222.8,52999615.0,1192846.42,28.6538,4.5167,50.0
2023-10-31,1133.15,47145962.0,1105456.955,26.5531,4.1855,50.0
2023-11-30,1220.95,32273961.0,1191518.203,28.6105,4.5099,44.0
2023-12-31,1272.65,48979105.0,1242315.62,29.8219,4.7008,44.0
2024-01-31,1333.65,62084765.0,1301881.019,31.2514,4.9261,44.0
2024-02-29,1273.85,39408729.0,1244000.018,29.8501,4.7053,44.0
2024-03-31,1248.1,35011827.0,1219092.313,46.3401,4.1301,44.0
2024-04-30,1263.5,62138808.0,1234189.053,46.9119,4.1811,44.0
2024-05-31,1228.45,41848251.0,1200588.383,45.6105,4.0651,44.0
2024-06-30,1430.35,50021020.0,1398714.035,53.1068,4.7332,44.0
2024-07-31,1554.4,52012658.0,1520089.676,57.7125,5.1437,56.0
2024-08-31,1636.5,42972519.0,1600844.544,60.7608,5.4154,56.0
2024-09-30,1577.2,47345996.0,1543052.907,43.4983,5.8347,56.0
2024-10-31,1608.65,55959840.0,1573964.131,44.3657,5.9511,43.0
2024-11-30,1712.3,36894352.0,1675693.173,47.2243,6.3345,43.0
2024-12-31,1706.2,38821095.0,1670006.506,47.0561,6.3119,43.0
2025-01-31,1674.45,40456314.0,1639011.286,46.1804,6.1945,43.0
2025-02-28,1487.85,32875424.0,1456360.561,41.0341,5.5042,43.0
2025-03-31,1418.25,46300197.0,1388457.832,29.1873,4.586,43.0
2025-04-30,1503.0,55080472.0,1471427.549,30.9315,4.8601,43.0
2025-05-31,1573.9,36333268.0,1540959.073,32.3906,5.0893,43.0
2025-06-30,1687.0,47043895.0,1651816.869,34.7181,5.4551,43.0
2025-07-31,1463.7,48054905.0,1433320.586,30.1227,4.733,45.0
2025-08-31,1481.4,32481263.0,1450692.009,30.4869,4.7902,45.0
2025-09-30,1400.3,40493499.0,1371681.093,26.2107,4.5078,45.0
2025-10-31,1424.4,35018267.0,1395364.35,26.6618,4.5854,45.0
2025-11-30,1517.3,48360347.0,1486439.069,28.4007,4.8845,45.0
2025-12-31,1590.9,31693317.0,1558638.669,29.7784,5.1214,45.0
2026-01-31,1743.1,47112520.0,1707790.102,32.6272,5.6114,45.0
2026-02-28,1357.8,56664253.0,1330344.864,25.4152,4.371,45.0
2026-03-31,1334.7,4707088.0,1307711.906,24.9828,4.2967,45.0
