PRJ IN Equity,price,volume,mc,pe,bm,div
2016-02-29,72.05,24425645.0,12817.3406,16.7558,2.0552,1.62
2016-03-31,89.2,18036974.0,15872.7899,19.2241,2.4226,1.62
2016-04-30,97.35,13960019.0,17325.6143,20.9806,2.644,1.62
2016-05-31,85.2,12510081.0,15166.3137,18.3621,2.314,1.62
2016-06-30,94.55,26238963.0,16834.4229,20.3772,2.5679,1.62
2016-07-31,86.35,41406246.0,15374.4307,18.6099,2.3452,1.62
2016-08-31,91.5,27577956.0,16291.377,19.7198,2.4851,1.62
2016-09-30,81.3,18828268.0,14502.1927,17.5216,2.2081,1.62
2016-10-31,84.15,22554751.0,15010.5721,18.1358,2.2855,1.62
2016-11-30,77.25,9821066.0,13800.2818,16.6487,2.0981,1.62
2016-12-31,80.45,14317593.0,14379.1645,17.3384,2.185,1.62
2017-01-31,82.55,11642587.0,14754.5063,17.7909,2.242,1.62
2017-02-28,79.45,8462895.0,14226.0271,17.1228,2.1578,1.62
2017-03-31,80.05,11258279.0,14364.5069,32.02,2.0242,1.62
2017-04-30,86.45,15820012.0,15512.9497,34.58,2.186,1.62
2017-05-31,76.35,11640307.0,13707.0548,30.54,1.9307,0.0
2017-06-30,75.2,6093558.0,13500.5962,30.08,1.9016,0.0
2017-07-31,76.95,13225876.0,13833.93,30.78,1.9458,0.0
2017-08-31,67.7,7880685.0,12170.982,27.08,1.7119,1.62
2017-09-30,68.2,11588054.0,12263.1948,27.28,1.7246,1.62
2017-10-31,79.15,23778470.0,14232.1388,31.66,2.0015,1.62
2017-11-30,113.1,114104898.0,20342.1934,45.24,2.8599,1.62
2017-12-31,111.85,65753525.0,20134.6835,44.74,2.8283,1.62
2018-01-31,106.65,63930597.0,19238.0938,42.66,2.6968,1.62
2018-02-28,90.75,27470927.0,16408.7566,36.3,2.2948,1.62
2018-03-31,80.3,14820133.0,14528.8729,36.6667,2.0008,1.62
2018-04-30,94.05,33517714.0,17025.7102,42.9452,2.3435,1.62
2018-05-31,95.55,28721594.0,17315.2115,43.6301,2.3808,1.62
2018-06-30,78.75,18877460.0,14285.492,35.9589,1.9622,1.62
2018-07-31,79.2,13026051.0,14372.998,36.1644,1.9734,1.62
2018-08-31,82.2,14878610.0,14917.4298,37.5342,2.0482,1.62
2018-09-30,87.6,63580497.0,15897.4069,40.0,2.1827,1.62
2018-10-31,110.45,46271906.0,20101.0051,50.4338,2.7521,1.62
2018-11-30,106.75,19386472.0,19458.6044,48.7443,2.6599,1.62
