OBER IN Equity,price,volume,mc,pe,bm,div
2015-09-30,273.15,5214030.0,92673.1897,28.2764,1.9347,2.0
2015-10-31,285.75,3781444.0,96948.065,29.5807,2.0239,2.0
2015-11-30,260.6,3867849.0,88422.4596,26.9772,1.8458,2.0
2015-12-31,268.6,3155317.0,91136.8866,27.8054,1.9024,2.0
2016-01-31,243.25,5732825.0,82535.6574,25.1812,1.7229,2.0
2016-02-29,230.35,1967275.0,78158.6379,23.8458,1.6315,2.0
2016-03-31,241.5,2491048.0,81941.8757,18.6343,1.5342,2.0
2016-04-30,279.8,8259571.0,94937.2125,21.5895,1.7775,2.0
2016-05-31,271.0,3854771.0,91951.3387,20.9105,1.7216,2.0
2016-06-30,271.3,3755456.0,92053.1299,20.9336,1.7235,2.0
2016-07-31,291.0,10111463.0,98737.4154,22.4537,1.8486,2.0
2016-08-31,301.8,5849459.0,102401.8968,23.287,1.9172,2.0
2016-09-30,292.15,5279903.0,99127.6148,22.5424,1.8559,2.0
2016-10-31,360.25,12402471.0,122234.2058,27.7971,2.2885,2.0
2016-11-30,285.85,12036737.0,96990.0007,22.0563,1.8159,2.0
2016-12-31,295.35,7330213.0,100246.8447,22.7894,1.8763,2.0
2017-01-31,311.25,2221919.0,105643.5768,24.0162,1.9773,2.0
2017-02-28,323.45,5708462.0,109816.2499,24.9576,2.0548,2.0
2017-03-31,368.45,7733017.0,125101.8295,33.0448,2.1848,2.0
2017-04-30,397.5,13324482.0,134973.9587,35.6502,2.3571,2.0
2017-05-31,377.3,7163378.0,128131.9228,33.8386,2.2373,0.0
2017-06-30,357.7,5351997.0,121475.7191,32.0807,2.1211,0.0
2017-07-31,386.35,3404255.0,131205.3231,34.6502,2.291,0.0
2017-08-31,381.0,5210841.0,129388.4511,34.1704,2.2592,0.0
2017-09-30,423.8,5454109.0,143923.4267,38.009,2.513,2.0
2017-10-31,474.75,15450591.0,161226.1605,42.5785,2.8152,2.0
2017-11-30,487.2,7515360.0,165454.2143,43.6951,2.889,2.0
2017-12-31,481.2,4594921.0,163416.6008,43.157,2.8534,2.0
2018-01-31,528.8,9043861.0,179581.6677,47.426,3.1357,2.0
2018-02-28,519.15,9103368.0,176304.5013,46.5605,3.0784,2.0
2018-03-31,510.25,11482934.0,173282.0414,37.7683,2.8442,2.0
2018-04-30,549.5,13094665.0,186611.4292,40.6736,3.063,2.0
2018-05-31,506.95,8363226.0,172161.354,37.5241,2.8259,2.0
2018-06-30,477.35,6705879.0,173565.5278,35.3331,2.6609,2.0
2018-07-31,496.1,8773037.0,180383.0698,36.7209,2.7654,2.0
2018-08-31,440.85,5298904.0,160294.0462,32.6314,2.4574,2.0
2018-09-30,405.6,8460202.0,147477.0673,30.0222,2.2609,2.0
2018-10-31,423.35,15970197.0,153931.007,31.336,2.3598,2.0
2018-11-30,446.3,8645722.0,162275.6784,33.0348,2.4878,2.0
2018-12-31,440.85,7180513.0,160294.0462,32.6314,2.4574,2.0
2019-01-31,444.65,8549392.0,161675.7347,32.9127,2.4786,2.0
2019-02-28,495.35,13894509.0,180110.3681,36.6654,2.7612,2.0
2019-03-31,528.3,16161385.0,192091.0618,23.1711,2.3924,2.0
2019-04-30,507.3,11712036.0,184455.4148,22.25,2.2973,2.0
2019-05-31,561.55,11594707.0,204180.8362,24.6294,2.543,2.0
2019-06-30,607.6,6086426.0,220924.7192,26.6491,2.7515,2.0
2019-07-31,549.6,11691360.0,199835.7895,24.1053,2.4889,0.0
2019-08-31,567.95,13875885.0,206507.8905,24.9101,2.572,2.0
2019-09-30,507.6,12585531.0,184564.4955,22.2632,2.2987,2.0
2019-10-31,506.9,6133087.0,184309.9739,22.2325,2.2955,2.0
2019-11-30,516.9,6624314.0,187945.9963,22.6711,2.3408,2.0
2019-12-31,530.65,7667832.0,192945.5271,23.2741,2.4031,2.0
2020-01-31,545.55,7282360.0,198363.2004,23.9276,2.4705,2.0
2020-02-29,509.95,5882984.0,185418.9608,22.3662,2.3093,2.0
2020-03-31,331.75,16098758.0,120625.0421,17.4974,1.3978,2.0
2020-04-30,344.5,13779897.0,125260.9706,18.1698,1.4515,2.0
2020-05-31,319.8,9209727.0,116279.9954,16.8671,1.3475,2.0
2020-06-30,365.8,8432627.0,133005.6983,19.2932,1.5413,2.0
2020-07-31,349.9,7491675.0,127224.4227,18.4546,1.4743,2.0
2020-08-31,389.9,12247189.0,141768.5122,20.5643,1.6428,2.0
2020-09-30,394.2,10656801.0,143332.0018,20.7911,1.661,0.0
2020-10-31,443.15,16877264.0,161130.3353,23.3729,1.8672,0.0
2020-11-30,463.4,11997318.0,168493.2808,24.4409,1.9525,0.0
2020-12-31,583.4,14362436.0,212125.5503,30.77,2.4581,0.0
2021-01-31,526.95,11620301.0,191600.2035,27.7927,2.2203,0.0
2021-02-28,545.6,9465313.0,198381.3854,28.7764,2.2989,0.0
2021-03-31,575.15,11437874.0,209125.8318,28.2907,2.2321,0.0
2021-04-30,547.25,5018621.0,198981.3291,26.9183,2.1238,0.0
2021-05-31,605.45,13824098.0,220142.9798,29.7811,2.3497,0.0
2021-06-30,629.7,17665399.0,228960.3343,30.9739,2.4438,0.0
2021-07-31,672.4,14685167.0,244486.1442,33.0743,2.6095,0.0
2021-08-31,703.6,12817992.0,255830.534,34.609,2.7306,0.0
2021-09-30,964.2,62014182.0,350585.2769,47.4274,3.7419,0.0
2021-10-31,905.3,44233937.0,329169.1052,44.5303,3.5133,0.0
2021-11-30,832.75,38057482.0,302789.7629,40.9616,3.2318,0.0
2021-12-31,861.8,20088150.0,313352.4078,42.3906,3.3445,0.0
2022-01-31,915.8,27020500.0,332986.9286,45.0467,3.5541,0.0
2022-02-28,907.2,21200829.0,329859.9494,44.6237,3.5207,0.0
2022-03-31,939.85,19889110.0,341731.5624,32.6337,3.2808,0.0
2022-04-30,960.25,17095454.0,349149.0481,33.342,3.352,0.0
2022-05-31,805.75,18447717.0,292972.5025,27.9774,2.8127,0.0
2022-06-30,737.65,15438757.0,268211.1901,25.6128,2.575,0.0
2022-07-31,910.15,17239525.0,330932.576,31.6024,3.1771,3.0
2022-08-31,1006.85,14627551.0,366092.9123,34.9601,3.5147,3.0
2022-09-30,917.8,20190822.0,333714.1331,31.8681,3.2038,3.0
2022-10-31,924.65,17431365.0,336204.8084,32.1059,3.2277,3.0
2022-11-30,923.9,12827260.0,335932.1068,32.0799,3.2251,3.0
2022-12-31,867.95,12162766.0,315588.5616,30.1372,3.0298,3.0
2023-01-31,820.95,8739688.0,298499.2565,28.5052,2.8657,3.0
2023-02-28,857.4,13440480.0,311752.558,29.7708,2.993,3.0
2023-03-31,842.6,8223962.0,306371.2449,16.0863,2.5092,3.0
2023-04-30,915.1,14078630.0,332732.4071,17.4704,2.7251,3.0
2023-05-31,930.75,17769365.0,338422.7821,17.7692,2.7717,3.0
2023-06-30,984.8,14582054.0,358075.483,18.8011,2.9326,4.0
2023-07-31,1119.55,13266188.0,407070.8844,21.3736,3.3339,4.0
2023-08-31,1120.85,17155724.0,407543.5673,21.3984,3.3378,4.0
2023-09-30,1154.35,9754817.0,419724.2423,22.038,3.4375,4.0
2023-10-31,1137.85,10852580.0,413724.8054,21.723,3.3884,4.0
2023-11-30,1400.85,25781135.0,509352.1937,26.744,4.1716,6.0
2023-12-31,1443.35,14612613.0,524805.2888,27.5554,4.2981,6.0
2024-01-31,1323.7,24534355.0,481300.2811,25.2711,3.9418,6.0
2024-02-29,1344.25,17197908.0,488772.3071,25.6634,4.003,8.0
2024-03-31,1475.85,13598915.0,536622.3615,27.8515,3.8761,8.0
2024-04-30,1483.35,13006860.0,539349.3783,27.993,3.8958,8.0
2024-05-31,1819.65,30009792.0,661628.8106,34.3395,4.779,10.0
2024-06-30,1765.75,18077472.0,642030.65,33.3223,4.6375,8.0
2024-07-31,1862.4,24179101.0,677172.8062,35.1463,4.8913,8.0
2024-08-31,1772.35,15245428.0,644430.4247,33.4469,4.6548,10.0
2024-09-30,1892.2,15089786.0,688008.1529,35.7086,4.9696,10.0
2024-10-31,1966.8,28219188.0,715132.8797,37.1164,5.1655,10.0
2024-11-30,2007.35,38439836.0,729876.9504,37.8817,5.272,10.0
2024-12-31,2311.5,23205203.0,840466.5708,43.6214,6.0708,10.0
2025-01-31,1812.65,25242904.0,659083.5949,34.2074,4.7606,12.0
2025-02-28,1484.5,15190673.0,539767.5208,28.0147,3.8988,10.0
2025-03-31,1637.4,11268258.0,595362.3029,26.7505,3.7909,10.0
2025-04-30,1641.6,13689714.0,596889.4323,26.8191,3.8007,10.0
2025-05-31,1746.3,15922774.0,634958.5865,28.5297,4.0431,10.0
2025-06-30,1905.6,17331976.0,692880.4228,31.1322,4.4119,8.0
2025-07-31,1630.1,28958971.0,592708.0065,26.6313,3.774,10.0
2025-08-31,1610.8,7752837.0,585690.4834,26.316,3.7294,8.0
2025-09-30,1582.1,12642444.0,575255.0992,25.8471,3.6629,8.0
2025-10-31,1778.3,13238489.0,646593.8581,29.0524,4.1172,8.0
2025-11-30,1647.2,6289873.0,598925.6048,26.9106,3.8136,8.0
2025-12-31,1670.6,9242508.0,607433.8971,27.2929,3.8678,8.0
2026-01-31,1490.9,16670418.0,542094.5751,24.3571,3.4518,8.0
2026-02-28,1522.8,10392863.0,553693.4865,24.8783,3.5256,8.0
2026-03-31,1482.9,2511720.0,539185.7661,24.2264,3.4332,8.0
