BJFIN IN Equity,price,volume,mc,pe,bm,div
2014-12-31,130.77,17075820.0,208080.0457,13.4754,2.1914,0.175
2015-01-31,144.76,21348120.0,230341.6687,14.917,2.4259,0.175
2015-02-28,140.74,17040460.0,223952.525,14.5033,2.3586,0.175
2015-03-31,141.46,35441820.0,225090.5377,13.3197,2.0298,0.175
2015-04-30,143.49,8605990.0,228328.7252,13.5113,2.059,0.175
2015-05-31,152.71,7874790.0,243000.0671,14.3795,2.1914,0.175
2015-06-30,153.21,26365070.0,243795.693,14.4266,2.1985,0.175
2015-07-31,184.57,14649160.0,293697.3405,17.3795,2.6485,0.175
2015-08-31,180.98,19586270.0,287984.7663,17.0414,2.597,0.175
2015-09-30,172.95,17995590.0,275207.0042,16.2853,2.4818,0.175
2015-10-31,196.8,19772760.0,313158.3604,18.5311,2.824,0.175
2015-11-30,192.87,8790270.0,306904.7307,18.161,2.7676,0.175
2015-12-31,198.79,9020670.0,316324.9515,18.7185,2.8526,0.175
2016-01-31,186.17,8597990.0,296247.0722,17.5297,2.6714,0.175
2016-02-29,161.19,12968710.0,256503.9915,15.178,2.313,0.175
2016-03-31,171.11,25046640.0,272289.8317,14.6123,2.0024,0.35
2016-04-30,187.54,14999310.0,298427.1731,16.0149,2.1946,0.35
2016-05-31,182.07,14842210.0,289722.6826,15.5478,2.1305,0.35
2016-06-30,232.16,46886580.0,369439.6046,19.8258,2.7168,0.35
2016-07-31,272.39,54764190.0,433458.1489,23.2613,3.1875,0.175
2016-08-31,296.73,42357110.0,472190.7748,25.3399,3.4724,0.175
2016-09-30,306.96,44611790.0,488461.966,26.2131,3.592,0.175
2016-10-31,341.68,38609910.0,543712.3971,29.1781,3.9983,0.175
2016-11-30,299.0,106836570.0,475803.0489,25.5337,3.4989,0.175
2016-12-31,289.49,37750930.0,460661.7109,24.7212,3.3876,0.175
2017-01-31,324.59,21509400.0,516516.8514,27.7186,3.7983,0.175
2017-02-28,391.41,27105450.0,622864.3626,33.4257,4.5804,0.175
2017-03-31,409.84,22729150.0,652184.3331,28.8333,4.0382,0.175
2017-04-30,457.56,24173310.0,728129.8197,32.1908,4.5085,0.175
2017-05-31,419.2,37769600.0,667079.0571,29.4918,4.1304,0.0
2017-06-30,411.87,24949900.0,655414.7215,28.9761,4.0582,0.0
2017-07-31,499.19,52343420.0,794360.351,35.1189,4.9185,0.175
2017-08-31,550.29,48561410.0,875676.5242,38.7139,5.422,0.175
2017-09-30,515.44,44758780.0,820235.1255,36.2628,5.0788,0.175
2017-10-31,501.04,35678520.0,797304.2829,35.249,4.9368,0.175
2017-11-30,521.41,28099260.0,829728.988,36.6825,5.1375,0.175
2017-12-31,523.04,36812350.0,832322.836,36.7972,5.1536,0.175
2018-01-31,481.24,35901410.0,765813.7744,33.8561,4.7417,0.175
2018-02-28,505.17,37566760.0,803902.7695,35.54,4.9775,0.175
2018-03-31,517.16,35649420.0,822975.1109,31.0523,4.0179,0.175
2018-04-30,548.26,30708360.0,872474.0828,32.9199,4.2595,0.175
2018-05-31,604.23,41547370.0,961534.0398,36.2803,4.6943,0.175
2018-06-30,582.11,36295490.0,926341.3131,34.9525,4.5225,0.175
2018-07-31,697.73,56542710.0,1110333.312,41.8948,5.4208,0.175
2018-08-31,674.78,35626730.0,1073811.808,40.5168,5.2425,0.175
2018-09-30,600.62,53244220.0,955797.2196,36.0639,4.6663,0.175
2018-10-31,540.46,78441930.0,860074.9823,32.4519,4.199,0.175
2018-11-30,599.44,41838870.0,953917.547,35.9927,4.6571,0.175
2018-12-31,647.69,45137140.0,1030716.634,38.8905,5.032,0.175
2019-01-31,609.19,47294680.0,969441.2746,36.5785,4.7329,0.175
2019-02-28,646.25,46637100.0,1028409.161,38.8034,5.0208,0.175
2019-03-31,703.71,49685920.0,1119848.77,34.7852,4.7171,0.175
2019-04-30,752.05,39031510.0,1196775.166,37.1747,5.0412,0.175
2019-05-31,818.8,58289510.0,1302998.52,40.4743,5.4886,0.175
2019-06-30,852.46,29201950.0,1356579.649,42.1387,5.7143,0.175
2019-07-31,709.79,106501540.0,1129524.246,35.0858,4.7579,0.25
2019-08-31,711.96,91221650.0,1132977.499,35.193,4.7724,0.25
2019-09-30,851.3,77200530.0,1354725.713,42.0811,5.7065,0.25
2019-10-31,813.44,69449710.0,1294478.415,40.2093,5.4527,0.25
2019-11-30,911.03,60537820.0,1449780.496,45.0334,6.1068,0.25
2019-12-31,939.34,38154070.0,1494832.263,46.4328,6.2966,0.25
2020-01-31,944.14,55732910.0,1502478.81,46.6703,6.3288,0.25
2020-02-29,905.08,56250600.0,1440311.828,44.7392,6.067,0.25
2020-03-31,459.12,151156760.0,730631.1258,21.6873,2.3342,0.5
2020-04-30,510.44,185358410.0,812292.4262,24.1112,2.5951,0.5
2020-05-31,440.49,204219200.0,700983.8487,20.8073,2.2395,0.5
2020-06-30,584.52,383351500.0,930181.3306,27.6105,2.9717,0.5
2020-07-31,620.59,273730090.0,987590.108,29.3146,3.1551,0.5
2020-08-31,619.04,124420710.0,985115.5232,29.2411,3.1472,0.5
2020-09-30,585.24,128556590.0,931327.1191,27.6445,2.9754,0.5
2020-10-31,557.35,149918210.0,886952.5163,26.3274,2.8336,0.5
2020-11-30,875.88,345300680.0,1393853.001,41.3736,4.453,0.5
2020-12-31,890.64,150430370.0,1417333.73,42.0706,4.528,0.5
2021-01-31,872.28,154456870.0,1388116.096,41.2034,4.4347,0.5
2021-02-28,964.86,145479840.0,1535453.494,45.5768,4.9054,0.5
2021-03-31,966.86,83509760.0,1538636.243,34.4201,4.2943,0.5
2021-04-30,1104.17,122441060.0,1757139.903,39.3081,4.9041,0.5
2021-05-31,1180.63,72222440.0,1878824.346,42.0303,5.2437,0.0
2021-06-30,1210.91,70559010.0,1927003.206,43.108,5.3782,0.0
2021-07-31,1422.22,77019300.0,2263284.556,50.6308,6.3167,0.3
2021-08-31,1714.88,85739820.0,2729008.243,61.0493,7.6165,0.3
2021-09-30,1778.68,67949850.0,2830537.932,63.3206,7.8999,0.3
2021-10-31,1782.12,65114350.0,2836012.26,63.443,7.9152,0.3
2021-11-30,1723.74,51651000.0,2743107.82,61.3647,7.6559,0.3
2021-12-31,1640.62,57848940.0,2610840.734,58.4058,7.2867,0.3
2022-01-31,1568.96,67168250.0,2496794.885,55.8546,6.9684,0.3
2022-02-28,1601.26,66499470.0,2548196.279,57.0044,7.1119,0.3
2022-03-31,1706.05,66618450.0,2714956.407,59.5807,6.7458,0.3
2022-04-30,1491.12,49780900.0,2372922.298,52.0747,5.8959,0.3
2022-05-31,1293.4,70264870.0,2058283.701,45.1698,5.1142,0.3
2022-06-30,1093.18,74017490.0,1739650.753,38.1773,4.3225,0.4
2022-07-31,1504.76,97863740.0,2396795.677,52.5512,5.9499,0.4
2022-08-31,1696.22,85010140.0,2701746.976,59.2374,6.7069,0.4
2022-09-30,1678.35,96972797.0,2673301.827,58.6135,6.6363,0.4
2022-10-31,1687.5,32887593.0,2687876.089,58.9331,6.6724,0.4
2022-11-30,1626.5,47671406.0,2590714.346,56.8027,6.4312,0.4
2022-12-31,1547.85,37209101.0,2465439.41,54.056,6.1203,0.4
2023-01-31,1342.45,60413485.0,2138275.114,46.8828,5.3081,0.4
2023-02-28,1334.9,37916420.0,2126249.358,46.6191,5.2782,0.4
2023-03-31,1266.5,42534510.0,2017300.78,31.4268,4.3469,0.4
2023-04-30,1354.65,28765655.0,2157707.463,33.6141,4.6495,0.4
2023-05-31,1451.05,33884396.0,2311254.873,36.0062,4.9804,0.4
2023-06-30,1528.0,24953997.0,2433822.023,37.9156,5.2445,0.8
2023-07-31,1598.3,42024421.0,2545796.95,39.66,5.4858,0.8
2023-08-31,1488.9,34014466.0,2375523.294,36.9454,5.1103,0.8
2023-09-30,1540.25,28807217.0,2457451.644,38.2196,5.2865,0.8
2023-10-31,1569.55,34390747.0,2504199.466,38.9467,5.3871,0.8
2023-11-30,1673.5,28880674.0,2670050.529,41.5261,5.7439,0.8
2023-12-31,1685.8,25961993.0,2689675.041,41.8313,5.7861,0.8
2024-01-31,1627.3,31492479.0,2596338.945,40.3797,5.5853,0.8
2024-02-29,1593.8,27486551.0,2542890.07,39.5484,5.4703,0.8
2024-03-31,1643.85,27998833.0,2622744.285,32.1357,4.3474,0.8
2024-04-30,1615.0,30407027.0,2576714.433,31.5717,4.2711,0.8
2024-05-31,1528.6,29608337.0,2438864.2,29.8827,4.0426,0.8
2024-06-30,1588.15,38357528.0,2535738.909,31.0468,4.2001,1.0
2024-07-31,1651.65,44250510.0,2637126.953,32.2882,4.3681,1.0
2024-08-31,1783.05,44427034.0,2846928.352,34.8569,4.7156,1.0
2024-09-30,1973.4,55440004.0,3150852.982,38.5781,5.219,1.0
2024-10-31,1750.75,32300911.0,2795356.166,34.2255,4.6301,1.0
2024-11-30,1579.95,28943392.0,2522646.28,30.8865,4.1784,1.0
2024-12-31,1568.1,28216964.0,2503725.834,30.6549,4.1471,1.0
2025-01-31,1736.1,46418651.0,2771965.067,33.9391,4.5914,1.0
2025-02-28,1872.3,39675372.0,2989430.444,36.6017,4.9516,1.0
2025-03-31,2007.35,50214226.0,3205059.66,36.1093,4.4253,1.0
2025-04-30,1951.6,43809420.0,3116045.749,35.1065,4.3024,1.0
2025-05-31,2017.4,33565994.0,3223428.39,36.2901,4.4475,1.0
2025-06-30,2056.0,50107666.0,3285103.98,36.9845,4.5326,1.0
2025-07-31,1948.0,26703785.0,3112540.153,35.0417,4.2945,1.0
2025-08-31,1913.5,20714828.0,3057415.597,34.4211,4.2184,1.0
2025-09-30,2006.4,25128522.0,3205852.445,36.0922,4.4232,1.0
2025-10-31,2088.3,17715119.0,3336713.347,37.5655,4.6038,1.0
2025-11-30,2094.0,25095179.0,3345820.883,37.668,4.6164,1.0
2025-12-31,2039.9,25370824.0,3259379.188,36.6948,4.4971,1.0
2026-01-31,1952.6,27067607.0,3119890.093,35.1244,4.3046,1.0
2026-02-28,1993.4,17713436.0,3190536.346,35.8584,4.3946,1.0
2026-03-31,1915.2,5535135.0,3065373.259,34.4517,4.2222,1.0
