TARIL IN Equity,price,volume,mc,pe,bm,div
2013-03-31,3.45,4326488.0,989.9478,20.7027,0.2915,0.0
2013-04-30,5.75,75577859.0,1650.3437,34.5135,0.4859,0.0
2013-05-31,4.12,30125441.0,1184.448,24.7703,0.3487,0.0338
2013-06-30,3.67,1821915.0,1054.7101,22.0571,0.3105,0.0338
2013-07-31,3.23,10026120.0,928.3459,19.4144,0.2733,0.0338
2013-08-31,3.11,3294780.0,891.729,18.6486,0.2625,0.0338
2013-09-30,2.8,3910820.0,802.6997,16.7868,0.2363,0.0338
2013-10-31,3.55,9310640.0,1020.2471,21.3363,0.3004,0.0338
2013-11-30,4.26,32432420.0,1221.999,25.5556,0.3598,0.0338
2013-12-31,4.28,3473960.0,1229.1788,25.7057,0.3619,0.0338
2014-01-31,3.73,2664820.0,1069.7876,22.3724,0.315,0.0338
2014-02-28,3.85,1522100.0,1105.6866,23.1231,0.3255,0.0338
2014-03-31,4.55,7393960.0,1307.4385,23.2864,0.3514,0.0338
2014-04-30,5.36,11699580.0,1540.0634,27.4297,0.4139,0.0338
2014-05-31,8.58,36404080.0,2464.8195,43.9003,0.6625,0.0338
2014-06-30,10.14,7732600.0,2912.8379,51.8798,0.7829,0.0338
2014-07-31,9.72,9947060.0,2792.2176,49.7315,0.7505,0.0
2014-08-31,9.76,6305580.0,2803.7052,49.9361,0.7536,0.0
2014-09-30,9.12,8475000.0,2617.7488,46.624,0.7036,0.0375
2014-10-31,8.16,4624340.0,2343.4811,41.7391,0.6299,0.0375
2014-11-30,10.68,8851280.0,3065.7673,54.6036,0.824,0.0375
2014-12-31,10.3,23123960.0,2958.7885,52.6982,0.7953,0.0375
2015-01-31,9.93,11987020.0,2851.0918,50.7801,0.7663,0.0375
2015-02-28,9.43,6025680.0,2708.2959,48.2353,0.7279,0.0375
2015-03-31,11.44,17483140.0,3286.1866,51.202,0.9076,0.0375
2015-04-30,11.87,18347000.0,3408.2429,51.202,0.9414,0.0375
2015-05-31,12.41,18150160.0,3564.0442,51.202,0.9844,0.0375
2015-06-30,12.93,4717380.0,3714.1017,51.202,1.0258,0.0375
2015-07-31,13.25,11727280.0,3804.5669,51.202,1.0508,0.0375
2015-08-31,9.5,9159300.0,2729.0355,51.202,0.7538,0.0375
2015-09-30,8.93,2331500.0,2366.9323,51.202,0.7081,0.0375
2015-10-31,9.05,10929920.0,2398.7477,51.202,0.7177,0.0375
2015-11-30,9.24,3473340.0,2449.122,51.202,0.7327,0.0
2015-12-31,13.58,28450140.0,3599.7786,51.202,1.077,0.0
2016-01-31,12.89,16316180.0,3416.8401,51.202,1.0223,0.0
2016-02-29,10.12,7003360.0,2683.0977,51.202,0.8027,0.0
2016-03-31,11.83,10288500.0,3137.1298,51.202,0.9601,0.0
2016-04-30,16.67,33130740.0,4418.362,51.202,1.3523,0.0
2016-05-31,17.9,36321420.0,4746.4582,51.202,1.4527,0.0
2016-06-30,17.51,17495660.0,4641.7325,51.202,1.4206,0.0
2016-07-31,16.27,17644440.0,4314.2991,51.202,1.3204,0.0
2016-08-31,15.77,8405860.0,4179.7466,51.202,1.2792,0.0
2016-09-30,15.62,9554160.0,4141.303,51.202,1.2675,0.0
2016-10-31,17.22,15874900.0,4564.1825,51.202,1.3969,0.0
2016-11-30,18.06,20601120.0,4786.8902,51.202,1.4651,0.0
2016-12-31,16.91,4205760.0,4483.3184,51.202,1.3722,0.0
2017-01-31,20.37,51238240.0,5399.9992,51.202,1.6527,0.0
2017-02-28,19.95,32327120.0,5288.6454,51.202,1.6186,0.0
2017-03-31,20.32,13369600.0,5388.0685,23.0611,1.6564,0.0
2017-04-30,21.05,26396940.0,5580.9493,23.8867,1.7157,0.0
2017-05-31,18.66,13524660.0,4947.9556,21.1774,1.5211,0.0
2017-06-30,17.18,3688780.0,4555.5658,19.498,1.4005,0.0
