TTLS IN Equity,price,volume,mc,pe,bm,div
2024-04-30,82.25,131227707.0,160792.8055,54.4231,9.4534,0.0
2024-05-31,74.6,47765080.0,145837.6084,54.4231,9.4534,0.0
2024-06-30,77.73,113769202.0,151956.5322,54.4231,9.4534,0.0
2024-07-31,96.13,1278325095.0,187927.2024,54.4231,9.4534,0.0
2024-08-31,97.14,423941335.0,189901.6794,54.4231,9.4534,0.0
2024-09-30,84.5,143232725.0,165191.3929,54.4231,9.4534,0.0
2024-10-31,73.45,144258400.0,143589.4415,54.4231,9.4534,0.0
2024-11-30,78.74,237642830.0,153931.0092,54.4231,9.4534,0.0
2024-12-31,75.49,329528966.0,147577.4941,54.4231,9.4534,0.0
2025-01-31,71.79,214452844.0,140344.2615,54.4231,9.4534,0.0
2025-02-28,59.52,123709958.0,116357.2983,54.4231,9.4534,0.0
2025-03-31,56.29,130277307.0,110042.8818,54.4231,9.4534,0.0
2025-04-30,56.82,95671704.0,111078.9934,54.4231,9.4534,0.0
2025-05-31,72.91,700973218.0,142533.7806,54.4231,9.4534,0.0
2025-06-30,66.09,341856824.0,129201.1735,54.4231,9.4534,0.0
2025-07-31,59.15,19403877.0,115633.9751,54.4231,9.4534,0.0
2025-08-31,56.1,12233879.0,109671.4455,54.4231,9.4534,0.0
2025-09-30,55.02,29239886.0,107560.1235,54.4231,9.4534,0.0
2025-10-31,54.58,36415812.0,106699.9553,54.4231,9.4534,0.0
2025-11-30,51.84,32732187.0,101343.4534,54.4231,9.4534,0.0
2025-12-31,49.57,411274223.0,96905.7674,54.4231,9.4534,0.0
2026-01-31,45.66,80660084.0,89262.0,54.4231,9.4534,0.0
2026-02-28,41.59,42591668.0,81305.4442,54.4231,9.4534,0.0
2026-03-31,39.35,6277741.0,76926.4031,54.4231,9.4534,0.0
