WPL IN Equity,price,volume,mc,pe,bm,div
2005-02-28,331.61,2684025.0,39247.5435,9.1845,6.3613,6.9114
2005-03-31,339.12,3265744.0,40147.2917,9.3925,6.5054,6.9114
2005-04-30,323.91,1051054.0,38362.1815,8.9713,6.2137,4.6076
2005-05-31,336.26,983960.0,39824.6373,9.3134,6.4506,4.6076
2005-06-30,351.74,2053833.0,41659.7687,9.7421,6.7476,4.6076
2005-07-31,406.48,2642585.0,48142.8451,11.2582,7.7976,4.6076
2005-08-31,491.91,11298827.0,58260.3734,13.6242,9.4364,4.6076
2005-09-30,450.76,8267146.0,53387.1518,12.4846,8.6471,4.6076
2005-10-31,358.06,6691134.0,42467.4668,9.917,6.8687,4.6076
2005-11-30,401.05,4571724.0,47566.1859,11.1076,7.6933,4.6076
2005-12-31,410.17,5266465.0,48649.2514,18.8978,5.9612,4.6076
2006-01-31,445.46,4844724.0,52874.582,20.524,6.4741,4.6076
2006-02-28,473.43,9904520.0,56194.2832,21.8126,6.8806,4.6076
2006-03-31,466.43,8124067.0,55382.9823,21.4899,6.7788,4.6076
2006-04-30,411.09,5473103.0,48385.567,18.9403,5.9746,4.6076
2006-05-31,331.84,5371990.0,39402.1771,15.289,4.8228,4.6076
2006-06-30,350.18,3985782.0,41581.8433,16.1339,5.0893,4.6076
2006-07-31,315.71,2238402.0,37489.3145,14.546,4.5884,4.6076
2006-08-31,335.66,6294250.0,39862.0258,15.4652,4.8783,4.6076
2006-09-30,370.64,4627441.0,44015.1181,17.0764,5.3866,4.6076
2006-10-31,358.52,3173246.0,42576.036,16.5181,5.2105,4.6076
2006-11-30,342.53,5259315.0,40677.3232,15.7815,4.9781,4.6076
2006-12-31,322.62,4591740.0,38313.5078,15.8788,3.5932,4.6076
2007-01-31,323.36,2505236.0,38401.0565,15.9151,3.6014,4.6076
2007-02-28,325.9,2553813.0,38702.0053,16.0398,3.6296,4.6076
2007-03-31,366.63,3668769.0,43539.072,18.0445,4.0832,4.6076
2007-04-30,395.65,2909209.0,46986.3027,19.4732,4.4065,4.6076
2007-05-31,381.23,2393057.0,45273.6309,18.7634,4.2459,4.6076
2007-06-30,354.46,2047189.0,42094.5181,17.4458,3.9478,4.6076
2007-07-31,356.35,2535248.0,42318.8617,17.5388,3.9688,4.6076
2007-08-31,353.54,2858548.0,41985.0822,17.4005,3.9375,4.6076
2007-09-30,384.09,2331068.0,45612.9236,18.904,4.2777,4.6076
2007-10-31,388.6,3430640.0,46149.1599,19.1263,4.328,16.1266
2007-11-30,356.95,1654314.0,42390.0334,17.5683,3.9755,16.1266
2007-12-31,385.29,4175704.0,45755.1903,11.8594,3.5927,16.1266
2008-01-31,325.3,3981922.0,38630.9069,10.0128,3.0333,16.1266
2008-02-29,310.83,1768640.0,36912.7618,9.5675,2.8984,16.1266
2008-03-31,245.4,1983288.0,29142.806,7.5536,2.2883,16.1266
2008-04-30,274.43,1580940.0,32590.0399,8.4471,2.559,10.3671
2008-05-31,274.57,1917910.0,32606.4553,8.4513,2.5603,10.3671
2008-06-30,169.56,5103604.0,20136.2234,5.2191,1.5811,10.3671
2008-07-31,172.42,2596491.0,20475.475,5.3071,1.6077,10.3671
2008-08-31,183.89,2111612.0,21837.9532,5.6602,1.7147,10.3671
2008-09-30,142.7,1579577.0,16946.1641,4.3923,1.3306,10.3671
2008-10-31,101.6,2702834.0,12065.3187,3.1272,0.9474,10.3671
2008-11-30,85.52,3831305.0,10155.6605,2.6323,0.7974,10.3671
2008-12-31,100.12,3202166.0,11890.2211,3.1102,1.1683,2.3038
2009-01-31,95.24,2126632.0,11310.2103,3.1102,1.1113,2.3038
2009-02-28,74.04,2063388.0,8793.1824,3.1102,0.864,2.3038
2009-03-31,78.65,4078393.0,9340.3623,3.1102,0.9178,2.3038
2009-04-30,82.29,25303305.0,9772.6345,3.1102,0.9602,2.3038
2009-05-31,111.37,14722828.0,13225.3402,3.1102,1.2995,2.3038
2009-06-30,125.56,23993550.0,14910.6546,3.1102,1.4651,0.0
2009-07-31,130.63,5704208.0,15512.5526,3.1102,1.5242,0.0
2009-08-31,148.78,8735423.0,17668.4417,3.1102,1.7361,0.0
2009-09-30,178.91,5329618.0,21246.9988,3.1102,2.0877,0.0
2009-10-31,157.76,3594690.0,18735.4427,3.1102,1.8409,0.0
2009-11-30,161.96,6204092.0,19233.3765,3.1102,1.8898,0.0
2009-12-31,159.05,5291346.0,18888.6531,3.1102,1.856,0.0
2010-01-31,157.9,4322914.0,18751.8581,3.1102,1.8425,0.0
2010-02-28,130.58,1470969.0,15507.0808,3.1102,1.5237,0.0
2010-03-31,127.81,3799517.0,15178.7728,3.1102,9.1059,0.0
2010-04-30,123.58,2511047.0,14675.3672,3.1102,8.8039,0.0
2010-05-31,112.93,3404139.0,13411.3814,3.1102,8.0456,0.0
2010-06-30,123.9,4506942.0,14713.6698,3.1102,8.8269,0.0
2010-07-31,127.22,3862034.0,15107.6394,3.1102,9.0632,0.0
2010-08-31,202.32,47571248.0,24026.6731,3.1102,14.4138,0.0
2010-09-30,270.79,31746601.0,32157.7677,3.1102,19.2917,0.0
2010-10-31,273.05,22587810.0,32425.8859,3.1102,19.4526,0.0
2010-11-30,339.95,61120671.0,40370.9393,3.1102,24.2189,0.0
2010-12-31,337.32,4920611.0,40059.0467,3.1102,24.0318,0.0
2011-01-31,342.3,1222543.0,40650.0011,3.1102,24.3863,0.0
2011-02-28,317.97,1430064.0,37760.8908,3.1102,22.6531,0.0
2011-03-31,298.11,7033504.0,35402.545,39.1173,17.89,0.0
2011-04-30,315.71,4970240.0,37492.7726,41.4268,18.9463,0.0
2011-05-31,323.68,5614870.0,38439.3939,42.4728,19.4246,0.0
2011-06-30,337.69,5100282.0,40102.8211,44.3108,20.2652,0.0
2011-07-31,413.85,20589801.0,49147.7063,54.3047,24.8359,0.0
2011-08-31,356.12,17547081.0,42291.541,46.7291,21.3712,0.0
2011-09-30,353.17,5007986.0,41941.3459,46.3422,21.1943,0.0
2011-10-31,408.74,8211507.0,48540.3365,53.6336,24.5289,0.0
2011-11-30,379.9,4121879.0,45114.9898,49.8489,22.798,0.0
2011-12-31,254.75,7222382.0,30253.5814,33.4281,15.2881,0.0
2012-01-31,348.75,9743619.0,41416.0531,45.7618,20.9288,0.0
2012-02-29,444.77,10175403.0,52819.284,58.3615,26.6912,0.0
2012-03-31,551.67,16225741.0,65507.6937,19.1201,9.2318,0.0
2012-04-30,671.65,8216404.0,79754.9195,23.2785,11.2397,0.0
2012-05-31,733.94,29075606.0,87152.0966,25.4376,12.2821,0.0
2012-06-30,861.07,18645906.0,102247.3716,29.8435,14.4095,0.0
2012-07-31,899.17,10845197.0,106772.1242,31.1642,15.0471,0.0
2012-08-31,1133.15,21565027.0,134555.3087,39.2734,18.9626,0.0
2012-09-30,1193.28,2195309.0,141695.3355,41.3574,19.9688,0.0
2012-10-31,1381.73,2152650.0,164072.8906,47.8889,23.1224,0.0
2012-11-30,1476.41,2109658.0,175316.381,51.1706,24.7069,0.0
2012-12-31,1449.32,1385503.0,172294.1313,50.2316,24.2535,0.0
2013-01-31,1606.35,2043323.0,191005.483,55.6739,26.8813,0.0
2013-02-28,1791.9,1874547.0,213068.3887,62.1048,29.9863,0.0
2013-03-31,1847.92,4969701.0,219730.5493,13.9043,9.1347,0.0
2013-04-30,1756.74,6255072.0,208888.1064,13.2182,8.684,0.0
2013-05-31,1127.3,23708321.0,134043.5953,8.4821,5.5725,0.0
2013-06-30,922.3,7288075.0,109668.5404,6.9397,4.5592,0.0
2013-07-31,431.64,27185335.0,51325.118,3.2478,2.1337,0.0
2013-08-31,432.61,17612729.0,51440.1721,3.2551,2.1385,4.6076
2013-09-30,482.42,25903443.0,57450.5384,3.6298,2.3847,4.6076
2013-10-31,409.66,15728863.0,48786.3168,3.0824,2.0251,4.6076
2013-11-30,392.01,37165027.0,46684.7355,2.9496,1.9378,9.2152
2013-12-31,417.13,51625293.0,49675.2363,3.1386,2.062,9.2152
2014-01-31,363.49,29330727.0,43288.185,2.735,1.7968,9.2152
2014-02-28,407.59,25686311.0,48539.3947,3.0668,2.0148,13.8228
2014-03-31,421.78,24357538.0,50229.4392,5.9721,1.5301,13.8228
2014-04-30,707.17,76238914.0,84223.0282,10.013,2.5655,13.8228
2014-05-31,547.8,34948166.0,65241.5678,7.7564,1.9873,13.8228
2014-06-30,530.2,24868465.0,63288.4429,7.5072,1.9235,13.8228
2014-07-31,619.22,60654341.0,73914.4334,8.7676,2.2464,13.8228
2014-08-31,636.68,45903888.0,75998.9315,9.0149,2.3097,9.2152
2014-09-30,736.25,62252506.0,87884.4208,10.4247,2.671,9.2152
2014-10-31,698.33,15908712.0,83357.9248,9.8878,2.5334,9.2152
2014-11-30,777.99,27194678.0,92894.849,11.0158,2.8224,23.038
2014-12-31,930.87,57419772.0,111149.2232,13.1805,3.377,23.038
2015-01-31,1113.1,27598972.0,132939.2409,15.7607,4.0381,23.038
2015-02-28,1459.41,56121078.0,174298.8456,20.6641,5.2945,18.4304
2015-03-31,1720.29,39889390.0,205469.1683,50.7145,6.0139,18.4304
2015-04-30,1186.83,47736795.0,141752.5889,34.9878,4.149,18.4304
2015-05-31,1332.52,57054838.0,159153.8501,39.2828,4.6583,18.4304
2015-06-30,1304.92,36258354.0,155857.4131,38.4692,4.5618,18.4304
2015-07-31,1441.26,28128611.0,172800.7365,42.4885,5.0385,18.4304
2015-08-31,1237.0,34312849.0,148311.425,36.467,4.3244,18.4304
2015-09-30,1406.01,45881239.0,168574.6315,41.4493,4.9152,18.4304
2015-10-31,1379.42,24962524.0,165396.0867,40.6656,4.8223,18.4304
2015-11-30,1529.45,21628437.0,183384.2439,45.0883,5.3468,18.4304
2015-12-31,1408.73,21769607.0,168922.7193,41.5295,4.9247,18.4304
2016-01-31,1173.51,42522136.0,140717.3645,34.5952,4.1024,0.0
2016-02-29,700.49,70197987.0,83997.2593,20.6506,2.4488,0.0
2016-03-31,897.51,49054565.0,107622.3518,42.8864,2.8398,0.0
2016-04-30,914.19,23275756.0,109622.4181,43.6834,2.8926,0.0
2016-05-31,844.99,23144539.0,101323.8005,40.3765,2.6736,0.0
2016-06-30,860.61,17668969.0,103196.7908,41.1229,2.723,0.0
2016-07-31,929.45,36382713.0,111451.208,44.4122,2.9408,0.0
2016-08-31,753.48,45218173.0,90351.0611,36.004,2.3841,0.0
2016-09-30,809.42,58989465.0,97058.4658,38.6768,2.561,0.0
2016-10-31,802.83,20682859.0,96268.3843,38.362,2.5402,0.0
2016-11-30,646.26,28156166.0,77494.2814,30.8807,2.0448,9.2152
2016-12-31,606.13,22310140.0,72707.7007,28.963,1.9178,9.2152
2017-01-31,596.59,26911989.0,71563.6114,28.5073,1.8877,9.2152
2017-02-28,693.26,38971030.0,83159.2599,33.1264,2.1935,9.2152
2017-03-31,662.8,52058873.0,79505.9121,31.9903,2.3829,9.2152
2017-04-30,662.48,22024807.0,79467.2231,31.9903,2.3818,9.2152
2017-05-31,571.16,21138213.0,68512.7068,31.9903,2.0534,9.2152
2017-06-30,556.69,31632291.0,66786.4093,31.9903,2.0014,9.2152
2017-07-31,559.36,16503938.0,67107.0195,31.9903,2.011,9.2152
2017-08-31,553.33,24930035.0,66382.8828,31.9903,1.9893,9.2152
2017-09-30,567.01,43782062.0,68024.6278,31.9903,2.0385,9.2152
2017-10-31,596.22,25941129.0,71529.2283,31.9903,2.1436,9.2152
2017-11-30,663.59,40325347.0,79610.8175,31.9903,2.3858,9.2152
2017-12-31,858.26,65165739.0,102996.9078,31.9903,3.0856,9.2152
2018-01-31,741.69,54478979.0,89007.4206,31.9903,2.6665,0.0
2018-02-28,755.74,42524537.0,90721.4737,31.9903,2.7171,0.0
2018-03-31,669.48,28043766.0,80367.2121,31.9903,2.818,0.0
2018-04-30,768.13,34716602.0,92209.3457,31.9903,3.2332,0.0
2018-05-31,629.86,40980044.0,75610.4466,31.9903,2.6512,0.0
2018-06-30,590.69,38386278.0,70914.2486,31.9903,2.4863,0.0
2018-07-31,542.04,30760476.0,65080.4791,31.9903,2.2815,0.0
2018-08-31,611.8,36051889.0,73456.1884,31.9903,2.5752,0.0
2018-09-30,499.28,41623304.0,59946.6228,31.9903,2.1016,0.0
2018-10-31,455.55,42817230.0,54713.7697,31.9903,1.9175,0.0
2018-11-30,499.69,45122105.0,60015.2556,31.9903,2.1033,0.0
2018-12-31,482.19,29976857.0,57912.3697,31.9903,2.0296,0.0
2019-01-31,406.81,28781259.0,48858.8927,31.9903,1.7123,0.0
2019-02-28,364.92,31797328.0,43828.5684,31.9903,1.536,0.0
2019-03-31,408.23,43632615.0,49030.4439,31.9903,1.8332,0.0
2019-04-30,380.68,36437163.0,45721.1657,31.9903,1.7095,0.0
2019-05-31,359.53,31109072.0,43181.1009,31.9903,1.6145,0.0
2019-06-30,345.48,42724829.0,41500.3064,31.9903,1.5514,0.0
2019-07-31,287.56,12057196.0,34542.9998,31.9903,1.2913,0.0
2019-08-31,225.68,11861768.0,27109.696,31.9903,1.0134,0.0
2019-09-30,236.28,39594994.0,28382.7116,31.9903,1.061,0.0
2019-10-31,264.61,18298823.0,31795.2589,31.9903,1.1883,0.0
2019-11-30,237.52,34005046.0,28539.885,31.9903,1.0666,0.0
2019-12-31,215.59,18291120.0,25904.5824,31.9903,0.9681,0.0
2020-01-31,325.43,84666650.0,39103.2411,31.9903,1.4614,0.0
2020-02-29,283.23,50741968.0,34031.9444,31.9903,1.2718,0.0
2020-03-31,159.1,18683117.0,19117.0171,31.9903,0.7156,0.0
2020-04-30,235.68,11642483.0,28318.431,31.9903,1.06,0.0
2020-05-31,199.09,12171618.0,23922.569,31.9903,0.8955,0.0
2020-06-30,258.85,30507395.0,31103.2151,31.9903,1.1643,0.0
2020-07-31,254.34,20791381.0,30560.6528,31.9903,1.144,0.0
2020-08-31,288.25,35701532.0,34635.4065,31.9903,1.2965,0.0
2020-09-30,271.48,9945906.0,32620.1751,31.9903,1.2211,0.0
2020-10-31,268.44,12547808.0,32261.1688,31.9903,1.2074,0.0
2020-11-30,417.31,34720820.0,50152.6616,31.9903,1.877,0.0
2020-12-31,503.66,41306357.0,60540.774,31.9903,2.2653,0.0
2021-01-31,443.3,24697118.0,53285.4072,31.9903,1.9938,0.0
2021-02-28,462.1,17826393.0,55545.094,31.9903,2.0784,0.0
2021-03-31,381.56,15450422.0,45865.6252,31.9903,1.3584,0.0
2021-04-30,474.26,48300779.0,57009.4047,31.9903,1.6884,0.0
2021-05-31,599.45,105132119.0,72057.938,31.9903,2.1341,0.0
2021-06-30,477.39,30233866.0,57386.0335,31.9903,1.6996,0.0
2021-07-31,487.67,21891466.0,58621.1526,31.9903,1.7361,0.0
2021-08-31,373.49,20810532.0,44905.924,31.9903,1.3297,0.0
2021-09-30,419.06,18469351.0,50384.8234,31.9903,1.4919,0.0
2021-10-31,393.44,24231572.0,46998.5932,31.9903,1.4007,0.0
2021-11-30,401.37,16646211.0,47945.28,31.9903,1.4289,0.0
2021-12-31,380.45,17151830.0,45446.4673,31.9903,1.3544,0.0
2022-01-31,362.89,18658354.0,43349.4461,31.9903,1.2919,0.0
2022-02-28,312.44,12102072.0,37322.5742,31.9903,1.1123,0.0
2022-03-31,263.6,26020267.0,37974.2566,31.9903,0.9866,0.0
2022-04-30,275.55,16367144.0,39695.7754,31.9903,1.0313,0.0
2022-05-31,258.55,18975775.0,37246.7528,31.9903,0.9677,0.0
2022-06-30,208.55,11746242.0,30043.7451,31.9903,0.7806,0.0
2022-07-31,221.05,12685933.0,31843.0158,31.9903,0.8273,0.0
2022-08-31,240.95,25452854.0,34709.6795,31.9903,0.9018,0.0
2022-09-30,244.0,39587701.0,35149.0425,31.9903,0.9132,0.0
2022-10-31,233.45,9090123.0,33629.2786,31.9903,0.8738,0.0
2022-11-30,237.9,11025954.0,34270.3165,31.9903,0.8904,0.0
2022-12-31,223.05,36688015.0,32131.1227,31.9903,0.8348,0.0
2023-01-31,206.15,17040863.0,29696.6193,31.9903,0.7716,0.0
2023-02-28,187.25,13665202.0,26979.3026,31.9903,0.7008,0.0
2023-03-31,153.9,21260436.0,22174.1772,31.9903,0.6612,0.0
2023-04-30,169.05,11369295.0,24357.0153,31.9903,0.7262,0.0
2023-05-31,168.6,10886375.0,24293.2322,31.9903,0.7243,0.0
2023-06-30,235.45,67183855.0,33925.5132,31.9903,1.0115,0.0
2023-07-31,238.6,36542124.0,34379.3904,31.9903,1.025,0.0
2023-08-31,237.85,30358046.0,34271.3244,31.9903,1.0218,0.0
2023-09-30,235.25,24678122.0,33896.6956,31.9903,1.0106,0.0
2023-10-31,226.8,25061068.0,32679.1523,31.9903,0.9743,0.0
2023-11-30,345.3,107455427.0,49755.9596,31.9903,1.4834,0.0
2023-12-31,424.35,57219987.0,61146.6594,31.9903,1.823,0.0
2024-01-31,460.25,36487246.0,66319.6653,31.9903,1.9772,0.0
2024-02-29,604.15,45882566.0,87063.5569,31.9903,2.5954,0.0
2024-03-31,585.7,8976666.0,89843.0626,31.9903,2.6748,0.0
2024-04-30,566.45,5476259.0,86890.2216,31.9903,2.5869,0.0
2024-05-31,529.35,5537988.0,81199.2918,31.9903,2.4175,0.0
2024-06-30,686.6,12273694.0,105320.5511,31.9903,3.1356,0.0
2024-07-31,922.55,27227056.0,141513.9447,31.9903,4.2132,0.0
2024-08-31,1050.6,6998916.0,161156.0894,31.9903,4.7979,0.0
2024-09-30,978.35,5082825.0,150081.7722,31.9903,4.468,0.0
2024-10-31,1208.35,11100076.0,185380.1583,31.9903,5.5184,0.0
2024-11-30,1404.25,12167331.0,228151.754,31.9903,6.413,0.0
2024-12-31,1416.85,10881332.0,230189.554,31.9903,6.4706,0.0
2025-01-31,1416.9,12796801.0,230197.6773,31.9903,6.4708,0.0
2025-02-28,1155.5,13134297.0,187729.1383,31.9903,5.277,0.0
2025-03-31,1424.4,7594574.0,231435.0434,31.9903,5.3169,0.0
2025-04-30,1296.7,12430344.0,210686.4791,31.9903,4.8402,0.0
2025-05-31,1465.3,10084272.0,238080.4333,31.9903,5.4696,0.0
2025-06-30,1714.0,34942703.0,278488.9529,31.9903,6.3979,0.0
2025-07-31,1667.5,17727976.0,270933.6808,31.9903,6.2243,0.0
2025-08-31,1427.5,9314994.0,231938.7282,31.9903,5.3285,0.0
2025-09-30,1516.0,21436864.0,246328.1226,31.9903,5.6588,0.0
2025-10-31,1281.5,7817946.0,208225.2567,31.9903,4.7835,0.0
2025-11-30,1235.0,13044515.0,200669.6777,31.9903,4.6099,0.0
2025-12-31,1446.2,58278478.0,234986.6299,31.9903,5.3983,0.0
2026-01-31,1382.2,12732300.0,224587.5535,31.9903,5.1594,0.0
2026-02-28,1361.9,10139117.0,221289.0964,31.9903,5.0836,0.0
2026-03-31,1305.0,1696962.0,212043.6675,31.9903,4.8712,0.0
