SOBHA IN Equity,price,volume,mc,pe,bm,div
2024-12-31,1576.7,4143741.0,149543.4564,312.7209,6.1112,3.0
2025-01-31,1325.8,11962251.0,141722.8534,262.9577,5.1387,3.0
2025-02-28,1200.6,7637151.0,128338.3951,238.1257,4.6535,3.0
2025-03-31,1224.75,4518612.0,130919.9146,131.9774,2.8715,3.0
2025-04-30,1322.1,4573807.0,141355.3544,142.4677,3.0998,3.0
2025-05-31,1433.0,5178192.0,153222.4904,154.4181,3.3598,3.0
2025-06-30,1465.8,11212397.0,156729.6067,157.9526,3.4367,3.0
2025-07-31,1599.7,9384565.0,171046.7675,172.3815,3.7506,3.0
2025-08-31,1430.0,2544176.0,152901.7175,154.0948,3.3527,3.0
2025-09-30,1541.5,3528865.0,164823.7745,166.1099,3.6142,3.0
2025-10-31,1618.6,5746822.0,173079.4845,174.4181,3.7949,3.0
2025-11-30,1537.3,2888248.0,164387.8027,165.6573,3.6043,3.0
2025-12-31,1459.3,3550179.0,156047.0438,157.2522,3.4214,3.0
2026-01-31,1450.2,5699304.0,155073.9553,156.2716,3.4001,3.0
2026-02-28,1395.1,2431218.0,149181.9577,150.3341,3.2709,3.0
2026-03-31,1355.9,280011.0,144990.1943,146.1099,3.179,3.0
