MHS IN Equity,price,volume,mc,pe,bm,div
2022-06-30,315.77,13150762.0,42313.6138,6.1171,1.062,1.75
2022-07-31,364.98,12362808.0,48906.377,7.0702,1.2275,1.75
2022-08-31,418.88,8752060.0,56128.9367,8.1144,1.4088,1.75
2022-09-30,389.43,5553234.0,52182.6587,7.5439,1.3097,2.5
2022-10-31,391.18,17666320.0,52417.1574,7.5778,1.3156,2.5
2022-11-30,374.6,10062944.0,50196.1198,7.2567,1.2599,2.5
2022-12-31,324.25,7690885.0,43446.7932,6.2813,1.0905,2.5
2023-01-31,318.85,5777960.0,42723.2382,6.1767,1.0724,2.5
2023-02-28,303.3,3486582.0,40639.6681,5.8755,1.0201,2.5
2023-03-31,357.55,8796916.0,47908.7152,6.2651,1.0036,2.5
2023-04-30,433.5,9936900.0,58085.3811,7.5959,1.2168,2.5
2023-05-31,448.65,8529089.0,60115.3547,7.8614,1.2593,2.5
2023-06-30,476.35,9514167.0,63826.9234,8.3468,1.3371,2.5
2023-07-31,534.5,9242138.0,71618.538,9.3657,1.5003,2.5
2023-08-31,537.75,9938249.0,72054.0109,9.4226,1.5094,5.0
2023-09-30,614.2,9335790.0,82297.6727,10.7622,1.724,5.0
2023-10-31,717.5,7302512.0,96139.0103,12.5723,2.0139,5.0
2023-11-30,972.7,9940378.0,130333.6799,17.044,2.7302,5.0
2023-12-31,925.35,7212847.0,123989.1752,16.2143,2.5973,5.0
2024-01-31,1052.9,5271985.0,141079.8104,18.4493,2.9554,5.0
2024-02-29,923.25,4515813.0,123707.7927,16.1775,2.5914,5.0
2024-03-31,846.15,4980367.0,113377.0363,11.9193,1.9785,5.0
2024-04-30,904.45,4921135.0,121188.7497,12.7405,2.1148,5.0
2024-05-31,655.2,9757049.0,87791.3304,9.2295,1.532,5.0
2024-06-30,655.8,8409620.0,87871.7254,9.2379,1.5334,5.0
2024-07-31,649.6,11315289.0,87040.9771,9.1506,1.5189,5.0
2024-08-31,671.9,14515589.0,90028.991,9.4647,1.5711,10.0
2024-09-30,642.3,5795879.0,86062.8381,9.0478,1.5019,10.0
2024-10-31,625.85,7579463.0,83858.6754,8.816,1.4634,10.0
2024-11-30,642.25,4694792.0,86056.1385,9.047,1.5018,10.0
2024-12-31,700.95,34306022.0,93921.4485,9.8739,1.639,10.0
2025-01-31,620.3,8806219.0,83115.0217,8.7379,1.4504,10.0
2025-02-28,612.8,9607929.0,82110.0843,8.6322,1.4329,10.0
2025-03-31,682.75,6127572.0,91482.8004,11.7675,1.443,10.0
2025-04-30,655.45,8669574.0,87824.8283,11.297,1.3853,10.0
2025-05-31,691.45,4946609.0,92648.5278,11.9174,1.4613,10.0
2025-06-30,762.9,9937702.0,102222.2313,13.1489,1.6124,10.0
2025-07-31,700.75,7119887.0,93894.6501,12.0777,1.481,10.0
2025-08-31,641.45,3353601.0,85948.9452,11.0557,1.3557,10.0
2025-09-30,597.95,4346515.0,80120.3083,10.3059,1.2637,10.0
2025-10-31,568.0,4685045.0,76107.2583,9.7897,1.2004,10.0
2025-11-30,589.1,4993399.0,78934.4822,10.1534,1.245,10.0
2025-12-31,561.35,4557571.0,75216.2139,9.6751,1.1864,10.0
2026-01-31,520.1,2426620.0,69689.0582,8.9642,1.0992,10.0
2026-02-28,562.0,2864164.0,75303.3084,9.6863,1.1878,10.0
2026-03-31,552.95,674497.0,74090.6856,9.5303,1.1686,10.0
