FML IN Equity,price,volume,mc,pe,bm,div
2006-01-31,493.6,471766.0,6503.8217,229.3127,3.3375,0.0
2006-02-28,560.0,497405.0,7378.728,260.1603,3.7865,0.0
2006-03-31,588.0,155892.0,7747.6644,25.6399,3.442,0.0
2006-04-30,801.85,119538.0,10199.1151,34.9649,4.6939,0.0
2006-05-31,760.0,146978.0,10013.988,33.14,4.4489,0.0
2006-06-30,548.0,87973.0,7220.6124,23.8957,3.2079,0.0
2006-07-31,412.55,18257.0,5435.8826,17.9894,2.415,0.0
2006-08-31,444.35,23781.0,5854.8889,19.376,2.6011,0.0
2006-09-30,482.9,67790.0,6362.8353,21.057,2.8268,0.0
2006-10-31,448.55,48967.0,5910.2294,19.5592,2.6257,0.0
2006-11-30,435.55,57169.0,5738.9375,18.9923,2.5496,0.0
2006-12-31,403.55,45340.0,5317.2959,17.5969,2.3623,0.0
2007-01-31,403.8,45514.0,5320.59,17.6078,2.3638,0.0
2007-02-28,366.75,70511.0,4832.408,15.9922,2.1469,0.0
2007-03-31,312.2,67048.0,4113.6409,13.7466,2.5111,0.0
2007-04-30,314.9,42641.0,4149.2169,13.7466,2.5328,0.0
2007-05-31,318.9,63588.0,4201.9221,13.7466,2.565,0.0
2007-06-30,323.4,33667.0,4261.2154,13.7466,2.6012,0.0
2007-07-31,286.9,30055.0,3780.2805,13.7466,2.3076,0.0
2007-08-31,274.05,20908.0,3610.965,13.7466,2.2042,0.0
2007-09-30,271.35,51044.0,3575.3075,13.7466,2.1825,0.0
2007-10-31,277.0,52356.0,3649.7519,13.7466,2.228,0.0
2007-11-30,255.6,62663.0,3367.7855,13.7466,2.0558,0.0
2007-12-31,312.6,206798.0,4118.8175,13.7466,2.5143,0.0
2008-01-31,225.05,70568.0,2965.2587,13.7466,1.8101,0.0
2008-02-29,195.55,37050.0,2576.5667,13.7466,1.5728,0.0
2008-03-31,147.8,143901.0,1947.4127,13.7466,13.7613,0.0
2008-04-30,169.8,64651.0,2237.2847,13.7466,15.8097,0.0
2008-05-31,144.9,17427.0,1909.2023,13.7466,13.4913,0.0
2008-06-30,128.0,9134.0,1686.528,13.7466,11.9178,0.0
2008-07-31,126.6,12407.0,1668.0816,13.7466,11.7874,0.0
2008-08-31,130.0,7482.0,1712.88,13.7466,12.104,0.0
2008-09-30,110.0,20355.0,1449.36,13.7466,10.2418,0.0
2008-10-31,65.6,21893.0,864.3456,13.7466,6.1079,0.0
2008-11-30,60.0,9345.0,790.56,13.7466,5.5865,0.0
2008-12-31,78.15,70910.0,1029.7044,13.7466,7.2764,0.0
2009-01-31,63.1,118498.0,831.4056,13.7466,5.8751,0.0
2009-02-28,65.0,123994.0,856.44,13.7466,6.052,0.0
2009-03-31,61.75,58015.0,813.618,1.477,0.2358,0.0
2009-04-30,73.9,50721.0,973.7064,1.7676,0.2822,0.0
2009-05-31,100.85,54884.0,1328.7996,2.4122,0.3851,0.0
2009-06-30,127.2,150527.0,1675.9872,3.0425,0.4857,0.0
2009-07-31,135.75,268191.0,1788.642,3.247,0.5184,0.0
2009-08-31,162.2,81805.0,2137.1471,3.8796,0.6194,0.0
2009-09-30,173.5,146461.0,2286.0359,4.1499,0.6625,0.0
2009-10-31,216.3,345892.0,2849.9687,5.1736,0.826,0.0
2009-11-30,286.35,304564.0,3772.9475,6.8491,1.0935,0.0
2009-12-31,286.55,96643.0,3775.5827,6.8539,1.0942,0.0
2010-01-31,275.55,246035.0,3630.6467,6.5908,1.0522,0.0
2010-02-28,271.7,84506.0,3579.9191,6.4987,1.0375,0.0
2010-03-31,349.45,1126916.0,4604.3531,8.3584,1.3344,0.0
2010-04-30,372.65,124701.0,4910.0363,8.9133,1.423,0.0
2010-05-31,360.35,144527.0,4747.9715,8.6191,1.376,0.0
2010-06-30,393.55,301697.0,5185.4147,9.4132,1.5028,0.0
2010-07-31,421.9,222345.0,5558.9542,10.0913,1.6111,0.0
2010-08-31,503.5,312542.0,6634.1158,12.043,1.9227,0.0
2010-09-30,760.2,899255.0,10016.3949,18.183,2.9029,3.0
2010-10-31,930.8,944681.0,12264.2205,22.2635,3.5544,3.0
2010-11-30,878.6,126596.0,11576.4333,21.0149,3.355,3.0
2010-12-31,918.4,295639.0,12100.8381,21.9669,3.507,3.0
2011-01-31,839.65,105516.0,11063.2281,20.0833,3.2063,3.0
2011-02-28,712.95,33381.0,9393.8289,17.0528,2.7225,3.0
2011-03-31,796.5,201018.0,10494.6837,19.0512,3.0415,3.0
2011-04-30,722.0,28814.0,9513.0717,17.2693,2.757,3.0
2011-05-31,690.85,69244.0,9102.6394,16.5242,2.6381,3.0
2011-06-30,692.1,41020.0,9119.1094,16.5541,2.6429,3.0
2011-07-31,716.25,64655.0,9437.3097,17.1317,2.7351,3.0
2011-08-31,620.05,13948.0,8169.7786,14.8308,2.3677,3.0
2011-09-30,604.7,31620.0,7967.527,14.4636,2.3091,5.0
2011-10-31,524.1,74910.0,6905.5414,12.5358,2.0013,5.0
2011-11-30,500.0,141713.0,6587.9998,11.9593,1.9093,5.0
2011-12-31,438.25,139033.0,5774.3818,10.4823,1.6735,5.0
2012-01-31,499.95,24019.0,6587.341,11.9581,1.9091,5.0
2012-02-29,504.7,25053.0,6649.927,12.0717,1.9273,5.0
2012-03-31,479.05,102814.0,6243.4107,11.4582,1.8293,5.0
2012-04-30,507.5,136789.0,6614.1967,12.1387,1.9379,5.0
2012-05-31,449.45,102007.0,5857.6368,10.7502,1.7163,5.0
2012-06-30,461.25,38412.0,6011.4251,11.0325,1.7613,5.0
2012-07-31,443.95,36225.0,5785.9559,10.6187,1.6953,5.0
2012-08-31,426.9,24779.0,5563.7449,10.2109,1.6302,5.0
2012-09-30,447.55,25509.0,5832.8743,10.7048,1.709,10.0
2012-10-31,475.7,94800.0,6199.7505,11.3781,1.8165,10.0
2012-11-30,478.0,36150.0,6229.7261,11.4331,1.8253,10.0
2012-12-31,467.05,75337.0,6087.0159,11.1712,1.7835,10.0
2013-01-31,439.5,58527.0,5727.9595,10.5122,1.6783,10.0
2013-02-28,400.85,25590.0,5224.2379,9.5878,1.5307,10.0
2013-03-31,332.55,31735.0,4334.0908,30.3827,0.3795,10.0
2013-04-30,381.55,22519.0,4972.7029,34.8594,0.4355,10.0
2013-05-31,347.35,32119.0,4526.9778,31.7348,0.3964,10.0
2013-06-30,269.65,25762.0,3514.3212,24.636,0.3078,10.0
2013-07-31,254.15,25683.0,3312.3113,23.2198,0.2901,10.0
2013-08-31,277.0,29116.0,3610.113,25.3075,0.3161,10.0
2013-09-30,292.3,17080.0,3809.5163,26.7053,0.3336,3.0
2013-10-31,303.75,39758.0,3958.743,27.7514,0.3467,3.0
2013-11-30,302.2,40989.0,3938.542,27.6098,0.3449,3.0
2013-12-31,373.95,175537.0,4873.6525,34.1651,0.4268,3.0
2014-01-31,310.0,37497.0,4040.1987,28.3224,0.3538,3.0
2014-02-28,330.5,152234.0,4307.3731,30.1954,0.3772,3.0
2014-03-31,345.25,53211.0,4499.6083,5.8438,0.3705,3.0
2014-04-30,378.6,48908.0,4934.2555,6.4083,0.4063,3.0
2014-05-31,444.9,213635.0,5798.3367,7.5305,0.4775,3.0
2014-06-30,524.9,1206123.0,6840.9686,8.8846,0.5634,3.0
2014-07-31,573.1,4234614.0,7469.1544,9.7004,0.6151,3.0
2014-08-31,794.4,10579289.0,10353.3349,13.4462,0.8526,3.0
2014-09-30,1384.5,12488500.0,18044.0485,23.4343,1.4859,3.0
2014-10-31,1307.75,5324617.0,17043.7735,22.1352,1.4035,3.0
2014-11-30,1261.0,2696644.0,16434.4855,21.3439,1.3534,3.0
2014-12-31,1075.1,2216972.0,14011.6696,18.1974,1.1539,3.0
2015-01-31,1152.75,2674277.0,15023.6742,19.5117,1.2372,3.0
2015-02-28,1344.0,4261890.0,17516.352,22.7488,1.4425,3.0
2015-03-31,1398.0,2316432.0,18219.9927,18.1417,1.3968,3.0
2015-04-30,1628.75,2816457.0,21227.3341,21.1361,1.6274,3.0
2015-05-31,1568.5,1460657.0,20442.1019,20.3543,1.5672,3.0
2015-06-30,1511.6,1176423.0,19700.53,19.6159,1.5103,3.0
2015-07-31,2596.6,5154585.0,33841.2269,33.6958,2.5944,3.0
2015-08-31,2257.1,4661230.0,29416.5577,29.2902,2.2552,3.0
2015-09-30,2350.7,2528447.0,30636.4346,30.5048,2.3487,5.0
2015-10-31,3363.0,8375131.0,43829.639,43.6413,3.3602,5.0
2015-11-30,3308.0,2419223.0,43112.8296,42.9276,3.3052,5.0
2015-12-31,3097.0,2887269.0,40362.8879,40.1895,3.0944,5.0
2016-01-31,2737.5,2151879.0,35677.5607,35.5243,2.7352,5.0
2016-02-29,2251.0,1560308.0,29337.0554,29.211,2.2491,5.0
2016-03-31,2855.0,1728021.0,37208.9264,21.0287,2.5253,10.0
2016-04-30,3493.5,2960342.0,45530.4323,25.7316,3.0901,10.0
2016-05-31,2950.1,1818632.0,38448.3567,21.7292,2.6094,10.0
2016-06-30,3044.75,1270088.0,39681.9189,22.4263,2.6932,10.0
2016-07-31,3358.85,1120910.0,43775.5541,24.7398,2.971,10.0
2016-08-31,3108.4,1144665.0,40511.4613,22.8951,2.7495,10.0
2016-09-30,3497.8,1995175.0,45586.4746,25.7633,3.0939,10.0
2016-10-31,4654.35,5668586.0,60659.6746,34.2819,4.1169,10.0
2016-11-30,4051.5,2870585.0,52802.7899,29.8416,3.5837,10.0
2016-12-31,3741.85,1412438.0,48767.1544,27.5608,3.3098,10.0
2017-01-31,4141.85,2800399.0,53980.314,30.5071,3.6636,10.0
2017-02-28,4325.1,1174398.0,56368.5927,31.8568,3.8257,10.0
2017-03-31,4487.1,1530756.0,58479.9223,32.8298,3.5454,10.0
2017-04-30,4661.5,999866.0,60752.8582,34.1058,3.6833,10.0
2017-05-31,4305.25,937605.0,56109.888,31.4993,3.4018,0.0
2017-06-30,4215.5,735141.0,54940.1853,30.8427,3.3308,0.0
2017-07-31,4032.05,650450.0,52549.3,29.5004,3.1859,0.0
2017-08-31,3846.35,581246.0,50129.0907,28.1418,3.0392,0.0
2017-09-30,3764.1,961199.0,49057.1348,27.54,2.9742,10.0
2017-10-31,3754.0,590335.0,48925.5025,27.4661,2.9662,10.0
2017-11-30,3340.4,670433.0,43535.0958,24.44,2.6394,10.0
2017-12-31,3691.5,1062095.0,48111.0057,27.0088,2.9168,10.0
2018-01-31,3049.65,742286.0,39745.8292,22.3127,2.4097,10.0
2018-02-28,2969.1,499879.0,38696.0279,21.7234,2.346,10.0
2018-03-31,2733.0,634263.0,35618.9567,24.4771,1.9993,10.0
2018-04-30,3059.0,843809.0,39867.687,27.3968,2.2378,10.0
2018-05-31,2819.25,425705.0,36743.0456,25.2496,2.0624,10.0
2018-06-30,2531.55,273170.0,32993.476,22.6729,1.852,10.0
2018-07-31,2633.9,482364.0,34327.3948,23.5896,1.9268,10.0
2018-08-31,2462.6,306200.0,32094.8565,22.0554,1.8015,10.0
2018-09-30,1831.95,454135.0,23875.6486,16.4072,1.3402,10.0
2018-10-31,1729.25,443885.0,22537.1683,15.4874,1.265,10.0
2018-11-30,1676.95,391633.0,21855.5468,15.019,1.2268,10.0
2018-12-31,1612.5,251933.0,21015.5754,14.4418,1.1796,10.0
2019-01-31,1420.4,277537.0,18511.9525,12.7213,1.0391,10.0
2019-02-28,1385.35,355883.0,18055.1488,12.4074,1.0135,10.0
2019-03-31,1700.05,942823.0,22156.6071,15.6285,1.1587,10.0
2019-04-30,1682.35,412316.0,21925.9246,15.4658,1.1466,10.0
2019-05-31,1554.55,297023.0,20260.318,14.2909,1.0595,10.0
2019-06-30,1415.55,160696.0,18448.7428,13.0131,0.9648,10.0
2019-07-31,1082.45,275814.0,14107.4788,9.9509,0.7378,10.0
2019-08-31,1214.35,661425.0,16000.5938,11.1635,0.8277,10.0
2019-09-30,1121.3,860611.0,14774.5426,10.3081,0.7642,10.0
2019-10-31,1097.75,801795.0,14464.2416,10.0916,0.7482,10.0
2019-11-30,1048.6,830384.0,13816.6283,9.6397,0.7147,10.0
2019-12-31,1084.65,1474236.0,14291.6326,9.9711,0.7393,10.0
2020-01-31,1260.25,4666852.0,16605.3842,11.5854,0.859,10.0
2020-02-29,1069.8,1999279.0,14095.9651,9.8346,0.7291,10.0
2020-03-31,733.65,950673.0,9666.7646,19.266,0.4919,10.0
2020-04-30,869.35,792735.0,11454.7834,22.8296,0.5828,10.0
2020-05-31,840.7,504155.0,11077.2835,22.0772,0.5636,10.0
2020-06-30,934.05,1531806.0,12307.2875,24.5286,0.6262,10.0
2020-07-31,887.65,1093706.0,11695.909,23.3101,0.5951,10.0
2020-08-31,1080.4,2491573.0,14235.6335,28.3718,0.7243,10.0
2020-09-30,1057.4,1869189.0,13932.5794,27.7679,0.7089,10.0
2020-10-31,1027.75,392177.0,13394.5784,26.9892,0.689,10.0
2020-11-30,1161.8,888551.0,15141.6406,30.5095,0.7789,10.0
2020-12-31,1361.45,4749210.0,17743.6621,35.7524,0.9128,10.0
2021-01-31,1356.9,1933769.0,17684.3624,35.6329,0.9097,10.0
2021-02-28,1303.45,907526.0,16987.7531,34.2293,0.8739,10.0
2021-03-31,1169.75,511040.0,15245.2523,30.7563,0.8386,10.0
2021-04-30,1113.75,410630.0,14515.4091,30.7563,0.7985,10.0
2021-05-31,1191.65,1199579.0,15530.6732,30.7563,0.8543,10.0
2021-06-30,1212.8,812083.0,15806.3193,30.7563,0.8695,10.0
2021-07-31,1499.6,17364207.0,19759.1225,30.7563,1.0751,10.0
2021-08-31,1356.95,2592734.0,17879.5287,30.7563,0.9729,10.0
2021-09-30,1469.9,2471730.0,19367.7875,30.7563,1.0538,5.0
2021-10-31,1409.8,2139191.0,18575.8942,30.7563,1.0108,5.0
2021-11-30,1287.75,2785636.0,16967.7314,30.7563,0.9232,5.0
2021-12-31,1250.95,1161304.0,16482.8449,30.7563,0.8969,5.0
2022-01-31,1207.15,1231676.0,15905.7247,30.7563,0.8655,5.0
2022-02-28,1026.5,593013.0,13525.4329,30.7563,0.7359,5.0
2022-03-31,1018.8,707506.0,13423.9757,30.7563,0.768,5.0
2022-04-30,1199.9,1100763.0,15810.1968,30.7563,0.9045,5.0
2022-05-31,1061.65,395322.0,13988.5786,30.7563,0.8003,5.0
2022-06-30,1022.75,1357535.0,13476.022,30.7563,0.771,5.0
2022-07-31,1039.2,1128886.0,13692.7715,30.7563,0.7834,5.0
2022-08-31,1302.3,2867080.0,17159.446,30.7563,0.9817,5.0
2022-09-30,1245.0,2166558.0,16404.4462,30.7563,0.9385,10.0
2022-10-31,1360.55,1128967.0,17926.9633,30.7563,1.0256,10.0
2022-11-30,1560.2,2137075.0,20557.604,30.7563,1.1762,10.0
2022-12-31,1386.0,892550.0,18262.2991,30.7563,1.0448,10.0
2023-01-31,1448.4,1279444.0,19084.4979,30.7563,1.0919,10.0
2023-02-28,1208.65,643939.0,15925.4891,30.7563,0.9111,10.0
2023-03-31,1165.35,627465.0,15354.9569,11.4892,0.8189,10.0
2023-04-30,1342.9,741709.0,17694.4022,13.2397,0.9437,10.0
2023-05-31,1788.95,3318737.0,23571.6739,17.6373,1.2571,10.0
2023-06-30,2733.85,5179051.0,36021.9239,26.9531,1.9211,10.0
2023-07-31,2549.55,1342364.0,33593.5388,25.1361,1.7916,10.0
2023-08-31,3431.9,1884587.0,45219.6136,33.8352,2.4117,10.0
2023-09-30,3831.6,901142.0,50486.1655,37.7758,2.6926,10.0
2023-10-31,3401.1,655002.0,44813.7847,33.5315,2.39,10.0
2023-11-30,4157.75,703323.0,54783.6033,40.9913,2.9217,10.0
2023-12-31,3617.0,511926.0,47658.5397,35.6601,2.5417,10.0
2024-01-31,3966.05,495597.0,52257.7139,39.1014,2.787,10.0
2024-02-29,6748.65,2525500.0,88921.9805,66.535,4.7424,10.0
2024-03-31,7244.0,1710741.0,95448.8419,24.6018,4.2446,10.0
2024-04-30,9522.05,2555707.0,125465.0256,32.3384,5.5794,10.0
2024-05-31,8734.7,874582.0,115090.6957,29.6645,5.118,10.0
2024-06-30,8965.4,569809.0,118130.4593,30.448,5.2532,10.0
2024-07-31,9244.75,903418.0,121811.2481,31.3967,5.4169,10.0
2024-08-31,8329.4,603615.0,109750.3567,28.288,4.8805,20.0
2024-09-30,7481.7,1100046.0,98580.8394,25.4091,4.3838,20.0
2024-10-31,7863.5,1365123.0,103611.5362,26.7057,4.6076,20.0
2024-11-30,6892.3,556014.0,90814.7506,23.4074,4.0385,20.0
2024-12-31,6512.5,501962.0,85810.4063,22.1175,3.8159,20.0
2025-01-31,6311.3,1117629.0,83159.3424,21.4342,3.6981,20.0
2025-02-28,6671.15,900989.0,87900.8202,22.6563,3.9089,20.0
2025-03-31,9045.75,1619079.0,119189.172,14.885,3.9404,20.0
2025-04-30,8914.0,1841811.0,117453.1995,14.6682,3.883,20.0
2025-05-31,12649.5,3849563.0,166673.1262,20.815,5.5102,20.0
2025-06-30,16077.0,3194636.0,211834.7642,26.4551,7.0032,20.0
2025-07-31,16944.0,6040477.0,223258.5833,27.8817,7.3809,20.0
2025-08-31,19477.0,2131927.0,256634.055,32.0498,8.4843,20.0
2025-09-30,16795.0,2769508.0,221295.3203,27.6365,7.316,40.0
2025-10-31,17654.0,2014986.0,232613.7293,29.05,7.6902,40.0
2025-11-30,17818.0,1329504.0,234774.6363,29.3199,7.7616,40.0
2025-12-31,20566.0,1423468.0,270983.0043,33.8418,8.9587,40.0
2026-01-31,19195.0,1921355.0,252918.3491,31.5858,8.3615,40.0
2026-02-28,24341.0,2904047.0,320723.3933,40.0536,10.6031,40.0
2026-03-31,21700.0,548178.0,285924.8854,35.7078,9.4526,40.0
