VBL IN Equity,price,volume,mc,pe,bm,div
2021-12-31,118.44,51319110.0,384663.285,83.0964,9.4282,0.3333
2022-01-31,120.65,69868305.0,391829.9824,84.6445,9.6039,0.3333
2022-02-28,126.07,69524325.0,409432.7771,88.4471,10.0353,0.3333
2022-03-31,125.51,83597625.0,407614.0382,88.0543,9.9908,0.3333
2022-04-30,144.47,178246388.0,469212.9938,101.3611,11.5006,0.3333
2022-05-31,140.87,207462195.0,457499.449,98.8307,11.2135,0.3333
2022-06-30,158.11,121234488.0,513501.4521,110.9284,12.5861,0.3333
2022-07-31,176.54,115160000.0,573357.4496,123.8587,14.0532,0.3333
2022-08-31,206.83,220861430.0,671731.7395,145.1099,16.4644,0.5
2022-09-30,208.84,168492120.0,678259.7132,146.5201,16.6244,0.5
2022-10-31,209.81,177158775.0,681410.0289,147.2007,16.7016,0.5
2022-11-30,249.95,422186985.0,811774.6376,175.3625,19.8969,0.5
2022-12-31,264.51,220181400.0,859061.8499,57.3774,16.8365,0.5
2023-01-31,229.25,158199240.0,744546.2519,49.7289,14.5921,0.5
2023-02-28,260.15,169973370.0,844901.6682,56.4317,16.559,0.5
2023-03-31,277.4,148172330.0,900936.9904,60.1735,17.657,0.5
2023-04-30,289.04,174272290.0,938741.2678,62.6985,18.3979,0.2
2023-05-31,338.89,170519985.0,1100643.607,73.5119,21.5709,0.2
2023-06-30,321.02,155272343.0,1042621.979,69.6356,20.4334,0.2
2023-07-31,321.76,92440635.0,1045025.381,69.7961,20.4805,0.2
2023-08-31,359.8,136697538.0,1168573.26,78.0477,22.9019,0.7
2023-09-30,378.28,80708455.0,1228593.365,82.0564,24.0781,0.7
2023-10-31,363.52,110505213.0,1180694.762,78.8547,23.1386,0.7
2023-11-30,442.0,112192983.0,1435632.549,95.8785,28.134,0.7
2023-12-31,494.76,132568630.0,1606999.004,78.1364,23.1673,0.7
2024-01-31,512.16,115224973.0,1663514.855,80.8844,23.9821,0.7
2024-02-29,563.4,120100438.0,1830134.423,88.9766,26.3814,0.7
2024-03-31,559.44,100778540.0,1817327.502,88.3512,26.196,0.7
2024-04-30,591.78,106890123.0,1922402.823,93.4586,27.7103,1.0
2024-05-31,570.72,126607128.0,1854022.034,90.1327,26.7241,1.0
2024-06-30,651.8,112071640.0,2117438.153,102.9375,30.5207,1.0
2024-07-31,630.96,128914305.0,2049749.925,99.6462,29.5449,1.0
2024-08-31,600.36,119631238.0,1950342.122,94.8136,28.112,1.0
2024-09-30,606.3,125405862.0,1969673.111,95.7517,28.3902,1.0
2024-10-31,597.75,158658142.0,1941896.919,94.4015,27.9898,1.0
2024-11-30,621.2,112906454.0,2100568.398,98.1049,29.0879,1.0
2024-12-31,638.5,126029433.0,2159094.146,80.3145,12.9989,1.0
2025-01-31,536.75,113209357.0,1815025.502,67.5157,10.9274,1.0
2025-02-28,436.05,245195146.0,1474616.619,54.8491,8.8773,1.0
2025-03-31,539.65,210350725.0,1825023.821,67.8805,10.9865,1.0
2025-04-30,522.35,125330313.0,1766517.544,65.7044,10.6343,1.0
2025-05-31,475.95,189819247.0,1609598.976,59.8679,9.6896,1.0
2025-06-30,457.55,194578097.0,1547396.075,57.5535,9.315,1.0
2025-07-31,522.6,217337292.0,1767389.769,65.7358,10.6393,1.0
2025-08-31,487.15,102724362.0,1647522.432,61.2767,9.9176,1.5
2025-09-30,443.7,145102370.0,1500576.215,55.8113,9.0331,1.5
2025-10-31,469.65,154882174.0,1588351.025,59.0755,9.5614,1.5
2025-11-30,481.55,115212522.0,1628596.692,60.5723,9.8036,1.5
2025-12-31,489.85,96506922.0,1656667.199,54.549,8.4616,1.5
2026-01-31,471.25,102666907.0,1593762.207,52.4777,8.1403,1.5
2026-02-28,451.4,122595782.0,1526677.41,50.2673,7.7974,1.5
2026-03-31,445.95,21019327.0,1508245.036,49.6604,7.7033,1.5
