SHFL IN Equity,price,volume,mc,pe,bm,div
2011-09-30,119.34,53164413.0,138538.166,11.3576,2.8304,1.2667
2011-10-31,119.55,49201321.0,138787.0098,11.378,2.8355,1.2667
2011-11-30,97.43,55865667.0,113099.5364,9.2721,2.3107,1.2667
2011-12-31,82.01,86625822.0,95205.4003,7.8051,1.9451,1.2667
2012-01-31,113.6,66364931.0,131875.9371,10.8114,2.6943,1.2667
2012-02-29,106.69,56984897.0,123856.378,10.1539,2.5304,1.2667
2012-03-31,117.07,29725649.0,135902.6832,10.3828,2.2536,1.2667
2012-04-30,111.6,32407305.0,129602.3526,9.898,2.1484,1.2667
2012-05-31,102.71,39078163.0,119271.7303,9.1091,1.9771,1.2667
2012-06-30,103.28,22449364.0,119939.317,9.16,1.9882,1.2667
2012-07-31,112.64,25221003.0,130813.0608,9.9905,2.1684,1.2667
2012-08-31,123.77,24592073.0,143734.8249,10.9774,2.3826,1.2667
2012-09-30,120.79,30451813.0,140305.5861,10.7129,2.3252,1.2667
2012-10-31,121.82,38750489.0,141505.2628,10.8045,2.3451,1.2667
2012-11-30,130.61,37648609.0,152049.4995,11.584,2.5143,1.3641
2012-12-31,147.59,48987641.0,171819.9044,13.0902,2.8412,1.3641
2013-01-31,153.91,31446108.0,179170.0033,13.6502,2.9628,1.3641
2013-02-28,135.56,215144958.0,157811.6141,12.023,2.6096,1.3641
2013-03-31,135.33,32880609.0,157545.6401,10.7633,2.147,1.3641
2013-04-30,145.27,71975880.0,169115.6994,11.5538,2.3047,1.3641
2013-05-31,158.95,201038920.0,185041.5456,12.6418,2.5217,1.3641
2013-06-30,138.06,56048491.0,160721.7564,10.9803,2.1903,1.3641
2013-07-31,123.24,60905580.0,143468.754,9.8016,1.9552,1.3641
2013-08-31,101.03,53884727.0,117617.6083,8.0355,1.6029,1.3641
2013-09-30,111.83,46365265.0,130196.6582,8.8941,1.7742,1.3641
2013-10-31,119.13,48383127.0,138704.7608,9.4754,1.8901,1.3641
2013-11-30,115.22,32103498.0,134144.4178,9.1638,1.828,1.3641
2013-12-31,131.07,39143632.0,152601.3284,10.4247,2.0795,1.3641
2014-01-31,121.83,35559818.0,141847.0867,9.69,1.9329,1.3641
2014-02-28,115.22,39651369.0,134144.4178,9.1638,1.828,1.3641
2014-03-31,149.56,82747577.0,174132.5,12.8237,2.0462,1.3641
2014-04-30,143.19,50800362.0,166713.4346,12.2774,1.959,1.3641
2014-05-31,184.58,97685869.0,214903.3277,15.8262,2.5253,1.3641
2014-06-30,176.37,83151553.0,205340.2204,15.122,2.4129,1.3641
2014-07-31,175.39,51999096.0,204205.8067,15.0384,2.3995,1.3641
2014-08-31,176.19,62501927.0,205136.0259,15.1069,2.4105,1.3641
2014-09-30,181.68,72889748.0,211522.775,15.5773,2.4855,1.3641
2014-10-31,185.2,69838837.0,215618.0084,15.8789,2.5336,1.559
2014-11-30,210.44,105847993.0,245010.6668,18.0434,2.879,1.559
2014-12-31,215.98,62637915.0,251454.1507,18.518,2.9547,1.559
2015-01-31,222.61,67958491.0,259179.4937,19.0869,3.0455,1.559
2015-02-28,237.63,52588497.0,276661.1248,20.3743,3.2509,1.559
2015-03-31,217.15,54197324.0,252826.7771,24.5831,2.7286,1.559
2015-04-30,189.0,61795412.0,220042.2217,21.3953,2.3748,1.559
2015-05-31,160.5,158970476.0,186860.6215,18.169,2.0167,1.559
2015-06-30,166.31,117147589.0,193633.0712,18.8275,2.0898,1.559
2015-07-31,173.71,76659091.0,202243.2711,19.6647,2.1827,1.9487
2015-08-31,158.44,54992210.0,184467.0087,17.9362,1.9908,1.9487
2015-09-30,180.27,64409213.0,209877.8751,20.407,2.2651,1.9487
2015-10-31,183.83,62563799.0,214029.8292,20.8107,2.3099,1.9487
2015-11-30,170.34,60886660.0,198318.1997,19.283,2.1403,1.9487
2015-12-31,167.34,74581876.0,194824.2056,18.9433,2.1026,1.9487
2016-01-31,164.52,55857395.0,191545.75,18.6245,2.0672,1.9487
2016-02-29,156.98,55670378.0,182765.3882,17.7708,1.9725,1.9487
2016-03-31,185.74,52930545.0,216253.28,18.2701,2.1252,1.9487
2016-04-30,183.73,42946268.0,213916.3878,18.0726,2.1023,1.9487
2016-05-31,230.03,116990598.0,267812.3818,22.626,2.6319,1.9487
2016-06-30,234.6,80415332.0,273144.1261,23.0765,2.6843,1.9487
2016-07-31,249.47,81867624.0,290455.2647,24.539,2.8545,1.9487
2016-08-31,241.06,54097724.0,280665.303,23.7119,2.7583,1.9487
2016-09-30,226.57,70308959.0,263785.2132,22.2858,2.5924,1.9487
2016-10-31,211.52,56348705.0,246269.8518,20.806,2.4202,1.9487
2016-11-30,176.25,128404018.0,205204.0908,17.3366,2.0167,1.9487
2016-12-31,166.31,120967201.0,193633.0712,16.359,1.9029,1.9487
2017-01-31,186.05,75802599.0,216616.2924,18.3007,2.1288,1.9487
2017-02-28,181.07,66029329.0,210819.4385,17.811,2.0718,1.9487
2017-03-31,210.07,105002037.0,244579.5896,19.3259,2.1588,1.9487
2017-04-30,202.4,61649751.0,235651.754,18.6205,2.08,1.9487
2017-05-31,198.77,68673638.0,231420.3909,18.2861,2.0427,1.9487
2017-06-30,194.83,55691479.0,226837.3597,17.924,2.0022,1.9487
2017-07-31,198.18,181347345.0,230739.7427,18.2323,2.0367,1.9487
2017-08-31,191.95,75566766.0,223479.4952,17.6587,1.9726,1.9487
2017-09-30,205.47,102041267.0,239225.1571,18.9028,2.1116,1.9487
2017-10-31,227.61,75942020.0,264999.0359,20.9394,2.3391,1.9487
2017-11-30,258.7,138449458.0,301198.1802,23.7997,2.6586,2.1436
2017-12-31,288.68,88241202.0,336104.0896,26.5579,2.9667,2.1436
2018-01-31,268.87,74168181.0,313041.4591,24.7356,2.7631,2.1436
2018-02-28,259.93,67608572.0,302627.5374,23.9127,2.6712,2.1436
2018-03-31,280.54,84401244.0,326620.3867,12.8135,2.3863,2.1436
2018-04-30,313.81,106661559.0,365360.6139,14.3333,2.6693,2.1436
2018-05-31,283.4,87121141.0,329955.563,12.9444,2.4106,2.1436
2018-06-30,253.22,75205039.0,294822.7713,11.5661,2.154,2.1436
2018-07-31,269.34,381204497.0,313585.9736,12.3022,2.291,2.1436
2018-08-31,260.31,120284543.0,303069.9587,11.8896,2.2142,2.1436
2018-09-30,224.29,137968868.0,261130.685,10.2443,1.9078,2.1436
2018-10-31,226.99,223988693.0,264273.0109,10.3676,1.9308,2.1436
2018-11-30,225.17,117155461.0,262163.0014,10.2848,1.9154,2.1436
2018-12-31,241.63,128478575.0,281323.2485,11.0365,2.0553,2.1436
2019-01-31,197.86,166961317.0,230365.386,9.0374,1.683,2.1436
2019-02-28,222.59,115750324.0,259156.8052,10.1669,1.8934,2.1436
2019-03-31,248.93,118816861.0,289820.007,11.2526,1.8156,2.1436
2019-04-30,216.49,100438352.0,252055.3756,9.7864,1.579,2.1436
2019-05-31,226.89,156592688.0,264159.5695,10.2563,1.6549,2.1436
2019-06-30,210.55,382085743.0,245135.4521,9.5177,1.5357,2.3384
2019-07-31,188.88,244134415.0,219906.0919,8.5381,1.3776,2.3384
2019-08-31,188.27,145185959.0,219202.7554,8.5108,1.3732,2.3384
2019-09-30,208.71,114572737.0,242991.4103,9.4345,1.5222,2.3384
2019-10-31,221.89,110963306.0,258340.0273,10.0304,1.6184,2.3384
2019-11-30,219.66,89748207.0,255742.22,9.9295,1.6021,2.3384
2019-12-31,228.21,87594917.0,265702.3721,10.3162,1.6645,2.3384
2020-01-31,198.88,117481334.0,231545.1762,8.99,1.4505,2.3384
2020-02-29,233.12,308460866.0,271419.8171,10.5382,1.7003,2.3384
2020-03-31,128.74,376026255.0,149890.0795,5.9663,0.8262,2.3384
2020-04-30,152.19,549785057.0,177195.4168,7.0532,0.9767,2.3384
2020-05-31,111.52,639068710.0,129844.9898,5.1684,0.7157,2.3384
2020-06-30,134.38,908259358.0,156458.3347,6.2278,0.8624,0.9744
2020-07-31,138.26,542606632.0,156844.0354,6.4074,0.8873,0.9744
2020-08-31,140.49,570724625.0,177763.0598,6.5108,0.9016,0.9744
2020-09-30,123.87,469427075.0,156733.6481,5.7406,0.7949,0.9744
2020-10-31,138.69,446021560.0,175485.5062,6.4274,0.89,0.9744
2020-11-30,214.04,679956460.0,270826.4312,9.9194,1.3736,1.2
2020-12-31,209.3,450320665.0,264828.8734,9.6997,1.3432,1.2
2021-01-31,258.27,552899330.0,326790.9848,11.9691,1.6574,1.2
2021-02-28,256.59,340429410.0,324665.2681,11.8913,1.6467,1.2
2021-03-31,284.46,272524250.0,359929.3899,14.0211,1.6573,1.2
2021-04-30,269.01,291956365.0,340380.3881,13.2596,1.5673,2.4
2021-05-31,285.96,203775790.0,361827.3513,14.095,1.6661,2.4
2021-06-30,268.53,223050825.0,358551.3433,13.2359,1.5645,2.4
2021-07-31,278.02,141433125.0,373636.1004,13.7037,1.6198,2.4
2021-08-31,270.54,149545795.0,363583.5933,13.335,1.5762,2.4
2021-09-30,259.77,128516445.0,349109.5957,12.8041,1.5135,2.4
2021-10-31,287.24,154319490.0,386027.025,14.1581,1.6735,2.4
2021-11-30,281.34,141957445.0,378097.9084,13.8673,1.6392,4.0
2021-12-31,243.4,126830030.0,329222.4907,11.9972,1.4181,4.0
2022-01-31,245.68,127208445.0,332306.4154,12.1096,1.4314,4.0
2022-02-28,224.84,108924345.0,304118.2614,11.0824,1.31,4.0
2022-03-31,226.97,136482530.0,306999.2963,11.1009,1.1765,6.4
2022-04-30,240.41,147339310.0,325178.221,11.7583,1.2462,5.2
2022-05-31,235.24,151197375.0,318185.2864,11.5054,1.2194,5.2
2022-06-30,256.27,101123225.0,346630.4343,12.534,1.3284,4.0
2022-07-31,275.95,103694375.0,373249.574,13.4965,1.4304,4.0
2022-08-31,270.93,88777450.0,366459.5292,13.251,1.4044,4.0
2022-09-30,239.51,96776085.0,323960.8823,11.7143,1.2415,4.0
2022-10-31,245.83,65656415.0,332509.3052,12.0234,1.2743,4.0
2022-11-30,270.0,130268840.0,365201.6126,13.2055,1.3995,2.4
2022-12-31,275.38,115673085.0,515548.9163,13.4686,1.4274,2.4
2023-01-31,257.32,97787705.0,481738.1333,12.5853,1.3338,9.0
2023-02-28,240.67,61445510.0,450567.0626,11.771,1.2475,9.0
2023-03-31,251.88,136055570.0,471553.7114,7.8448,1.0837,9.0
2023-04-30,266.52,65584725.0,498961.788,8.3007,1.1467,9.0
2023-05-31,279.95,77338865.0,524104.5796,8.719,1.2045,9.0
2023-06-30,347.04,283278590.0,650416.7876,10.8085,1.4931,7.0
2023-07-31,378.63,179044855.0,709984.4816,11.7924,1.6291,7.0
2023-08-31,385.66,134424795.0,723537.4838,12.0113,1.6593,7.0
2023-09-30,383.87,160323675.0,720422.4238,11.9556,1.6516,7.0
2023-10-31,375.97,139162535.0,705784.5543,11.7095,1.6176,7.0
2023-11-30,401.44,97494625.0,753786.9851,12.5028,1.7272,11.0
2023-12-31,410.66,137460635.0,771209.2525,12.79,1.7669,11.0
2024-01-31,493.36,180096740.0,926659.1923,15.3656,2.1227,8.0
2024-02-29,487.72,143623370.0,916205.8134,15.19,2.0984,10.0
2024-03-31,471.96,205482825.0,886795.873,61.5012,1.8117,10.0
2024-04-30,510.34,147266475.0,958910.5133,66.5025,1.9591,10.0
2024-05-31,470.81,145781470.0,884788.499,61.3513,1.8073,10.0
2024-06-30,582.3,182502270.0,1094466.647,75.8796,2.2353,6.0
2024-07-31,586.39,184667560.0,1102211.332,76.4126,2.251,9.0
2024-08-31,640.9,140055875.0,1204767.826,83.5158,2.4603,9.0
2024-09-30,715.39,117759995.0,1344894.798,93.2226,2.7462,9.0
2024-10-31,627.78,186204950.0,1180254.769,81.8061,2.4099,9.0
2024-11-30,603.93,122584005.0,1135488.758,78.6982,2.3183,9.4
2024-12-31,577.83,122354265.0,1086490.216,75.2971,2.2182,9.4
2025-01-31,543.75,151534399.0,1022409.8,70.8561,2.0873,7.5
2025-02-28,617.3,154306736.0,1160705.415,80.4404,2.3697,7.5
2025-03-31,656.0,127248697.0,1233531.825,13.0703,2.1844,7.5
2025-04-30,611.7,168153931.0,1150230.819,12.1877,2.0369,7.5
2025-05-31,639.35,136084176.0,1202314.748,12.7386,2.129,7.5
2025-06-30,706.85,141986899.0,1329250.3,14.0835,2.3537,7.5
2025-07-31,630.85,132062587.0,1186479.346,12.5692,2.1007,8.25
2025-08-31,580.25,124393577.0,1091401.807,11.5611,1.9322,8.25
2025-09-30,616.1,110459207.0,1158888.957,12.2754,2.0515,8.25
2025-10-31,748.9,142796088.0,1408761.924,14.9213,2.4938,8.25
2025-11-30,851.65,155540830.0,1602192.26,16.9685,2.8359,10.3
2025-12-31,996.2,253775525.0,1874212.925,19.8486,3.3172,10.3
2026-01-31,1020.0,124887638.0,1919118.144,20.3228,3.3965,10.3
2026-02-28,1079.4,111474233.0,2030921.459,21.5063,3.5943,10.3
2026-03-31,1039.15,21834039.0,1955189.998,20.7043,3.4603,7.8
