USM IN Equity,price,volume,mc,pe,bm,div
2006-06-30,31.45,7614905.0,6958.0612,7.4787,1.1403,0.3
2006-07-31,31.4,4566190.0,6946.9991,7.4668,1.1385,0.55
2006-08-31,32.62,6780145.0,7216.9143,7.7569,1.1827,0.55
2006-09-30,31.36,16628310.0,6938.1494,7.4572,1.137,0.55
2006-10-31,32.28,7716245.0,7141.692,7.676,1.1704,0.55
2006-11-30,35.09,16833200.0,7763.3821,8.3442,1.2723,0.55
2006-12-31,31.42,5288270.0,6951.4239,7.4715,1.1392,0.55
2007-01-31,40.19,19575290.0,8891.7163,9.557,1.4572,0.55
2007-02-28,38.84,10631125.0,8593.0396,9.236,1.4082,0.55
2007-03-31,38.45,5165760.0,8506.7552,6.2983,1.1853,0.55
2007-04-30,39.58,4341205.0,8756.7587,6.4834,1.2201,0.55
2007-05-31,49.85,18134615.0,11028.9141,8.1657,1.5367,0.55
2007-06-30,48.9,4325830.0,10818.7342,8.0101,1.5074,0.55
2007-07-31,53.47,15575115.0,11829.8102,8.7587,1.6483,0.75
2007-08-31,56.45,6505079.0,14126.0483,9.2468,1.7401,0.75
2007-09-30,59.3,10419380.0,14839.2323,9.7137,1.828,0.75
2007-10-31,88.5,20303596.0,22146.2405,14.4968,2.7281,0.75
2007-11-30,128.8,23651889.0,32230.9127,21.0981,3.9704,0.75
2007-12-31,135.0,13427259.0,33782.4007,22.1137,4.1615,0.75
2008-01-31,95.05,10267329.0,23785.3125,15.5697,2.93,0.75
2008-02-29,97.0,15826474.0,24273.2805,15.8891,2.9901,0.75
2008-03-31,79.5,16074365.0,19894.0804,7.7678,2.0531,0.75
2008-04-30,91.5,6487854.0,22896.9605,8.9403,2.363,0.75
2008-05-31,92.75,11964321.0,23209.7605,9.0625,2.3952,0.75
2008-06-30,67.55,8191084.0,16903.7124,6.6002,1.7445,0.75
2008-07-31,85.8,5999143.0,21470.5925,8.3834,2.2158,1.0
2008-08-31,78.05,1543138.0,19531.2324,7.6262,2.0156,1.0
2008-09-30,53.15,9338893.0,13300.2563,5.1932,1.3726,1.0
2008-10-31,34.5,3903605.0,8633.2802,3.3709,0.8909,1.0
2008-11-30,19.25,2326805.0,4817.1201,1.8809,0.4971,1.0
2008-12-31,27.8,3368375.0,6956.6722,2.7163,0.7179,1.0
2009-01-31,23.45,3894215.0,5868.1281,2.2913,0.6056,1.0
2009-02-28,21.5,9078659.0,5380.1601,2.1007,0.5552,1.0
2009-03-31,27.4,5426291.0,6856.5762,3.6977,0.6035,1.0
2009-04-30,35.0,6101747.0,8758.4002,4.7233,0.7708,1.0
2009-05-31,55.0,7910857.0,13763.2003,7.4224,1.2113,1.0
2009-06-30,50.0,17662427.0,12512.0003,6.7476,1.1012,1.0
2009-07-31,50.6,8935428.0,12662.1443,6.8286,1.1144,1.0
2009-08-31,54.25,19564560.0,13575.5203,7.3212,1.1948,1.0
2009-09-30,67.5,60357438.0,16891.2004,9.1093,1.4866,1.0
2009-10-31,62.7,22327678.0,15690.0483,8.4615,1.3809,1.0
2009-11-30,72.95,11533812.0,18255.0084,9.8448,1.6066,1.0
2009-12-31,80.05,24098870.0,20031.7124,10.803,1.763,1.0
2010-01-31,80.9,37107990.0,24653.6109,10.9177,1.7817,1.0
2010-02-28,86.75,13141162.0,26436.3503,11.7072,1.9106,1.0
2010-03-31,101.6,24346056.0,30961.7659,15.7276,1.8347,1.0
2010-04-30,95.8,12333106.0,29194.2636,14.8297,1.73,1.0
2010-05-31,80.65,13732842.0,24577.4254,12.4845,1.4564,1.0
2010-06-30,83.6,9408272.0,25476.4137,12.9412,1.5097,1.0
2010-07-31,82.7,10190663.0,25202.1461,12.8019,1.4934,1.0
2010-08-31,83.85,7977756.0,25552.5992,12.9799,1.5142,1.0
2010-09-30,87.0,15633447.0,26512.5358,13.4675,1.5711,1.0
2010-10-31,86.9,16111820.0,26482.0616,13.452,1.5693,1.0
2010-11-30,77.1,6928853.0,23495.5921,11.935,1.3923,1.0
2010-12-31,70.35,5592273.0,21438.585,10.8901,1.2704,1.0
2011-01-31,54.05,6947357.0,16471.2938,8.3669,0.9761,1.0
2011-02-28,50.95,4805179.0,15526.5942,7.887,0.9201,1.0
2011-03-31,57.1,4382225.0,17400.7563,12.6889,0.9752,1.0
2011-04-30,65.0,16600133.0,19808.2164,14.4444,1.1101,1.0
2011-05-31,54.1,7721134.0,16486.5309,12.0222,0.924,1.0
2011-06-30,53.85,9927654.0,16410.3454,11.9667,0.9197,1.0
2011-07-31,44.7,7717192.0,13621.958,9.9333,0.7634,1.0
2011-08-31,36.65,11803996.0,11168.7866,8.1444,0.6259,1.0
2011-09-30,32.7,7702075.0,9965.0566,7.2667,0.5585,1.0
2011-10-31,33.1,4366883.0,10086.9533,7.3556,0.5653,1.0
2011-11-30,24.05,7282585.0,7329.0401,5.3444,0.4107,1.0
2011-12-31,23.45,12020056.0,7146.195,5.2111,0.4005,1.0
2012-01-31,31.45,5637690.0,9584.1293,6.9889,0.5371,1.0
2012-02-29,35.75,26784060.0,10894.519,7.9444,0.6106,1.0
2012-03-31,30.75,7519821.0,9370.8101,256.25,0.5122,1.0
2012-04-30,29.4,7606141.0,8959.4086,245.0,0.4897,1.0
2012-05-31,25.15,5440546.0,7664.256,209.5833,0.4189,1.0
2012-06-30,29.95,12594886.0,9127.0166,249.5833,0.4989,1.0
2012-07-31,26.85,12635100.0,8182.3171,223.75,0.4472,1.0
2012-08-31,22.3,6006401.0,6795.7419,185.8333,0.3714,0.0
2012-09-30,25.2,6091329.0,7679.4931,210.0,0.4197,0.0
2012-10-31,28.95,8791014.0,8822.2748,241.25,0.4822,0.0
2012-11-30,30.65,8032015.0,9340.3359,255.4167,0.5105,0.0
2012-12-31,32.95,7685507.0,10041.242,274.5833,0.5488,0.0
2013-01-31,29.75,3543863.0,9066.0683,247.9167,0.4955,0.0
2013-02-28,23.4,6309493.0,7130.9579,195.0,0.3898,0.0
2013-03-31,22.05,11360075.0,6719.5565,8.5135,0.3472,0.0
2013-04-30,25.5,4711039.0,7770.9157,9.8456,0.4015,0.0
2013-05-31,23.1,5469499.0,7039.5354,8.9189,0.3637,0.0
2013-06-30,23.5,3426089.0,7161.4314,9.0734,0.37,0.0
2013-07-31,22.85,7233130.0,6963.3492,8.8224,0.3598,0.15
2013-08-31,21.2,9301389.0,6460.5253,8.1853,0.3338,0.15
2013-09-30,21.1,7064121.0,6430.0511,8.1467,0.3323,0.15
2013-10-31,25.0,8391952.0,7618.544,9.6525,0.3937,0.15
2013-11-30,26.6,10816253.0,8106.1308,10.2703,0.4189,0.15
2013-12-31,29.85,9776282.0,9096.5415,11.5251,0.47,0.15
2014-01-31,30.45,20322170.0,9279.3866,11.7568,0.4795,0.15
2014-02-28,30.0,2829788.0,9142.2528,11.583,0.4724,0.15
2014-03-31,35.15,15809249.0,10711.6729,100.4286,0.5348,0.15
2014-04-30,37.0,10711365.0,11275.4451,105.7143,0.563,0.15
2014-05-31,38.7,37527870.0,11793.5061,110.5714,0.5888,0.15
2014-06-30,38.25,23692262.0,11656.3723,109.2857,0.582,0.15
2014-07-31,42.2,22514014.0,12860.1023,120.5714,0.6421,0.15
2014-08-31,40.3,21558880.0,12281.0929,115.1429,0.6132,0.15
2014-09-30,23.3,16025037.0,7100.483,66.5714,0.3545,0.0
2014-10-31,26.35,10182866.0,8029.9454,75.2857,0.4009,0.0
2014-11-30,27.5,8151729.0,8380.3984,78.5714,0.4184,0.0
2014-12-31,26.55,3820483.0,8090.8937,75.8571,0.404,0.0
2015-01-31,29.8,5242141.0,9081.3045,85.1429,0.4534,0.0
2015-02-28,28.9,10536336.0,8807.0439,82.5714,0.4397,0.0
2015-03-31,23.0,25032952.0,7009.0605,66.7143,0.3985,0.0
2015-04-30,20.85,3916351.0,6353.8657,66.7143,0.3612,0.0
2015-05-31,18.9,2492390.0,5759.6193,66.7143,0.3274,0.0
2015-06-30,19.45,7411094.0,5927.2272,66.7143,0.337,0.0
2015-07-31,17.85,6339911.0,5439.6404,66.7143,0.3092,0.0
2015-08-31,15.55,3755141.0,4738.7344,66.7143,0.2694,0.0
2015-09-30,14.2,3800655.0,4327.333,66.7143,0.246,0.0
2015-10-31,16.25,5311028.0,4952.0536,66.7143,0.2815,0.0
2015-11-30,13.4,5834779.0,4083.5396,66.7143,0.2322,0.0
2015-12-31,10.2,19275862.0,3108.366,66.7143,0.1767,0.0
2016-01-31,8.6,16699873.0,2620.7791,66.7143,0.149,0.0
2016-02-29,6.75,12996182.0,2057.0069,66.7143,0.1169,0.0
2016-03-31,11.5,47773175.0,3504.5302,66.7143,0.2567,0.0
2016-04-30,14.55,20195387.0,4433.9926,66.7143,0.3248,0.0
2016-05-31,12.35,8613581.0,3763.5607,66.7143,0.2757,0.0
2016-06-30,15.0,12186410.0,4571.1264,66.7143,0.3348,0.0
2016-07-31,15.7,20388881.0,4784.4456,66.7143,0.3505,0.0
2016-08-31,13.7,21535551.0,4174.9621,66.7143,0.3058,0.0
2016-09-30,11.65,10786340.0,3550.2415,66.7143,0.2601,0.0
2016-10-31,16.9,26018277.0,5150.1357,66.7143,0.3772,0.0
2016-11-30,14.7,29435651.0,4479.7039,66.7143,0.3281,0.0
2016-12-31,15.0,11465608.0,4571.1264,66.7143,0.3348,0.0
2017-01-31,18.65,50617806.0,5683.4338,66.7143,0.4163,0.0
2017-02-28,18.25,32390729.0,5561.5371,66.7143,0.4074,0.0
2017-03-31,17.45,18473053.0,5317.7437,66.7143,0.5628,0.0
2017-04-30,20.45,42184214.0,6231.969,66.7143,0.6595,0.0
2017-05-31,18.05,15033420.0,5500.5888,66.7143,0.5821,0.0
2017-06-30,18.8,11341756.0,5729.1451,66.7143,0.6063,0.0
2017-07-31,22.55,51056004.0,6871.9267,66.7143,0.7272,0.0
2017-08-31,20.55,27223537.0,6262.4432,66.7143,0.6627,0.0
2017-09-30,24.5,53978073.0,7466.1731,66.7143,0.7901,0.0
2017-10-31,25.9,32221727.0,7892.8116,66.7143,0.8353,0.0
2017-11-30,22.7,25378204.0,6917.6382,66.7143,0.7321,0.0
2017-12-31,24.8,25128826.0,7557.5959,66.7143,0.7998,0.0
2018-01-31,26.75,74260061.0,8151.8424,66.7143,0.8627,0.0
2018-02-28,22.45,29630728.0,6841.453,66.7143,0.724,0.0
2018-03-31,18.3,21219465.0,5576.7746,4.0435,0.767,0.0
2018-04-30,23.45,21843592.0,7146.1947,5.1814,0.9829,0.0
2018-05-31,23.1,15322792.0,7039.5351,5.1041,0.9682,0.0
2018-06-30,27.55,53221011.0,8395.636,6.0873,1.1547,0.0
2018-07-31,27.0,14730045.0,8228.0281,5.9658,1.1317,0.0
2018-08-31,30.1,34529989.0,9172.7276,6.6508,1.2616,0.0
2018-09-30,30.45,95410057.0,9279.3872,6.7281,1.2763,0.0
2018-10-31,32.85,34134607.0,10010.7675,7.2584,1.3769,0.0
2018-11-30,38.3,57400672.0,11671.6102,8.4626,1.6053,0.0
2018-12-31,36.15,15210622.0,11016.4153,7.9875,1.5152,0.0
2019-01-31,32.7,15786244.0,9965.0562,7.2252,1.3706,0.0
2019-02-28,32.65,12780268.0,9949.8191,7.2142,1.3685,0.0
2019-03-31,40.5,31337252.0,12342.0421,3.1591,1.5782,0.0
2019-04-30,32.55,21569320.0,9919.3449,2.539,1.2684,0.0
2019-05-31,30.8,8938331.0,9386.0468,2.4025,1.2002,0.0
2019-06-30,30.45,8778686.0,9279.3872,2.3752,1.1866,0.0
2019-07-31,29.25,10475315.0,8913.6971,2.2816,1.1398,0.0
2019-08-31,27.7,14185393.0,8441.3473,2.1607,1.0794,0.0
2019-09-30,27.05,16732298.0,8243.2651,2.11,1.0541,0.0
2019-10-31,28.65,6517265.0,8730.852,2.2348,1.1165,0.0
2019-11-30,29.85,10942006.0,9096.5421,2.3284,1.1632,0.0
2019-12-31,27.0,5453818.0,8228.0281,2.1061,1.0522,0.0
2020-01-31,25.5,10174205.0,7770.9154,1.9891,0.9937,0.0
2020-02-29,23.85,6821887.0,7268.0915,1.8604,0.9294,0.0
2020-03-31,16.0,28440268.0,4875.8685,1.1661,0.3972,0.0
2020-04-30,15.65,4218525.0,4769.2089,1.1661,0.3885,0.0
2020-05-31,14.15,2480483.0,4312.0962,1.1661,0.3513,0.0
2020-06-30,19.75,13629910.0,6018.6502,1.1661,0.4903,0.0
2020-07-31,18.4,7304376.0,5607.2488,1.1661,0.4568,0.0
2020-08-31,28.0,25441337.0,8532.7698,1.1661,0.6951,0.0
2020-09-30,25.15,16928548.0,7664.2558,1.1661,0.6244,0.0
2020-10-31,21.35,9149592.0,6506.2368,1.1661,0.53,0.0
2020-11-30,25.1,8675792.0,7649.0185,1.1661,0.6231,0.0
2020-12-31,36.8,54512055.0,11214.4972,1.1661,0.9136,0.0
2021-01-31,29.8,25716902.0,9081.3048,1.1661,0.7398,0.0
2021-02-28,30.2,18590500.0,9203.2015,1.1661,0.7498,0.0
2021-03-31,33.05,58507741.0,10071.7156,6.5388,0.7176,0.0
2021-04-30,48.25,105500717.0,14703.7905,9.5461,1.0477,0.0
2021-05-31,50.4,108143994.0,15358.9853,9.9714,1.0943,0.0
2021-06-30,56.8,65493818.0,17309.3326,11.2376,1.2333,0.0
2021-07-31,67.3,84614925.0,20509.1218,13.315,1.4613,0.0
2021-08-31,70.15,52104062.0,21377.6359,13.8789,1.5232,0.0
2021-09-30,85.75,45332154.0,26131.6076,16.9653,1.8619,0.0
2021-10-31,87.95,29376151.0,26802.0396,17.4005,1.9097,0.0
2021-11-30,83.7,23686352.0,25506.887,16.5597,1.8174,0.0
2021-12-31,90.1,14096454.0,27457.2344,17.8259,1.9563,0.0
2022-01-31,85.45,17599984.0,26040.1851,16.9059,1.8554,0.0
2022-02-28,87.4,16278997.0,26634.4316,17.2917,1.8977,0.0
2022-03-31,134.5,36591811.0,40987.7694,14.069,2.4201,0.0
2022-04-30,151.45,30608453.0,46153.1426,15.8421,2.725,0.0
2022-05-31,117.15,24828516.0,35700.4995,12.2542,2.1079,0.0
2022-06-30,121.5,14900078.0,37026.1263,12.7092,2.1861,0.0
2022-07-31,144.95,30159928.0,44172.321,15.1621,2.6081,2.0
2022-08-31,142.3,21422605.0,43364.7553,14.8849,2.5604,2.0
2022-09-30,121.9,15267553.0,37148.023,12.751,2.1933,2.0
2022-10-31,141.2,13865043.0,43029.5393,14.7699,2.5406,2.0
2022-11-30,131.45,15223707.0,40058.307,13.75,2.3652,2.0
2022-12-31,172.2,51025541.0,52476.5345,18.0126,3.0984,2.0
2023-01-31,185.8,62604324.0,56621.0227,19.4351,3.3431,2.0
2023-02-28,175.7,18118559.0,53543.1307,18.3787,3.1614,2.0
2023-03-31,214.5,24543117.0,65367.1118,18.7092,3.2188,2.0
2023-04-30,213.2,21674355.0,64970.9475,18.5958,3.1993,2.0
2023-05-31,228.15,24206939.0,69526.8371,19.8998,3.4237,2.0
2023-06-30,270.4,23282526.0,82402.1773,23.5849,4.0577,2.0
2023-07-31,337.5,29606927.0,102850.3508,29.4375,5.0646,2.0
2023-08-31,355.0,17555768.0,108183.3319,30.9639,5.3272,2.5
2023-09-30,343.8,23209344.0,104770.224,29.987,5.1592,2.5
2023-10-31,297.6,13771418.0,90691.1537,25.9573,4.4659,2.5
2023-11-30,334.25,13140458.0,101859.94,29.154,5.0159,2.5
2023-12-31,296.45,14640107.0,90340.7007,25.857,4.4486,2.5
2024-01-31,371.85,32744062.0,113318.2309,32.4336,5.5801,2.5
2024-02-29,329.05,25064273.0,100275.2827,28.7005,4.9378,2.5
2024-03-31,318.25,18616758.0,96984.0715,22.8628,4.0755,2.5
2024-04-30,377.05,31578179.0,114902.8881,27.0869,4.8285,2.5
2024-05-31,364.65,20449042.0,111124.0901,26.1961,4.6697,2.5
2024-06-30,387.85,29164525.0,118194.0994,27.8628,4.9668,2.5
2024-07-31,379.75,22391779.0,115725.691,27.2809,4.8631,2.5
2024-08-31,331.35,24328739.0,100976.1888,23.8039,4.2433,2.75
2024-09-30,357.5,21662149.0,108945.1864,25.6825,4.5782,2.75
2024-10-31,424.9,99436811.0,129484.7823,30.5244,5.4413,2.75
2024-11-30,379.6,15991310.0,115679.9797,27.2701,4.8612,2.75
2024-12-31,376.3,19266955.0,114674.3318,27.033,4.8189,2.75
2025-01-31,341.9,16892335.0,104191.2146,24.5618,4.3784,2.75
2025-02-28,295.75,16190450.0,90127.3814,21.2464,3.7874,2.75
2025-03-31,337.35,11270262.0,102804.6395,25.2319,3.7358,2.75
2025-04-30,289.25,11276737.0,88146.5599,21.6343,3.2031,2.75
2025-05-31,310.0,16597017.0,94469.9518,23.1862,3.4329,2.75
2025-06-30,366.6,30633829.0,111718.3365,27.4196,4.0597,2.75
2025-07-31,377.65,11629993.0,115085.7332,28.2461,4.1821,3.0
2025-08-31,381.5,9724615.0,116258.9891,28.534,4.2247,3.0
2025-09-30,459.35,30319267.0,139983.1366,34.3568,5.0868,3.0
2025-10-31,464.85,20925039.0,141659.2164,34.7681,5.1477,3.0
2025-11-30,427.9,16472470.0,130399.0077,32.0045,4.7385,3.0
2025-12-31,454.0,17960705.0,138352.7681,33.9566,5.0276,3.0
2026-01-31,409.25,7951361.0,124715.5735,30.6096,4.532,3.0
2026-02-28,418.4,18548836.0,127503.9608,31.2939,4.6333,3.0
2026-03-31,423.9,1552813.0,129180.0387,31.7053,4.6942,3.0
