GUJGA IN Equity,price,volume,mc,pe,bm,div
2018-12-31,134.01,3289610.0,92251.1607,31.5466,4.9428,0.8
2019-01-31,127.55,7031887.0,87804.1604,30.0259,4.7045,0.8
2019-02-28,119.05,9411272.0,81952.8444,28.025,4.391,0.8
2019-03-31,148.1,28431801.0,101950.5775,24.3586,4.623,0.8
2019-04-30,159.1,14672576.0,109522.8689,26.1678,4.9664,0.8
2019-05-31,183.9,12974766.0,126594.944,30.2467,5.7406,0.8
2019-06-30,172.35,8505763.0,118644.038,28.347,5.38,0.8
2019-07-31,172.35,10972168.0,118644.038,28.347,5.38,0.8
2019-08-31,178.15,8698740.0,122636.7008,29.301,5.5611,0.8
2019-09-30,177.3,7671407.0,122051.5692,29.1612,5.5345,1.0
2019-10-31,196.15,13717705.0,135027.723,32.2615,6.123,1.0
2019-11-30,212.6,21152186.0,146351.7406,34.9671,6.6365,1.0
2019-12-31,237.55,22235544.0,163527.0742,39.0707,7.4153,1.0
2020-01-31,288.3,39742558.0,198462.873,47.4178,8.9995,1.0
2020-02-29,276.1,21856647.0,190064.5135,45.4112,8.6187,1.0
2020-03-31,230.85,26350450.0,158914.8604,13.2596,4.7905,1.0
2020-04-30,259.0,16971611.0,178293.0424,14.8765,5.3746,1.0
2020-05-31,240.55,10025894.0,165592.2446,13.8168,4.9918,1.0
2020-06-30,318.25,31365645.0,219080.1573,18.2797,6.6042,1.0
2020-07-31,289.25,22414385.0,199116.8437,16.614,6.0024,1.0
2020-08-31,325.45,23490200.0,224036.5662,18.6933,6.7536,1.0
2020-09-30,308.4,14753269.0,212299.5146,17.714,6.3998,1.25
2020-10-31,296.6,11803311.0,204176.5146,17.0362,6.1549,1.25
2020-11-30,348.85,25823696.0,240144.8993,20.0373,7.2392,1.25
2020-12-31,376.4,22340537.0,259110.0476,21.6198,7.8109,1.25
2021-01-31,370.25,15722255.0,254876.4482,21.2665,7.6832,1.25
2021-02-28,494.7,42897808.0,340546.6008,28.4147,10.2658,1.25
2021-03-31,549.45,34610386.0,378235.9608,29.7805,8.4474,1.25
2021-04-30,530.95,23084921.0,365500.7432,28.7778,8.1629,1.25
2021-05-31,536.3,20521606.0,369183.6305,29.0678,8.2452,1.25
2021-06-30,660.75,88825137.0,454853.783,35.813,10.1585,1.25
2021-07-31,714.95,35299233.0,492164.5199,38.7507,10.9918,1.25
2021-08-31,722.8,44178449.0,497568.3824,39.1762,11.1125,1.25
2021-09-30,637.45,41143547.0,438814.2852,34.5501,9.8003,2.0
2021-10-31,622.3,43543119.0,428385.1748,33.729,9.5674,2.0
2021-11-30,669.95,26338517.0,461186.9642,36.3117,10.3,2.0
2021-12-31,634.85,20332034.0,437024.4709,34.4092,9.7603,2.0
2022-01-31,672.65,23536235.0,463045.6176,36.458,10.3415,2.0
2022-02-28,583.55,24401579.0,401710.0574,31.6287,8.9716,2.0
2022-03-31,503.25,52403136.0,346432.3304,26.9118,6.1534,2.0
2022-04-30,482.4,34938556.0,332079.3963,25.7968,5.8985,2.0
2022-05-31,559.3,49850878.0,385016.5969,29.9091,6.8387,2.0
2022-06-30,418.85,51667138.0,288332.2039,22.3984,5.1214,2.0
2022-07-31,445.15,26537570.0,306436.8641,23.8048,5.443,2.0
2022-08-31,471.75,39638603.0,324748.0415,25.2273,5.7682,2.0
2022-09-30,503.25,36906733.0,346432.3304,26.9118,6.1534,2.0
2022-10-31,518.6,21494752.0,356999.1188,27.7326,6.3411,2.0
2022-11-30,498.85,26296770.0,343403.4139,26.6765,6.0996,2.0
2022-12-31,486.15,29647270.0,334660.8593,25.9973,5.9443,2.0
2023-01-31,456.95,23496810.0,314559.8676,24.4358,5.5873,2.0
2023-02-28,504.9,26406220.0,347568.1741,27.0,6.1736,2.0
2023-03-31,459.6,15762397.0,316384.1015,20.7027,4.5018,2.0
2023-04-30,467.75,19329191.0,321994.481,21.0698,4.5816,2.0
2023-05-31,506.6,35254134.0,348738.4373,22.8198,4.9622,2.0
2023-06-30,465.05,27426166.0,320135.8276,20.9482,4.5552,2.0
2023-07-31,482.7,30169193.0,332285.9133,21.7432,4.7281,2.0
2023-08-31,449.35,38484357.0,309328.1027,20.241,4.4014,2.0
2023-09-30,422.9,32661930.0,291120.1839,19.0495,4.1423,6.65
2023-10-31,409.05,28170907.0,281585.9806,18.4257,4.0067,6.65
2023-11-30,433.15,12811404.0,298176.1826,19.5113,4.2427,6.65
2023-12-31,461.5,32672175.0,317692.0427,20.7883,4.5204,6.65
2024-01-31,581.3,49450128.0,400161.1797,26.1847,5.6939,6.65
2024-02-29,565.35,36784697.0,389181.3572,25.4662,5.5376,6.65
2024-03-31,544.25,19322134.0,374656.3255,32.7664,4.8515,6.65
2024-04-30,546.6,30159917.0,376273.974,32.9079,4.8725,6.65
2024-05-31,551.35,28647440.0,379543.8265,33.1939,4.9148,6.65
2024-06-30,628.45,34596867.0,432618.6955,37.8356,5.6021,6.65
2024-07-31,678.9,29763547.0,467348.0559,40.873,6.0518,6.65
2024-08-31,606.95,25638091.0,417818.3864,36.5412,5.4104,6.65
2024-09-30,618.4,81430510.0,425700.4533,37.2306,5.5125,5.66
2024-10-31,519.15,21895720.0,357377.7334,31.2553,4.6278,5.66
2024-11-30,479.75,20585558.0,330255.1625,28.8832,4.2765,5.66
2024-12-31,498.7,15741605.0,343300.1553,30.0241,4.4455,5.66
2025-01-31,486.0,14160335.0,334557.6008,29.2595,4.3323,5.66
2025-02-28,370.35,20728519.0,254945.2828,22.2968,3.3013,5.66
2025-03-31,412.35,13424403.0,283857.668,24.7212,3.3436,5.66
2025-04-30,453.5,7922291.0,312184.9217,27.1882,3.6772,5.66
2025-05-31,460.05,11607527.0,316693.877,27.5809,3.7304,5.66
2025-06-30,474.8,9862528.0,326847.6314,28.4652,3.85,5.66
2025-07-31,440.5,8349218.0,303235.8501,26.4089,3.5718,5.66
2025-08-31,419.45,4930617.0,288745.2379,25.1469,3.4011,5.66
2025-09-30,429.55,7092017.0,295697.9782,25.7524,3.483,5.82
2025-10-31,407.4,6897817.0,280450.1369,24.4245,3.3034,5.82
2025-11-30,396.15,6348039.0,272705.748,23.75,3.2122,5.82
2025-12-31,412.2,11138673.0,283754.4095,24.7122,3.3424,5.82
2026-01-31,425.35,9035549.0,292806.7397,25.5006,3.449,5.82
2026-02-28,407.4,7150859.0,280450.1369,24.4245,3.3034,5.82
2026-03-31,395.9,6159462.0,272533.6463,23.735,3.2102,5.82
