TTAN IN Equity,price,volume,mc,pe,bm,div
2021-08-31,1921.6,32821290.0,1705969.885,132.7989,20.5565,4.0
2021-09-30,2161.85,21832095.0,1919260.51,109.7386,24.7434,4.0
2021-10-31,2383.55,51713077.0,2116082.702,120.9924,27.2809,4.0
2021-11-30,2375.5,26880006.0,2108936.023,120.5838,27.1887,4.0
2021-12-31,2522.4,25908058.0,2239351.81,100.6508,27.8961,4.0
2022-01-31,2360.3,31184239.0,2095441.673,94.1826,27.8961,4.0
2022-02-28,2546.55,29246726.0,2260791.846,101.6145,27.8961,4.0
2022-03-31,2536.15,35926066.0,2251558.87,103.7666,24.2629,4.0
2022-04-30,2458.2,23071014.0,2182355.939,100.5773,23.5171,4.0
2022-05-31,2216.0,36419766.0,1967334.131,90.6677,21.2,4.0
2022-06-30,1941.25,42486190.0,1723414.883,58.7174,18.5228,4.0
2022-07-31,2352.05,37194286.0,2088117.438,71.143,18.5228,7.5
2022-08-31,2604.65,24459444.0,2312372.222,78.7834,18.5228,7.5
2022-09-30,2606.95,24410681.0,2314414.13,74.0171,22.6891,7.5
2022-10-31,2761.5,26255879.0,2451621.481,78.4052,24.0342,7.5
2022-11-30,2653.0,22792965.0,2355296.683,75.3246,23.0899,7.5
2022-12-31,2597.5,20974459.0,2306024.551,76.179,22.2217,7.5
2023-01-31,2377.15,23271156.0,2110400.87,69.7167,22.2217,7.5
2023-02-28,2372.8,22966603.0,2106539.0,69.5891,22.2217,7.5
2023-03-31,2514.9,20388287.0,2232693.414,68.7558,18.8867,7.5
2023-04-30,2641.85,15504744.0,2345397.867,72.2265,19.8401,7.5
2023-05-31,2823.25,20852096.0,2506442.276,77.1858,21.2024,7.5
2023-06-30,3047.65,18403455.0,2705661.491,84.149,22.7408,7.5
2023-07-31,3004.05,21999514.0,2666954.014,82.9452,22.7408,10.0
2023-08-31,3104.45,20751316.0,2756087.744,85.7173,22.7408,10.0
2023-09-30,3148.8,19841475.0,2795461.061,84.7196,22.5839,10.0
2023-10-31,3189.65,16944961.0,2831727.125,85.8187,22.8769,10.0
2023-11-30,3490.6,17775164.0,3098906.37,93.9159,25.0353,10.0
2023-12-31,3675.45,16622715.0,3263013.642,94.436,26.6455,10.0
2024-01-31,3697.55,19210334.0,3282633.716,95.0039,26.6455,10.0
2024-02-29,3624.4,21493933.0,3217692.158,93.1244,26.6455,10.0
2024-03-31,3801.8,19295481.0,3375185.423,96.5833,36.0226,10.0
2024-04-30,3589.25,20900658.0,3186486.475,91.1835,34.0087,10.0
2024-05-31,3241.9,35530465.0,2878113.952,82.3592,30.7175,10.0
2024-06-30,3404.2,33964967.0,3022201.646,87.4151,32.0317,11.0
2024-07-31,3458.95,42813504.0,3070807.938,88.821,32.0317,11.0
2024-08-31,3565.15,26724363.0,3165090.828,91.5481,32.0317,11.0
2024-09-30,3823.95,25792584.0,3394849.887,104.5569,34.956,11.0
2024-10-31,3267.05,23416486.0,2900441.774,89.3298,29.8652,11.0
2024-11-30,3249.0,27587364.0,2884417.234,88.8362,29.7002,11.0
2024-12-31,3253.15,21709122.0,2888101.546,89.218,29.7765,11.0
2025-01-31,3490.25,24007407.0,3098595.645,95.7205,29.7765,11.0
2025-02-28,3077.25,19331458.0,2731939.961,84.394,29.7765,11.0
2025-03-31,3063.35,18994529.0,2719599.733,81.5013,23.4548,11.0
2025-04-30,3379.7,19957861.0,3000450.885,89.9179,25.8769,11.0
2025-05-31,3555.0,18558067.0,3156079.799,94.5818,27.2191,11.0
2025-06-30,3690.2,20817448.0,3276108.488,88.2263,28.0705,11.0
2025-07-31,3347.3,20635728.0,2971686.613,80.0282,28.0705,11.0
2025-08-31,3628.8,14873722.0,3221598.417,86.7584,28.0705,11.0
2025-09-30,3367.0,25661916.0,2989176.001,72.4541,23.4057,11.0
2025-10-31,3746.7,24457349.0,3326268.406,80.6248,26.0452,11.0
2025-11-30,3907.7,16639767.0,3469201.977,84.0894,27.1644,11.0
2025-12-31,4051.5,17376234.0,3596865.627,75.5988,27.6259,11.0
2026-01-31,3977.4,20235869.0,3531080.673,74.2161,27.6259,11.0
2026-02-28,4327.5,19969222.0,3841894.607,80.7488,27.6259,11.0
2026-03-31,4274.0,2583840.0,3794398.048,79.7505,27.6259,11.0
