CROMPTON IN Equity,price,volume,mc,pe,bm,div
2023-04-30,254.9,92765251.0,162144.3674,34.9657,6.0957,2.5
2023-05-31,274.8,104065088.0,175774.2528,37.6955,6.5716,2.5
2023-06-30,289.55,52119949.0,185219.1404,39.7188,6.9243,2.5
2023-07-31,293.9,49213855.0,188001.7454,40.3155,7.0283,3.0
2023-08-31,300.05,82396409.0,191935.7731,41.1591,7.1754,3.0
2023-09-30,309.85,49369660.0,198352.8692,42.5034,7.4097,3.0
2023-10-31,282.0,40867412.0,180528.5483,38.6831,6.7437,3.0
2023-11-30,284.95,33250566.0,182417.0561,39.0878,6.8143,3.0
2023-12-31,310.9,55113821.0,199036.5773,42.6475,7.4349,3.0
2024-01-31,302.95,56409893.0,193947.0283,41.5569,7.2447,3.0
2024-02-29,291.0,67558770.0,186308.8625,39.9177,6.959,3.0
2024-03-31,267.5,69840583.0,172031.1169,38.8808,5.7351,3.0
2024-04-30,318.4,104074396.0,204765.2621,46.2791,6.8264,3.0
2024-05-31,392.25,141480912.0,252263.1112,57.0131,8.4097,3.0
2024-06-30,405.3,69731482.0,260701.7124,58.9099,8.6895,3.0
2024-07-31,451.4,118607583.0,290399.7606,65.6105,9.6778,3.0
2024-08-31,477.05,70943111.0,306965.971,69.3387,10.2278,3.0
2024-09-30,416.25,62432650.0,267912.583,60.5015,8.9242,3.0
2024-10-31,391.0,63381812.0,251667.0847,56.8314,8.3829,3.0
2024-11-30,409.7,46654893.0,263725.1502,59.5494,8.7838,3.0
2024-12-31,395.8,28231941.0,254795.8431,57.5291,8.4858,3.0
2025-01-31,343.4,47593248.0,221063.397,49.9128,7.3624,3.0
2025-02-28,321.15,59886893.0,206739.9824,46.6788,6.8853,3.0
2025-03-31,353.95,50326452.0,227869.3555,40.9664,6.7218,3.0
2025-04-30,337.3,54836330.0,217156.8307,39.0394,6.4056,3.0
2025-05-31,352.9,75305594.0,227215.693,40.8449,6.7018,3.0
2025-06-30,355.15,36525337.0,228664.3621,41.1053,6.7445,3.0
2025-07-31,323.0,44093250.0,207964.4909,37.3843,6.134,3.0
2025-08-31,330.0,43261303.0,212471.4613,38.1944,6.2669,3.0
2025-09-30,291.3,56009291.0,187568.257,33.7153,5.532,3.0
2025-10-31,282.7,72459866.0,182034.7352,32.7199,5.3687,3.0
2025-11-30,265.35,56527281.0,170862.8121,30.7118,5.0392,3.0
2025-12-31,252.25,64230181.0,162427.5272,29.1956,4.7904,3.0
2026-01-31,221.45,76180115.0,142594.9491,25.6308,4.2055,3.0
2026-02-28,257.85,88753549.0,166033.4505,29.8438,4.8968,3.0
2026-03-31,250.2,8962326.0,161107.4998,28.9583,4.7515,3.0
