CU IN Equity,price,volume,mc,pe,bm,div
2005-03-31,31.93,8283744.0,5960.6273,12.3263,2.5738,0.5
2005-04-30,33.5,10077828.0,6254.6912,12.9344,2.7008,0.5
2005-05-31,35.7,6837492.0,6665.447,13.7838,2.8782,0.5
2005-06-30,39.9,12135838.0,7449.6172,15.4054,3.2168,1.0
2005-07-31,43.75,6896546.0,8168.4747,16.8919,3.5272,1.0
2005-08-31,51.33,9460584.0,9582.7877,19.8166,4.1379,1.0
2005-09-30,54.58,18676634.0,10189.5887,21.0714,4.3999,1.0
2005-10-31,56.58,12817992.0,10563.0047,21.8436,4.5611,1.0
2005-11-30,65.05,13232818.0,12145.3549,25.1158,5.2444,1.0
2005-12-31,66.78,6077412.0,12467.4262,25.7819,5.3835,1.0
2006-01-31,82.8,8897430.0,15459.4218,31.9691,6.6754,1.0
2006-02-28,78.53,3072670.0,14661.2451,30.3185,6.3307,1.0
2006-03-31,77.08,4142538.0,14390.5185,16.6384,5.1587,2.2
2006-04-30,84.38,3647664.0,15594.7851,18.2142,5.6473,2.2
2006-05-31,75.55,4080652.0,14105.7888,16.3092,5.0566,2.2
2006-06-30,67.03,5176106.0,12514.1032,14.4688,4.486,2.2
2006-07-31,61.5,1612670.0,11482.5415,13.2761,4.1162,1.8
2006-08-31,77.05,3598802.0,14385.8508,16.633,5.157,1.8
2006-09-30,89.13,6915588.0,16640.3498,19.2396,5.9652,1.8
2006-10-31,88.93,5672712.0,16603.0082,19.1964,5.9518,1.8
2006-11-30,86.15,5676676.0,16084.8936,18.5974,5.7661,1.8
2006-12-31,89.8,2102248.0,16766.3777,19.3853,6.0104,1.8
2007-01-31,89.88,4004592.0,16780.3808,19.4015,6.0154,1.8
2007-02-28,80.83,1444294.0,15090.6735,17.4479,5.4097,1.8
2007-03-31,73.08,2216640.0,13643.6866,18.1715,3.9896,0.6
2007-04-30,72.78,896186.0,13587.6742,18.0969,3.9732,0.6
2007-05-31,80.83,19825160.0,15090.6735,20.0987,4.4127,0.6
2007-06-30,87.83,8520652.0,16397.6294,21.8393,4.7949,0.6
2007-07-31,87.88,5138176.0,16406.9648,21.8518,4.7976,0.75
2007-08-31,89.33,1655056.0,16677.6914,22.2123,4.8768,0.75
2007-09-30,92.58,2979352.0,17284.4924,23.0205,5.0542,0.75
2007-10-31,82.28,2740768.0,15361.4001,20.4592,4.4919,0.75
2007-11-30,85.78,2306016.0,16014.8781,21.3296,4.683,0.75
2007-12-31,86.48,1216736.0,16145.5737,21.5036,4.7212,0.75
2008-01-31,76.35,1375876.0,14255.1552,18.9859,4.1684,0.75
2008-02-29,73.5,834708.0,13723.0375,18.2772,4.0128,0.75
2008-03-31,54.05,1549776.0,10091.567,4.28,2.2588,0.75
2008-04-30,58.93,2064928.0,11001.7685,4.666,2.4625,0.75
2008-05-31,55.95,655280.0,10446.3122,4.4305,2.3382,0.75
2008-06-30,62.8,10552708.0,11724.7598,4.9729,2.6245,0.75
2008-07-31,62.23,1303564.0,11617.4073,4.9274,2.6004,1.0
2008-08-31,64.72,435560.0,12084.1573,5.1253,2.7049,1.0
2008-09-30,59.18,10156422.0,11047.9723,4.6858,2.473,1.0
2008-10-31,48.98,1306544.0,9143.6324,3.8781,2.0467,1.0
2008-11-30,45.05,1217176.0,8410.8349,3.5673,1.8827,1.0
2008-12-31,43.15,272944.0,8056.1049,3.4169,1.8033,1.0
2009-01-31,43.25,981566.0,8074.7749,3.4248,1.8075,1.0
2009-02-28,42.2,1825168.0,7878.7399,3.3417,1.7636,1.0
2009-03-31,39.38,1333730.0,7351.3124,7.0882,1.459,1.0
2009-04-30,50.18,298888.0,9367.6723,9.0324,1.8592,1.0
2009-05-31,65.47,1991404.0,12224.1823,11.7867,2.4262,1.0
2009-06-30,62.68,1020126.0,11701.4223,11.2826,2.3224,1.0
2009-07-31,65.75,547872.0,12275.5248,11.8362,2.4364,1.0
2009-08-31,68.5,1166884.0,12788.9498,12.3312,2.5383,1.0
2009-09-30,72.45,2813790.0,13526.4148,13.0423,2.6846,1.0
2009-10-31,68.8,2789966.0,12844.9598,12.3852,2.5494,1.0
2009-11-30,73.1,815884.0,13647.7698,13.1593,2.7087,1.0
2009-12-31,78.9,1612472.0,14730.6298,14.2034,2.9236,1.0
2010-01-31,93.78,9995498.0,17507.7922,16.8812,3.4748,1.0
2010-02-28,89.13,4033132.0,16639.6372,16.0441,3.3025,1.0
2010-03-31,84.9,3341424.0,15851.883,15.578,2.6738,1.0
2010-04-30,95.7,3289118.0,17868.3769,17.5596,3.0139,1.0
2010-05-31,95.78,3697468.0,17882.3803,17.5734,3.0163,1.0
2010-06-30,105.2,2923904.0,19642.1447,19.3028,3.3131,1.0
2010-07-31,105.9,4006892.0,19772.8434,19.4312,3.3351,1.0
2010-08-31,102.43,2367512.0,19124.0178,18.7936,3.2257,1.0
2010-09-30,114.33,1984322.0,21348.6394,20.9771,3.6005,1.0
2010-10-31,129.18,3091286.0,24121.675,23.7018,4.0681,1.0
2010-11-30,121.38,2102950.0,22665.1311,22.2706,3.8225,1.0
2010-12-31,126.63,1036982.0,23645.4972,23.2339,3.9878,1.0
2011-01-31,120.2,1945650.0,22445.7158,22.055,3.7855,1.0
2011-02-28,120.13,2344456.0,22431.7106,22.0413,3.7831,0.75
2011-03-31,115.2,1122822.0,21530.2816,12.597,2.8886,0.75
2011-04-30,124.15,2317934.0,23208.8495,13.5757,3.113,0.75
2011-05-31,131.3,2219050.0,24560.585,14.3576,3.2923,0.75
2011-06-30,142.65,2412110.0,26694.8657,15.5987,3.5769,0.75
2011-07-31,153.38,848752.0,28701.893,16.7715,3.8458,1.25
2011-08-31,147.23,1183380.0,27553.4229,16.099,3.6916,1.25
2011-09-30,148.5,812936.0,27807.2187,16.2384,3.7236,1.25
2011-10-31,157.7,188864.0,29536.6907,17.2444,3.9543,1.25
2011-11-30,153.45,1203326.0,28740.6797,16.7797,3.8477,1.25
2011-12-31,138.15,552099.0,25885.8014,15.1066,3.4641,1.25
2012-01-31,147.35,1129650.0,27609.6478,16.1126,3.6948,1.25
2012-02-29,163.35,1100350.0,30609.112,17.8622,4.0959,1.5
2012-03-31,155.8,2388695.0,29196.2344,13.3049,3.083,1.5
2012-04-30,164.7,479483.0,30864.0552,14.0649,3.2591,1.5
2012-05-31,147.8,704914.0,27698.1927,12.6217,2.9247,1.5
2012-06-30,152.6,1560178.0,28597.7281,13.0316,3.0196,1.5
2012-07-31,151.3,1254772.0,28354.1039,12.9206,2.9939,2.0
2012-08-31,146.5,1284678.0,27455.7108,12.5107,2.8989,2.0
2012-09-30,160.15,1038370.0,30015.7941,13.6763,3.169,2.0
2012-10-31,153.0,913349.0,28675.7196,13.0658,3.0275,2.0
2012-11-30,150.2,7546947.0,28151.6251,12.8266,2.9721,2.0
2012-12-31,149.5,395673.0,28026.512,12.7669,2.9583,2.0
2013-01-31,148.8,885928.0,27895.2842,12.7071,2.9444,2.0
2013-02-28,132.05,5373782.0,24755.19,11.2767,2.613,1.5
2013-03-31,118.45,2217073.0,22205.621,24.7286,2.0965,1.5
2013-04-30,122.85,1520189.0,23030.4816,25.6472,2.1744,1.5
2013-05-31,127.05,2561784.0,23817.8485,26.524,2.2488,1.5
2013-06-30,108.95,352106.0,20424.6771,22.7453,1.9284,1.5
2013-07-31,104.1,174705.0,19517.6556,21.7328,1.8426,1.25
2013-08-31,100.4,225606.0,18823.9445,20.9603,1.7771,1.25
2013-09-30,104.0,324621.0,19508.7249,21.7119,1.8408,1.25
2013-10-31,112.2,264594.0,21046.9128,23.4238,1.9859,1.25
2013-11-30,143.2,633424.0,26862.0135,29.8956,2.5346,1.25
2013-12-31,147.4,2088038.0,27650.6013,30.7724,2.609,1.25
2014-01-31,136.8,669308.0,25662.1591,28.5595,2.4213,1.25
2014-02-28,130.35,317200.0,24452.2108,27.2129,2.3072,1.5
2014-03-31,146.6,777137.0,27525.0604,30.041,2.4887,1.5
2014-04-30,139.65,1133278.0,26220.1548,28.6168,2.3708,1.5
2014-05-31,164.85,1161885.0,30951.6113,33.7807,2.7986,1.5
2014-06-30,172.7,1146817.0,32435.195,35.3893,2.9318,1.5
2014-07-31,170.25,1278434.0,31981.9259,34.8873,2.8902,1.25
2014-08-31,185.5,1372804.0,34854.9309,38.0123,3.1491,1.25
2014-09-30,198.9,13682511.0,37377.3878,40.7582,3.3766,1.25
2014-10-31,192.25,1184484.0,36127.7165,39.3955,3.2637,1.25
2014-11-30,172.75,2803905.0,32468.2328,35.3996,2.9327,1.25
2014-12-31,178.85,3691166.0,33633.4389,36.6496,3.0362,1.25
2015-01-31,178.95,2162465.0,33659.4175,36.6701,3.0379,1.25
2015-02-28,185.0,1864158.0,34811.8195,37.9098,3.1406,1.25
2015-03-31,190.2,1218501.0,35791.6547,26.9405,3.2801,1.25
2015-04-30,180.3,1027335.0,33928.6821,25.5382,3.1094,1.25
2015-05-31,161.2,519849.0,30340.1221,22.8329,2.78,1.25
2015-06-30,168.1,1370907.0,31638.7998,23.8102,2.899,1.25
2015-07-31,183.85,585937.0,34607.4397,26.0411,3.1706,1.25
2015-08-31,170.15,1080672.0,32028.5878,24.1006,2.9344,1.25
2015-09-30,159.6,324512.0,30044.8096,22.6062,2.7524,1.25
2015-10-31,175.5,807728.0,33042.9684,24.8584,3.0266,1.25
2015-11-30,176.9,486362.0,33309.7415,25.0567,3.0508,1.25
2015-12-31,184.0,691175.0,34651.6984,26.0623,3.1732,1.25
2016-01-31,172.5,1957308.0,32485.9672,24.4334,2.9749,1.25
2016-02-29,169.0,261907.0,31833.7066,23.9377,2.9145,1.5
2016-03-31,175.45,547869.0,33051.1942,22.9346,2.7721,1.5
2016-04-30,194.3,1102593.0,36602.149,25.3987,3.07,1.5
2016-05-31,225.5,2009045.0,42479.5913,29.4771,3.5629,1.5
2016-06-30,239.1,1183787.0,45041.5534,31.2549,3.7778,1.5
2016-07-31,255.55,32405454.0,48140.3972,33.4052,4.0377,1.5
2016-08-31,274.15,6436402.0,51644.257,35.8366,4.3316,1.5
2016-09-30,272.2,3076569.0,51276.9169,35.5817,4.3008,1.5
2016-10-31,284.1,4946910.0,53518.6337,37.1373,4.4888,1.5
2016-11-30,266.75,4791328.0,50250.2483,34.8693,4.2147,1.5
2016-12-31,247.65,1878286.0,46705.9602,32.3725,3.9129,1.5
2017-01-31,254.95,8348649.0,48089.8387,33.3268,4.0283,1.5
2017-02-28,255.75,2786770.0,48243.2984,33.4314,4.0409,1.5
2017-03-31,290.5,7091117.0,54799.0732,31.3039,3.9634,1.5
2017-04-30,292.7,2463809.0,55214.0748,31.5409,3.9934,1.5
2017-05-31,300.6,4723493.0,56710.6238,32.3922,4.1012,1.0
2017-06-30,325.25,3182827.0,61363.6464,35.0485,4.4375,1.0
2017-07-31,339.15,2474716.0,63986.1051,36.5463,4.6271,1.75
2017-08-31,353.3,4176041.0,66655.7303,38.0711,4.8202,1.75
2017-09-30,317.75,2525650.0,59951.584,34.2403,4.3352,1.75
2017-10-31,361.3,5040285.0,68168.3944,38.9332,4.9293,1.75
2017-11-30,380.05,3673016.0,71778.404,40.9537,5.1851,1.75
2017-12-31,376.15,2011425.0,71043.2835,40.5334,5.1319,1.75
2018-01-31,370.35,4073724.0,69953.0253,39.9084,5.0528,1.75
2018-02-28,349.25,3141936.0,65967.5809,37.6347,4.7649,1.75
2018-03-31,347.4,5671166.0,65623.21,30.4203,4.1962,1.75
2018-04-30,377.25,1487076.0,71278.2099,33.0342,4.5568,1.75
2018-05-31,348.6,1487000.0,65869.9748,30.5254,4.2107,1.75
2018-06-30,316.9,1166652.0,59899.4781,27.7496,3.8278,1.75
2018-07-31,371.05,1365286.0,70134.7471,32.4912,4.4819,2.25
2018-08-31,371.1,1990866.0,70152.4111,32.4956,4.4825,2.25
2018-09-30,385.05,2584466.0,72792.9721,33.7172,4.651,2.25
2018-10-31,362.25,1494826.0,68482.6753,31.7207,4.3756,2.25
2018-11-30,362.25,598023.0,68484.2388,31.7207,4.3756,2.25
2018-12-31,355.05,864872.0,67130.3584,31.0902,4.2886,2.25
2019-01-31,349.45,3919408.0,66071.5497,30.5998,4.221,2.25
2019-02-28,371.95,782903.0,70350.6353,32.5701,4.4927,2.75
2019-03-31,410.35,5503179.0,77613.6125,31.3244,4.502,2.75
2019-04-30,360.0,1743432.0,68090.4119,27.4809,3.9496,2.75
2019-05-31,376.6,4272590.0,71235.4623,28.7481,4.1317,2.75
2019-06-30,357.15,1290381.0,67557.2079,27.2634,3.9184,2.75
2019-07-31,329.75,1429763.0,62374.3226,25.1718,3.6177,2.75
2019-08-31,282.6,1288913.0,53455.5984,21.5725,3.1005,2.75
2019-09-30,300.5,1557521.0,56856.0487,22.9389,3.2968,2.75
2019-10-31,320.65,3197703.0,60692.6968,24.4771,3.5179,2.75
2019-11-30,328.25,1322591.0,62131.2263,25.0573,3.6013,2.75
2019-12-31,320.4,1338914.0,60647.1389,24.458,3.5152,2.75
2020-01-31,333.75,2839062.0,63174.103,25.4771,3.6616,2.75
2020-02-29,325.25,1687820.0,61577.6811,24.8282,3.5684,2.75
2020-03-31,222.0,2137440.0,42038.4075,15.4274,2.2627,4.0
2020-04-30,221.25,1802268.0,41907.4484,15.3753,2.2551,4.0
2020-05-31,222.5,771283.0,42144.2136,15.4621,2.2678,4.0
2020-06-30,278.35,4402488.0,52722.8848,19.3433,2.8371,4.0
2020-07-31,248.1,13548900.0,46993.1658,17.2411,2.5288,4.0
2020-08-31,269.55,8165606.0,51056.0574,18.7318,2.7474,4.0
2020-09-30,269.25,5743925.0,51006.9564,18.7109,2.7443,2.75
2020-10-31,284.2,6972921.0,53839.0984,19.7498,2.8967,2.75
2020-11-30,346.95,9608454.0,65729.0294,24.1105,3.5363,2.75
2020-12-31,405.5,9831715.0,76828.1921,28.1793,4.133,2.75
2021-01-31,403.9,5973643.0,76525.0476,28.0681,4.1167,2.75
2021-02-28,507.6,9388749.0,96197.883,35.2745,5.1737,4.25
2021-03-31,509.5,4754492.0,96587.231,33.944,4.5319,4.25
2021-04-30,547.85,5199737.0,103857.3396,36.499,4.873,4.25
2021-05-31,598.55,8563294.0,113481.3899,39.8767,5.324,1.5
2021-06-30,606.25,4848303.0,114952.1786,40.3897,5.3925,1.5
2021-07-31,672.95,7098597.0,127599.2871,44.8334,5.9858,3.0
2021-08-31,829.95,8619727.0,157368.3458,55.2931,7.3823,3.0
2021-09-30,887.55,10865700.0,168289.9877,59.1306,7.8946,3.0
2021-10-31,839.3,3182988.0,159141.2165,55.9161,7.4654,3.0
2021-11-30,917.7,8114627.0,174145.9997,61.1392,8.1628,3.0
2021-12-31,981.65,6415271.0,186290.2129,65.3997,8.7316,3.0
2022-01-31,881.6,6604199.0,167327.9912,58.7342,7.8417,3.0
2022-02-28,804.55,4867806.0,152739.6459,53.6009,7.1564,3.0
2022-03-31,797.75,7270739.0,151458.1848,45.4041,6.4075,3.0
2022-04-30,766.85,3903673.0,145591.6127,43.6454,6.1593,3.0
2022-05-31,720.5,3868499.0,136791.7545,41.0074,5.787,3.0
2022-06-30,716.9,3250078.0,136120.9229,40.8025,5.7581,3.0
2022-07-31,801.4,4202258.0,152169.3127,45.6118,6.4368,3.5
2022-08-31,843.85,4638673.0,160231.8008,48.0279,6.7778,3.5
2022-09-30,896.4,5643556.0,170210.0921,51.0188,7.1998,3.5
2022-10-31,845.85,2623923.0,160611.5645,48.1417,6.7938,3.5
2022-11-30,853.2,2475316.0,162007.1961,48.56,6.8528,3.5
2022-12-31,875.2,2529903.0,166184.5969,49.8122,7.0296,3.5
2023-01-31,972.9,3824149.0,184757.2251,55.3728,7.8143,3.5
2023-02-28,978.9,3118334.0,185901.7968,55.7143,7.8625,3.5
2023-03-31,985.7,1715733.0,187193.1771,45.2156,6.638,3.5
2023-04-30,1077.3,1879140.0,204626.6432,49.4174,7.2548,3.5
2023-05-31,1150.05,4672658.0,218445.0673,52.7546,7.7447,3.5
2023-06-30,1197.9,3729821.0,227533.8865,54.9495,8.067,3.5
2023-07-31,1210.8,2613734.0,229984.1637,55.5413,8.1538,3.5
2023-08-31,1136.25,6272738.0,215838.9389,52.1216,7.6518,3.5
2023-09-30,1177.0,5664137.0,223666.1739,53.9908,7.9262,3.5
2023-10-31,1071.95,3492336.0,203711.6672,49.172,7.2188,3.5
2023-11-30,1190.1,6173579.0,226164.7046,54.5917,8.0144,3.5
2023-12-31,1113.4,3703115.0,211588.759,51.0734,7.4979,3.5
2024-01-31,1124.65,3626651.0,213760.9929,51.5894,7.5737,3.5
2024-02-29,1069.3,4017139.0,203246.0255,49.0505,7.2009,3.5
2024-03-31,1268.35,4497793.0,241271.5388,52.26,7.7203,3.5
2024-04-30,1422.3,3473523.0,270603.3959,58.6032,8.6574,3.5
2024-05-31,1593.4,7229604.0,303156.4726,65.6531,9.6988,3.5
2024-06-30,1669.75,3721312.0,317682.641,68.7989,10.1636,3.5
2024-07-31,1718.8,5373420.0,327014.7766,70.8199,10.4621,4.0
2024-08-31,1524.8,3756582.0,290123.4032,62.8265,9.2813,4.0
2024-09-30,1498.4,2473532.0,285157.7589,61.7388,9.1206,4.0
2024-10-31,1378.95,2684119.0,262426.8272,56.8171,8.3935,4.0
2024-11-30,1459.15,1991973.0,277743.611,60.1215,8.8817,4.0
2024-12-31,1279.65,3380194.0,243626.887,52.7256,7.7891,4.0
2025-01-31,1186.7,1920407.0,225930.5488,48.8958,7.2233,4.0
2025-02-28,831.65,4942096.0,158336.3582,34.2666,5.0622,4.0
2025-03-31,1014.15,9241074.0,193112.3315,65.0931,5.4729,4.0
2025-04-30,1022.2,3159688.0,194650.1023,65.6098,5.5163,4.0
2025-05-31,991.8,2242004.0,188861.2517,63.6585,5.3523,4.0
2025-06-30,965.45,4199420.0,183843.6131,61.9673,5.2101,4.0
2025-07-31,930.6,3920316.0,177208.312,59.7304,5.022,4.0
2025-08-31,911.6,9647042.0,173590.2613,58.5109,4.9195,4.0
2025-09-30,924.65,4212740.0,176086.6363,59.3485,4.9899,4.0
2025-10-31,900.5,2027716.0,171489.4082,57.7985,4.8596,4.0
2025-11-30,856.85,10894104.0,163179.3606,54.9968,4.624,4.0
2025-12-31,855.9,2283527.0,163004.3268,54.9358,4.6189,4.0
2026-01-31,788.25,4839614.0,150120.5288,50.5937,4.2538,4.0
2026-02-28,823.25,5072101.0,156786.204,52.8402,4.4427,4.0
2026-03-31,814.95,288828.0,155219.1004,52.3074,4.3979,4.0
