BYRCS IN Equity,price,volume,mc,pe,bm,div
1999-06-30,170.0,231130.0,2757.4,30.616,7.7627,2.5
1999-07-31,170.0,129400.0,2757.4,30.616,7.7627,2.5
1999-08-31,194.5,46050.0,3154.79,30.616,7.7627,2.5
1999-09-30,175.76,528850.0,2850.8272,30.616,7.7627,2.5
1999-10-31,155.0,98970.0,2514.1,30.616,7.7627,2.5
1999-11-30,152.6,18050.0,2475.172,30.616,7.7627,2.5
1999-12-31,146.47,33990.0,2375.7433,30.616,7.7627,2.5
2000-01-31,137.5,33760.0,2230.25,30.616,7.7627,2.5
2000-02-29,112.44,81440.0,1823.7768,30.616,7.7627,2.5
2000-03-31,92.5,41630.0,1500.35,30.616,7.7627,2.5
2000-04-30,87.0,3950.0,1411.14,30.616,7.7627,2.5
2000-05-31,65.5,19630.0,1062.41,30.616,7.7627,2.5
2000-06-30,67.9,34550.0,1101.338,30.616,7.7627,2.5
2000-07-31,61.9,25220.0,1004.0991,30.616,7.7627,2.5
2000-08-31,55.5,20530.0,900.21,30.616,7.7627,2.5
2000-09-30,45.0,72320.0,729.9,30.616,7.7627,2.5
2000-10-31,47.17,11590.0,765.0974,30.616,7.7627,2.5
2000-11-30,52.9,222690.0,858.038,30.616,7.7627,2.5
2000-12-31,59.32,52910.0,962.1704,77.4514,7.7627,2.5
2001-01-31,51.94,138170.0,842.3857,67.8091,7.7627,2.5
2001-02-28,48.0,74470.0,778.56,62.6714,7.7627,2.5
2001-03-31,42.17,80890.0,683.9974,55.0594,7.7627,2.5
2001-04-30,34.57,126800.0,560.7254,45.1364,7.7627,2.0
2001-05-31,43.67,191630.0,708.3274,57.0179,7.7627,2.0
2001-06-30,61.23,217000.0,993.0695,79.9386,7.7627,2.0
2001-07-31,63.5,155320.0,1029.97,82.909,7.7627,2.0
2001-08-31,59.71,391240.0,968.4151,77.954,7.7627,2.0
2001-09-30,61.47,17910.0,996.9623,80.252,7.7627,2.0
2001-10-31,88.7,110420.0,1438.714,115.8115,7.7627,2.0
2001-11-30,90.0,85700.0,1459.8,117.5088,7.7627,2.0
2001-12-31,92.8,134340.0,1505.216,114.2839,7.7627,2.0
2002-01-31,116.77,36850.0,1893.9283,114.2839,7.7627,2.0
2002-02-28,133.91,115640.0,2172.0202,114.2839,7.7627,2.0
2002-03-31,134.8,32330.0,2186.456,114.2839,7.7627,2.0
2002-04-30,134.99,25460.0,2189.6188,114.2839,7.7627,2.0
2002-05-31,130.0,7700.0,2108.6,114.2839,7.7627,2.0
2002-06-30,131.1,48330.0,2126.442,114.2839,7.7627,2.0
2002-07-31,140.0,120400.0,2270.8,114.2839,7.7627,2.0
2002-08-31,175.49,91800.0,2846.4478,114.2839,7.7627,2.0
2002-09-30,147.5,8430.0,2392.45,114.2839,7.7627,2.0
2002-10-31,133.0,9310.0,2157.26,114.2839,7.7627,2.0
2002-11-30,120.0,10650.0,1946.4,114.2839,7.7627,2.0
2002-12-31,112.87,40910.0,1830.6703,8.5504,2.0779,2.0
2003-01-31,119.0,30690.0,1930.0989,9.0148,2.1907,2.0
2003-02-28,109.5,6140.0,1776.09,8.2955,2.0159,2.0
2003-03-31,90.0,22870.0,1459.8,6.8182,1.6569,2.0
2003-04-30,87.6,73140.0,1420.9531,6.6367,1.6128,2.0
2003-05-31,110.0,58840.0,1784.2,8.3333,2.0251,2.2
2003-06-30,114.0,42700.0,1849.08,8.6364,2.0988,2.2
2003-07-31,125.2,85720.0,2030.744,9.4848,2.3049,2.2
2003-08-31,143.5,89380.0,2327.57,10.8712,2.6419,2.2
2003-09-30,144.54,66280.0,2344.5198,10.9504,2.6611,2.2
2003-10-31,159.46,89110.0,2586.4412,12.0803,2.9357,2.2
2003-11-30,244.15,189411.0,3960.1128,18.4962,4.4948,2.2
2003-12-31,290.9,221952.0,4718.3978,24.7773,4.7485,2.2
2004-01-31,227.3,164020.0,3686.8058,19.3602,3.7104,2.2
2004-02-29,220.9,113831.0,8725.2627,18.8151,3.6059,2.2
2004-03-31,192.65,168781.0,7609.4244,16.4089,3.1447,2.2
2004-04-30,224.45,118168.0,8865.483,19.1175,3.6638,2.2
2004-05-31,160.45,178112.0,6337.5663,13.6663,2.6191,2.2
2004-06-30,151.5,113282.0,5984.0529,12.904,2.473,2.2
2004-07-31,142.55,102465.0,5630.5396,12.1417,2.3269,2.2
2004-08-31,185.55,913451.0,7328.9836,15.8042,3.0288,2.2
2004-09-30,192.9,421157.0,7619.2991,16.4302,3.1488,2.2
2004-10-31,197.25,317207.0,7791.1184,16.8007,3.2198,2.2
2004-11-30,268.05,4112951.0,10587.6263,22.8311,4.3755,2.2
2004-12-31,260.1,830845.0,10273.6117,38.9737,3.9755,2.2
2005-01-31,260.65,803202.0,10295.3359,39.0561,3.9839,2.2
2005-02-28,245.7,617577.0,9704.8304,36.816,3.7554,2.2
2005-03-31,206.8,472404.0,8168.331,30.9872,3.1608,2.2
2005-04-30,196.85,117826.0,7775.3189,29.4962,3.0087,2.2
2005-05-31,226.5,187054.0,8946.4554,33.939,3.4619,2.2
2005-06-30,190.1,190891.0,7508.7027,28.4848,2.9056,2.2
2005-07-31,206.7,302250.0,8164.3811,30.9722,3.1593,2.2
2005-08-31,236.2,477788.0,9329.5927,35.3925,3.6102,2.2
2005-09-30,294.45,3306003.0,11630.392,44.1207,4.5005,2.2
2005-10-31,216.55,1193227.0,8553.4433,32.4481,3.3098,2.2
2005-11-30,241.0,405210.0,9519.1865,36.1117,3.6835,2.2
2005-12-31,241.1,827144.0,9523.1364,25.6364,3.3337,2.2
2006-01-31,216.8,566514.0,8563.318,23.0525,2.9977,2.2
2006-02-28,198.45,415543.0,7838.5169,21.1014,2.744,2.2
2006-03-31,206.65,1283154.0,8162.4062,21.9733,2.8574,2.2
2006-04-30,183.5,456274.0,7182.8384,19.5117,2.5373,2.2
2006-05-31,161.4,873488.0,6375.09,17.1618,2.2317,2.2
2006-06-30,139.2,372354.0,5498.2189,14.8013,1.9247,2.2
2006-07-31,125.7,172360.0,4964.9865,13.3658,1.7381,2.2
2006-08-31,159.0,1039896.0,6280.2932,16.9066,2.1985,2.2
2006-09-30,178.2,2051930.0,7038.6682,18.9482,2.464,2.2
2006-10-31,175.95,688980.0,6949.7961,18.7089,2.4329,2.2
2006-11-30,227.45,4709708.0,8983.9791,24.185,3.145,2.2
2006-12-31,264.4,6229200.0,10443.4561,18.3677,3.151,2.2
2007-01-31,283.7,5765339.0,11205.781,19.7085,3.381,2.2
2007-02-28,241.75,1395854.0,9548.8105,16.7942,2.8811,2.2
2007-03-31,213.3,1129857.0,8425.0725,14.8178,2.542,2.2
2007-04-30,235.6,1141074.0,9305.8935,16.367,2.8078,2.2
2007-05-31,262.65,1364946.0,10374.3333,18.2461,3.1302,2.4
2007-06-30,291.9,2012797.0,11529.6703,20.2781,3.4788,2.4
2007-07-31,250.8,1136556.0,9906.2738,17.4229,2.9889,2.4
2007-08-31,244.05,416994.0,9639.6575,16.954,2.9085,2.4
2007-09-30,290.2,2343732.0,11462.61,20.16,3.4585,2.4
2007-10-31,314.5,1668521.0,12422.4357,21.8481,3.7481,2.4
2007-11-30,381.2,1101966.0,15057.019,26.4817,4.543,2.4
2007-12-31,450.2,1003137.0,17782.45,31.2751,5.3653,2.4
2008-01-31,334.65,555407.0,13218.3405,23.2479,3.9882,2.4
2008-02-29,305.15,245683.0,12053.12,21.1986,3.6367,2.4
2008-03-31,231.9,546700.0,9159.8182,18.6565,2.4793,2.4
2008-04-30,258.5,196521.0,10210.4916,20.7965,2.7637,2.4
2008-05-31,261.75,426109.0,10338.8634,21.0579,2.7985,2.4
2008-06-30,224.9,249712.0,8883.3252,18.0933,2.4045,2.4
2008-07-31,288.6,485600.0,11399.4116,23.218,3.0856,0.0
2008-08-31,335.0,362981.0,13232.1652,26.9509,3.5816,2.4
2008-09-30,272.55,230861.0,10765.4526,21.9268,2.914,2.4
2008-10-31,214.15,349572.0,8458.711,17.2285,2.2896,2.4
2008-11-30,190.0,184367.0,7504.8101,15.2856,2.0314,2.4
2008-12-31,225.6,229226.0,8910.9745,18.1496,2.412,2.4
2009-01-31,233.95,159457.0,9240.7912,18.8214,2.5013,2.4
2009-02-28,213.6,338009.0,8436.9865,17.1842,2.2837,2.4
2009-03-31,249.4,393339.0,9851.0507,10.4308,2.1844,2.4
2009-04-30,252.75,323979.0,9983.3724,10.5709,2.2138,2.4
2009-05-31,328.9,426691.0,12991.2213,13.7558,2.8808,2.4
2009-06-30,292.35,609117.0,11547.5328,12.2271,2.5606,2.4
2009-07-31,340.0,997852.0,13429.6602,14.22,2.978,2.4
2009-08-31,354.9,892122.0,14018.1953,14.8432,3.1085,2.8
2009-09-30,406.9,717832.0,16072.1433,17.018,3.5639,2.8
2009-10-31,388.05,1042059.0,15327.5872,16.2296,3.3988,2.8
2009-11-30,496.65,2088673.0,19617.1786,20.7716,4.35,2.8
2009-12-31,541.0,1212046.0,21368.9593,22.6265,4.7385,2.8
2010-01-31,538.95,1332663.0,21287.9863,22.5408,4.7205,2.8
2010-02-28,590.0,481565.0,23304.4103,24.6759,5.1677,2.8
2010-03-31,651.4,672075.0,25729.649,20.2173,4.5963,2.8
2010-04-30,799.7,968514.0,31587.3507,24.82,5.6427,2.8
2010-05-31,711.4,592083.0,28099.589,22.0795,5.0196,2.8
2010-06-30,798.7,1185442.0,31547.8517,24.789,5.6356,2.8
2010-07-31,813.0,3244229.0,32112.6874,25.2328,5.7365,2.8
2010-08-31,999.55,4063968.0,39481.226,31.0227,7.0528,2.8
2010-09-30,997.25,2261166.0,39390.3783,30.9513,7.0366,4.0
2010-10-31,1026.8,663710.0,40557.5762,31.8684,7.2451,4.0
2010-11-30,928.3,855447.0,36666.9222,28.8113,6.55,4.0
2010-12-31,942.95,1043435.0,37245.5826,29.266,6.6534,4.0
2011-01-31,728.95,817826.0,28792.7965,22.6241,5.1434,4.0
2011-02-28,726.1,480268.0,28680.2243,22.5357,5.1233,4.0
2011-03-31,916.35,1153674.0,36194.9092,27.518,5.3781,4.0
2011-04-30,948.65,766108.0,37470.7269,28.488,5.5677,4.0
2011-05-31,873.55,183430.0,34504.3519,26.2327,5.1269,4.0
2011-06-30,851.7,908714.0,33641.2988,25.5766,4.9987,4.0
2011-07-31,880.05,350227.0,34761.0954,26.4279,5.1651,4.0
2011-08-31,807.25,1349152.0,31885.5682,24.2417,4.7378,4.0
2011-09-30,825.35,491386.0,32600.5001,24.7853,4.844,4.0
2011-10-31,836.4,130164.0,33036.9641,25.1171,4.9089,4.0
2011-11-30,769.8,1165409.0,30406.3306,23.1171,4.518,4.0
2011-12-31,713.95,264478.0,28200.3114,21.4399,4.1902,4.0
2012-01-31,809.55,274926.0,31976.4159,24.3108,4.7513,4.0
2012-02-29,805.1,281290.0,31800.6453,24.1772,4.7252,4.0
2012-03-31,804.6,458161.0,31780.6534,22.8645,4.0092,4.0
2012-04-30,767.0,249644.0,30295.5023,21.796,3.8218,4.0
2012-05-31,811.5,180509.0,32053.1944,23.0605,4.0436,4.0
2012-06-30,842.5,766014.0,33277.6541,23.9415,4.198,4.0
2012-07-31,891.8,711430.0,35224.9399,25.3424,4.4437,4.0
2012-08-31,1000.8,1117670.0,39530.2981,28.4399,4.9868,4.2
2012-09-30,1067.4,6501793.0,42160.9115,30.3325,5.3187,4.2
2012-10-31,1101.0,392588.0,43488.0678,31.2873,5.4861,4.2
2012-11-30,1276.7,628472.0,50427.9868,36.2802,6.3616,4.2
2012-12-31,1310.55,374678.0,51765.0227,37.2421,6.5302,4.2
2013-01-31,1199.45,291455.0,47376.7123,34.085,5.9766,4.2
2013-02-28,1099.55,242359.0,43430.7972,31.2461,5.4789,4.2
2013-03-31,1205.25,246675.0,47605.8072,4.098,2.465,4.2
2013-04-30,1148.45,151171.0,45362.2786,3.9048,2.3488,4.2
2013-05-31,1395.0,874808.0,55100.6854,4.7431,2.853,4.2
2013-06-30,1393.15,313008.0,55027.6765,4.7368,2.8493,4.2
2013-07-31,1497.55,901683.0,59151.348,5.0918,3.0628,4.2
2013-08-31,1535.1,335138.0,60634.5234,5.2195,3.1396,5.0
2013-09-30,1546.0,499400.0,61065.0597,5.2565,3.1619,5.0
2013-10-31,1799.2,823728.0,71066.1395,6.1174,3.6797,5.0
2013-11-30,1675.3,254551.0,66172.2499,5.6962,3.4263,5.0
2013-12-31,1767.95,226664.0,64740.5578,6.0112,3.6158,5.0
2014-01-31,1654.3,303355.0,60578.8131,5.6248,3.3834,5.0
2014-02-28,1463.45,520972.0,53590.0725,4.9759,2.993,5.0
2014-03-31,1506.15,613953.0,55153.7061,20.0446,3.1656,5.0
2014-04-30,1416.55,3139254.0,51872.646,18.8521,2.9773,5.0
2014-05-31,1524.4,297682.0,55822.0028,20.2875,3.2039,5.0
2014-06-30,1833.65,492279.0,67146.4284,24.4031,3.8539,5.0
2014-07-31,2022.45,581854.0,74060.0932,26.9158,4.2507,5.0
2014-08-31,2392.5,486388.0,87610.9563,31.8406,5.0285,5.5
2014-09-30,2412.1,611752.0,88328.6932,32.1014,5.0697,9.5
2014-10-31,2325.2,257041.0,85146.4953,30.9449,4.887,9.5
2014-11-30,2872.9,857810.0,105202.719,38.234,6.0382,9.5
2014-12-31,3182.7,413032.0,116547.2874,42.3569,6.6893,9.5
2015-01-31,3594.8,701549.0,131637.9816,47.8414,7.5554,9.5
2015-02-28,3414.5,408233.0,125035.5737,45.4418,7.1765,9.5
2015-03-31,3323.1,538543.0,121688.6018,31.7726,5.986,9.5
2015-04-30,3768.25,1073649.0,137989.5448,36.0288,6.7878,9.5
2015-05-31,3608.0,573585.0,132121.3501,34.4966,6.4992,9.5
2015-06-30,3962.8,316105.0,145113.7734,37.8889,7.1383,9.5
2015-07-31,4002.6,447879.0,146571.2119,38.2694,7.21,9.5
2015-08-31,3855.75,280294.0,141193.7072,36.8654,6.9454,4.0
2015-09-30,3650.85,398028.0,133690.4788,34.9063,6.5763,17.0
2015-10-31,3492.25,326063.0,127882.7009,33.3899,6.2907,17.0
2015-11-30,3364.65,143586.0,123210.112,32.1699,6.0608,17.0
2015-12-31,3449.4,295049.0,126313.5722,32.9802,6.2135,17.0
2016-01-31,3381.65,224099.0,123832.635,32.3324,6.0914,17.0
2016-02-29,3368.85,258808.0,123363.921,32.2101,6.0684,17.0
2016-03-31,3793.55,288047.0,134117.1693,43.4343,7.2914,17.0
2016-04-30,3996.3,220460.0,141285.1928,45.7557,7.681,17.0
2016-05-31,3958.2,241466.0,139938.201,45.3194,7.6078,17.0
2016-06-30,3899.65,216260.0,137868.222,44.6491,7.4953,17.0
2016-07-31,4005.8,357568.0,141621.0558,45.8644,7.6993,17.0
2016-08-31,4024.6,737321.0,142285.7132,46.0797,7.7354,34.0
2016-09-30,4471.85,454809.0,158097.7897,51.2005,8.5951,17.0
2016-10-31,4296.15,199955.0,151886.0831,49.1888,8.2574,17.0
2016-11-30,4089.75,325325.0,144589.0219,46.8256,7.8607,17.0
2016-12-31,4234.65,164058.0,149711.8121,48.4847,8.1392,17.0
2017-01-31,4088.4,253590.0,144541.2896,46.8102,7.8581,17.0
2017-02-28,3861.65,349654.0,136524.77,44.214,7.4222,17.0
2017-03-31,3796.2,676987.0,134210.8529,46.1208,6.5255,17.0
2017-04-30,4543.25,913696.0,160622.0609,55.1968,7.8097,17.0
2017-05-31,4556.05,411897.0,161074.5921,55.3523,7.8317,17.0
2017-06-30,4633.05,304237.0,163796.8501,56.2878,7.9641,17.0
2017-07-31,4694.8,149525.0,165979.9596,57.038,8.0702,17.0
2017-08-31,3997.6,470503.0,141331.1508,48.5676,6.8717,17.0
2017-09-30,3899.9,283397.0,137877.065,47.3806,6.7038,17.0
2017-10-31,3854.6,281805.0,136275.5288,46.8303,6.6259,17.0
2017-11-30,4037.6,968585.0,142745.3144,49.0536,6.9405,17.0
2017-12-31,4484.65,242422.0,158550.3206,54.4849,7.709,17.0
2018-01-31,4551.25,479704.0,156260.7697,55.294,7.8235,17.0
2018-02-28,3798.7,374448.0,130423.0197,46.1511,6.5298,17.0
2018-03-31,4229.15,352132.0,145201.9148,49.0848,8.1652,17.0
2018-04-30,4706.3,168648.0,161584.1887,54.6228,9.0864,17.0
2018-05-31,4622.7,167132.0,158713.9004,53.6525,8.925,17.0
2018-06-30,4576.55,154669.0,157129.405,53.1169,8.8359,17.0
2018-07-31,4473.85,153134.0,153603.345,51.9249,8.6377,17.0
2018-08-31,4403.45,221290.0,151186.2601,51.1078,8.5017,18.0
2018-09-30,4356.0,178359.0,149557.1311,50.5571,8.4101,18.0
2018-10-31,3901.05,171719.0,133937.063,45.2768,7.5317,18.0
2018-11-30,4300.15,180342.0,147639.5999,49.9089,8.3023,18.0
2018-12-31,4219.3,119443.0,144863.7289,48.9705,8.1462,18.0
2019-01-31,4377.55,165790.0,150297.02,50.8072,8.4517,18.0
2019-02-28,4345.9,148185.0,149210.3618,50.4399,8.3906,18.0
2019-03-31,4402.95,187765.0,151169.0933,56.1171,6.7504,18.0
2019-04-30,4111.85,171881.0,141174.5844,52.407,6.3041,18.0
2019-05-31,3832.55,130550.0,131585.2119,48.8472,5.8759,18.0
2019-06-30,3474.35,144522.0,119286.9188,44.2818,5.3267,18.0
2019-07-31,3068.1,271084.0,105338.8967,39.104,4.7039,18.0
2019-08-31,3133.6,125975.0,107587.747,39.9388,4.8043,18.0
2019-09-30,3351.25,116644.0,115060.4535,42.7128,5.138,18.0
2019-10-31,3593.9,82031.0,123391.4999,45.8055,5.51,18.0
2019-11-30,3716.35,245508.0,167020.5436,47.3662,5.6978,18.0
2019-12-31,3562.8,382090.0,160119.6854,45.4091,5.4623,18.0
2020-01-31,4130.1,358021.0,185615.3342,52.6396,6.3321,18.0
2020-02-29,4382.05,622066.0,196938.4942,55.8508,6.7184,18.0
2020-03-31,3455.95,743288.0,155317.6228,32.733,6.0376,18.0
2020-04-30,4300.3,399504.0,193264.4782,40.7303,7.5127,18.0
2020-05-31,5374.95,711650.0,241561.4974,50.9088,9.3901,18.0
2020-06-30,5937.0,868965.0,266821.2002,56.2322,10.3721,90.0
2020-07-31,5553.3,619404.0,249576.9195,52.598,9.7017,25.0
2020-08-31,5815.05,988049.0,261340.5121,55.0772,10.159,25.0
2020-09-30,5891.2,877317.0,264762.8524,55.7984,10.292,25.0
2020-10-31,5448.4,462578.0,244862.4941,51.6045,9.5185,25.0
2020-11-30,5046.8,757055.0,226813.7499,47.8007,8.8169,25.0
2020-12-31,5442.05,741203.0,244577.1118,51.5443,9.5074,25.0
2021-01-31,5373.25,705854.0,241485.0958,50.8927,9.3872,25.0
2021-02-28,5142.15,644000.0,231098.9784,48.7038,8.9834,25.0
2021-03-31,5341.9,489782.0,240076.1613,48.6415,9.4136,25.0
2021-04-30,5346.85,314905.0,240298.6246,48.6866,9.4224,25.0
2021-05-31,5297.2,636283.0,238067.2497,48.2345,9.3349,25.0
2021-06-30,5788.35,630676.0,260140.5582,52.7067,10.2004,25.0
2021-07-31,5778.4,446774.0,259693.3844,52.6161,10.1829,25.0
2021-08-31,5542.4,705697.0,249087.0507,50.4672,9.767,25.0
2021-09-30,5298.05,388875.0,238105.4505,48.2422,9.3364,25.0
2021-10-31,4988.3,318963.0,224184.6375,45.4218,8.7905,25.0
2021-11-30,4604.05,798028.0,206915.6387,41.9229,8.1134,150.0
2021-12-31,4965.2,412223.0,223146.4752,45.2114,8.7498,150.0
2022-01-31,5161.5,456557.0,231968.6079,46.9989,9.0957,150.0
2022-02-28,4410.4,497996.0,198212.6026,40.1596,7.7721,150.0
2022-03-31,4969.35,365222.0,223332.9849,34.6103,8.8473,150.0
2022-04-30,4649.9,212505.0,208976.2336,32.3854,8.2786,150.0
2022-05-31,5398.1,463853.0,242601.9068,37.5965,9.6107,150.0
2022-06-30,5007.15,219305.0,225031.796,34.8736,8.9146,150.0
2022-07-31,5284.65,157715.0,237503.2265,36.8063,9.4087,150.0
2022-08-31,5448.9,498356.0,244884.9651,37.9503,9.7011,150.0
2022-09-30,4883.05,331458.0,219454.4823,34.0093,8.6937,150.0
2022-10-31,4678.45,261091.0,210259.3303,32.5843,8.3294,150.0
2022-11-30,4630.15,637614.0,208088.6273,32.2479,8.2434,125.0
2022-12-31,4937.4,501574.0,221897.085,34.3878,8.7904,125.0
2023-01-31,4449.75,326591.0,199981.0739,30.9914,7.9222,125.0
2023-02-28,4279.95,178186.0,192349.9067,29.8088,7.6199,125.0
2023-03-31,4077.65,336896.0,183258.1214,24.1696,6.7571,125.0
2023-04-30,4140.9,162273.0,186100.7088,24.5445,6.8619,125.0
2023-05-31,4228.65,243870.0,190044.3773,25.0646,7.0073,125.0
2023-06-30,4380.95,771358.0,196889.0579,25.9673,7.2597,125.0
2023-07-31,4448.75,414833.0,199936.1318,26.3692,7.372,125.0
2023-08-31,4812.7,555074.0,216292.8062,28.5265,7.9751,60.0
2023-09-30,5340.35,848638.0,240006.501,31.654,8.8495,60.0
2023-10-31,4920.75,264263.0,221148.7992,29.1669,8.1542,60.0
2023-11-30,5373.6,688618.0,241500.8256,31.8511,8.9046,135.0
2023-12-31,5551.85,514471.0,249511.7535,32.9077,9.1999,135.0
2024-01-31,6002.05,563148.0,269744.6833,35.5761,9.946,135.0
2024-02-29,5669.35,436664.0,254792.4493,33.6041,9.3947,135.0
2024-03-31,5254.35,347793.0,236141.4811,31.889,8.2874,135.0
2024-04-30,5506.65,535316.0,247480.3709,33.4202,8.6854,135.0
2024-05-31,5028.65,575189.0,225998.0509,30.5192,7.9314,135.0
2024-06-30,6712.4,1046580.0,301669.2983,40.738,10.5871,135.0
2024-07-31,6956.5,1211609.0,312639.663,42.2195,10.9721,135.0
2024-08-31,6289.05,1135291.0,282643.0637,38.1687,9.9194,140.0
2024-09-30,6411.8,717520.0,288159.7055,38.9136,10.113,140.0
2024-10-31,6625.85,1073325.0,297779.5603,40.2127,10.4506,140.0
2024-11-30,5692.3,615596.0,255823.8703,34.5469,8.9782,125.0
2024-12-31,5550.95,560379.0,249471.3056,33.6891,8.7552,125.0
2025-01-31,5115.9,426140.0,229919.2485,31.0487,8.069,125.0
2025-02-28,4729.1,892155.0,212535.6473,28.7012,7.459,125.0
2025-03-31,4909.6,931793.0,220647.6949,38.81,7.7409,125.0
2025-04-30,4690.4,552012.0,210796.3883,37.0773,7.3953,125.0
2025-05-31,5678.3,2435275.0,255194.681,44.8866,8.9529,125.0
2025-06-30,6294.5,936202.0,282887.9981,49.7576,9.9245,125.0
2025-07-31,6322.5,962349.0,284146.3767,49.9789,9.9686,125.0
2025-08-31,5231.5,715247.0,235114.5543,41.3546,8.2485,125.0
2025-09-30,4810.5,713700.0,216193.9336,38.0267,7.5847,125.0
2025-10-31,4884.6,488506.0,219524.1426,38.6124,7.7015,125.0
2025-11-30,4658.4,978029.0,209358.2414,36.8243,7.3449,125.0
2025-12-31,4558.0,802578.0,204846.0553,36.0307,7.1866,125.0
2026-01-31,4466.2,347611.0,200720.3713,35.305,7.0418,125.0
2026-02-28,4672.4,520966.0,209987.4307,36.935,7.3669,125.0
2026-03-31,4513.5,41312.0,202846.1322,35.6789,7.1164,125.0
