VGRD IN Equity,price,volume,mc,pe,bm,div
2011-10-31,14.49,15974490.0,6053.073,14.2017,3.5197,0.25
2011-11-30,12.8,22099630.0,5348.672,12.549,3.1101,0.25
2011-12-31,11.06,14283626.0,4623.3777,10.8473,2.6884,0.25
2012-01-31,13.13,15572942.0,5487.4628,12.8746,3.1908,0.25
2012-02-29,13.71,21571620.0,5727.7352,13.4384,3.3305,0.25
2012-03-31,13.16,10626910.0,5497.9095,10.8226,2.6101,0.25
2012-04-30,13.62,6750016.0,5691.9182,11.2045,2.7022,0.25
2012-05-31,15.47,14606074.0,6463.4761,12.7233,3.0685,0.25
2012-06-30,16.65,44155230.0,6957.4522,13.6957,3.303,0.25
2012-07-31,21.49,116685520.0,8979.6203,17.6763,4.2631,0.25
2012-08-31,28.92,271509084.0,12083.7603,23.7867,5.7368,0.25
2012-09-30,28.28,67933432.0,11818.1176,23.2638,5.6106,0.25
2012-10-31,31.33,71342278.0,13089.6211,25.7667,6.2143,0.25
2012-11-30,37.56,107526034.0,15693.8154,30.8931,7.4506,0.25
2012-12-31,36.02,49610624.0,15052.0942,29.6298,7.146,0.25
2013-01-31,34.62,20761636.0,14467.0832,28.4783,6.8682,0.25
2013-02-28,32.41,13927676.0,13543.3031,26.6598,6.4297,0.25
2013-03-31,31.27,17566542.0,13067.2354,20.7685,5.0003,0.25
2013-04-30,36.34,34187874.0,15184.9155,24.1343,5.8106,0.25
2013-05-31,34.2,38066980.0,14289.4906,22.7111,5.468,0.25
2013-06-30,33.11,8974644.0,13835.8174,21.99,5.2944,0.25
2013-07-31,37.87,33645920.0,15823.6622,25.1494,6.055,0.25
2013-08-31,36.8,13868386.0,15378.9341,24.4426,5.8849,0.25
2013-09-30,34.85,5640208.0,14561.1121,23.1428,5.5719,0.25
2013-10-31,34.94,6681850.0,14599.9139,23.2045,5.5868,0.25
2013-11-30,34.43,4388188.0,14387.9965,22.8676,5.5057,0.25
2013-12-31,33.65,4180526.0,14062.6585,22.3506,5.3812,0.25
2014-01-31,30.93,8268792.0,12922.4833,20.5384,4.9449,0.25
2014-02-28,29.93,2649920.0,12504.6181,19.8743,4.785,0.25
2014-03-31,33.35,14015358.0,13935.8066,19.8681,4.3764,0.25
2014-04-30,33.94,7957250.0,14183.541,20.2213,4.4542,0.25
2014-05-31,40.27,28264782.0,16826.5388,23.9894,5.2842,0.25
2014-06-30,42.11,17441914.0,17595.1124,25.0851,5.5255,0.25
2014-07-31,54.9,34816082.0,22942.2954,32.7085,7.2048,0.3214
2014-08-31,52.7,8169280.0,22028.4301,31.3957,6.9156,0.3214
2014-09-30,63.04,17780840.0,26351.7111,37.5574,8.2728,0.3214
2014-10-31,65.29,8217608.0,27290.711,38.8957,8.5676,0.3214
2014-11-30,80.02,18728640.0,33515.7904,47.6702,10.5004,0.3214
2014-12-31,83.39,21542248.0,34927.9245,49.6787,10.9428,0.3214
2015-01-31,71.42,18228196.0,29915.1429,42.5489,9.3723,0.3214
2015-02-28,67.2,5199096.0,28189.1898,40.034,8.8184,0.3214
2015-03-31,65.24,6642608.0,27374.4694,38.601,7.247,0.3214
2015-04-30,71.36,8707356.0,29946.1649,42.2274,7.9278,0.3214
2015-05-31,66.9,3968832.0,28071.3449,39.5837,7.4315,0.3214
2015-06-30,63.98,4603522.0,26846.9421,37.8571,7.1073,0.3214
2015-07-31,68.08,3378816.0,28567.4004,40.2832,7.5628,0.3214
2015-08-31,64.25,10928050.0,26981.8376,38.0156,7.1371,0.3214
2015-09-30,64.44,1814890.0,27061.3327,38.1276,7.1581,0.3214
2015-10-31,64.1,4015900.0,26921.8413,37.9311,7.1212,0.3214
2015-11-30,66.06,1468964.0,27763.6814,39.0913,7.339,0.3214
2015-12-31,67.49,2629816.0,28361.0403,39.9324,7.4969,0.3214
2016-01-31,63.74,1224174.0,26785.0934,37.7134,7.0803,0.3214
2016-02-29,56.99,3599694.0,23990.6812,33.7215,6.3309,0.3214
2016-03-31,62.89,4029032.0,26488.5541,23.6553,5.6266,0.3214
2016-04-30,67.7,34259218.0,28513.2911,25.4635,6.0567,0.3214
2016-05-31,90.56,47910660.0,38143.578,34.0637,8.1024,0.3214
2016-06-30,100.54,17775730.0,42346.4887,37.817,8.9951,0.3214
2016-07-31,113.72,14944272.0,47897.2164,42.774,10.1742,0.5
2016-08-31,135.96,20048959.0,57267.2634,51.1419,12.1646,0.5
2016-09-30,131.21,9859479.0,55266.5946,49.3552,11.7396,0.5
2016-10-31,150.39,24516372.0,63344.4828,56.569,13.4555,0.5
2016-11-30,122.71,16851176.0,51686.4505,46.158,10.9791,0.5
2016-12-31,115.93,9744235.0,49046.0664,43.6056,10.372,0.5
2017-01-31,146.5,30454414.0,61979.9644,55.1048,13.1072,0.5
2017-02-28,162.0,10660021.0,68596.3065,60.935,14.494,0.5
2017-03-31,173.4,23154760.0,73635.0815,50.7018,11.6077,0.1786
2017-04-30,190.4,11862248.0,80854.2072,55.6725,12.7458,0.1786
2017-05-31,181.85,43842735.0,77223.4116,53.1725,12.1734,0.1786
2017-06-30,172.55,22278951.0,73274.1253,50.4532,11.5508,0.1786
2017-07-31,178.15,25794104.0,75652.1902,52.0906,11.9257,0.7
2017-08-31,186.15,17126721.0,79049.4258,54.4298,12.4613,0.7
2017-09-30,182.3,24651303.0,77414.5061,53.3041,12.2035,0.7
2017-10-31,214.75,26502716.0,91194.543,62.7924,14.3758,0.7
2017-11-30,229.45,52230999.0,97436.9619,67.0906,15.3599,0.7
2017-12-31,243.8,28630498.0,103530.7532,71.2865,16.3205,0.7
2018-01-31,233.55,34435694.0,99178.0452,68.2895,15.6343,0.7
2018-02-28,242.3,27345401.0,103114.0583,70.848,16.2201,0.7
2018-03-31,222.2,17059290.0,94585.1252,70.3165,12.6174,0.7
2018-04-30,240.3,22481797.0,102289.8541,76.0443,13.6452,0.7
2018-05-31,220.8,21707822.0,94020.4848,69.8734,12.5379,0.7
2018-06-30,196.1,22356559.0,83502.7947,62.057,11.1353,0.7
2018-07-31,214.4,25611177.0,91295.2533,67.8481,12.1745,0.7
2018-08-31,224.1,24912820.0,95558.6464,70.9177,12.7253,0.7
2018-09-30,176.25,19229956.0,75154.8926,55.7753,10.0082,0.7
2018-10-31,187.75,20364751.0,80119.8894,59.4146,10.6612,0.7
2018-11-30,210.6,14376665.0,89870.832,66.6456,11.9587,0.7
2018-12-31,228.15,17300252.0,97360.068,72.1994,12.9553,0.7
2019-01-31,196.65,22494261.0,83956.5896,62.231,11.1666,0.7
2019-02-28,205.15,19236791.0,87585.5294,64.9209,11.6492,0.7
2019-03-31,222.35,20305075.0,94928.7958,56.7219,10.5546,0.7
2019-04-30,217.9,12296261.0,93028.9391,55.5867,10.3433,0.7
2019-05-31,242.55,24611299.0,103588.5734,61.875,11.5134,0.7
2019-06-30,243.45,22857595.0,103972.9466,62.1046,11.5562,0.7
2019-07-31,232.8,14431499.0,99424.5306,59.3878,11.0506,0.8
2019-08-31,232.1,6251628.0,99211.2318,59.2092,11.0174,0.8
2019-09-30,224.85,5208627.0,96112.2166,57.3597,10.6732,0.8
2019-10-31,249.8,5274962.0,106834.1832,63.7245,11.8576,0.8
2019-11-30,237.1,6474078.0,101402.6615,60.4847,11.2547,0.8
2019-12-31,212.6,10605419.0,90924.529,54.2347,10.0918,0.8
2020-01-31,225.45,7401435.0,96420.2026,57.5128,10.7017,0.8
2020-02-29,202.95,7113568.0,86885.7812,51.773,9.6337,0.9
2020-03-31,155.15,7568100.0,66448.8111,35.4224,6.6752,0.9
2020-04-30,176.7,12534310.0,75678.4074,40.3425,7.6024,0.9
2020-05-31,177.05,7218900.0,75828.3081,40.4224,7.6175,0.9
2020-06-30,169.95,11601012.0,72787.4666,38.8014,7.312,0.9
2020-07-31,162.85,8424537.0,69746.6251,37.1804,7.0065,0.9
2020-08-31,167.3,32016305.0,71687.3288,38.1963,7.198,0.9
2020-09-30,170.45,11655510.0,73037.0902,38.9155,7.3335,0.9
2020-10-31,169.75,9555693.0,72808.1787,38.7557,7.3034,0.9
2020-11-30,184.95,18037949.0,79327.6739,42.226,7.9574,0.9
2020-12-31,186.2,16744282.0,79970.5997,42.5114,8.0111,0.9
2021-01-31,230.8,29588924.0,99125.7487,52.6941,9.93,0.9
2021-02-28,225.1,29851882.0,96677.6691,51.3927,9.6848,0.9
2021-03-31,252.35,20866056.0,108558.0622,53.9209,8.9622,0.9
2021-04-30,223.1,13294422.0,95975.0492,47.6709,7.9234,0.0
2021-05-31,278.95,34431390.0,120001.0757,59.6047,9.9069,0.0
2021-06-30,265.15,33954518.0,114064.4747,56.656,9.4168,0.0
2021-07-31,249.0,18700400.0,107116.926,53.2051,8.8432,1.2
2021-08-31,243.45,18246726.0,104729.3801,52.0192,8.6461,1.2
2021-09-30,257.95,22210736.0,110967.1127,55.1175,9.1611,1.2
2021-10-31,256.9,14781634.0,110697.2695,54.8932,9.1238,1.2
2021-11-30,244.75,10017356.0,105461.879,52.297,8.6923,1.2
2021-12-31,221.65,7385754.0,95508.1735,47.3611,7.8719,1.2
2022-01-31,215.65,9898500.0,93023.4961,46.0791,7.6588,1.2
2022-02-28,195.1,8826658.0,84158.9802,41.688,6.929,1.2
2022-03-31,215.8,12889220.0,93126.7494,40.794,6.619,1.2
2022-04-30,211.65,8780190.0,91335.8503,40.0095,6.4917,1.2
2022-05-31,234.3,15242352.0,101110.2751,44.2911,7.1864,1.2
2022-06-30,225.2,6139837.0,97183.2435,42.5709,6.9073,1.2
2022-07-31,226.2,6200738.0,97614.7855,42.7599,6.938,1.3
2022-08-31,227.15,7438041.0,98056.1449,42.9395,6.9671,1.3
2022-09-30,242.85,10256153.0,104833.5232,45.9074,7.4487,1.3
2022-10-31,256.0,9461970.0,110510.1171,48.3932,7.852,1.3
2022-11-30,252.9,7184851.0,109195.24,47.8072,7.7569,1.3
2022-12-31,261.4,9454187.0,112865.3054,49.414,8.0177,1.3
2023-01-31,246.75,2765467.0,106539.8397,46.6446,7.5683,1.3
2023-02-28,245.95,4768669.0,106274.1979,46.4934,7.5438,1.3
2023-03-31,250.05,1820751.0,108045.7946,57.089,6.7221,1.3
2023-04-30,254.8,1721844.0,110118.0453,58.1735,6.8498,1.3
2023-05-31,251.05,3307919.0,108497.3912,57.3174,6.7489,1.3
2023-06-30,282.5,9038204.0,122471.7236,64.4977,7.5944,1.3
2023-07-31,283.65,6567595.0,122970.281,64.7603,7.6253,1.3
2023-08-31,314.35,18259886.0,136279.5975,71.7694,8.4506,1.3
2023-09-30,307.3,5551413.0,133223.2235,70.1598,8.2611,1.3
2023-10-31,299.6,7084892.0,129885.0562,68.4018,8.0541,1.3
2023-11-30,301.6,4522726.0,130797.0936,68.8584,8.1079,1.3
2023-12-31,292.35,7100058.0,126785.578,66.7466,7.8592,1.3
2024-01-31,292.4,5663713.0,126807.2618,66.758,7.8606,1.3
2024-02-29,324.95,24896141.0,141075.6774,74.1895,8.7356,1.3
2024-03-31,331.35,10224709.0,143854.2105,56.2564,7.9336,1.3
2024-04-30,343.0,7413449.0,148994.3911,58.2343,8.2126,1.3
2024-05-31,370.4,22431228.0,161061.0394,62.8862,8.8686,1.3
2024-06-30,431.1,16750267.0,187455.2216,73.1919,10.322,1.3
2024-07-31,459.7,12655705.0,199891.3602,78.0475,11.0068,1.4
2024-08-31,458.55,28288907.0,199490.0971,77.8523,10.9792,1.4
2024-09-30,447.25,8551106.0,194574.0833,75.9338,10.7087,1.4
2024-10-31,434.7,9284284.0,189114.2628,73.8031,10.4082,1.4
2024-11-30,416.95,5729522.0,181529.9932,70.7895,9.9832,1.4
2024-12-31,422.5,6971347.0,183946.3296,71.7317,10.1161,1.4
2025-01-31,364.45,9587102.0,158672.757,61.8761,8.7262,1.4
2025-02-28,309.45,8303903.0,134741.7646,52.5382,7.4093,1.4
2025-03-31,355.55,6465185.0,154814.7824,49.5886,7.3858,1.4
2025-04-30,360.65,6557223.0,157163.7083,50.2999,7.4917,1.4
2025-05-31,379.35,9995455.0,165394.4324,52.9079,7.8802,1.4
2025-06-30,387.3,7484864.0,168860.587,54.0167,8.0453,1.4
2025-07-31,382.05,10776591.0,166571.617,53.2845,7.9363,1.5
2025-08-31,363.35,3935256.0,158420.1589,50.6764,7.5478,1.5
2025-09-30,375.5,14274376.0,163717.5441,52.371,7.8002,1.5
2025-10-31,362.25,12358400.0,157940.5602,50.523,7.525,1.5
2025-11-30,344.3,7748384.0,150233.4592,48.0195,7.1521,1.5
2025-12-31,328.0,6452544.0,143121.0416,45.7462,6.8135,1.5
2026-01-31,351.95,12241582.0,153571.4957,49.0865,7.311,1.5
2026-02-28,313.2,3131639.0,136791.5175,43.682,6.5061,1.5
2026-03-31,306.0,540595.0,133646.885,42.6778,6.3565,1.5
