BIOS IN Equity,price,volume,mc,pe,bm,div
2021-02-28,390.2,103714351.0,468240.0,74.9184,6.4134,0.0
2021-03-31,408.9,74708767.0,490680.0,78.5929,6.7016,0.0
2021-04-30,379.65,88882981.0,455580.0,72.9709,6.2222,0.0
2021-05-31,388.2,58137321.0,465840.0,74.6142,6.3623,0.0
2021-06-30,404.45,63858432.0,485340.0,86.9269,6.2689,0.0
2021-07-31,386.35,63206238.0,463851.81,83.0367,5.9884,0.0
2021-08-31,358.85,45004161.0,430835.31,77.1262,5.5621,0.0
2021-09-30,362.7,61784623.0,435457.62,82.7561,5.518,0.0
2021-10-31,351.1,59061292.0,421530.66,80.1093,5.3415,0.0
2021-11-30,360.4,62074832.0,432696.24,82.2313,5.483,0.0
2021-12-31,364.65,74131908.0,437798.79,80.4477,5.3929,0.0
2022-01-31,367.1,61501931.0,440740.26,80.9882,5.4291,0.0
2022-02-28,348.85,69145571.0,418829.31,76.9619,5.1592,0.0
2022-03-31,335.6,82408708.0,402921.36,61.6912,4.9748,0.0
2022-04-30,368.45,65615282.0,442361.07,67.7298,5.4618,0.0
2022-05-31,334.1,39327830.0,401120.46,61.4154,4.9526,0.0
2022-06-30,308.4,59698006.0,370265.04,51.9192,4.5983,0.5
2022-07-31,307.2,41937929.0,368824.32,51.7172,4.5983,0.5
2022-08-31,309.9,32752782.0,372065.94,52.1717,4.5983,0.5
2022-09-30,290.95,46505873.0,349314.57,56.2766,3.6281,0.5
2022-10-31,269.85,47446165.0,323981.91,52.1954,3.365,0.5
2022-11-30,282.85,60173007.0,339589.71,54.7099,3.5271,0.5
2022-12-31,261.85,52589432.0,314377.11,80.5692,3.2522,0.5
2023-01-31,235.05,39487497.0,282201.03,72.3231,3.2522,0.5
2023-02-28,229.15,120407255.0,275117.49,70.5077,3.2522,0.5
2023-03-31,206.35,166656943.0,247743.81,53.3204,1.3866,0.5
2023-04-30,232.55,92081430.0,279199.53,60.0904,1.5627,0.5
2023-05-31,245.2,80887577.0,294387.12,63.3592,1.6477,0.5
2023-06-30,265.5,76391419.0,318759.3,75.641,1.6463,0.5
2023-07-31,257.1,87863494.0,308674.26,73.2479,1.6463,1.5
2023-08-31,259.35,102811601.0,311375.61,73.8889,1.6463,1.5
2023-09-30,272.2,67936274.0,326803.32,65.2758,1.7216,1.5
2023-10-31,219.65,63620071.0,263711.79,52.6739,1.3892,1.5
2023-11-30,238.3,65759556.0,286102.98,57.1463,1.5072,1.5
2023-12-31,249.65,73722829.0,299729.79,24.8655,1.5644,1.5
2024-01-31,268.4,167208176.0,322241.04,26.7331,1.5644,1.5
2024-02-29,276.5,206506755.0,331965.9,27.5398,1.5644,1.5
2024-03-31,264.15,125374606.0,317138.49,30.8947,1.603,1.5
2024-04-30,298.55,194726320.0,358439.13,34.9181,1.8118,1.5
2024-05-31,309.25,225365693.0,371285.55,36.1696,1.8767,1.5
2024-06-30,351.1,156410390.0,421530.66,26.5783,2.1007,1.5
2024-07-31,362.35,105103660.0,435037.41,27.43,2.1007,0.5
2024-08-31,359.1,84225989.0,431135.46,27.184,2.1007,0.5
2024-09-30,363.1,152858954.0,435937.86,30.1911,2.0766,0.5
2024-10-31,316.1,74116280.0,379509.66,26.2831,1.8078,0.5
2024-11-30,365.15,81255849.0,438399.09,30.3615,2.0883,0.5
2024-12-31,365.35,69940576.0,438639.21,54.394,2.1029,0.5
2025-01-31,362.55,147905845.0,435277.53,53.9771,2.1029,0.5
2025-02-28,302.45,73136675.0,363121.47,45.0293,2.1029,0.5
2025-03-31,341.7,44795907.0,410245.02,40.358,1.8954,0.5
2025-04-30,321.8,52509496.0,386353.08,38.0076,1.785,0.5
2025-05-31,335.85,67109472.0,403221.51,39.667,1.863,0.5
2025-06-30,355.7,132282536.0,475557.965,110.578,1.9659,0.5
2025-07-31,391.4,118301876.0,523287.5667,121.6762,1.9659,0.5
2025-08-31,348.35,62674489.0,465731.2823,108.2931,1.9659,0.5
2025-09-30,341.0,63700531.0,455904.5995,85.0374,1.7009,0.5
2025-10-31,372.1,49625485.0,497484.1686,92.793,1.856,0.5
2025-11-30,398.35,91469183.0,532579.464,99.3392,1.987,0.5
2025-12-31,393.9,82780148.0,526629.9758,80.7172,1.9473,0.5
2026-01-31,366.8,59563384.0,594548.9711,75.1639,1.9473,0.5
2026-02-28,389.8,75549911.0,631829.8499,79.877,1.9473,0.5
2026-03-31,386.75,10990663.0,626886.0812,79.252,1.9473,0.5
