HAVL IN Equity,price,volume,mc,pe,bm,div
2006-06-30,27.57,29183500.0,13722.6285,22.7007,13.5567,0.125
2006-07-31,29.78,22325050.0,16009.2515,24.5248,14.646,0.125
2006-08-31,28.33,13381870.0,15229.7547,23.3307,13.9329,0.125
2006-09-30,30.56,19291530.0,16425.8791,25.1631,15.0272,0.125
2006-10-31,31.07,49252540.0,16700.0469,25.5831,15.278,0.125
2006-11-30,33.42,38556290.0,17966.0573,27.5225,16.4362,0.125
2006-12-31,37.26,31647430.0,20030.3798,30.6848,18.3247,0.125
2007-01-31,48.86,81421350.0,26266.3542,40.2378,24.0297,0.125
2007-02-28,45.6,52014950.0,24511.1425,37.549,22.4239,0.125
2007-03-31,43.65,30370560.0,23465.5416,22.9777,8.9425,0.125
2007-04-30,45.73,9899410.0,24583.7163,24.0727,9.3686,0.125
2007-05-31,48.88,20721530.0,26274.418,25.7282,10.0129,0.125
2007-06-30,48.24,9929840.0,25933.0521,25.3939,9.8828,0.25
2007-07-31,49.9,36871640.0,26822.7537,26.2651,10.2219,0.25
2007-08-31,50.89,13454920.0,27357.6497,26.7889,10.4257,0.25
2007-09-30,50.46,36041030.0,27123.5986,26.5599,10.3366,0.25
2007-10-31,63.89,98470080.0,34343.2979,33.6296,13.0879,0.25
2007-11-30,62.52,23995440.0,33609.5012,32.9111,12.8083,0.25
2007-12-31,69.81,29795510.0,37528.4594,36.7486,14.3018,0.25
2008-01-31,56.18,28961100.0,32538.332,29.5736,11.5094,0.25
2008-02-29,55.79,5799150.0,32312.4518,29.3683,11.4295,0.25
2008-03-31,46.74,6760330.0,27067.977,16.0271,3.965,0.25
2008-04-30,51.05,8980410.0,29563.2224,17.5051,4.3307,0.25
2008-05-31,47.84,7832740.0,27707.0146,16.406,4.0588,0.25
2008-06-30,34.06,21429440.0,19726.1897,11.6804,2.8897,0.25
2008-07-31,35.82,23213990.0,20742.6155,12.2822,3.0386,0.25
2008-08-31,35.99,4679710.0,20846.8643,12.344,3.0539,0.25
2008-09-30,29.8,8464640.0,17256.0723,10.2178,2.5278,0.25
2008-10-31,17.31,36076650.0,10022.3639,5.9345,1.4682,0.25
2008-11-30,11.58,6468270.0,6706.6728,3.9712,0.9825,0.25
2008-12-31,12.26,13639410.0,7097.6058,4.2027,1.0397,0.25
