CLGT IN Equity,price,volume,mc,pe,bm,div
2009-01-31,212.13,3754556.0,57695.0286,24.8973,35.5689,8.0
2009-02-28,232.65,6724750.0,63277.5411,27.3063,39.0105,8.0
2009-03-31,235.6,8063874.0,64079.8998,22.0806,29.626,8.0
2009-04-30,238.45,6440404.0,64855.0599,22.3477,29.9844,9.0
2009-05-31,236.93,9544064.0,64440.2813,22.2048,29.7926,9.0
2009-06-30,302.52,11087268.0,82282.5624,28.3529,38.0417,9.0
2009-07-31,333.55,12596010.0,90720.9278,31.2605,41.943,9.0
2009-08-31,303.43,6749296.0,82527.3498,28.4372,38.1548,10.5
2009-09-30,316.35,7323042.0,86042.7687,29.6485,39.7801,10.5
2009-10-31,350.28,6240028.0,95269.8935,32.828,44.0461,10.5
2009-11-30,343.75,5072682.0,93495.1849,32.2165,43.2256,10.5
2009-12-31,329.5,3497832.0,89619.3845,30.881,41.4337,10.5
2010-01-31,339.53,5503774.0,92346.0441,31.8205,42.6943,10.5
2010-02-28,344.13,4846320.0,93597.1796,32.2516,43.2727,10.5
2010-03-31,337.65,3568122.0,91836.0703,21.6999,28.1609,10.5
2010-04-30,371.0,7014454.0,100906.8032,23.8432,30.9424,10.0
2010-05-31,378.78,4493514.0,103021.4943,24.3429,31.5908,10.0
2010-06-30,418.58,6886726.0,113846.5368,26.9007,34.9103,10.0
2010-07-31,421.53,5912366.0,114648.8955,27.0903,35.1563,10.0
2010-08-31,412.78,5171816.0,112269.018,26.528,34.4265,11.0
2010-09-30,435.63,7407646.0,118483.898,27.9965,36.3323,11.0
2010-10-31,440.08,9800666.0,119694.2356,28.2825,36.7034,11.0
2010-11-30,443.0,9498666.0,120489.7946,28.4704,36.9474,11.0
2010-12-31,434.93,3282124.0,118293.5078,27.9515,36.2739,10.0
2011-01-31,412.03,6166602.0,112065.0285,26.4798,34.364,10.0
2011-02-28,410.65,7175068.0,111691.0478,26.3914,34.2493,10.0
2011-03-31,407.05,4308178.0,110711.8982,27.5034,28.8272,11.0
2011-04-30,452.18,3992226.0,122985.2661,30.5524,32.0229,11.0
2011-05-31,446.83,2982360.0,121530.1411,30.1909,31.644,11.0
