APR IN Equity,price,volume,mc,pe,bm,div
2012-04-30,149.35,162486.0,5372.478,7.799,1.0979,3.5
2012-05-31,139.95,461356.0,5034.3375,7.3081,1.0288,3.5
2012-06-30,138.7,206566.0,4989.372,7.2428,1.0196,3.5
2012-07-31,131.25,322395.0,4721.3776,6.8538,0.9649,3.5
2012-08-31,128.0,124583.0,4604.4673,6.6841,0.941,3.5
2012-09-30,141.85,211674.0,5102.685,7.4073,1.0428,3.5
2012-10-31,174.75,298200.0,6286.177,9.1253,1.2847,0.0
2012-11-30,151.75,131559.0,5458.8118,7.9243,1.1156,4.0
2012-12-31,157.75,184940.0,6068.7059,8.2376,1.1597,4.0
2013-01-31,134.65,199504.0,5180.0396,7.0313,0.9899,4.0
2013-02-28,128.4,448383.0,4939.5996,6.705,0.9439,4.0
2013-03-31,107.95,728304.0,4152.8799,3.7944,0.6627,4.0
2013-04-30,120.45,328433.0,4633.7599,4.2337,0.7395,4.0
2013-05-31,112.8,589917.0,4339.4613,3.9649,0.6925,4.0
2013-06-30,109.9,292325.0,4227.9005,3.8629,0.6747,4.0
2013-07-31,95.6,246645.0,3677.7733,3.3603,0.5869,4.0
2013-08-31,87.15,470169.0,3352.6982,3.0633,0.535,5.25
2013-09-30,86.9,108169.0,3343.0806,3.0545,0.5335,5.25
2013-10-31,117.85,2103835.0,4533.7404,4.1424,0.7235,5.25
2013-11-30,124.9,349802.0,4804.957,4.3902,0.7668,5.25
2013-12-31,150.9,638566.0,5805.1882,5.304,0.9264,5.25
2014-01-31,130.35,649016.0,5014.6208,4.5817,0.8003,5.25
2014-02-28,123.45,709645.0,4749.1749,4.3392,0.7579,5.25
2014-03-31,144.9,631591.0,5574.3656,6.2189,0.8007,5.25
2014-04-30,140.1,671487.0,5389.7076,6.0129,0.7741,5.25
2014-05-31,216.3,3922138.0,8321.1545,9.2833,1.1952,5.25
2014-06-30,258.85,2009107.0,9958.0714,11.1094,1.4303,5.25
2014-07-31,340.0,8784291.0,13079.947,14.5923,1.8787,5.25
2014-08-31,331.0,4202858.0,12733.7131,14.206,1.829,5.25
2014-09-30,386.7,4672951.0,14876.5162,16.5966,2.1368,5.25
2014-10-31,375.95,1498439.0,14462.959,16.1352,2.0774,5.25
2014-11-30,414.85,2707181.0,15959.9542,17.8047,2.2923,5.25
2014-12-31,408.85,1115361.0,15729.1244,17.5472,2.2591,5.25
2015-01-31,371.85,1011679.0,14314.4973,15.9592,2.0547,5.25
2015-02-28,360.65,856360.0,13883.9436,15.4785,1.9928,5.25
2015-03-31,370.45,554834.0,14261.0291,28.784,1.9541,5.25
2015-04-30,358.05,395786.0,13783.6725,27.8205,1.8887,5.25
2015-05-31,334.25,139796.0,12867.545,25.9713,1.7631,5.25
2015-06-30,376.7,341736.0,14501.7329,29.2696,1.987,5.25
2015-07-31,424.7,1111580.0,16349.5778,32.9992,2.2402,3.5
2015-08-31,419.0,2064120.0,16130.1462,32.5563,2.2102,3.5
2015-09-30,413.5,541058.0,15918.414,32.129,2.1812,3.5
2015-10-31,427.4,600071.0,16453.519,33.209,2.2545,3.5
2015-11-30,464.0,2232912.0,17862.5008,36.0528,2.4475,3.5
2015-12-31,509.65,1134599.0,19619.8783,39.5998,2.6883,3.5
2016-01-31,498.5,743826.0,19190.6393,38.7335,2.6295,3.5
2016-02-29,416.1,364088.0,16018.5056,32.331,2.1949,3.5
2016-03-31,460.95,258059.0,17745.0856,14.1918,2.078,10.0
2016-04-30,478.0,208904.0,18401.4556,14.7167,2.1549,10.0
2016-05-31,486.9,1014690.0,18744.0768,14.9908,2.195,10.0
2016-06-30,536.25,676308.0,20643.8924,16.5102,2.4175,10.0
2016-07-31,583.95,454423.0,22480.1882,17.9788,2.6325,6.5
2016-08-31,554.8,741860.0,21358.0074,17.0813,2.5011,6.5
2016-09-30,543.05,630805.0,20905.6704,16.7195,2.4481,6.5
2016-10-31,589.65,437364.0,22699.6198,18.1542,2.6582,6.5
2016-11-30,587.0,1434025.0,22597.6034,18.0727,2.6463,6.5
2016-12-31,574.9,311646.0,22131.7925,17.7001,2.5917,6.5
2017-01-31,622.5,1018592.0,23964.2387,19.1656,2.8063,6.5
2017-02-28,736.65,1000378.0,28358.6448,22.6801,3.3209,6.5
2017-03-31,749.55,6039366.0,28684.2438,16.3372,2.7684,5.5
2017-04-30,797.95,1201499.0,30536.445,17.3921,2.9472,5.5
2017-05-31,888.45,717664.0,33999.755,19.3646,3.2814,0.0
2017-06-30,748.65,648758.0,28649.802,16.3176,2.7651,0.0
2017-07-31,784.75,454894.0,30031.2992,17.1044,2.8984,0.0
2017-08-31,777.8,679082.0,29765.3323,16.9529,2.8728,10.0
2017-09-30,742.65,372961.0,28420.1903,16.1868,2.7429,10.0
2017-10-31,767.05,319800.0,29353.9446,16.7186,2.8331,10.0
2017-11-30,785.5,722631.0,30060.0002,17.1207,2.9012,10.0
2017-12-31,810.05,934806.0,30999.4948,17.6558,2.9919,10.0
2018-01-31,736.45,676456.0,28182.9245,16.0517,2.72,10.0
2018-02-28,797.25,411381.0,30509.6565,17.3769,2.9446,10.0
2018-03-31,728.0,270660.0,27859.5546,19.2491,2.5138,10.0
2018-04-30,807.35,924190.0,30896.1695,21.3472,2.7878,10.0
2018-05-31,705.5,372508.0,26998.5107,18.6542,2.4361,10.0
2018-06-30,674.85,218270.0,25825.5775,17.8437,2.3303,10.0
2018-07-31,620.5,380042.0,23745.6781,16.4067,2.1426,10.0
2018-08-31,616.3,636602.0,23584.9499,16.2956,2.1281,9.5
2018-09-30,591.05,524375.0,22618.6673,15.628,2.0409,9.5
2018-10-31,551.3,369224.0,21097.4897,14.5769,1.9037,9.5
2018-11-30,615.75,628653.0,23563.9021,16.2811,2.1262,9.5
2018-12-31,660.25,191771.0,25266.8557,17.4577,2.2799,9.5
2019-01-31,621.7,152877.0,23791.6004,16.4384,2.1468,9.5
2019-02-28,631.6,174604.0,24170.4598,16.7002,2.181,9.5
2019-03-31,671.9,187680.0,25712.6851,18.9001,2.1385,9.5
2019-04-30,666.95,171075.0,25523.2554,18.7609,2.1227,9.5
2019-05-31,669.85,146565.0,25634.2344,18.8425,2.132,9.5
2019-06-30,578.15,209206.0,22125.0021,16.263,1.8401,9.5
2019-07-31,487.15,236049.0,18642.5577,13.7032,1.5505,9.5
2019-08-31,535.75,585986.0,20502.4126,15.0703,1.7052,9.5
2019-09-30,557.6,96010.0,21338.582,15.685,1.7747,9.5
2019-10-31,534.5,128003.0,20454.5769,15.0352,1.7012,9.5
2019-11-30,454.3,302015.0,17385.4336,12.7792,1.4459,9.5
2019-12-31,389.8,514228.0,14917.1077,10.9648,1.2406,9.5
2020-01-31,388.95,1270897.0,14884.5794,10.9409,1.2379,9.5
2020-02-29,353.6,623626.0,13531.7837,9.9466,1.1254,9.5
2020-03-31,288.2,781784.0,11029.016,8.1606,0.9455,9.5
2020-04-30,311.75,254207.0,11930.242,8.8274,1.0228,9.5
2020-05-31,309.65,650717.0,11849.8779,8.7679,1.0159,9.5
2020-06-30,321.85,757452.0,12316.755,9.1134,1.0559,9.5
2020-07-31,302.35,487770.0,11570.517,8.5612,0.992,9.5
2020-08-31,321.45,2480196.0,12301.4476,9.1021,1.0546,9.5
2020-09-30,292.8,955530.0,11205.0516,8.2908,0.9606,9.5
2020-10-31,287.55,338404.0,11004.1414,8.1422,0.9434,9.5
2020-11-30,349.0,1192946.0,13355.748,9.8822,1.145,9.5
2020-12-31,349.0,1409267.0,13355.748,9.8822,1.145,9.5
2021-01-31,363.7,3684234.0,13918.2967,10.2984,1.1932,9.5
2021-02-28,461.65,7302063.0,17666.708,13.0719,1.5146,9.5
2021-03-31,475.3,1614307.0,18189.0746,11.3329,1.2997,9.5
2021-04-30,494.75,3048936.0,18933.3993,11.7966,1.3528,9.5
