BJAUT IN Equity,price,volume,mc,pe,bm,div
2019-12-31,3185.0,8048725.0,921633.9587,18.7023,3.9668,60.0
2020-01-31,3180.05,10459224.0,920201.592,18.6732,3.9606,60.0
2020-02-29,2890.0,10440492.0,836270.6878,16.9701,3.5994,60.0
2020-03-31,2022.35,18255395.0,585201.3929,11.2228,2.7006,120.0
2020-04-30,2623.3,16086825.0,759096.5036,14.5577,3.5031,120.0
2020-05-31,2710.5,21117876.0,784329.3077,15.0416,3.6195,120.0
2020-06-30,2826.05,20430865.0,817765.6669,15.6829,3.7738,120.0
2020-07-31,3004.95,21525596.0,869533.4267,16.6756,4.0127,120.0
2020-08-31,2967.0,18882290.0,858551.9483,16.465,3.962,120.0
2020-09-30,2881.1,21739438.0,833695.3213,15.9883,3.8473,120.0
2020-10-31,2886.9,26458313.0,835373.6414,16.0205,3.8551,120.0
2020-11-30,3173.55,16832126.0,918320.6968,17.6113,4.2378,120.0
2020-12-31,3444.05,18307616.0,996594.4749,19.1124,4.5991,120.0
2021-01-31,4005.8,26910230.0,1159146.397,22.2297,5.3492,120.0
2021-02-28,3798.7,14505589.0,1099218.488,21.0805,5.0726,120.0
2021-03-31,3670.6,16794088.0,1062150.573,21.8591,3.8928,120.0
2021-04-30,3833.75,14165392.0,1109360.801,22.8307,4.0658,120.0
2021-05-31,4192.8,11412036.0,1213258.029,24.9689,4.4466,0.0
2021-06-30,4133.85,8168287.0,1196199.843,24.6179,4.3841,0.0
2021-07-31,3829.6,11642075.0,1108159.94,22.806,4.0614,140.0
2021-08-31,3727.85,8675761.0,1078716.846,22.2001,3.9535,140.0
2021-09-30,3832.65,11926996.0,1109042.509,22.8242,4.0647,140.0
2021-10-31,3707.25,8404948.0,1072755.885,22.0774,3.9317,140.0
2021-11-30,3240.3,8475166.0,937635.9549,19.2966,3.4365,140.0
2021-12-31,3249.25,10459100.0,940225.7897,19.3499,3.4459,140.0
2022-01-31,3564.65,10570185.0,1031492.148,21.2282,3.7804,140.0
2022-02-28,3530.35,7637994.0,1021566.859,21.0239,3.7441,140.0
2022-03-31,3653.0,9106136.0,1057057.724,17.1306,3.5374,140.0
2022-04-30,3729.55,8240949.0,1079208.769,17.4895,3.6115,140.0
2022-05-31,3864.1,10079116.0,1118143.102,18.1205,3.7418,140.0
2022-06-30,3706.6,17143845.0,1072567.796,17.3819,3.5893,140.0
2022-07-31,3914.45,9664785.0,1132712.731,18.3566,3.7906,140.0
2022-08-31,4084.85,7702765.0,1182020.872,19.1557,3.9556,140.0
2022-09-30,3527.75,9920700.0,1020814.505,16.5432,3.4161,140.0
2022-10-31,3671.85,8002541.0,1062512.292,17.219,3.5556,140.0
2022-11-30,3750.7,7402498.0,1085328.882,17.5887,3.632,140.0
2022-12-31,3616.05,5031245.0,1046365.613,16.9573,3.5016,140.0
2023-01-31,3818.25,8051234.0,1104875.624,17.9055,3.6974,140.0
2023-02-28,3661.2,6306130.0,1059430.534,17.169,3.5453,140.0
2023-03-31,3884.75,7227234.0,1124118.531,18.2812,3.7409,140.0
2023-04-30,4431.95,8645606.0,1282460.164,20.8562,4.2679,140.0
2023-05-31,4567.15,9040505.0,1321582.585,21.4925,4.3981,140.0
2023-06-30,4691.55,7840536.0,1357579.843,22.0779,4.5179,140.0
2023-07-31,4931.4,9504544.0,1426984.522,23.2066,4.7488,140.0
2023-08-31,4613.8,7255798.0,1335081.557,21.712,4.443,140.0
2023-09-30,5063.7,9581891.0,1465267.779,23.8292,4.8762,140.0
2023-10-31,5314.05,12033837.0,1537710.813,25.0073,5.1173,140.0
2023-11-30,6090.55,8924666.0,1762404.304,28.6614,5.8651,140.0
2023-12-31,6797.25,9618384.0,1966899.977,31.9871,6.5456,140.0
2024-01-31,7667.55,15158255.0,2171294.938,36.0826,7.3837,140.0
2024-02-29,7909.35,9420148.0,2239767.803,37.2205,7.6165,140.0
2024-03-31,9148.15,12265141.0,2553978.285,33.5504,8.8207,140.0
2024-04-30,8903.65,10047843.0,2485718.835,32.6537,8.585,140.0
