COCHIN IN Equity,price,volume,mc,pe,bm,div
2019-10-31,194.78,11579306.0,51241.5589,10.9825,1.5394,6.5
2019-11-30,200.63,7094756.0,52780.5815,11.3124,1.5856,7.315
2019-12-31,201.43,3840118.0,52991.0461,11.3575,1.592,7.315
2020-01-31,189.58,18920248.0,49873.5389,10.6893,1.4983,7.315
2020-02-29,169.4,13642292.0,44565.8841,9.5517,1.3389,7.315
2020-03-31,133.18,15290446.0,35035.7829,5.5432,0.9411,7.315
2020-04-30,123.88,7198658.0,32589.1316,5.1561,0.8754,7.315
2020-05-31,112.43,13860180.0,29576.8567,4.6795,0.7945,7.315
2020-06-30,150.15,38040668.0,39501.5791,6.2497,1.061,7.315
2020-07-31,164.43,39027818.0,43257.0573,6.8439,1.1619,7.315
2020-08-31,166.28,22180362.0,43743.7567,6.9209,1.175,0.815
2020-09-30,168.28,10451518.0,44269.9183,7.0042,1.1891,8.315
2020-10-31,169.45,15845086.0,44579.0392,7.0531,1.1974,8.315
2020-11-30,184.63,14610258.0,48571.2901,7.6847,1.3047,7.5
2020-12-31,186.28,22103144.0,49005.3734,7.7534,1.3163,7.5
2021-01-31,174.3,13794140.0,45854.981,7.2549,1.2317,4.5
2021-02-28,185.93,23063120.0,48913.2951,7.7388,1.3139,2.0
2021-03-31,187.15,21997760.0,49235.5691,8.0895,1.2207,2.0
2021-04-30,182.78,6490866.0,48084.5907,7.9004,1.1921,2.0
2021-05-31,187.4,16572078.0,49301.3393,8.1003,1.2223,2.0
2021-06-30,192.6,38764894.0,50669.3594,8.325,1.2562,2.0
2021-07-31,188.35,13461750.0,49551.2649,8.1413,1.2285,2.0
2021-08-31,177.9,9166954.0,46802.0708,7.6896,1.1603,2.0
2021-09-30,181.43,9680728.0,47729.4305,7.842,1.1833,7.75
2021-10-31,174.7,11670282.0,45960.2123,7.5513,1.1395,7.75
2021-11-30,169.78,10280660.0,44664.5394,7.3384,1.1074,10.75
2021-12-31,178.15,5093218.0,46867.841,7.7005,1.162,10.75
2022-01-31,171.53,4932548.0,45124.9308,7.4141,1.1188,6.25
2022-02-28,144.95,7809110.0,38133.5591,6.2654,0.9454,7.75
2022-03-31,147.1,9917280.0,38699.1827,6.8626,0.8809,7.75
2022-04-30,167.15,19702480.0,43973.9524,7.798,1.001,7.75
2022-05-31,161.55,7723946.0,42500.7,7.5367,0.9674,7.75
2022-06-30,155.85,6617430.0,41001.1396,7.2708,0.9333,7.75
2022-07-31,166.68,3389492.0,43848.989,7.7758,0.9981,7.75
2022-08-31,188.3,19682690.0,49538.1109,8.7847,1.1276,7.75
2022-09-30,220.5,59793838.0,58009.312,10.2869,1.3204,8.375
2022-10-31,269.27,112312462.0,70841.077,12.5624,1.6125,8.375
2022-11-30,333.53,133960334.0,87744.0171,15.5598,1.9973,8.875
2022-12-31,267.13,73633030.0,70275.4534,12.4621,1.5996,8.875
2023-01-31,255.98,36328124.0,67342.1027,11.9419,1.5329,8.875
2023-02-28,226.03,22962400.0,59462.8333,10.5447,1.3535,8.875
2023-03-31,237.88,29084888.0,62580.3405,20.5419,1.4134,8.875
2023-04-30,251.7,19007492.0,66217.4323,21.7358,1.4955,8.875
2023-05-31,248.2,37225264.0,65296.6496,21.4335,1.4747,8.875
2023-06-30,282.9,111688256.0,74425.5527,24.4301,1.6809,8.875
2023-07-31,334.53,151328248.0,88007.0979,28.8882,1.9877,8.875
2023-08-31,452.85,247504730.0,119136.1312,39.1062,2.6907,8.875
2023-09-30,542.63,244055302.0,142754.2082,46.8588,3.2242,8.5
2023-10-31,475.68,87912724.0,125140.95,41.0773,2.8264,8.5
2023-11-30,602.3,111606222.0,158453.5538,52.0121,3.5787,12.0
2023-12-31,676.98,130199342.0,178099.111,58.4607,4.0224,12.0
2024-01-31,912.2,151861522.0,239982.2875,78.7737,5.4201,12.0
2024-02-29,875.1,53191386.0,230221.9906,75.5699,5.1996,11.25
2024-03-31,871.8,54690313.0,229353.824,29.2845,4.584,11.25
2024-04-30,1303.9,135537150.0,343031.029,43.7991,6.856,11.25
2024-05-31,1947.65,189074071.0,512389.2812,65.4232,10.241,11.25
2024-06-30,2215.15,101862918.0,582763.3898,74.4088,11.6475,11.25
2024-07-31,2620.15,99707275.0,689311.1057,88.0131,13.777,11.25
2024-08-31,1886.65,47737120.0,496341.3536,63.3742,9.9202,11.25
2024-09-30,1740.35,44423157.0,457852.6355,58.4599,9.1509,9.75
2024-10-31,1497.2,14496692.0,393884.5438,50.2922,7.8724,9.75
2024-11-30,1577.3,9603648.0,414957.3143,52.9829,8.2936,9.75
2024-12-31,1538.75,10446949.0,404815.5502,51.6879,8.0909,9.75
2025-01-31,1532.3,11490904.0,403118.6792,51.4713,8.057,9.75
2025-02-28,1268.55,19257115.0,333731.1235,42.6117,6.6702,9.75
2025-03-31,1407.9,27889927.0,370391.4302,44.7663,6.6387,9.75
2025-04-30,1591.4,49196892.0,418666.7533,50.601,7.504,9.75
2025-05-31,1947.1,192632322.0,512244.5867,61.911,9.1812,9.75
2025-06-30,2065.8,162904144.0,543472.2753,65.6852,9.7409,9.75
2025-07-31,1770.8,29846928.0,465863.4452,56.3052,8.3499,9.75
2025-08-31,1608.2,14392233.0,423086.5104,51.1351,7.5832,9.75
2025-09-30,1789.6,50166683.0,470809.3639,56.903,8.4386,9.75
2025-10-31,1789.5,24494588.0,470783.0558,56.8998,8.4381,9.75
2025-11-30,1666.1,19293169.0,438318.8876,52.9762,7.8562,9.75
2025-12-31,1620.1,19107524.0,426217.1717,51.5135,7.6393,9.75
2026-01-31,1659.9,19145557.0,436687.7867,52.779,7.827,9.75
2026-02-28,1491.7,20602308.0,392437.5995,47.4308,7.0339,9.75
2026-03-31,1442.0,6062135.0,379362.4848,45.8506,6.7995,9.75
