SI IN Equity,price,volume,mc,pe,bm,div
2017-09-30,1098.8,1172210.0,139577.1256,32.4321,8.2311,15.0
2017-10-31,1131.0,960070.0,143667.3908,33.3825,8.4724,15.0
2017-11-30,1155.05,1495042.0,146722.3839,34.0924,8.6525,15.0
2017-12-31,1294.5,823555.0,164436.2806,38.2084,9.6971,15.0
2018-01-31,1303.25,2162089.0,165547.7657,38.4666,9.7627,15.0
2018-02-28,1189.05,2890970.0,151041.2998,35.0959,8.9072,15.0
2018-03-31,1194.05,916437.0,151676.4341,35.1294,8.0045,15.0
2018-04-30,1385.6,5295538.0,176008.4311,40.7649,9.2885,15.0
2018-05-31,1301.9,996334.0,165376.2821,38.3024,8.7274,15.0
2018-06-30,1131.75,2709059.0,143762.6601,33.2966,7.5868,12.0
2018-07-31,1203.95,1230111.0,152934.0001,35.4207,8.0708,12.0
2018-08-31,1201.6,1396769.0,152635.487,35.3516,8.0551,12.0
2018-09-30,1006.3,825720.0,127827.1393,29.6058,6.7459,12.0
2018-10-31,984.9,1711058.0,125108.7643,28.9762,6.6024,12.0
2018-11-30,993.85,1431563.0,126245.6547,29.2395,6.6624,13.0
2018-12-31,1174.75,2282884.0,149224.8155,34.5616,7.8751,13.0
2019-01-31,994.5,3210857.0,126328.2222,29.2586,6.6667,13.0
2019-02-28,1142.05,1664364.0,145071.0369,33.5996,7.6559,13.0
2019-03-31,1117.35,1203487.0,141933.4732,31.6351,6.5894,13.0
2019-04-30,1142.95,1425276.0,145185.3611,32.3599,6.7404,13.0
2019-05-31,1078.7,2880263.0,137023.8847,30.5408,6.3615,13.0
2019-06-30,1146.05,1234713.0,145579.1444,32.4476,6.7586,13.0
2019-07-31,1049.8,1103266.0,133352.8081,29.7225,6.191,13.0
2019-08-31,1105.4,575886.0,140415.5021,31.2967,6.5189,13.0
2019-09-30,1232.7,1068872.0,156586.0226,34.9009,7.2696,13.0
2019-10-31,1164.15,931157.0,147878.3307,32.9601,6.8654,13.0
2019-11-30,1140.05,804776.0,144816.9831,32.2777,6.7233,13.0
2019-12-31,1153.3,439984.0,146500.0892,32.6529,6.8014,13.0
2020-01-31,1394.3,1735342.0,177113.5648,39.4762,8.2227,13.0
2020-02-29,1319.2,1038947.0,167573.8469,37.3499,7.7798,13.0
2020-03-31,867.7,2284367.0,110221.2151,23.5788,4.8745,14.0
2020-04-30,1094.55,2137495.0,139037.2606,29.7432,6.1489,14.0
2020-05-31,1019.65,1395006.0,129522.948,27.7079,5.7281,14.0
2020-06-30,1127.7,3326093.0,143248.2013,30.644,6.3351,14.0
2020-07-31,1289.3,1568820.0,163775.7435,35.0353,7.2429,14.0
2020-08-31,1336.85,1280536.0,169815.8712,36.3274,7.51,14.0
2020-09-30,1400.65,1878759.0,177920.1855,38.0611,7.8684,14.0
2020-10-31,1446.7,1820921.0,183769.7699,39.3125,8.1271,14.0
2020-11-30,1630.95,2316940.0,207174.4704,44.3193,9.1622,15.0
2020-12-31,1629.9,3334543.0,207041.0922,44.2908,9.1563,15.0
2021-01-31,1808.3,3074421.0,229702.6854,49.1386,10.1585,15.0
2021-02-28,2027.55,2296280.0,257553.3262,55.0965,11.3902,15.0
2021-03-31,2042.7,1514950.0,259477.7833,26.5286,8.1875,15.0
2021-04-30,2049.55,1288213.0,260347.9173,26.6175,8.2149,15.0
2021-05-31,2268.95,3574270.0,288217.6121,29.4669,9.0943,5.0
2021-06-30,2164.35,2389867.0,274930.6018,28.1084,8.6751,22.0
2021-07-31,2100.1,1464212.0,266769.1297,27.274,8.4175,22.0
2021-08-31,2185.25,2200357.0,277585.4677,28.3799,8.7588,22.0
2021-09-30,2334.55,3369254.0,296550.5794,30.3188,9.3572,22.0
2021-10-31,2328.95,2313276.0,295839.2289,30.2461,9.3348,23.0
2021-11-30,2168.45,3116635.0,275451.4163,28.1617,8.6915,23.0
2021-12-31,2228.85,2160502.0,283123.8392,28.9461,8.9336,23.0
2022-01-31,2099.65,2313031.0,266711.9676,27.2682,8.4157,23.0
2022-02-28,2042.4,3201456.0,259439.6793,26.5247,8.1863,23.0
2022-03-31,2047.2,1571167.0,260049.4083,26.852,6.7644,23.0
2022-04-30,1946.9,1775917.0,247308.6132,25.5365,6.433,23.0
2022-05-31,1837.1,1557993.0,233361.0629,24.0963,6.0702,23.0
2022-06-30,1766.85,1228334.0,224437.4253,23.1748,5.8381,24.0
2022-07-31,1897.1,1279108.0,240982.6751,24.8833,6.2685,24.0
2022-08-31,1965.6,1581349.0,249684.0157,25.7817,6.4948,24.0
2022-09-30,2133.4,2071981.0,270999.1245,27.9827,7.0493,24.0
2022-10-31,2170.3,1610533.0,275686.416,28.4667,7.1712,24.0
2022-11-30,2435.2,2092751.0,309335.8338,31.9412,8.0465,24.0
2022-12-31,2450.05,1889655.0,311222.1828,32.136,8.0956,24.0
2023-01-31,2528.85,2200321.0,321231.9002,33.1696,8.3559,24.0
2023-02-28,2761.35,2480732.0,350765.6475,36.2192,9.1242,24.0
2023-03-31,2513.55,2840796.0,319288.3891,36.8989,7.2531,24.0
2023-04-30,2721.8,1993126.0,345741.7348,39.956,7.854,24.0
2023-05-31,2762.5,1973467.0,350911.7284,40.5534,7.9714,24.0
2023-06-30,3197.7,2210686.0,406193.8222,46.9422,9.2272,26.0
2023-07-31,3550.0,4450329.0,450945.3885,52.1139,10.2438,26.0
2023-08-31,4457.7,21895308.0,566247.6784,65.4389,12.8631,26.0
2023-09-30,4121.5,4351521.0,523541.2447,60.5035,11.8929,26.0
2023-10-31,4329.25,6089475.0,549931.0769,63.5533,12.4924,26.0
2023-11-30,4431.15,4066709.0,562875.115,65.0492,12.7865,28.0
2023-12-31,4542.95,2735022.0,577076.7191,66.6904,13.1091,28.0
2024-01-31,4129.95,3325887.0,524614.6218,60.6276,11.9173,28.0
2024-02-29,4150.6,3099413.0,527237.7266,60.9307,11.9769,28.0
2024-03-31,4232.2,2793243.0,537603.1192,50.2577,10.523,28.0
2024-04-30,5062.1,6753200.0,643022.7186,60.1128,12.5865,28.0
2024-05-31,5277.6,7614638.0,670397.0091,62.6719,13.1223,28.0
2024-06-30,5955.9,3847324.0,756559.335,70.7268,14.8089,30.0
2024-07-31,5354.45,4021485.0,680159.0241,63.5845,13.3134,30.0
2024-08-31,5284.75,2089434.0,671305.2512,62.7568,13.1401,30.0
2024-09-30,5321.65,2896511.0,675992.5427,63.195,13.2318,30.0
2024-10-31,4294.75,3752371.0,545548.6499,51.0005,10.6785,32.0
2024-11-30,4651.1,3555493.0,590814.6751,55.2322,11.5646,32.0
2024-12-31,4700.55,5623528.0,597096.1538,55.8194,11.6875,32.0
2025-01-31,3968.8,6230472.0,504144.2417,47.1298,9.8681,32.0
2025-02-28,3329.0,4732445.0,422872.4502,39.5321,8.2773,32.0
2025-03-31,3426.25,4871998.0,435225.8133,45.2968,7.6889,32.0
2025-04-30,3539.0,5891847.0,449548.0929,46.7874,7.9419,32.0
2025-05-31,4146.2,8561957.0,526678.8084,54.8149,9.3046,32.0
2025-06-30,4391.4,6451724.0,557825.7969,58.0566,9.8548,34.0
2025-07-31,4306.9,4748871.0,547092.0264,56.9395,9.6652,34.0
2025-08-31,4471.2,3303420.0,567962.5411,59.1116,10.0339,34.0
2025-09-30,4219.6,3647654.0,536002.5807,55.7853,9.4693,34.0
2025-10-31,3812.5,6432881.0,484289.9419,50.4032,8.5557,34.0
2025-11-30,3391.6,4952525.0,430824.3323,44.8387,7.6111,35.0
2025-12-31,3353.8,6253533.0,426022.7166,44.339,7.5263,35.0
2026-01-31,3513.5,6341680.0,446308.9077,46.4503,7.8847,35.0
2026-02-28,3975.2,6197986.0,504957.2136,52.5542,8.9208,35.0
2026-03-31,3947.4,1108394.0,501425.8542,52.1867,8.8584,35.0
