YES IN Equity,price,volume,mc,pe,bm,div
2013-09-30,57.47,2068033685.0,103570.0933,10.3235,2.1689,1.2
2013-10-31,73.76,1507349150.0,132927.2678,13.2497,2.7837,1.2
2013-11-30,73.73,896199470.0,132897.1325,13.2443,2.7825,1.2
2013-12-31,74.04,536653910.0,133477.5148,13.3,2.7942,1.2
2014-01-31,61.53,642080040.0,110924.7904,11.0528,2.3221,1.2
2014-02-28,60.99,462487420.0,109966.4609,10.9558,2.3017,1.2
2014-03-31,82.79,926921960.0,149284.2812,14.8717,3.1244,1.2
2014-04-30,88.15,661442150.0,158949.2618,15.8346,3.3267,1.2
2014-05-31,113.88,817348215.0,205505.1275,20.4565,4.2978,1.6
2014-06-30,108.21,526126065.0,224379.039,19.438,4.0838,1.6
2014-07-31,108.22,437496165.0,224399.7745,19.4398,4.0842,1.6
2014-08-31,114.41,324445890.0,237514.7131,20.5517,4.3178,1.6
2014-09-30,111.77,345893610.0,232290.7744,20.0775,4.2181,1.6
2014-10-31,136.9,196640715.0,284821.4778,24.5916,5.1665,1.6
2014-11-30,141.99,218296960.0,295780.4922,25.506,5.3586,1.6
2014-12-31,154.41,351765175.0,322142.2449,27.737,5.8273,1.6
2015-01-31,172.49,383833690.0,360112.1969,30.9847,6.5097,1.6
2015-02-28,172.39,405639780.0,360017.5599,30.9668,6.5059,1.6
2015-03-31,163.15,405208450.0,340768.2105,29.307,6.1572,1.6
2015-04-30,167.89,445488680.0,350668.5557,30.1584,6.3361,1.6
2015-05-31,176.46,282965910.0,368837.2111,31.6979,6.6595,1.8
2015-06-30,168.77,314272900.0,352763.5505,30.3165,6.3693,1.8
2015-07-31,165.79,440161115.0,346590.4003,29.7812,6.2568,1.8
2015-08-31,137.89,475864700.0,288426.0464,24.7695,5.2039,1.8
2015-09-30,145.94,484687135.0,305576.2383,26.2155,5.5077,1.8
2015-10-31,151.73,361937470.0,317847.9797,27.2556,5.7262,1.8
2015-11-30,153.64,275933370.0,322000.0042,27.5987,5.7983,1.8
2015-12-31,145.16,279765680.0,304343.5023,26.0754,5.4783,1.8
2016-01-31,149.36,419731680.0,313444.0025,26.8298,5.6368,1.8
2016-02-29,137.8,516909750.0,289543.0403,24.7533,5.2005,1.8
2016-03-31,173.01,410304645.0,363702.0729,31.0781,6.5293,1.8
2016-04-30,188.59,375697975.0,396750.7304,33.8768,7.1173,1.8
2016-05-31,206.6,469608655.0,434710.157,37.112,7.797,2.0
2016-06-30,221.42,341631265.0,466087.0053,39.7741,8.3563,2.0
2016-07-31,243.39,235854465.0,512333.6211,43.7206,9.1854,2.0
2016-08-31,273.22,377572485.0,575125.5152,49.0791,10.3112,2.0
2016-09-30,250.94,594580440.0,528226.2997,45.0769,9.4703,2.0
2016-10-31,253.27,250629970.0,533130.954,45.4954,9.5583,2.0
2016-11-30,234.77,345866920.0,494188.629,42.1722,8.8601,2.0
2016-12-31,231.29,254014840.0,489100.2928,41.5471,8.7288,2.0
2017-01-31,279.2,322874095.0,590477.4114,50.1533,10.5369,2.0
2017-02-28,290.54,188519220.0,615010.724,52.1903,10.9648,2.0
2017-03-31,309.35,244378235.0,655473.6886,55.5692,11.6747,2.0
2017-04-30,326.05,228685440.0,744483.5033,58.569,12.3049,2.0
2017-05-31,286.27,350445955.0,654111.8363,51.4233,10.8037,2.4
2017-06-30,292.7,264609025.0,669490.0177,52.5783,11.0463,2.4
2017-07-31,361.9,359048075.0,827836.2549,65.0088,13.6579,2.4
2017-08-31,350.61,253752070.0,802344.899,62.9808,13.2318,2.4
2017-09-30,350.0,192576436.0,801546.4844,63.0149,13.239,2.4
2017-10-31,314.25,305198545.0,719674.2363,63.0149,13.239,2.4
2017-11-30,306.9,262486597.0,705135.3581,63.0149,13.239,2.4
2017-12-31,315.15,169331492.0,724441.8296,63.0149,13.239,2.4
2018-01-31,354.4,272934072.0,815431.4843,63.0149,13.239,2.4
2018-02-28,322.3,256664359.0,741573.2582,63.0149,13.239,2.4
2018-03-31,304.85,281150794.0,702059.5646,63.0149,13.239,2.4
2018-04-30,362.0,403303988.0,833674.1427,63.0149,13.239,2.4
2018-05-31,346.2,230741299.0,798048.1732,63.0149,13.239,2.4
2018-06-30,339.65,184034382.0,783135.4527,63.0149,13.239,2.7
2018-07-31,367.95,316474122.0,848617.9115,63.0149,13.239,2.7
2018-08-31,343.5,376096825.0,792841.494,63.0149,13.239,2.7
2018-09-30,183.65,1229027050.0,424098.8762,63.0149,1.5525,2.7
2018-10-31,188.1,1266874690.0,434729.0004,63.0149,1.5901,2.7
2018-11-30,169.8,1472621299.0,392569.5999,63.0149,1.4354,2.7
2018-12-31,181.8,1195253785.0,420313.0345,63.0149,1.5339,2.7
2019-01-31,194.1,1501096013.0,448925.278,63.0149,1.5339,2.7
2019-02-28,231.15,1390350701.0,534616.5791,63.0149,1.5339,2.7
2019-03-31,275.1,725888539.0,636865.589,37.0755,2.3686,2.7
2019-04-30,168.0,882026647.0,389094.382,22.6415,1.4465,2.7
2019-05-31,147.8,1686918178.0,342432.5713,19.9191,1.2726,2.7
2019-06-30,108.75,1840944859.0,251969.2628,46.875,0.9678,2.0
2019-07-31,91.2,3537501140.0,211496.7501,39.3103,0.9678,2.0
2019-08-31,59.95,4018293589.0,152891.0804,25.8405,0.9678,2.0
2019-09-30,41.4,4579910117.0,105582.8311,21.0129,0.3808,2.0
2019-10-31,70.4,7984350766.0,179543.3891,21.0129,0.6476,2.0
2019-11-30,68.3,5698176973.0,174197.2534,21.0129,0.6283,2.0
2019-12-31,46.95,6099735616.0,119744.6712,21.0129,0.4356,2.0
2020-01-31,39.25,3819618353.0,100106.0351,21.0129,0.4356,2.0
2020-02-29,34.6,3034150718.0,88246.3392,21.0129,0.4356,2.0
2020-03-31,22.45,6450068897.0,281758.1016,21.0129,1.2987,2.0
2020-04-30,27.9,819265639.0,350158.1752,21.0129,1.614,2.0
2020-05-31,26.85,483602544.0,336980.1794,21.0129,1.5533,2.0
2020-06-30,25.6,416619771.0,321292.0891,21.0129,1.5099,2.0
2020-07-31,11.95,4097058521.0,299406.1265,21.0129,1.5099,2.0
2020-08-31,14.35,6855759248.0,359537.9008,21.0129,1.5099,0.0
2020-09-30,13.15,2810487360.0,329472.0137,21.0129,0.8966,0.0
2020-10-31,12.4,1704594894.0,310680.8375,21.0129,0.8455,0.0
2020-11-30,14.7,4669964675.0,368307.1219,21.0129,1.0023,0.0
2020-12-31,17.85,6786504792.0,447230.0766,21.0129,1.212,0.0
2021-01-31,15.75,4729408582.0,394614.7734,21.0129,1.0694,0.0
2021-02-28,15.75,2427251106.0,394614.7734,21.0129,1.0694,0.0
2021-03-31,15.6,2633001135.0,390856.5375,21.0129,1.1795,0.0
2021-04-30,14.55,1709409196.0,364548.8859,21.0129,1.1001,0.0
2021-05-31,13.5,2865258800.0,338241.2344,21.0129,1.0207,0.0
2021-06-30,13.55,3423062004.0,339493.9797,21.0129,1.019,0.0
2021-07-31,12.75,2387512268.0,319450.0512,21.0129,0.9588,0.0
2021-08-31,10.8,2344680904.0,270592.9846,21.0129,0.8122,0.0
2021-09-30,12.55,5212617468.0,314439.07,21.0129,0.9374,0.0
2021-10-31,12.8,3429560341.0,320702.7965,21.0129,0.9561,0.0
2021-11-30,12.4,1646615802.0,310680.8342,21.0129,0.9262,0.0
2021-12-31,13.7,3636380570.0,343252.2119,21.0129,1.0148,0.0
2022-01-31,13.3,2997025772.0,333230.2495,21.0129,0.9851,0.0
2022-02-28,13.25,2319125387.0,331977.9316,21.0129,0.9814,0.0
2022-03-31,12.3,3218101306.0,308175.9217,28.6047,0.9145,0.0
2022-04-30,13.65,3780606294.0,342000.1082,31.7442,1.0149,0.0
2022-05-31,13.15,2388477705.0,329472.9999,30.5814,0.9777,0.0
2022-06-30,12.65,1148641538.0,316945.5094,26.3542,0.9292,0.0
2022-07-31,14.95,2163972754.0,374571.9657,31.1458,1.0981,0.0
2022-08-31,16.45,4367565431.0,412154.4371,34.2708,1.2083,0.0
2022-09-30,15.65,2944061035.0,392123.6883,34.7778,1.1401,0.0
2022-10-31,15.55,1308849219.0,389622.2614,34.5556,1.1328,0.0
2022-11-30,17.15,2246614514.0,429712.0118,38.1111,1.2493,0.0
