REDI IN Equity,price,volume,mc,pe,bm,div
2009-12-31,31.26,48210730.0,24566.7233,15.2512,2.4291,0.4
2010-01-31,30.18,102626110.0,23710.2471,14.7195,2.3445,0.4
2010-02-28,29.63,12329640.0,23286.8398,14.4537,2.3021,0.4
2010-03-31,37.18,13670490.0,29222.1037,15.8145,2.7179,0.4
2010-04-30,38.17,5968590.0,30046.8927,16.2378,2.7906,0.4
2010-05-31,38.08,4972160.0,30024.8243,16.1974,2.7837,0.4
2010-06-30,37.67,17600800.0,29752.4505,16.0208,2.7533,0.4
2010-07-31,39.14,162570900.0,30949.5233,16.6461,2.8608,0.5
2010-08-31,42.0,43580172.0,33215.2632,17.8647,3.0702,0.5
2010-09-30,45.28,30953686.0,35816.4628,19.2578,3.3096,0.5
2010-10-31,40.0,20387734.0,31651.665,17.014,2.924,0.5
2010-11-30,41.48,13663224.0,32824.0957,17.6414,3.0318,0.5
2010-12-31,41.18,14503796.0,32609.0695,17.5138,3.0099,0.5
2011-01-31,36.3,22215894.0,28748.9752,15.4402,2.6536,0.5
2011-02-28,37.75,14907986.0,29906.267,16.057,2.7595,0.5
2011-03-31,40.03,5394714.0,31726.2154,13.9948,2.667,0.5
2011-04-30,44.13,13715698.0,35021.6495,15.4283,2.9402,0.5
2011-05-31,42.35,16550188.0,33656.29,14.8077,2.8219,0.5
2011-06-30,43.3,27060076.0,34432.3852,15.1399,2.8852,0.5
2011-07-31,48.73,203825580.0,38785.1089,17.0367,3.2467,0.55
2011-08-31,47.93,11862958.0,38163.6159,16.757,3.1934,0.55
2011-09-30,46.0,5617408.0,36638.2644,16.0839,3.0651,0.55
2011-10-31,47.53,8326130.0,37859.2405,16.6171,3.1667,0.55
2011-11-30,38.95,9535220.0,31028.2466,13.6189,2.5953,0.55
2011-12-31,40.83,28858150.0,32532.8704,14.2745,2.7203,0.55
2012-01-31,39.2,10473864.0,31237.9307,13.7063,2.612,0.55
2012-02-29,43.55,15139162.0,34716.16,15.2273,2.9019,0.55
2012-03-31,44.13,20316658.0,35174.5249,12.0068,2.6636,0.55
2012-04-30,43.88,10484454.0,34975.2358,11.9388,2.6485,0.55
2012-05-31,41.1,19678432.0,32781.7052,11.1837,2.481,0.55
2012-06-30,38.42,23247096.0,30662.4347,10.4558,2.3195,0.55
2012-07-31,34.05,18172584.0,27174.6308,9.2653,2.0554,0.2
2012-08-31,37.55,15301036.0,29967.9115,10.2177,2.2667,0.2
2012-09-30,39.1,14722542.0,31207.5705,10.6395,2.3602,0.2
2012-10-31,40.53,19157414.0,32344.9308,11.0272,2.4463,0.2
2012-11-30,41.3,17954860.0,32963.4952,11.2381,2.493,0.2
2012-12-31,43.33,9558806.0,34579.744,11.7891,2.6153,0.2
2013-01-31,45.03,18307388.0,35936.5949,12.2517,2.7179,0.2
2013-02-28,42.5,10268576.0,33927.97,11.5646,2.5655,0.2
2013-03-31,40.45,28016270.0,32291.4444,9.9877,1.9682,0.2
2013-04-30,39.48,7201536.0,31513.0968,9.7469,1.9207,0.2
2013-05-31,37.65,5589750.0,30056.1899,9.2963,1.8319,0.2
2013-06-30,36.05,13347532.0,28778.8994,8.9012,1.7541,0.2
2013-07-31,28.08,13188410.0,22419.4348,6.9321,1.366,0.2
2013-08-31,29.8,7451020.0,23796.9424,7.358,1.45,0.2
2013-09-30,27.38,7808016.0,21860.4463,6.7593,1.332,0.2
2013-10-31,30.73,16902888.0,24542.5202,7.5864,1.495,0.2
2013-11-30,32.88,21584300.0,26259.8975,8.1173,1.5996,0.2
2013-12-31,37.48,13076010.0,29934.2862,9.2531,1.8234,0.2
2014-01-31,32.65,8115672.0,26080.1719,8.0617,1.5886,0.2
2014-02-28,34.75,11033838.0,27760.6857,8.5802,1.6908,0.2
2014-03-31,39.4,41080974.0,31479.1667,9.3476,1.5574,0.2
2014-04-30,44.08,15008096.0,35214.3217,10.4567,1.7422,0.2
2014-05-31,52.58,37079714.0,42005.5125,12.4733,2.0782,0.2
2014-06-30,52.13,41588734.0,41655.4564,12.3665,2.0604,0.2
2014-07-31,49.43,22461366.0,39497.7637,11.726,1.9536,0.45
2014-08-31,52.5,14742816.0,41955.136,12.4555,2.0752,0.45
2014-09-30,46.5,74826782.0,37162.4288,11.032,1.838,0.45
2014-10-31,51.73,14428844.0,41338.2071,12.2716,2.0446,0.45
2014-11-30,59.95,148266624.0,47911.5614,14.223,2.3697,0.45
2014-12-31,68.65,151818276.0,54873.8087,16.2871,2.7136,0.45
2015-01-31,60.88,104340164.0,48659.0402,14.4425,2.4062,0.45
2015-02-28,61.48,56106182.0,49138.689,14.5848,2.4299,0.45
2015-03-31,65.63,43682360.0,52460.9911,13.5729,2.2097,0.45
2015-04-30,59.68,16347054.0,47704.5279,12.3423,2.0093,0.45
2015-05-31,61.08,16579062.0,48829.8875,12.6319,2.0565,0.45
2015-06-30,48.28,16538504.0,38596.1984,9.9845,1.6255,0.45
2015-07-31,58.95,38624970.0,47130.9352,12.1923,1.9849,0.95
2015-08-31,54.23,29485368.0,43353.2648,11.2151,1.8258,0.95
2015-09-30,55.08,13152978.0,44037.7199,11.3909,1.8544,0.95
2015-10-31,59.53,16374388.0,47595.9197,12.3113,2.0043,0.95
2015-11-30,58.23,9157674.0,46556.4456,12.0424,1.9605,0.95
2015-12-31,57.6,8707962.0,46056.6984,11.9131,1.9394,0.95
2016-01-31,51.78,34960370.0,41399.0549,10.7084,1.7433,0.95
2016-02-29,51.35,18689772.0,41060.819,10.6205,1.729,0.95
2016-03-31,57.33,8306746.0,45838.5871,10.8263,1.5542,0.95
2016-04-30,54.3,6640604.0,43419.717,10.255,1.4722,0.95
2016-05-31,57.1,21142234.0,45658.6711,10.7838,1.5481,0.95
2016-06-30,51.8,82586128.0,41420.6509,9.7828,1.4044,0.95
2016-07-31,51.5,17391126.0,41180.7629,9.7262,1.3963,1.05
2016-08-31,53.2,7693290.0,42540.1279,10.0472,1.4424,1.05
2016-09-30,51.7,18634002.0,41340.6882,9.7639,1.4017,1.05
2016-10-31,52.68,53552510.0,42120.324,9.9481,1.4281,1.05
2016-11-30,48.95,36625238.0,39141.7155,9.2446,1.3271,1.05
2016-12-31,47.43,14260074.0,37925.6255,8.9566,1.2858,1.05
2017-01-31,51.18,10711774.0,40924.4888,9.6648,1.3875,1.05
2017-02-28,53.3,27713126.0,42623.8447,10.0661,1.4451,2.05
2017-03-31,55.03,74215326.0,44003.3219,9.4789,1.3979,2.05
2017-04-30,62.4,14328008.0,49901.0865,10.7494,1.5852,2.05
2017-05-31,65.55,13268236.0,52420.1318,11.292,1.6652,2.05
2017-06-30,65.47,15196046.0,52360.1545,11.2791,1.6633,2.05
2017-07-31,74.53,141990008.0,59597.4114,12.8381,1.8932,2.15
2017-08-31,74.1,18370560.0,59257.5402,12.7649,1.8824,2.15
