INXW IN Equity,price,volume,mc,pe,bm,div
2017-11-30,35.51,56675114.0,31978.418,10.5413,1.4605,0.0
2017-12-31,35.56,39173648.0,32022.8016,10.556,1.4625,0.0
2018-01-31,31.99,22768957.0,28804.9872,9.4952,1.3155,0.0
2018-02-28,30.59,21315792.0,27551.1478,9.0819,1.2583,0.0
2018-03-31,26.74,37888428.0,24078.1275,8.1383,1.2013,0.0
2018-04-30,26.6,14111004.0,23956.0725,8.1383,1.1952,0.0
2018-05-31,22.98,14520861.0,20693.8746,8.1383,1.0325,0.0
2018-06-30,20.66,36186692.0,18607.8433,8.1383,0.9284,0.0
2018-07-31,22.8,18164763.0,20527.4359,8.1383,1.0242,0.0
2018-08-31,24.91,21643042.0,22435.9326,8.1383,1.1194,0.0
2018-09-30,21.38,10019523.0,19251.4061,8.1383,0.9605,0.0
2018-10-31,20.6,11197427.0,18552.3637,8.1383,0.9256,0.0
2018-11-30,19.9,9221442.0,17919.8967,8.1383,0.8941,0.0
2018-12-31,18.93,28353147.0,17043.3198,8.1383,0.8503,0.0
2019-01-31,16.76,4739513.0,15090.4394,8.1383,0.7529,0.0
2019-02-28,17.66,14223660.0,15900.4409,8.1383,0.7933,0.0
2019-03-31,16.42,82576308.0,14790.8498,8.1383,0.7528,0.0
2019-04-30,15.81,6038627.0,14236.0542,8.1383,0.7245,0.0
2019-05-31,17.56,8692908.0,15811.6736,8.1383,0.8047,0.0
2019-06-30,17.36,8585791.0,15634.139,8.1383,0.7957,0.0
2019-07-31,13.58,9643801.0,12227.6943,8.1383,0.6223,0.0
2019-08-31,8.13,16301222.0,7323.3015,8.1383,0.3727,0.0
2019-09-30,8.16,7405647.0,7345.4933,8.1383,0.3738,0.0
2019-10-31,8.55,9605661.0,7700.5624,8.1383,0.3919,0.0
2019-11-30,9.15,19895030.0,8244.2621,8.1383,0.4196,0.0
2019-12-31,8.76,49766382.0,7889.1929,8.1383,0.4015,0.0
2020-01-31,10.18,63702661.0,9165.2227,8.1383,0.4665,0.0
2020-02-29,8.27,29021395.0,7445.3565,8.1383,0.3789,0.0
2020-03-31,4.53,35285382.0,4083.2954,8.1383,0.2422,0.0
2020-04-30,6.57,9093431.0,5914.1207,8.1383,0.3509,0.0
2020-05-31,6.47,7033289.0,5825.3534,8.1383,0.3456,0.0
2020-06-30,9.82,23606732.0,8843.4413,8.1383,0.5246,0.0
2020-07-31,8.53,7881404.0,7678.3706,8.1383,0.4555,0.0
2020-08-31,10.41,22127228.0,9376.045,8.1383,0.5562,0.0
2020-09-30,9.61,15817415.0,8654.8108,8.1383,0.5134,0.0
2020-10-31,9.43,10901602.0,8488.3726,8.1383,0.5036,0.0
2020-11-30,12.46,38206328.0,11217.9669,8.1383,0.6655,0.0
2020-12-31,15.14,33155594.0,13636.8757,8.1383,0.809,0.0
2021-01-31,16.15,19911720.0,14546.7404,8.1383,0.863,0.0
2021-02-28,16.87,24631560.0,15190.3033,8.1383,0.9012,0.0
2021-03-31,17.2,34376562.0,15489.8929,8.1383,1.1771,0.0
2021-04-30,19.02,68183401.0,17132.0879,8.1383,1.3019,0.0
2021-05-31,18.06,13047260.0,16266.6068,8.1383,1.2361,0.0
2021-06-30,20.32,47097952.0,18297.1586,8.1383,1.3904,0.0
2021-07-31,34.71,100401408.0,31257.1821,8.1383,2.3753,0.0
2021-08-31,26.32,63284145.0,23700.8665,8.1383,1.801,0.0
2021-09-30,24.15,251803208.0,21747.9861,8.1383,1.6526,0.0
2021-10-31,29.28,133967833.0,26363.8852,8.1383,2.0034,0.0
2021-11-30,29.53,61677206.0,26596.8994,8.1383,2.0211,0.0
2021-12-31,28.51,139485068.0,25675.9387,8.1383,1.9511,0.0
2022-01-31,30.5,81701383.0,27462.3805,8.1383,2.0869,0.0
2022-02-28,27.4,59819155.0,24677.3067,8.1383,1.8752,0.0
2022-03-31,27.3,52441480.0,24588.5394,8.1383,1.3447,0.0
2022-04-30,26.74,86696057.0,24078.1275,8.1383,1.3168,0.0
2022-05-31,21.83,54767196.0,19661.9548,8.1383,1.0753,0.0
2022-06-30,19.51,23214300.0,17564.8276,8.1383,0.9606,0.0
2022-07-31,21.88,26226914.0,24622.0525,8.1383,1.0777,0.0
2022-08-31,27.54,67648249.0,30985.5222,8.1383,1.3563,0.0
2022-09-30,36.37,116132020.0,40925.844,8.1383,1.7914,0.0
2022-10-31,36.71,47167273.0,41300.1658,8.1383,1.8078,0.0
2022-11-30,31.42,70265062.0,35352.6092,8.1383,1.5474,0.0
2022-12-31,26.75,58122963.0,30098.241,8.1383,1.3174,0.0
2023-01-31,23.53,31508007.0,26479.7975,8.1383,1.1591,0.0
2023-02-28,25.05,39683909.0,28185.041,8.1383,1.2337,0.0
2023-03-31,23.0,43026374.0,26397.0804,8.1383,1.7762,0.0
2023-04-30,26.2,21472622.0,30059.0214,8.1383,2.0226,0.0
2023-05-31,34.5,116446800.0,45632.7894,8.1383,2.6638,0.0
2023-06-30,37.9,205377030.0,50130.8787,8.1383,2.9264,0.0
2023-07-31,52.13,195418319.0,68954.4043,8.1383,4.0252,0.0
2023-08-31,50.28,206981125.0,66509.7906,8.1383,3.8825,0.0
2023-09-30,47.57,47033021.0,62924.3572,8.1383,3.6732,0.0
2023-10-31,53.41,441603721.0,70649.3365,8.1383,4.1242,0.0
2023-11-30,69.12,323579398.0,91428.5531,8.1383,5.3372,0.0
2023-12-31,123.15,337016777.0,162892.7609,8.1383,9.5089,0.0
2024-01-31,117.79,135845020.0,155803.3811,8.1383,9.095,0.0
2024-02-29,148.55,184248839.0,196481.7534,8.1383,11.4696,0.0
2024-03-31,128.54,94960344.0,170014.7355,8.1383,7.2625,0.0
2024-04-30,154.66,133329756.0,204565.2761,8.1383,8.7384,0.0
2024-05-31,146.82,286010222.0,194200.1139,8.1383,8.2957,0.0
2024-06-30,139.84,127856242.0,184956.2146,8.1383,7.9008,0.0
2024-07-31,181.0,419503765.0,239402.6513,8.1383,10.2266,0.0
2024-08-31,217.95,420862814.0,288281.8878,8.1383,12.3146,0.0
2024-09-30,234.09,268679695.0,309624.9953,8.1383,13.2263,0.0
2024-10-31,220.61,210275669.0,291789.0936,8.1383,12.4644,0.0
2024-11-30,188.31,106703711.0,249076.8027,8.1383,10.6398,0.0
2024-12-31,178.44,178531378.0,236012.787,8.1383,10.0818,0.0
2025-01-31,166.18,268167223.0,219806.6278,8.1383,9.3895,0.0
2025-02-28,148.05,239886929.0,195816.8185,8.1383,8.3647,0.0
2025-03-31,160.71,232224057.0,212570.5712,59.4186,5.2469,0.0
2025-04-30,166.61,201140448.0,220367.2592,61.598,5.4393,0.0
2025-05-31,192.22,173442147.0,254239.8269,71.0662,6.2754,0.0
2025-06-30,172.84,201252372.0,228607.2372,63.9013,5.6427,0.0
2025-07-31,150.74,156634919.0,244820.9206,55.7313,4.9213,0.0
2025-08-31,138.12,170890966.0,238704.208,51.0654,4.5093,0.0
2025-09-30,140.24,124170072.0,242368.0722,51.8493,4.5785,0.0
2025-10-31,155.13,153032111.0,268101.5333,57.3544,5.0646,0.0
2025-11-30,134.5,180296213.0,232447.9871,49.7271,4.3911,0.0
2025-12-31,123.53,167363932.0,213489.2182,45.6713,4.033,0.0
2026-01-31,107.94,211083844.0,186545.9905,39.9074,3.524,0.0
2026-02-28,92.13,243102399.0,159222.5505,34.0621,3.0078,0.0
2026-03-31,86.69,34760396.0,149820.941,32.0509,2.8302,0.0
