IDEA IN Equity,price,volume,mc,pe,bm,div
2018-03-31,45.84,418516475.0,330872.4586,90.4805,1.2137,0.0
2018-04-30,41.77,563184387.0,301447.0423,90.4805,1.1057,0.0
2018-05-31,37.15,790170940.0,268104.2283,90.4805,0.9834,0.0
2018-06-30,35.85,626548591.0,258760.5891,90.4805,0.9402,0.0
2018-07-31,33.13,839538930.0,239142.7051,90.4805,0.869,0.0
2018-08-31,29.81,668213863.0,215163.0355,90.4805,0.7818,0.0
2018-09-30,23.28,835423094.0,336739.6236,90.4805,0.4842,0.0
2018-10-31,23.34,721125997.0,337622.6976,90.4805,0.4855,0.0
2018-11-30,21.32,1111263740.0,308359.152,90.4805,0.4434,0.0
2018-12-31,22.8,743726050.0,329760.8495,90.4805,0.511,0.0
2019-01-31,18.18,724016675.0,262935.1409,90.4805,0.4074,0.0
2019-02-28,18.06,837614800.0,261190.6724,90.4805,0.4047,0.0
2019-03-31,18.25,1772684325.0,159423.9395,90.4805,0.2673,0.0
2019-04-30,15.45,1401547472.0,134964.3803,90.4805,0.2263,0.0
2019-05-31,13.95,3237842531.0,400858.6799,90.4805,0.2043,0.0
2019-06-30,12.15,1029645511.0,349134.9793,90.4805,0.1809,0.0
2019-07-31,6.85,2870565359.0,196837.4163,90.4805,0.1809,0.0
2019-08-31,5.35,3358735763.0,153734.3324,90.4805,0.1809,0.0
2019-09-30,6.15,2477808402.0,176722.6438,90.4805,0.7342,0.0
2019-10-31,3.9,5229539243.0,112068.018,90.4805,0.4656,0.0
2019-11-30,6.85,12698061845.0,196837.4163,90.4805,0.8178,0.0
2019-12-31,6.15,8010519191.0,176722.6438,90.4805,1.0028,0.0
2020-01-31,5.3,6307905496.0,152297.563,90.4805,0.8642,0.0
2020-02-29,3.85,9854242016.0,110631.2486,90.4805,0.6278,0.0
2020-03-31,3.1,12831535141.0,89079.7066,90.4805,1.4897,0.0
2020-04-30,4.2,7046787779.0,120688.6348,90.4805,2.0182,0.0
2020-05-31,6.55,10820135757.0,188216.7995,90.4805,3.1475,0.0
2020-06-30,10.6,25795633371.0,304595.1259,90.4805,5.3339,0.0
2020-07-31,8.4,12056033745.0,241377.2696,90.4805,5.3339,0.0
2020-08-31,10.2,8262321972.0,293100.9702,90.4805,5.3339,0.0
2020-09-30,9.55,16369298566.0,274422.9672,90.4805,5.3339,0.0
2020-10-31,8.75,5069208042.0,251434.668,90.4805,5.3339,0.0
2020-11-30,9.8,6298479067.0,281606.8282,90.4805,5.3339,0.0
2020-12-31,10.65,8399928613.0,306031.9102,90.4805,5.3339,0.0
2021-01-31,11.2,10613838540.0,321836.3751,90.4805,5.3339,0.0
2021-02-28,11.3,6758413739.0,324709.9141,90.4805,5.3339,0.0
2021-03-31,9.25,5994031181.0,265802.3633,90.4805,5.3339,0.0
2021-04-30,8.35,3329829789.0,239940.5118,90.4805,5.3339,0.0
2021-05-31,8.65,3217527878.0,248561.1289,90.4805,5.3339,0.0
2021-06-30,9.95,7264774959.0,285917.1368,90.4805,5.3339,0.0
2021-07-31,8.25,8485841219.0,237066.9612,90.4805,5.3339,0.0
2021-08-31,6.1,13317978488.0,175285.8744,90.4805,5.3339,0.0
2021-09-30,11.9,19640821904.0,341951.132,90.4805,5.3339,0.0
2021-10-31,9.55,6742095040.0,274422.9672,90.4805,5.3339,0.0
2021-11-30,11.05,6720668042.0,317526.0511,90.4805,5.3339,0.0
2021-12-31,15.35,15397755028.0,441088.2248,90.4805,5.3339,0.0
2022-01-31,10.65,8667439365.0,306031.8954,90.4805,5.3339,0.0
2022-02-28,10.3,6454389593.0,295974.5092,90.4805,5.3339,0.0
2022-03-31,9.65,5678518460.0,277296.5062,90.4805,5.3339,0.0
2022-04-30,9.5,4422802146.0,305129.0549,90.4805,5.3339,0.0
2022-05-31,9.6,3944950258.0,308340.9397,90.4805,5.3339,0.0
2022-06-30,8.4,2850468569.0,269798.3223,90.4805,5.3339,0.0
2022-07-31,8.75,1962927995.0,281039.919,90.4805,5.3339,0.0
2022-08-31,9.05,2894180794.0,290675.5734,90.4805,5.3339,0.0
2022-09-30,8.8,4207203336.0,282645.8614,90.4805,5.3339,0.0
2022-10-31,8.55,2035061663.0,274616.1494,90.4805,5.3339,0.0
2022-11-30,8.25,2141342860.0,264980.4951,90.4805,5.3339,0.0
2022-12-31,7.9,3739290238.0,253738.8983,90.4805,5.3339,0.0
2023-01-31,7.05,5885594765.0,226437.8776,90.4805,5.3339,0.0
2023-02-28,6.8,3455234246.0,328113.8229,90.4805,5.3339,0.0
2023-03-31,5.8,2148040694.0,282342.1974,90.4805,5.3339,0.0
2023-04-30,6.95,2099395725.0,338323.84,90.4805,5.3339,0.0
2023-05-31,7.2,2391270280.0,350493.7623,90.4805,5.3339,0.0
2023-06-30,7.45,3184529950.0,362663.6846,90.4805,5.3339,0.0
2023-07-31,8.3,3603074078.0,404041.4204,90.4805,5.3339,0.0
2023-08-31,9.05,4408306206.0,440551.1873,90.4805,5.3339,0.0
2023-09-30,11.65,8376213808.0,567118.3792,90.4805,5.3339,0.0
2023-10-31,11.85,5744023519.0,576854.3171,90.4805,5.3339,0.0
2023-11-30,13.05,7405842230.0,635269.9441,90.4805,5.3339,0.0
2023-12-31,16.0,8167870591.0,778875.0273,90.4805,5.3339,0.0
2024-01-31,14.35,10630153844.0,698553.5401,90.4805,5.3339,0.0
2024-02-29,13.65,12930271077.0,664479.5481,90.4805,5.3339,0.0
2024-03-31,13.25,6929250461.0,645007.62,90.4805,5.3339,0.0
2024-04-30,13.2,24272336954.0,877581.6289,90.4805,5.3339,0.0
2024-05-31,15.25,22151938952.0,1013872.715,90.4805,5.3339,0.0
2024-06-30,17.89,27668167283.0,1214353.231,90.4805,5.3339,0.0
2024-07-31,16.27,14578059767.0,1104389.439,90.4805,5.3339,0.0
2024-08-31,15.64,12386325117.0,1061625.742,90.4805,5.3339,0.0
2024-09-30,10.36,16819721378.0,722090.1004,90.4805,5.3339,0.0
2024-10-31,8.12,10898847224.0,565962.5111,90.4805,5.3339,0.0
2024-11-30,8.36,12375659000.0,582690.4671,90.4805,5.3339,0.0
2024-12-31,7.94,8675636890.0,553416.5441,90.4805,5.3339,0.0
2025-01-31,9.05,12527085558.0,630783.3406,90.4805,5.3339,0.0
2025-02-28,7.55,8734801675.0,539017.4143,90.4805,5.3339,0.0
2025-03-31,6.8,10638286086.0,485472.638,90.4805,5.3339,0.0
2025-04-30,7.12,15219838686.0,771402.4092,90.4805,5.3339,0.0
2025-05-31,6.92,12922795932.0,749733.8022,90.4805,5.3339,0.0
2025-06-30,7.43,13712078917.0,804988.7501,90.4805,5.3339,0.0
2025-07-31,6.91,10586191981.0,748650.3719,90.4805,5.3339,0.0
2025-08-31,6.49,12692888316.0,703146.2972,90.4805,5.3339,0.0
2025-09-30,8.13,23096999384.0,880828.8746,90.4805,5.3339,0.0
2025-10-31,8.73,23740680786.0,945834.6956,90.4805,5.3339,0.0
2025-11-30,9.96,19574443091.0,1079096.629,90.4805,5.3339,0.0
2025-12-31,10.76,23725029083.0,1165771.057,90.4805,5.3339,0.0
2026-01-31,11.17,21974303957.0,1210191.701,90.4805,5.3339,0.0
2026-02-28,10.59,11241027571.0,1147352.741,90.4805,5.3339,0.0
2026-03-31,10.24,1708482646.0,1109432.654,90.4805,5.3339,0.0
