SIEM IN Equity,price,volume,mc,pe,bm,div
2005-03-31,84.66,5321000.0,56429.7262,16.5609,4.0062,0.6
2005-04-30,91.0,5051980.0,60661.5,17.8028,4.3067,0.6
2005-05-31,99.8,8700870.0,66523.6832,19.5232,4.7229,0.75
2005-06-30,96.64,7371960.0,64417.7378,18.9052,4.5734,0.75
2005-07-31,104.12,10994400.0,69403.4102,20.3684,4.9273,0.75
2005-08-31,114.2,7379580.0,76122.221,22.3402,5.4043,0.75
2005-09-30,129.49,8472820.0,86313.9362,13.8795,4.6751,0.75
2005-10-31,116.92,10244860.0,77938.2054,12.5326,4.2214,0.75
2005-11-30,160.78,41909250.0,107174.5597,17.2339,5.805,0.75
2005-12-31,179.71,41668360.0,119790.349,19.2626,6.4883,0.75
2006-01-31,223.04,28447280.0,148675.4362,23.9073,8.0528,0.9
2006-02-28,224.69,14438600.0,149770.6604,24.0835,8.1122,0.9
2006-03-31,282.12,64552050.0,191331.5545,30.2395,10.1857,0.9
2006-04-30,288.23,35748370.0,194701.4687,30.8946,10.4064,0.9
2006-05-31,244.45,38951920.0,165783.2558,26.2016,8.8256,0.9
2006-06-30,220.52,48343896.0,149555.8298,23.6369,7.9618,0.9
2006-07-31,220.26,32258162.0,149378.8207,23.6089,7.9523,0.9
2006-08-31,260.47,38034482.0,176646.6509,27.9185,9.404,0.9
2006-09-30,266.85,17454058.0,180979.1593,22.6377,7.2599,0.9
2006-10-31,302.01,18472188.0,204824.8135,25.6204,8.2165,0.9
2006-11-30,280.28,71973592.0,190082.4843,23.7764,7.6251,0.9
2006-12-31,282.45,55998500.0,191557.5601,23.9609,7.6843,0.9
2007-01-31,285.42,42312554.0,193572.0922,24.2129,7.7651,1.9
2007-02-28,273.54,29064896.0,185513.9638,23.2049,7.4419,1.9
2007-03-31,271.12,17938036.0,183870.3079,22.9993,7.3759,1.9
2007-04-30,292.56,27103130.0,198410.3409,24.8181,7.9592,1.9
2007-05-31,317.7,20291978.0,215462.2174,26.951,8.6432,1.9
2007-06-30,346.55,13418158.0,235025.9372,29.3981,9.428,1.9
2007-07-31,318.86,19657802.0,216246.1148,27.049,8.6747,1.9
2007-08-31,318.53,12848858.0,216026.9607,27.0216,8.6659,1.9
2007-09-30,335.86,7842858.0,227776.8695,32.3769,6.1875,1.9
2007-10-31,489.3,20918170.0,331841.3046,47.1689,9.0144,1.9
2007-11-30,451.42,16821234.0,306149.7123,43.517,8.3165,1.9
2007-12-31,469.88,13102966.0,318666.7775,45.2962,8.6565,1.9
2008-01-31,415.66,19416488.0,281899.4791,40.07,7.6578,2.4
2008-02-29,406.19,25779548.0,275476.581,39.1571,7.4833,2.4
2008-03-31,306.44,15946267.0,207825.4263,29.5409,5.6455,2.4
2008-04-30,284.29,22575350.0,192804.9481,27.4059,5.2375,2.4
2008-05-31,278.2,12256900.0,188674.738,26.8188,5.1253,2.4
2008-06-30,191.97,9967476.0,130194.3354,18.5062,3.5367,2.4
2008-07-31,272.26,18239879.0,184645.676,26.2461,5.0159,2.4
2008-08-31,272.46,10046902.0,184780.54,26.2652,5.0195,2.4
2008-09-30,198.41,15465249.0,134560.5575,11.1577,2.9374,2.4
2008-10-31,131.62,17118114.0,89263.111,7.4017,1.9486,2.4
2008-11-30,111.48,23574291.0,75608.1308,6.2694,1.6505,2.4
2008-12-31,142.66,19452405.0,96748.0631,8.0223,2.112,2.4
2009-01-31,102.59,24288640.0,69572.9668,5.769,1.5187,3.0
2009-02-28,108.3,21863886.0,73450.3068,6.0905,1.6034,3.0
2009-03-31,133.28,20453856.0,90392.597,7.4953,1.9732,3.0
2009-04-30,153.17,22455747.0,103878.9971,8.6136,2.2676,3.0
2009-05-31,243.5,22431324.0,165140.9698,13.6934,3.6049,3.0
2009-06-30,234.55,16163335.0,159072.0897,13.1902,3.4724,3.0
2009-07-31,239.47,17126842.0,162409.9738,13.467,3.5453,3.0
2009-08-31,257.12,14614188.0,174379.1539,14.4595,3.8066,3.0
2009-09-30,276.98,10663654.0,187848.696,13.254,3.3577,3.0
2009-10-31,256.13,11350376.0,173704.8339,12.256,3.1049,3.0
2009-11-30,261.99,9969863.0,177683.3219,12.5367,3.176,3.0
2009-12-31,289.51,12220553.0,196345.1281,13.8534,3.5096,3.0
2010-01-31,319.64,15770618.0,216777.0244,15.295,3.8748,5.0
2010-02-28,340.17,10565701.0,230701.7325,16.2775,4.1237,5.0
2010-03-31,367.96,9117199.0,249548.9767,17.6073,4.4606,5.0
2010-04-30,353.92,8453943.0,240024.2066,16.9353,4.2903,5.0
2010-05-31,347.06,12773033.0,235371.3986,16.607,4.2072,5.0
2010-06-30,366.25,8559992.0,248385.7747,17.5252,4.4398,5.0
2010-07-31,347.73,8417313.0,235826.5646,16.6391,4.2153,5.0
2010-08-31,344.32,7578534.0,233517.0185,16.4762,4.174,5.0
2010-09-30,409.37,17394550.0,277634.405,18.2106,4.2084,5.0
2010-10-31,406.44,9152862.0,275645.161,18.0801,4.1783,5.0
2010-11-30,382.83,7709897.0,259630.0608,17.0296,3.9355,5.0
2010-12-31,407.88,7614501.0,276622.925,18.1442,4.1931,5.0
2011-01-31,424.54,14855136.0,287917.7851,18.8851,4.3643,5.0
2011-02-28,421.25,11572333.0,285692.5291,18.7391,4.3306,5.0
2011-03-31,438.01,13172707.0,299816.814,19.4844,4.5028,5.0
2011-04-30,430.85,20595892.0,294916.5676,19.1659,4.4292,5.0
2011-05-31,434.4,6272361.0,297349.6761,19.324,4.4657,5.0
2011-06-30,442.46,3442863.0,302862.4533,19.6823,4.5485,5.0
2011-07-31,459.54,4318873.0,314551.5828,20.442,4.7241,5.0
2011-08-31,440.2,2964226.0,301314.1116,19.5817,4.5253,5.0
2011-09-30,416.48,3435790.0,285082.0452,16.2625,3.7138,5.0
2011-10-31,425.01,3072770.0,290918.1026,16.5954,3.7899,5.0
2011-11-30,342.51,5019162.0,234446.1654,13.374,3.0542,5.0
2011-12-31,319.17,4412340.0,218469.3203,12.4626,2.8461,5.0
2012-01-31,363.54,4889436.0,248840.6393,14.1951,3.2417,6.0
2012-02-29,395.85,4477851.0,270959.8072,15.4569,3.5299,6.0
2012-03-31,377.58,3673903.0,258453.97,14.7435,3.3669,6.0
2012-04-30,385.11,3365781.0,263609.4376,15.0376,3.4341,6.0
2012-05-31,336.84,3944494.0,230566.8863,13.1527,3.0036,6.0
2012-06-30,364.85,3848925.0,249742.5104,14.2465,3.2535,6.0
2012-07-31,338.73,2766424.0,231860.0074,13.2264,3.0205,6.0
2012-08-31,337.09,6610466.0,230737.0339,13.1624,3.0059,6.0
2012-09-30,352.5,12814927.0,241286.1793,36.1538,3.0272,6.0
2012-10-31,341.59,6160092.0,241881.951,35.0346,2.9334,6.0
2012-11-30,333.38,5951503.0,236073.4046,34.1933,2.863,6.0
2012-12-31,331.97,3171031.0,235070.1103,34.048,2.8508,6.0
2013-01-31,326.35,3723962.0,231092.1361,33.4718,2.8026,6.0
2013-02-28,250.71,4295796.0,179275.9721,25.7138,2.153,6.0
2013-03-31,272.76,8327736.0,195042.2286,27.9752,2.3424,6.0
2013-04-30,271.49,9776625.0,194135.7168,27.8452,2.3315,6.0
2013-05-31,296.05,9265698.0,211697.1606,30.364,2.5424,6.0
2013-06-30,274.27,4300123.0,196471.334,28.1307,2.3554,6.0
2013-07-31,254.46,5551899.0,182279.957,26.0988,2.1852,6.0
2013-08-31,215.11,7210705.0,154093.0691,22.063,1.8473,6.0
2013-09-30,237.44,12575519.0,170082.8514,43.5662,2.098,6.0
2013-10-31,289.41,6468881.0,207315.1841,53.1032,2.5573,6.0
2013-11-30,306.07,9895296.0,219245.1998,56.159,2.7044,6.0
2013-12-31,329.68,10250312.0,236160.8938,60.4919,2.9131,6.0
2014-01-31,274.45,6427568.0,196595.9759,50.3575,2.425,5.0
2014-02-28,308.13,5506458.0,220723.0973,56.5376,2.7227,5.0
2014-03-31,383.97,11614398.0,275049.1839,70.4531,3.3928,5.0
2014-04-30,345.12,6968278.0,247218.4159,63.3243,3.0495,5.0
2014-05-31,431.32,9646123.0,308969.6019,79.1417,3.8112,5.0
2014-06-30,475.24,8677269.0,340432.7926,87.2009,4.1993,5.0
2014-07-31,435.85,7184520.0,312210.2927,79.9718,3.8512,5.0
2014-08-31,394.88,7390098.0,282866.0152,72.4553,3.4892,5.0
2014-09-30,411.21,9107173.0,294564.553,24.2774,3.3468,5.0
2014-10-31,434.11,4393817.0,310963.8731,25.629,3.5331,5.0
2014-11-30,450.76,6795057.0,322893.8889,26.6122,3.6686,5.0
2014-12-31,450.98,9341548.0,323054.1428,26.6254,3.6705,5.0
2015-01-31,518.1,7936786.0,371130.3257,30.5877,4.2167,6.0
2015-02-28,664.76,9189768.0,476185.8515,39.2462,5.4103,6.0
2015-03-31,694.39,9052917.0,497410.8589,40.9955,5.6514,6.0
2015-04-30,676.51,6601365.0,484608.3608,39.9403,5.506,6.0
2015-05-31,680.39,6978133.0,487386.0759,40.1692,5.5375,6.0
2015-06-30,670.57,6451826.0,480352.7024,39.5896,5.4576,6.0
2015-07-31,723.47,7660082.0,518243.8894,42.7125,5.8881,6.0
2015-08-31,628.81,8578527.0,450438.6074,37.1241,5.1178,6.0
2015-09-30,659.19,7894092.0,472197.6495,19.9889,4.587,6.0
2015-10-31,659.83,5039517.0,472660.6084,20.0085,4.5915,6.0
2015-11-30,615.44,4381301.0,440859.0474,18.6623,4.2826,6.0
2015-12-31,596.9,6198139.0,427575.7842,18.1,4.1536,6.0
2016-01-31,507.48,6104768.0,363527.5563,15.3887,3.5314,10.0
2016-02-29,490.18,6709305.0,351134.5714,14.8641,3.411,10.0
2016-03-31,546.71,6409678.0,391625.4222,16.5782,3.8043,10.0
2016-04-30,565.65,4268463.0,405193.6484,17.1525,3.9361,10.0
2016-05-31,598.66,7746689.0,428839.9888,18.1535,4.1658,10.0
2016-06-30,651.11,6757139.0,466410.6757,19.744,4.5308,10.0
2016-07-31,655.48,4883169.0,469544.5562,19.8766,4.5613,10.0
2016-08-31,629.41,5110103.0,450866.0711,19.0859,4.3798,37.5
2016-09-30,616.61,4801634.0,441695.9745,7.5363,3.2275,37.5
2016-10-31,590.31,2088858.0,422857.2083,7.2149,3.0898,37.5
2016-11-30,540.47,4385113.0,387156.1352,6.6058,2.8289,37.5
2016-12-31,553.07,3900308.0,396183.7837,6.7598,2.8949,37.5
2017-01-31,570.03,5305529.0,408327.4844,6.967,2.9836,33.5
2017-02-28,600.23,5767027.0,429961.7899,7.3361,3.1417,33.5
2017-03-31,624.02,5283423.0,447002.1218,7.6269,3.2662,33.5
2017-04-30,652.48,3865207.0,467390.0064,7.9747,3.4152,33.5
2017-05-31,679.87,5676920.0,487012.2547,8.3095,3.5586,33.5
2017-06-30,663.89,3121223.0,475562.9885,8.1142,3.4749,33.5
2017-07-31,723.42,3662809.0,518208.3891,8.8418,3.7865,33.5
2017-08-31,638.83,3420122.0,457614.5277,7.808,3.3438,6.0
2017-09-30,591.03,6044311.0,423373.5652,18.5166,2.7368,6.0
2017-10-31,632.49,3846783.0,453073.9944,19.8155,2.9288,6.0
2017-11-30,595.4,4786184.0,426507.4234,18.6536,2.7571,6.0
2017-12-31,615.49,4439266.0,440894.6817,19.2828,2.8501,6.0
2018-01-31,647.21,5470706.0,463615.154,20.2765,2.997,7.0
2018-02-28,580.61,4653775.0,415912.8458,18.1903,2.6886,7.0
2018-03-31,533.36,3171919.0,382063.6156,16.7098,2.4698,7.0
2018-04-30,557.99,4081726.0,399709.3742,17.4816,2.5838,7.0
2018-05-31,519.71,7316582.0,372288.1146,16.2823,2.4066,7.0
2018-06-30,487.38,3951293.0,349122.492,15.2691,2.2568,7.0
2018-07-31,491.58,4128788.0,352131.7081,15.4007,2.2763,7.0
2018-08-31,506.96,6571417.0,363153.63,15.8828,2.3475,7.0
2018-09-30,469.88,6302199.0,336587.059,18.5648,2.0163,7.0
2018-10-31,463.19,6148712.0,331797.2416,18.3006,1.9876,7.0
2018-11-30,472.61,23476662.0,338545.7204,18.6729,2.0281,7.0
2018-12-31,520.46,20793005.0,372822.295,20.5634,2.2334,7.0
2019-01-31,512.11,9132387.0,366839.4747,20.2334,2.1975,7.0
2019-02-28,493.14,12667595.0,353253.4869,19.4841,2.1162,7.0
2019-03-31,561.18,12363662.0,401988.5438,22.1721,2.4081,7.0
2019-04-30,583.03,8908602.0,417640.0291,23.0354,2.5019,7.0
2019-05-31,632.27,12924654.0,452913.7403,24.9809,2.7132,7.0
2019-06-30,651.93,8160390.0,466998.2964,25.7578,2.7975,7.0
2019-07-31,569.11,11875672.0,407668.6619,22.4854,2.4421,7.0
2019-08-31,597.69,10014479.0,428145.5766,23.6148,2.5648,7.0
2019-09-30,753.7,12089218.0,539896.1126,24.4151,2.966,7.0
2019-10-31,823.32,13051146.0,589770.7543,26.6706,3.24,7.0
2019-11-30,730.9,25338751.0,523567.9989,23.6767,2.8763,7.0
2019-12-31,744.08,9255558.0,533005.1857,24.1035,2.9282,7.0
2020-01-31,745.84,11107366.0,534269.4126,24.1607,2.9351,7.0
2020-02-29,648.15,11068952.0,464291.7825,20.9962,2.5507,7.0
2020-03-31,553.52,11004268.0,396504.2919,17.9307,2.1783,7.0
2020-04-30,566.62,9399625.0,405888.0606,18.355,2.2298,7.0
2020-05-31,541.49,99587711.0,387886.1817,17.541,2.1309,7.0
2020-06-30,545.19,183411427.0,390539.2776,17.6609,2.1455,7.0
2020-07-31,577.71,20278146.0,413829.5423,18.7142,2.2734,7.0
2020-08-31,576.61,21162180.0,413046.0778,18.6787,2.2691,7.0
2020-09-30,628.64,16280685.0,450314.0624,29.0767,2.3585,7.0
2020-10-31,630.25,11441923.0,451471.4533,29.1514,2.3646,7.0
2020-11-30,752.4,21649411.0,538970.1999,34.8012,2.8229,7.0
2020-12-31,783.28,11504220.0,561085.2678,36.2292,2.9387,7.0
2021-01-31,788.69,8510078.0,564966.9785,36.4798,2.959,7.0
2021-02-28,919.72,11445948.0,658822.4718,42.5401,3.4506,7.0
2021-03-31,916.73,7523980.0,656685.7502,42.4021,3.4394,7.0
2021-04-30,935.35,7004297.0,670022.4538,43.2633,3.5092,7.0
2021-05-31,1037.19,13094625.0,742973.688,47.9737,3.8913,7.0
2021-06-30,1004.75,9357241.0,719736.8414,46.4733,3.7696,7.0
2021-07-31,971.02,7406134.0,695574.0821,44.9131,3.6431,7.0
2021-08-31,1129.71,14464636.0,809247.6675,52.253,4.2384,7.0
2021-09-30,1058.62,4873475.0,758322.471,36.6051,3.6433,7.0
2021-10-31,1087.08,6451008.0,778710.3556,37.5892,3.7413,7.0
2021-11-30,1069.8,8280885.0,766335.1767,36.9918,3.6818,7.0
2021-12-31,1173.93,15316938.0,840924.5641,40.5924,4.0402,7.0
2022-01-31,1156.01,8146234.0,828086.429,39.9726,3.9785,8.0
2022-02-28,1167.02,7096744.0,835974.4926,40.3534,4.0164,8.0
2022-03-31,1177.34,5307803.0,843363.9879,40.7101,4.0519,8.0
2022-04-30,1129.19,4665918.0,808873.7412,39.0452,3.8862,8.0
2022-05-31,1210.02,8251132.0,866778.8947,41.8404,4.1644,8.0
2022-06-30,1193.37,4849875.0,854848.8661,41.2645,4.1071,8.0
2022-07-31,1339.41,8958530.0,959459.191,46.3142,4.6097,8.0
2022-08-31,1433.56,12173847.0,1026908.367,49.57,4.9338,8.0
2022-09-30,1377.49,6894274.0,986738.0026,38.8681,4.2252,8.0
2022-10-31,1454.44,4843394.0,1041865.418,41.0396,4.4612,8.0
2022-11-30,1379.55,7946368.0,988215.9016,38.9263,4.2315,8.0
2022-12-31,1405.13,10502496.0,1006538.289,39.6481,4.31,8.0
2023-01-31,1454.87,7813791.0,1042168.12,41.0516,4.4625,10.0
2023-02-28,1614.03,10527613.0,1156180.02,45.5425,4.9507,10.0
2023-03-31,1654.07,6003671.0,1184865.506,46.6725,5.0735,10.0
2023-04-30,1714.95,5003851.0,1228472.432,48.3902,5.2603,10.0
2023-05-31,1765.68,18619352.0,1264814.504,49.8217,5.4159,10.0
2023-06-30,1872.47,6079899.0,1341309.134,52.8349,5.7434,10.0
2023-07-31,1980.12,8732845.0,1418426.976,55.8726,6.0736,10.0
2023-08-31,1949.85,8259654.0,1396739.252,55.0183,5.9808,10.0
2023-09-30,1825.76,4690565.0,1307851.637,33.1414,4.9682,10.0
2023-10-31,1655.96,7835851.0,1186218.763,30.0592,4.5061,10.0
2023-11-30,1818.35,7205334.0,1302545.445,33.007,4.948,10.0
2023-12-31,2000.86,8641804.0,1433277.19,36.3198,5.4446,10.0
2024-01-31,2058.38,5909396.0,1474480.304,37.3639,5.6012,10.0
2024-02-29,2326.26,6152089.0,1666375.703,42.2266,6.3301,10.0
2024-03-31,2671.68,6304655.0,1913808.056,48.4966,7.27,10.0
2024-04-30,2904.17,5812105.0,2080347.694,52.7168,7.9027,10.0
2024-05-31,3464.07,14232613.0,2481428.131,62.8803,9.4263,10.0
2024-06-30,3830.25,11054487.0,2743728.505,69.5271,10.4227,10.0
2024-07-31,3546.08,8707250.0,2540170.167,64.3688,9.6494,10.0
2024-08-31,3426.86,8230836.0,2454772.53,62.2048,9.325,10.0
2024-09-30,3604.29,6072992.0,2581871.849,47.2488,8.3583,10.0
2024-10-31,3468.23,7789727.0,2484401.735,45.4651,8.0428,10.0
2024-11-30,3758.83,7836064.0,2692571.83,49.2747,8.7167,10.0
2024-12-31,3249.36,9692436.0,2327619.793,42.596,7.5352,10.0
2025-01-31,3019.33,7021465.0,2162842.951,39.5805,7.0018,12.0
2025-02-28,2298.55,12692057.0,1646521.999,30.1317,5.3303,12.0
2025-03-31,2622.61,11916898.0,1878658.987,34.3799,6.0818,12.0
2025-04-30,2901.5,17845880.0,1033283.645,38.0359,6.7286,12.0
2025-05-31,3265.6,16153032.0,1162947.121,42.8089,7.5729,12.0
2025-06-30,3251.5,14116695.0,1157925.822,42.6241,7.5402,12.0
2025-07-31,3033.4,11444747.0,1080255.94,39.765,7.0344,12.0
2025-08-31,3063.7,9376500.0,1091046.391,40.1622,7.1047,12.0
2025-09-30,3129.2,8559261.0,1114372.284,65.989,8.4217,12.0
2025-10-31,3096.3,5442261.0,1102655.92,65.2952,8.3332,12.0
2025-11-30,3297.0,8606293.0,1174129.305,69.5276,8.8734,12.0
2025-12-31,3063.3,8977094.0,1090903.943,64.5993,8.2444,12.0
2026-01-31,3101.3,6724456.0,1104436.522,65.4007,8.3467,12.0
2026-02-28,3418.6,9918596.0,1217433.558,72.0919,9.2006,12.0
2026-03-31,3223.3,1361234.0,1147883.241,67.9734,8.675,0.0
