RMKF IN Equity,price,volume,mc,pe,bm,div
2022-12-31,262.9,23379346.0,42034.9588,21.2269,3.898,1.3
2023-01-31,275.05,14359726.0,43977.6166,22.2079,4.0781,1.7
2023-02-28,258.55,9789716.0,41339.4393,20.8757,3.8335,1.7
2023-03-31,286.1,15218125.0,45744.396,18.4343,3.4609,1.7
2023-04-30,326.0,14359260.0,52123.9884,21.0052,3.9435,1.7
2023-05-31,388.25,12131488.0,62077.112,25.0161,4.6965,2.2
2023-06-30,444.7,22714004.0,71102.8762,28.6534,5.3794,2.2
2023-07-31,562.85,13950894.0,89993.8248,36.2661,6.8086,1.7
2023-08-31,713.3,13174164.0,114049.2053,45.9601,8.6286,1.7
2023-09-30,643.75,16316391.0,102928.8882,41.4787,7.7872,1.5
2023-10-31,640.15,7317858.0,102353.2858,41.2468,7.7437,2.5
2023-11-30,800.45,17933488.0,144702.2925,51.5754,9.6828,2.0
2023-12-31,725.7,6051012.0,131189.2731,46.759,8.7786,2.0
2024-01-31,763.45,10044963.0,138013.5739,49.1914,9.2352,1.5
2024-02-29,782.15,11939111.0,141394.0884,50.3963,9.4614,1.5
2024-03-31,691.25,13268587.0,124961.5337,41.1703,4.7444,1.5
2024-04-30,750.9,17180601.0,135744.8328,44.723,5.1538,1.5
2024-05-31,666.15,9982434.0,120424.0516,39.6754,4.5721,2.0
2024-06-30,890.0,34846770.0,160890.7993,53.0077,6.1085,2.0
2024-07-31,857.85,21033640.0,155078.8452,51.0929,5.8879,2.0
2024-08-31,967.95,25411898.0,174982.3025,57.6504,6.6435,2.0
2024-09-30,1008.95,16270405.0,182394.1258,60.0923,6.9249,2.0
2024-10-31,920.85,14130870.0,166467.7444,54.8451,6.3203,2.0
2024-11-30,966.2,4417274.0,174716.631,57.5462,6.6315,2.0
2024-12-31,893.85,6397325.0,161633.679,53.237,6.1349,2.0
2025-01-31,783.9,38434050.0,141751.5701,46.6885,5.3803,2.0
2025-02-28,648.0,13420329.0,117307.8314,38.5944,4.4475,2.0
2025-03-31,773.3,14786034.0,139990.9661,42.1877,4.609,2.0
2025-04-30,595.15,33680033.0,107740.364,32.4686,3.5472,2.0
2025-05-31,606.25,21378182.0,109749.8037,33.0742,3.6133,1.0
2025-06-30,674.4,65374292.0,122087.0393,36.7921,4.0195,2.0
2025-07-31,582.55,15335133.0,105459.3784,31.7812,3.4721,2.0
2025-08-31,566.55,9346450.0,102562.8887,30.9083,3.3767,2.0
2025-09-30,539.7,11827601.0,97702.217,29.4435,3.2167,2.0
2025-10-31,543.0,10106283.0,98299.618,29.6236,3.2363,1.0
2025-11-30,550.0,18525524.0,99566.8322,30.0055,3.2781,1.0
2025-12-31,523.15,10117859.0,94706.1605,28.5406,3.118,1.0
2026-01-31,511.1,7407907.0,92524.7417,27.8833,3.0462,1.0
2026-02-28,551.8,8908344.0,99892.6873,30.1037,3.2888,1.0
2026-03-31,556.0,1189936.0,100653.0158,30.3328,3.3138,1.0
