LEMONTRE IN Equity,price,volume,mc,pe,bm,div
2020-08-31,28.5,65856450.0,22579.0242,32.4627,2.2833,0.0
2020-09-30,27.9,25194427.0,22103.6763,32.4627,2.2352,0.0
2020-10-31,27.0,19181885.0,21390.6551,32.4627,2.1631,0.0
2020-11-30,33.35,53820915.0,26421.4202,32.4627,2.6718,0.0
2020-12-31,40.25,152383599.0,31887.921,32.4627,3.2246,0.0
2021-01-31,41.4,38916800.0,32799.0044,32.4627,3.3168,0.0
2021-02-28,40.85,36061675.0,32363.2689,32.4627,3.2727,0.0
2021-03-31,37.0,42958701.0,29313.1199,32.4627,3.1873,0.0
2021-04-30,35.4,43006194.0,28045.5255,32.4627,3.0494,0.0
2021-05-31,41.8,59017347.0,33115.903,32.4627,3.6007,0.0
2021-06-30,41.95,102645081.0,33234.74,32.4627,3.6137,0.0
2021-07-31,41.2,92682636.0,32640.5543,32.4627,3.5491,0.0
2021-08-31,38.6,48875172.0,30580.7135,32.4627,3.3251,0.0
2021-09-30,45.4,151251850.0,35967.9895,32.4627,3.9109,0.0
2021-10-31,54.5,221898217.0,43177.4323,32.4627,4.6947,0.0
2021-11-30,44.55,123417249.0,35294.58,32.4627,3.8376,0.0
2021-12-31,46.6,72759500.0,36918.6852,32.4627,4.0142,0.0
2022-01-31,51.8,81021255.0,41038.3668,32.4627,4.4622,0.0
2022-02-28,50.2,124928941.0,39770.7725,32.4627,4.3243,0.0
2022-03-31,63.4,320926394.0,50228.4258,32.4627,6.0316,0.0
2022-04-30,66.4,149735466.0,52605.1652,32.4627,6.317,0.0
2022-05-31,64.2,101037660.0,50862.223,32.4627,6.1077,0.0
2022-06-30,61.05,66367448.0,48366.6466,32.4627,5.808,0.0
2022-07-31,65.95,57380819.0,52248.6543,32.4627,6.2742,0.0
2022-08-31,69.95,194281688.0,55417.6402,32.4627,6.6547,0.0
2022-09-30,86.8,216520059.0,68766.9931,32.4627,8.2578,0.0
2022-10-31,84.25,88683498.0,66746.7646,32.4627,8.0152,0.0
2022-11-30,100.9,135780005.0,79937.6682,32.4627,9.5992,0.0
2022-12-31,85.65,139102099.0,67855.9096,32.4627,8.1484,0.0
2023-01-31,76.5,63360305.0,60606.8545,32.4627,7.2779,0.0
2023-02-28,77.9,92704781.0,61715.9995,32.4627,7.4111,0.0
2023-03-31,77.25,74435004.0,61201.0393,53.2759,7.1629,0.0
2023-04-30,88.05,146561917.0,69757.3012,60.7241,8.1643,0.0
2023-05-31,95.95,156295680.0,76016.0482,66.1724,8.8968,0.0
2023-06-30,93.7,84624635.0,74233.4937,64.6207,8.6882,0.0
2023-07-31,92.4,63780631.0,73203.5733,63.7241,8.5677,0.0
2023-08-31,109.25,235346098.0,86552.9262,75.3448,10.1301,0.0
2023-09-30,113.75,208964663.0,90118.0353,78.4483,10.5473,0.0
2023-10-31,109.85,132882432.0,87028.2741,75.7586,10.1857,0.0
2023-11-30,114.3,74755119.0,90553.7708,78.8276,10.5983,0.0
2023-12-31,119.85,100676745.0,94950.7387,82.6552,11.1129,0.0
2024-01-31,139.85,257255130.0,110795.668,96.4483,12.9674,0.0
2024-02-29,139.4,119516609.0,110439.1571,96.1379,12.9257,0.0
2024-03-31,130.55,71768612.0,103427.7759,69.4415,10.6915,0.0
2024-04-30,152.8,108319389.0,121055.2597,81.2766,12.5137,0.0
2024-05-31,136.35,85157136.0,108022.8054,72.5266,11.1665,0.0
2024-06-30,144.16,86391482.0,114210.2503,76.6809,11.8061,0.0
2024-07-31,150.57,63145315.0,119288.5501,80.0904,12.3311,0.0
2024-08-31,134.47,165922428.0,106533.382,71.5266,11.0126,0.0
2024-09-30,121.87,75201581.0,96551.0766,64.8245,9.9807,0.0
2024-10-31,117.75,61607951.0,93287.0211,62.633,9.6433,0.0
2024-11-30,130.59,81073495.0,103459.4657,69.4628,10.6948,0.0
2024-12-31,152.96,135201492.0,121182.0191,81.3617,12.5268,0.0
2025-01-31,136.2,75953142.0,107903.9684,72.4468,11.1543,0.0
2025-02-28,121.71,89283674.0,96424.3171,64.7394,9.9676,0.0
2025-03-31,128.41,73979863.0,101732.3684,51.7782,8.7391,0.0
2025-04-30,136.92,68342526.0,108474.3859,55.2097,9.3183,0.0
2025-05-31,139.33,51987214.0,110383.6998,56.1815,9.4823,0.0
2025-06-30,140.11,45823577.0,111001.6521,56.496,9.5354,0.0
2025-07-31,149.79,97348198.0,118670.5978,60.3992,10.1942,0.0
2025-08-31,165.83,115537669.0,131378.2311,66.8669,11.2858,0.0
2025-09-30,166.31,108769172.0,131758.5094,67.0605,11.3184,0.0
2025-10-31,165.27,48402356.0,130934.5731,66.6411,11.2477,0.0
2025-11-30,158.27,47422139.0,125388.8479,63.8185,10.7713,0.0
2025-12-31,159.26,40467131.0,126173.1719,64.2177,10.8387,0.0
2026-01-31,129.09,111432082.0,102271.096,52.0524,8.7854,0.0
2026-02-28,113.67,90692326.0,90054.6556,45.8347,7.736,0.0
2026-03-31,112.21,11924987.0,88897.975,45.246,7.6366,0.0
