MSIL IN Equity,price,volume,mc,pe,bm,div
2021-08-31,6846.1,14385991.0,2068070.299,47.117,3.9391,45.0
2021-09-30,7338.05,19829000.0,2216678.584,50.5028,4.2222,45.0
2021-10-31,7482.4,15424206.0,2260283.841,51.4962,4.3053,45.0
2021-11-30,7067.8,18897377.0,2135041.448,48.6428,4.0667,45.0
2021-12-31,7426.45,14131711.0,2243382.462,51.1111,4.2731,45.0
2022-01-31,8597.3,17962800.0,2597072.9,59.1693,4.9467,45.0
2022-02-28,8314.15,15253853.0,2511538.931,57.2206,4.7838,45.0
2022-03-31,7561.3,26770655.0,2284117.958,58.8749,4.1279,45.0
2022-04-30,7717.8,12234607.0,2331393.487,60.0934,4.2133,45.0
2022-05-31,7966.35,14839806.0,2406475.486,62.0287,4.349,45.0
2022-06-30,8470.75,19110783.0,2558844.668,65.9562,4.6244,45.0
2022-07-31,8773.55,13437308.0,2650314.51,68.3139,4.7897,45.0
2022-08-31,9082.25,13241490.0,2743566.625,70.7175,4.9582,60.0
2022-09-30,8828.15,14975046.0,2666808.082,68.739,4.8195,60.0
2022-10-31,9527.6,12233473.0,2878097.98,74.1852,5.2014,60.0
2022-11-30,8974.15,12061643.0,2710911.77,69.8758,4.8992,60.0
2022-12-31,8394.6,12288514.0,2535841.272,65.3632,4.5828,60.0
2023-01-31,8895.3,11882386.0,2687092.758,69.2619,4.8562,60.0
2023-02-28,8624.35,6867674.0,2605244.166,67.1521,4.7083,60.0
2023-03-31,8292.15,8726266.0,2504893.17,30.506,4.0538,60.0
2023-04-30,8589.55,8246386.0,2594731.779,31.6001,4.1992,60.0
2023-05-31,9367.7,10886974.0,2829795.378,34.4629,4.5796,60.0
2023-06-30,9789.05,9400567.0,2957076.811,36.013,4.7856,60.0
2023-07-31,9820.75,9392883.0,2966652.749,36.1296,4.8011,60.0
2023-08-31,10003.8,12216369.0,3021948.504,36.803,4.8906,90.0
2023-09-30,10610.6,12296043.0,3205250.685,39.0354,5.1872,90.0
2023-10-31,10392.3,9449443.0,3139306.608,38.2323,5.0805,90.0
2023-11-30,10608.7,8184925.0,3204676.733,39.0284,5.1863,90.0
2023-12-31,10302.35,14036161.0,3239085.358,37.9014,5.0365,90.0
2024-01-31,10186.9,13959900.0,3202787.581,37.4766,4.9801,90.0
2024-02-29,11288.35,12245281.0,3549086.296,41.5288,5.5186,90.0
2024-03-31,12600.35,10683727.0,3961582.473,29.3708,4.6261,90.0
2024-04-30,12817.5,10489842.0,4029854.992,29.8769,4.7058,90.0
2024-05-31,12399.3,11357079.0,3898371.836,28.9021,4.5523,90.0
2024-06-30,12033.85,11897812.0,3783473.415,28.0503,4.4181,90.0
2024-07-31,13115.8,14848554.0,4123641.28,30.5722,4.8153,90.0
2024-08-31,12403.0,14432010.0,3899535.125,28.9107,4.5536,125.0
2024-09-30,13238.0,11209983.0,4162061.275,30.8571,4.8602,125.0
2024-10-31,11076.45,15638425.0,3482464.391,25.8186,4.0666,125.0
2024-11-30,11074.2,8867435.0,3481756.985,25.8134,4.0658,125.0
2024-12-31,10858.4,7401646.0,3413908.91,25.3104,3.9865,125.0
2025-01-31,12310.65,11200699.0,3870500.048,28.6955,4.5197,125.0
2025-02-28,11945.85,8674040.0,3755805.989,27.8452,4.3858,125.0
2025-03-31,11522.15,7112587.0,3622593.618,24.983,3.7641,125.0
2025-04-30,12257.0,9293002.0,3853632.35,26.5763,4.0042,125.0
2025-05-31,12319.0,7268890.0,3873125.309,26.7108,4.0244,125.0
2025-06-30,12400.0,7347131.0,3898591.918,26.8864,4.0509,125.0
2025-07-31,12608.0,6528392.0,3963987.653,27.3374,4.1189,125.0
2025-08-31,14791.0,9998574.0,4650328.472,32.0707,4.832,135.0
2025-09-30,16029.0,12411481.0,5039558.859,34.755,5.2365,135.0
2025-10-31,16186.0,7266836.0,5088920.063,35.0954,5.2877,135.0
2025-11-30,15900.0,7349414.0,4999000.927,34.4753,5.1943,135.0
2025-12-31,16697.0,7141094.0,5249579.778,36.2034,5.4547,135.0
2026-01-31,14599.0,9402141.0,4589963.178,31.6544,4.7693,135.0
2026-02-28,14857.0,7340215.0,4671079.042,32.2138,4.8536,135.0
2026-03-31,14419.0,1819833.0,4533370.715,31.2641,4.7105,135.0
