LTF IN Equity,price,volume,mc,pe,bm,div
2016-12-31,81.48,96882520.0,153733.327,23.1135,2.1054,0.7441
2017-01-31,90.73,118418856.0,171195.0462,25.7388,2.3445,0.7441
2017-02-28,108.31,144394869.0,204453.818,30.7256,2.7988,0.7441
2017-03-31,115.01,114572737.0,217095.0159,23.7332,2.3837,0.7441
2017-04-30,118.68,72256663.0,224030.1175,24.4914,2.4599,0.7441
2017-05-31,119.47,93387146.0,233935.078,24.6545,2.4763,0.7441
2017-06-30,134.22,116433819.0,262801.3372,27.6967,2.7818,0.7441
2017-07-31,162.77,141706851.0,318712.6404,33.5893,3.3737,0.7441
2017-08-31,186.3,168352124.0,364888.9453,38.4453,3.8614,0.7441
2017-09-30,181.47,192580359.0,355416.0421,37.4472,3.7612,0.7441
2017-10-31,187.09,132108253.0,366437.4006,38.6084,3.8778,0.7441
2017-11-30,160.54,221191228.0,314755.2816,33.1286,3.3274,0.7441
2017-12-31,161.84,128351867.0,317308.3371,33.3973,3.3544,0.7441
2018-01-31,160.54,133679062.0,314755.2816,33.1286,3.3274,0.7441
2018-02-28,150.96,120603913.0,296167.3705,31.1516,3.1288,0.7441
2018-03-31,146.12,82933138.0,313520.8504,22.8589,2.7486,0.7441
2018-04-30,161.1,89758865.0,345651.2495,25.2015,3.0302,0.7441
2018-05-31,157.98,108277066.0,338978.9375,24.7141,2.9716,0.7441
2018-06-30,141.05,82970526.0,302656.2018,22.0659,2.6532,0.7441
2018-07-31,163.7,170703072.0,351480.7622,25.609,3.0792,0.7441
2018-08-31,168.72,140761193.0,362264.831,26.3947,3.1737,0.9301
2018-09-30,120.54,275302053.0,258817.6521,18.8575,2.2674,0.9301
2018-10-31,118.82,375495849.0,255123.11,18.5883,2.2351,0.9301
2018-11-30,134.12,183062772.0,288015.2542,20.9819,2.5229,0.9301
2018-12-31,141.94,155082552.0,304792.8418,22.2041,2.6698,0.9301
2019-01-31,122.26,167918297.0,262743.8847,19.1267,2.2998,0.9301
2019-02-28,115.52,133188032.0,248252.4951,18.0718,2.173,0.9301
2019-03-31,141.89,171737786.0,304918.8255,13.6816,2.2673,0.9301
2019-04-30,121.94,121631532.0,262044.3004,11.7578,1.9485,0.9301
2019-05-31,124.68,181006917.0,268037.648,12.0224,1.9923,0.9301
2019-06-30,107.1,162900661.0,230246.4391,10.3274,1.7114,0.9301
2019-07-31,92.13,242158699.0,198147.5896,8.8834,1.4721,0.9301
2019-08-31,87.76,251553745.0,188745.3314,8.4619,1.4023,0.9301
2019-09-30,78.83,269559622.0,169540.719,7.6009,1.2596,0.9301
2019-10-31,88.92,268663572.0,191248.561,8.574,1.4209,0.9301
2019-11-30,111.94,318507898.0,240761.133,10.7937,1.7887,0.9301
2019-12-31,110.27,226332511.0,237160.2187,10.6323,1.762,0.9301
2020-01-31,108.96,229629293.0,234359.5075,10.5067,1.7412,0.9301
2020-02-29,92.96,202012236.0,199950.7706,8.9641,1.4855,0.9301
2020-03-31,47.71,405390436.0,102626.0583,6.0353,0.7,1.7672
2020-04-30,61.02,330720870.0,131233.3222,7.7176,0.8951,1.7672
2020-05-31,50.55,410812047.0,108727.6076,6.3941,0.7416,1.7672
2020-06-30,61.25,583453584.0,131733.4492,7.7471,0.8985,1.7672
2020-07-31,55.81,520375602.0,120030.4776,7.0588,0.8187,0.8371
2020-08-31,62.36,382437902.0,134134.0587,7.8882,0.9149,0.8371
2020-09-30,57.76,300167532.0,124501.285,7.3059,0.8474,0.8371
2020-10-31,59.9,266073506.0,129249.4542,7.5765,0.8788,0.8371
2020-11-30,80.78,501122766.0,174306.135,10.2176,1.1851,0.8371
2020-12-31,87.15,431319548.0,188053.9419,11.0235,1.2786,0.8371
2021-01-31,86.0,541966077.0,172698.3805,10.8779,1.2617,0.8371
2021-02-28,104.9,447861568.0,259044.8543,13.2685,1.5389,0.8371
2021-03-31,95.85,301365396.0,236696.3706,21.3474,1.2608,0.8371
2021-04-30,87.05,309396372.0,214965.2484,19.3875,1.1451,0.8371
2021-05-31,93.7,278036525.0,231493.4631,20.8686,1.2325,0.0
2021-06-30,92.9,367494271.0,229516.9981,20.6904,1.222,0.0
2021-07-31,88.3,191158644.0,218152.3224,19.6659,1.1615,0.0
2021-08-31,83.3,165412249.0,205991.5207,18.5523,1.0957,0.0
2021-09-30,90.95,169243405.0,224909.1093,20.2561,1.1964,0.0
2021-10-31,82.05,238333080.0,202984.2071,18.2739,1.0793,0.0
2021-11-30,75.25,153849622.0,186161.6281,16.7595,0.9898,0.0
2021-12-31,77.7,193849293.0,192222.7044,17.3051,1.0221,0.0
2022-01-31,74.8,152115347.0,185057.8545,16.6592,0.9839,0.0
2022-02-28,65.95,186304473.0,163162.6404,14.6882,0.8675,0.0
2022-03-31,80.6,574725716.0,199407.2603,22.8977,0.9954,0.0
2022-04-30,87.55,304484962.0,216601.807,24.8722,1.0812,0.0
2022-05-31,75.8,199894558.0,187597.7515,21.5341,0.9361,0.0
2022-06-30,67.6,151624527.0,167303.5357,19.2045,0.8349,0.0
2022-07-31,75.15,131082153.0,186072.6776,21.3494,0.9281,0.5
2022-08-31,79.3,148975647.0,196348.1482,22.5284,0.9794,0.5
2022-09-30,74.7,172930376.0,184958.47,21.2216,0.9225,0.5
2022-10-31,81.1,122352011.0,200970.3452,23.0398,1.0016,0.5
2022-11-30,87.0,179439691.0,215590.8758,24.7159,1.0744,0.5
2022-12-31,87.25,239090778.0,216210.3898,24.7869,1.0775,0.5
2023-01-31,88.9,245849738.0,220442.7623,25.2557,1.0979,0.5
2023-02-28,87.35,106503529.0,216599.2721,24.8153,1.0788,0.5
2023-03-31,82.05,80864608.0,203457.0151,22.9545,0.9451,0.5
2023-04-30,92.55,57510773.0,229493.5619,22.9545,1.066,0.5
2023-05-31,104.15,214406570.0,258288.8219,22.9545,1.1996,0.5
2023-06-30,127.7,320964012.0,316692.1032,22.9545,1.4709,0.5
2023-07-31,131.9,309584809.0,327516.8685,22.9545,1.5192,2.0
2023-08-31,124.85,145864056.0,310011.2284,22.9545,1.438,2.0
2023-09-30,133.1,226170711.0,330496.5519,22.9545,1.5331,2.0
2023-10-31,133.0,285217589.0,330673.9975,22.9545,1.5319,2.0
2023-11-30,148.25,194103626.0,368589.625,22.9545,1.7076,2.0
2023-12-31,165.05,155385044.0,410574.775,22.9545,1.9011,2.0
2024-01-31,173.2,156448199.0,431084.4617,22.9545,1.9949,2.0
2024-02-29,167.15,93264492.0,416026.3728,22.9545,1.9253,2.0
2024-03-31,158.25,111565186.0,393874.8041,16.9433,1.6843,2.0
2024-04-30,166.65,111702257.0,414781.9027,17.8426,1.7737,2.0
2024-05-31,152.95,85591936.0,380820.931,16.3758,1.6279,2.0
2024-06-30,181.17,396458289.0,451084.1979,19.3972,1.9282,2.5
2024-07-31,179.89,227417651.0,448410.5351,19.2602,1.9146,2.5
2024-08-31,169.36,98940134.0,422162.4784,18.1328,1.8025,2.5
2024-09-30,185.82,184893871.0,463192.2043,19.8951,1.9777,2.5
2024-10-31,146.0,263126041.0,364163.3035,15.6317,1.5539,2.5
2024-11-30,142.47,138451119.0,355358.5332,15.2537,1.5163,2.5
2024-12-31,135.63,122492147.0,338297.7319,14.5214,1.4435,2.5
2025-01-31,145.47,153210563.0,362928.4627,15.5749,1.5483,2.5
2025-02-28,134.73,93071394.0,336133.5792,14.4251,1.4339,2.5
2025-03-31,153.22,82270703.0,382263.6904,14.4411,1.4953,2.5
2025-04-30,164.17,137324851.0,409582.4961,15.4731,1.6022,2.5
2025-05-31,171.29,110982941.0,427771.3297,16.1442,1.6717,2.75
2025-06-30,206.01,207079735.0,514485.5523,19.4166,2.0105,2.75
2025-07-31,202.59,212046379.0,506011.3722,19.0943,1.9771,2.75
2025-08-31,217.16,128762222.0,542671.9866,20.4675,2.1193,2.75
2025-09-30,249.28,135104113.0,623167.5789,23.4948,2.4328,2.75
2025-10-31,270.49,152364498.0,676544.1052,25.4939,2.6398,2.75
2025-11-30,312.35,212898802.0,781435.7498,29.4392,3.0483,2.75
2025-12-31,315.95,128225698.0,790705.1984,29.7785,3.0834,2.75
2026-01-31,286.35,154810253.0,716727.4284,26.9887,2.7946,2.75
2026-02-28,283.95,202258016.0,710893.749,26.7625,2.7711,2.75
2026-03-31,276.0,21127678.0,690990.2262,26.0132,2.6936,2.75
