MRL IN Equity,price,volume,mc,pe,bm,div
2024-05-31,917.65,27177312.0,136648.5462,4.978,1.5491,27.0
2024-06-30,982.1,14535168.0,146245.8859,5.3277,1.6579,27.0
2024-07-31,996.95,63318181.0,148457.2202,5.4082,1.683,55.0
2024-08-31,975.4,20052233.0,145248.1796,5.2913,1.6466,55.0
2024-09-30,934.45,13335746.0,139150.2577,5.0692,1.5775,55.0
2024-10-31,639.7,29785462.0,95258.6226,3.4702,1.0799,55.0
2024-11-30,626.75,39159878.0,93330.2199,3.4,1.0581,55.0
2024-12-31,625.8,39320532.0,93188.7541,3.3948,1.0565,55.0
2025-01-31,541.45,21983136.0,80628.0775,2.9372,0.9141,55.0
2025-02-28,451.6,9356434.0,67248.3882,2.4498,0.7624,55.0
2025-03-31,615.1,100303584.0,91595.4021,42.7747,1.1161,55.0
2025-04-30,612.3,32532986.0,91178.4502,42.58,1.111,55.0
2025-05-31,676.2,35152196.0,100693.8887,47.0236,1.227,55.0
2025-06-30,679.4,47484000.0,101170.4052,47.2462,1.2328,55.0
2025-07-31,682.65,87351911.0,101654.3672,47.4722,1.2387,55.0
2025-08-31,645.4,13894569.0,96107.4176,44.8818,1.1711,5.0
2025-09-30,757.8,23669704.0,112845.0589,52.6982,1.375,5.0
2025-10-31,979.35,125983515.0,145836.3796,68.105,1.7771,5.0
2025-11-30,916.15,86911740.0,136425.1791,63.71,1.6624,5.0
2025-12-31,836.2,27377187.0,124519.7127,58.1502,1.5173,5.0
2026-01-31,866.05,28748866.0,128964.718,60.226,1.5715,5.0
2026-02-28,961.95,23383307.0,143245.3212,66.895,1.7455,5.0
2026-03-31,992.45,16794546.0,147787.1207,69.016,1.8008,5.0
