KPIL IN Equity,price,volume,mc,pe,bm,div
2016-07-31,271.5,2097660.0,41664.5451,35.5366,1.7914,1.5
2016-08-31,261.25,5233234.0,40091.5742,34.195,1.7237,1.5
2016-09-30,260.5,2167509.0,39976.4788,34.0969,1.7188,1.5
2016-10-31,255.3,4002881.0,39178.4839,33.4162,1.6845,1.5
2016-11-30,242.95,1690472.0,37283.2458,31.7997,1.603,1.5
2016-12-31,248.55,3323285.0,38142.625,32.5327,1.6399,1.5
2017-01-31,274.3,1773289.0,42094.2347,35.9031,1.8098,1.5
2017-02-28,286.5,2082147.0,43966.4537,37.5,1.8903,1.5
2017-03-31,322.7,3717802.0,49521.7264,26.5592,2.0446,1.5
2017-04-30,352.2,2891585.0,54048.8132,28.9872,2.2315,1.5
2017-05-31,354.75,1823476.0,54440.1377,29.1971,2.2477,0.0
2017-06-30,325.2,1515779.0,49905.3778,26.765,2.0605,0.0
2017-07-31,348.55,2822587.0,53488.6821,28.6868,2.2084,0.0
2017-08-31,367.75,4166967.0,56435.1251,30.267,2.3301,2.0
2017-09-30,368.1,4857065.0,56488.8363,30.2958,2.3323,2.0
2017-10-31,374.25,2774229.0,57432.6188,30.802,2.3712,2.0
2017-11-30,443.8,5926581.0,68105.8014,36.5262,2.8119,2.0
2017-12-31,472.65,3033017.0,72533.1389,38.9006,2.9947,2.0
2018-01-31,443.9,4481334.0,68121.1475,36.5344,2.8125,2.0
2018-02-28,501.3,2467848.0,76929.7837,41.2586,3.1762,2.0
2018-03-31,484.25,2665589.0,74313.281,26.4761,2.7797,2.0
2018-04-30,488.5,2266078.0,74965.4884,26.7085,2.8041,2.0
2018-05-31,446.25,1893239.0,68481.7794,24.3985,2.5616,2.0
2018-06-30,401.0,2560513.0,61537.6886,21.9244,2.3018,2.0
2018-07-31,374.6,1465849.0,57486.3295,20.481,2.1503,2.5
2018-08-31,357.05,3131079.0,54793.0965,19.5215,2.0496,2.5
2018-09-30,334.45,3004283.0,51324.8876,18.2859,1.9198,2.5
2018-10-31,324.45,2696145.0,49790.2819,17.7391,1.8624,2.5
2018-11-30,358.35,1768362.0,54992.5953,19.5926,2.057,2.5
2018-12-31,392.2,2043175.0,60187.2356,21.4433,2.2513,2.5
2019-01-31,367.75,1011967.0,56435.1246,20.1065,2.111,2.5
2019-02-28,399.25,1556255.0,61269.1326,21.8288,2.2918,2.5
2019-03-31,470.75,2028488.0,72241.5633,15.475,2.3158,2.5
2019-04-30,465.9,2418188.0,71497.2796,15.3156,2.292,2.5
2019-05-31,505.0,2467663.0,77497.5879,16.6009,2.4843,2.5
2019-06-30,524.9,1184729.0,80551.4532,17.2551,2.5822,2.5
2019-07-31,479.65,3661254.0,73607.3624,15.7676,2.3596,3.0
2019-08-31,444.9,2155012.0,68274.6076,14.6252,2.1887,3.0
2019-09-30,490.65,9815975.0,75295.4287,16.1292,2.4137,3.0
2019-10-31,431.4,1791708.0,66744.2538,14.1815,2.1222,3.0
2019-11-30,459.7,2714252.0,71122.7016,15.1118,2.2615,3.0
2019-12-31,410.35,2300724.0,63487.4931,13.4895,2.0187,3.0
2020-01-31,445.05,2121276.0,68856.1199,14.6302,2.1894,3.0
2020-02-29,332.05,3519456.0,51373.2718,10.9155,1.6335,3.0
2020-03-31,182.65,2831091.0,28258.7806,7.2337,0.8346,3.5
2020-04-30,228.6,9421583.0,35367.9564,9.0535,1.0446,3.5
2020-05-31,205.1,12649207.0,31732.1429,8.1228,0.9372,3.5
2020-06-30,216.55,13018914.0,33503.635,8.5762,0.9895,3.5
2020-07-31,229.1,12768175.0,35412.9982,9.0733,1.0469,3.5
2020-08-31,260.55,12030131.0,40131.4553,10.3188,1.1906,3.5
2020-09-30,244.95,9431546.0,37640.5283,9.701,1.1193,3.5
2020-10-31,249.9,8125435.0,38663.395,9.897,1.1419,3.5
2020-11-30,320.6,13156067.0,49601.7784,12.697,1.465,3.5
2020-12-31,320.7,15060744.0,47755.1817,12.701,1.4654,3.5
2021-01-31,314.95,7018601.0,46898.9538,12.4733,1.4391,3.5
2021-02-28,381.7,9259957.0,56838.6432,15.1168,1.7442,8.5
2021-03-31,377.0,4932104.0,56138.7699,8.5198,1.5016,8.5
2021-04-30,368.65,5134796.0,54895.3781,8.3311,1.4684,8.5
2021-05-31,423.75,14414751.0,63100.2752,9.5763,1.6879,8.5
2021-06-30,425.8,7802421.0,63405.5391,9.6226,1.696,8.5
2021-07-31,471.4,12750003.0,70195.8007,10.6531,1.8776,10.0
2021-08-31,411.7,8271265.0,61305.9209,9.304,1.6399,10.0
2021-09-30,404.2,5841336.0,60189.1019,9.1345,1.61,10.0
2021-10-31,420.25,8007830.0,62579.0947,9.4972,1.6739,10.0
2021-11-30,388.4,5407841.0,57836.3364,8.7774,1.547,10.0
2021-12-31,374.55,12511792.0,55773.9439,8.4644,1.4919,10.0
2022-01-31,400.3,5721378.0,59608.356,9.0463,1.5944,10.0
2022-02-28,391.1,6587782.0,58238.3912,8.8384,1.5578,1.5
2022-03-31,366.75,7881880.0,54612.452,10.1089,1.2764,1.5
2022-04-30,359.95,4793161.0,53599.8694,9.9214,1.2528,1.5
2022-05-31,360.55,2698606.0,53689.2149,9.938,1.2548,1.5
2022-06-30,356.7,2766893.0,53115.9145,9.8319,1.2414,1.5
2022-07-31,370.55,1455655.0,55178.307,10.2136,1.2896,6.5
2022-08-31,408.35,4635183.0,60807.0751,11.2555,1.4212,6.5
2022-09-30,421.4,7668300.0,62750.3403,11.6152,1.4666,6.5
2022-10-31,475.35,6712023.0,70783.992,13.1023,1.6544,6.5
2022-11-30,507.15,5125102.0,75519.3048,13.9788,1.7651,6.5
2022-12-31,558.9,9245165.0,83225.3564,15.4052,1.9452,6.5
2023-01-31,515.3,8996115.0,76732.9149,14.2034,1.7934,6.5
