UTCEM IN Equity,price,volume,mc,pe,bm,div
2009-02-28,470.1,1825272.0,58520.8686,5.7937,2.1654,5.0
2009-03-31,551.35,2184344.0,68635.3561,7.0173,1.9006,5.0
2009-04-30,570.2,1591981.0,70981.9172,7.2572,1.9655,5.0
2009-05-31,717.8,1807119.0,89356.0508,9.1358,2.4743,5.0
2009-06-30,689.6,19523933.0,85845.5456,8.7769,2.3771,5.0
2009-07-31,799.0,4506528.0,99464.314,10.1693,2.7542,5.0
2009-08-31,761.8,3028551.0,94833.4348,9.6958,2.626,5.0
2009-09-30,799.6,3944861.0,99539.0056,10.1769,2.7563,5.0
2009-10-31,767.95,10690780.0,95599.0237,9.7741,2.6472,5.0
2009-11-30,836.65,4207073.0,104151.212,10.6485,2.884,5.0
2009-12-31,914.2,3385094.0,113805.1013,11.6355,3.1513,5.0
2010-01-31,930.0,5957459.0,115771.9801,11.8366,3.2058,5.0
2010-02-28,1040.05,5199197.0,129471.6721,13.2372,3.5851,5.0
2010-03-31,1154.85,4863332.0,143763.9259,13.1263,3.1121,5.0
2010-04-30,972.75,2087906.0,121094.8253,11.0565,2.6214,5.0
2010-05-31,921.75,3458305.0,114745.9832,10.4768,2.4839,5.0
2010-06-30,879.3,2073028.0,109461.5059,9.9943,2.3695,6.0
2010-07-31,863.9,4565835.0,107544.4046,9.8193,2.328,6.0
2010-08-31,902.5,3651311.0,247303.5083,10.258,2.4321,6.0
2010-09-30,1062.6,7253345.0,291175.2617,12.0777,2.8635,6.0
2010-10-31,1099.9,6249390.0,301398.5467,12.5017,2.964,6.0
2010-11-30,1137.6,12982999.0,311734.8255,12.9302,3.0656,6.0
2010-12-31,1084.25,4756570.0,297120.4012,12.3238,2.9218,6.0
2011-01-31,1002.8,2084270.0,274801.9956,11.398,2.7023,6.0
2011-02-28,930.8,3109914.0,255072.4347,10.5797,2.5083,6.0
2011-03-31,1131.5,3819273.0,310072.644,22.6759,2.9125,6.0
2011-04-30,1089.15,3206994.0,298472.5034,21.8272,2.8035,6.0
2011-05-31,1025.6,2538386.0,281057.1542,20.5536,2.6399,6.0
2011-06-30,929.9,1856861.0,254836.6715,18.6357,2.3935,6.0
2011-07-31,1029.45,3194531.0,282120.4601,20.6308,2.6498,6.0
2011-08-31,1070.2,4767823.0,293288.835,21.4474,2.7547,6.0
2011-09-30,1141.6,3424323.0,312859.1241,22.8783,2.9385,6.0
2011-10-31,1152.6,2367635.0,315875.3273,23.0988,2.9668,6.0
2011-11-30,1148.7,3316968.0,314810.4235,23.0206,2.9567,6.0
2011-12-31,1166.5,3955831.0,319690.9872,23.3773,3.0026,6.0
2012-01-31,1214.75,2919412.0,332915.6054,24.3443,3.1267,6.0
2012-02-29,1406.4,5124961.0,385439.3969,28.1851,3.62,6.0
2012-03-31,1514.55,4516511.0,415084.5657,17.2716,3.2367,6.0
2012-04-30,1424.9,3523324.0,390515.6568,16.2493,3.0451,6.0
2012-05-31,1423.85,4568462.0,390235.7097,16.2373,3.0429,6.0
2012-06-30,1516.5,3666332.0,415648.5474,17.2939,3.2408,6.0
2012-07-31,1639.6,2875910.0,449389.6019,18.6977,3.5039,6.0
2012-08-31,1693.9,2353731.0,464280.3728,19.3169,3.62,8.0
2012-09-30,1967.85,3570282.0,539378.2685,22.441,4.2054,8.0
2012-10-31,1996.2,3539537.0,547159.0242,22.7643,4.266,8.0
2012-11-30,1941.4,5976032.0,532247.4177,22.1394,4.1489,8.0
2012-12-31,1986.3,4283449.0,544570.7609,22.6514,4.2448,8.0
2013-01-31,1902.55,4452446.0,521613.9896,21.6963,4.0659,8.0
2013-02-28,1868.05,3423002.0,512162.9117,21.3029,3.9921,8.0
2013-03-31,1868.95,4037440.0,512421.6077,19.1314,3.3647,8.0
2013-04-30,1900.85,4132588.0,521174.865,19.458,3.4221,8.0
2013-05-31,1878.3,6590144.0,514996.0806,19.2271,3.3815,8.0
2013-06-30,1877.0,3266432.0,514640.6006,19.2138,3.3792,8.0
2013-07-31,1836.65,3223950.0,503593.8144,18.8008,3.3065,9.0
2013-08-31,1474.85,7939001.0,404398.757,15.0972,2.6552,9.0
2013-09-30,1809.3,4345612.0,496129.0933,18.5208,3.2573,9.0
2013-10-31,1966.85,4297379.0,539339.1653,20.1336,3.5409,9.0
2013-11-30,1907.8,2431385.0,523148.5516,19.5291,3.4346,9.0
2013-12-31,1764.1,2816105.0,483769.0547,18.0581,3.1759,9.0
2014-01-31,1710.7,4442291.0,469132.937,17.5115,3.0798,9.0
2014-02-28,1839.2,2808827.0,504383.5761,18.8269,3.3111,9.0
2014-03-31,2186.95,4406321.0,599752.1996,27.184,3.4906,9.0
2014-04-30,2027.15,3379247.0,555928.4419,25.1976,3.2355,9.0
2014-05-31,2382.2,10671708.0,653301.3213,29.6109,3.8022,9.0
2014-06-30,2591.95,6654046.0,711120.9398,32.2181,4.137,9.0
2014-07-31,2420.85,8371335.0,664187.5077,30.0914,3.8639,9.0
2014-08-31,2550.05,5690211.0,699637.2231,31.6973,4.0702,9.0
2014-09-30,2631.65,4213061.0,722109.852,32.7116,4.2004,9.0
2014-10-31,2548.45,5811998.0,699288.6588,31.6774,4.0676,9.0
2014-11-30,2484.25,4493896.0,681681.5964,30.8794,3.9651,9.0
2014-12-31,2676.05,3902488.0,734317.3491,33.2635,4.2713,9.0
2015-01-31,3140.35,6874122.0,861723.7471,39.0348,5.0123,9.0
2015-02-28,3135.75,4702401.0,860465.4749,38.9776,5.005,9.0
2015-03-31,2877.9,7699021.0,789709.0578,37.6294,4.1474,9.0
2015-04-30,2672.1,7452151.0,733236.653,34.9385,3.8508,9.0
2015-05-31,2975.3,7649414.0,816440.9328,38.903,4.2877,9.0
2015-06-30,2993.45,5123634.0,821423.0163,39.1403,4.3139,9.0
2015-07-31,3149.15,7245929.0,864148.1378,41.1761,4.5383,9.0
2015-08-31,2889.8,6583017.0,792981.8441,37.785,4.1645,9.0
2015-09-30,2673.4,6269766.0,733609.6275,34.9555,3.8527,9.0
2015-10-31,2886.1,6578684.0,791994.4751,37.7367,4.1592,9.0
2015-11-30,2801.05,4807578.0,768657.0153,36.6246,4.0366,9.0
2015-12-31,2780.55,5047508.0,763033.3244,36.3566,4.0071,9.0
2016-01-31,2840.1,7522850.0,779389.2418,37.1352,4.0929,9.0
2016-02-29,2768.6,5649079.0,759767.986,36.2003,3.9899,9.0
2016-03-31,3228.75,9181035.0,886068.5978,35.7558,4.0376,9.0
2016-04-30,3161.45,6092726.0,867601.0248,35.0105,3.9534,9.0
2016-05-31,3226.7,4925779.0,885516.6323,35.7331,4.035,9.0
2016-06-30,3411.0,5369432.0,936107.5616,37.7741,4.2655,9.0
2016-07-31,3718.2,5933132.0,1020414.857,41.1761,4.6496,9.5
2016-08-31,4028.7,5356274.0,1105627.815,44.6146,5.0379,9.5
2016-09-30,3851.55,5487767.0,1057011.181,42.6528,4.8164,9.5
2016-10-31,3964.25,4693177.0,1087940.311,43.9009,4.9573,9.5
2016-11-30,3603.45,15623329.0,988923.1118,39.9053,4.5061,9.5
2016-12-31,3250.2,6703658.0,892082.2816,35.9934,4.0644,9.5
2017-01-31,3694.45,5399913.0,1014015.566,40.9131,4.6199,9.5
2017-02-28,3774.55,4349036.0,1036055.476,41.8001,4.7201,9.5
2017-03-31,3984.75,7508125.0,1093817.888,40.2826,4.4845,9.5
2017-04-30,4248.95,4468134.0,1166370.41,42.9534,4.7818,9.5
2017-05-31,4195.2,5422908.0,1151631.691,42.41,4.7213,9.5
2017-06-30,3959.1,5576280.0,1086863.325,40.0233,4.4556,9.5
2017-07-31,4056.9,5133137.0,1113716.115,41.0119,4.5657,10.0
2017-08-31,4000.4,4483788.0,1098217.965,40.4408,4.5021,10.0
2017-09-30,3854.2,4688552.0,1058108.106,38.9628,4.3376,10.0
2017-10-31,4401.05,6062673.0,1208236.906,44.491,4.953,10.0
2017-11-30,4203.8,4341059.0,1154141.179,42.497,4.731,10.0
2017-12-31,4320.6,3400033.0,1186229.064,43.6777,4.8625,10.0
2018-01-31,4382.0,5087096.0,1203141.753,44.2984,4.9316,10.0
2018-02-28,4155.6,3622313.0,1141047.428,42.0097,4.6768,10.0
2018-03-31,3950.0,4068512.0,1084725.241,48.8016,4.1117,10.0
2018-04-30,4108.85,4981891.0,1128347.672,50.7641,4.2771,10.0
2018-05-31,3744.9,7501189.0,1028416.147,46.2676,3.8982,10.0
2018-06-30,3818.6,6907824.0,1048660.385,47.1782,3.975,10.0
2018-07-31,4193.8,7992582.0,1151712.751,51.8137,4.3655,10.5
2018-08-31,4475.5,6104484.0,1229081.364,55.294,4.6588,10.5
2018-09-30,4059.95,6399747.0,1114967.297,50.16,4.2262,10.5
2018-10-31,3499.4,8552100.0,961031.6485,43.2345,3.6427,10.5
2018-11-30,3999.65,6316262.0,1098423.056,49.415,4.1634,10.5
2018-12-31,3990.95,6214015.0,1096057.594,49.3075,4.1544,10.5
2019-01-31,3519.35,9487083.0,966542.8532,43.481,3.6635,10.5
2019-02-28,3826.5,7675542.0,1050900.348,47.2758,3.9832,10.5
2019-03-31,3998.35,7383010.0,1098108.891,47.5881,3.2512,10.5
2019-04-30,4616.8,13700720.0,1267985.791,54.9488,3.7541,10.5
2019-05-31,4760.1,13427355.0,1307342.567,56.6544,3.8706,10.5
2019-06-30,4555.85,8227473.0,1251263.519,54.2234,3.7046,10.5
2019-07-31,4346.9,8805342.0,1193876.863,51.7365,3.5346,11.5
2019-08-31,4052.25,14658465.0,1112951.188,48.2296,3.2951,11.5
2019-09-30,4341.25,12276710.0,1192326.518,51.6692,3.5301,11.5
2019-10-31,4143.2,10874572.0,1195784.141,49.3121,3.369,11.5
2019-11-30,4259.1,11207756.0,1229236.445,50.6915,3.4633,11.5
2019-12-31,4046.05,10096732.0,1167762.924,48.1558,3.29,11.5
2020-01-31,4416.1,14835994.0,1274575.745,52.5601,3.5909,11.5
2020-02-29,4219.6,9175736.0,1217862.821,50.2214,3.4311,11.5
2020-03-31,3244.85,16380231.0,936545.172,16.2608,2.397,11.5
2020-04-30,3534.3,12807041.0,1020087.709,17.7114,2.6108,11.5
2020-05-31,3904.85,15846677.0,1127037.741,19.5683,2.8845,11.5
2020-06-30,3893.55,12198451.0,1123780.058,19.5117,2.8762,11.5
2020-07-31,4117.3,13171118.0,1188360.143,20.6329,3.0414,13.0
2020-08-31,3903.85,11984427.0,1126752.907,19.5633,2.8838,13.0
2020-09-30,4049.55,10449241.0,1168805.726,20.2934,2.9914,13.0
2020-10-31,4574.05,19262339.0,1320206.062,22.9218,3.3788,13.0
2020-11-30,4802.0,11413321.0,1386007.848,24.0641,3.5472,13.0
2020-12-31,5288.15,21521035.0,1526355.297,26.5004,3.9063,13.0
2021-01-31,5327.25,15335442.0,1537644.154,26.6963,3.9352,13.0
2021-02-28,6115.0,16744762.0,1765018.349,30.6439,4.5171,13.0
2021-03-31,6737.95,13740714.0,1944932.136,36.5319,4.3999,13.0
2021-04-30,6278.95,12944834.0,1812440.228,34.0433,4.1002,13.0
2021-05-31,6708.0,9948521.0,1936286.967,36.3696,4.3803,13.0
2021-06-30,6776.0,7631770.0,1955922.506,36.7382,4.4247,13.0
2021-07-31,7619.2,9495150.0,2199326.904,41.3099,4.9753,13.0
2021-08-31,7832.45,6478449.0,2260882.771,42.4661,5.1146,37.0
2021-09-30,7396.1,6181055.0,2134927.776,40.1003,4.8297,37.0
2021-10-31,7636.05,10163868.0,2204190.755,41.4013,4.9863,37.0
2021-11-30,7433.75,6132235.0,2145858.619,40.3044,4.8542,37.0
2021-12-31,7591.05,5364219.0,2191270.35,41.1573,4.957,37.0
2022-01-31,7216.4,8057371.0,2083126.761,39.126,4.7123,37.0
2022-02-28,6567.9,8126599.0,1895934.4,35.61,4.2888,37.0
2022-03-31,6602.3,18146389.0,1905891.533,26.5057,3.7757,37.0
2022-04-30,6630.25,6583887.0,1913959.883,26.6179,3.7917,37.0
2022-05-31,6082.6,8814377.0,1755869.294,24.4193,3.4785,37.0
2022-06-30,5607.3,12889023.0,1618664.04,22.5111,3.2067,37.0
2022-07-31,6544.8,9392491.0,1889294.648,26.2748,3.7428,37.0
2022-08-31,6677.85,7809230.0,1927702.339,26.809,3.8189,38.0
2022-09-30,6255.1,12101320.0,1805671.808,25.1118,3.5771,38.0
2022-10-31,6714.95,7472460.0,1938417.597,26.9579,3.8401,38.0
2022-11-30,7077.0,7687746.0,2042970.462,28.4114,4.0472,38.0
2022-12-31,6959.05,7840775.0,2008920.955,27.9379,3.9797,38.0
2023-01-31,7085.55,9133642.0,2045452.642,28.4457,4.0521,38.0
2023-02-28,7261.3,9044900.0,2096210.855,29.1513,4.1526,38.0
2023-03-31,7622.15,6276132.0,2200410.625,43.3989,4.0455,38.0
2023-04-30,7556.2,5722977.0,2181371.76,43.0234,4.0105,38.0
2023-05-31,7870.05,6660493.0,2271975.97,44.8104,4.1771,38.0
2023-06-30,8294.75,6208067.0,2394581.06,47.2285,4.4025,38.0
2023-07-31,8318.15,6757686.0,2401336.321,47.3618,4.4149,38.0
2023-08-31,8297.45,6057082.0,2395360.513,47.2439,4.4039,38.0
2023-09-30,8254.85,6984238.0,2383062.475,47.0014,4.3813,38.0
2023-10-31,8422.25,7579215.0,2431388.569,47.9545,4.4702,38.0
2023-11-30,9003.65,5153613.0,2599233.772,51.2649,4.7787,38.0
2023-12-31,10503.05,10272830.0,3032090.571,59.8021,5.5745,38.0
2024-01-31,10167.35,6609130.0,2935188.622,57.8907,5.3964,38.0
2024-02-29,9892.4,6275604.0,2855813.946,56.3252,5.2504,38.0
2024-03-31,9749.15,6282500.0,2814501.661,40.1117,4.6653,38.0
2024-04-30,9971.85,8007724.0,2878846.351,41.028,4.7719,38.0
2024-05-31,9915.5,7458440.0,2862578.257,40.7961,4.7449,38.0
2024-06-30,11667.9,12744988.0,3368491.437,48.0062,5.5835,38.0
2024-07-31,11887.2,9092980.0,3431802.759,48.9085,5.6884,70.0
2024-08-31,11301.9,6619943.0,3262828.218,46.5003,5.4083,70.0
2024-09-30,11802.0,6013285.0,3407205.747,48.5579,5.6476,70.0
2024-10-31,11065.65,7589705.0,3194627.118,45.5283,5.2953,70.0
2024-11-30,11202.15,5240938.0,3234038.973,46.0899,5.3606,70.0
2024-12-31,11426.35,5993855.0,3298787.931,47.0123,5.4679,70.0
2025-01-31,11487.45,8471135.0,3316427.504,47.2637,5.4971,70.0
2025-02-28,10128.45,8472930.0,2924115.004,41.6723,4.8468,70.0
2025-03-31,11509.55,7395352.0,3391604.384,56.0621,4.7883,70.0
2025-04-30,11641.0,7232076.0,3430360.23,56.7024,4.843,70.0
2025-05-31,11210.0,5251721.0,3303353.507,54.603,4.6637,70.0
2025-06-30,12093.0,6724687.0,3563555.215,58.904,5.0311,70.0
2025-07-31,12249.0,5863755.0,3609525.166,59.6639,5.096,77.5
2025-08-31,12640.0,5205053.0,3724744.721,61.5684,5.2586,77.5
2025-09-30,12222.0,5407254.0,3601568.828,59.5324,5.0847,77.5
2025-10-31,11947.0,4902453.0,3520532.056,58.1929,4.9703,77.5
2025-11-30,11600.0,3965393.0,3418278.384,56.5027,4.826,77.5
2025-12-31,11784.0,4769659.0,3472499.351,57.3989,4.9025,77.5
2026-01-31,12694.0,6806600.0,3740657.397,61.8315,5.2811,77.5
2026-02-28,12677.0,4024460.0,3735647.851,61.7487,5.274,77.5
2026-03-31,12308.0,955433.0,3626911.237,59.9513,5.1205,77.5
