GAIL IN Equity,price,volume,mc,pe,bm,div
2015-11-30,68.46,222343458.0,463121.1049,14.6568,1.3612,1.125
2015-12-31,70.33,202889869.0,475805.8791,15.0582,1.3985,1.125
2016-01-31,69.11,172463120.0,467560.7759,14.7973,1.3743,1.125
2016-02-29,57.22,187368055.0,387075.8838,12.2501,1.1377,1.0313
2016-03-31,66.83,177301422.0,452085.3514,32.2534,1.2419,1.0313
2016-04-30,67.57,137177916.0,457095.8372,32.6109,1.2556,1.0313
2016-05-31,69.46,209519306.0,469907.4591,33.5249,1.2908,1.0313
2016-06-30,72.22,182327952.0,488554.0772,34.8552,1.3421,1.0313
2016-07-31,71.58,186142555.0,484241.2539,34.5475,1.3302,1.0313
2016-08-31,71.98,211769567.0,486968.4804,34.7421,1.3377,1.0313
2016-09-30,70.25,276990188.0,475235.0643,33.905,1.3055,1.0313
2016-10-31,80.98,296178236.0,547855.3964,39.086,1.505,1.0313
2016-11-30,79.64,250919977.0,538785.7829,38.4389,1.48,1.0313
2016-12-31,82.35,216292920.0,557115.2815,39.7466,1.5304,1.0313
2017-01-31,87.78,371236840.0,593837.7028,42.3665,1.6313,1.0313
2017-02-28,96.92,322355583.0,655675.9768,46.7783,1.8011,2.1563
2017-03-31,94.24,674259955.0,637536.7038,18.9283,1.622,2.1563
2017-04-30,105.99,260136039.0,717027.9495,21.2884,1.8243,2.1563
2017-05-31,103.5,281384910.0,700199.4836,20.7888,1.7815,2.1563
2017-06-30,90.36,253152529.0,611321.5057,18.15,1.5553,2.1563
2017-07-31,94.19,228258035.0,637198.4431,18.9183,1.6212,2.1563
2017-08-31,94.58,242343955.0,639819.963,18.9961,1.6278,2.2688
2017-09-30,104.76,438843402.0,708740.5643,21.0424,1.8032,2.2688
2017-10-31,116.3,391916610.0,786794.2024,23.3598,2.0018,2.2688
2017-11-30,117.1,327823138.0,792206.3837,23.5205,2.0155,2.2688
2017-12-31,124.91,395493637.0,845059.6064,25.0897,2.15,2.2688
2018-01-31,119.65,307282571.0,809457.6756,24.0326,2.0594,2.5875
2018-02-28,114.38,243933239.0,773771.214,22.9731,1.9686,2.5875
2018-03-31,109.52,293047241.0,740903.5534,15.4536,1.7777,2.5875
2018-04-30,108.37,174714495.0,733123.5603,15.2914,1.759,2.5875
2018-05-31,116.97,340112658.0,791304.3904,16.5049,1.8986,2.5875
2018-06-30,113.42,276818064.0,767287.885,16.004,1.841,2.5875
2018-07-31,125.05,267651261.0,845989.8605,17.6455,2.0298,2.5875
2018-08-31,124.07,361135845.0,839337.4013,17.5068,2.0138,2.3925
2018-09-30,126.33,300215886.0,854671.8836,17.8266,2.0506,2.3925
2018-10-31,124.75,439310022.0,843960.2967,17.6032,2.0249,2.3925
2018-11-30,114.35,321290172.0,773602.0836,16.1357,1.8561,2.3925
2018-12-31,120.1,282605508.0,812502.0572,16.947,1.9494,2.3925
2019-01-31,110.72,308179353.0,749021.8104,15.623,1.7971,2.3925
2019-02-28,114.0,305597544.0,771234.2591,16.0863,1.8504,2.5633
2019-03-31,115.88,230834760.0,783975.4099,11.9755,1.7041,2.5633
2019-04-30,118.65,240422592.0,802692.4986,12.2615,1.7448,2.5633
2019-05-31,120.33,278023944.0,814080.6068,12.4354,1.7696,2.5633
2019-06-30,103.98,392089089.0,703469.3775,10.7458,1.5291,2.5633
2019-07-31,85.9,274141176.0,581131.7794,8.877,1.2632,2.5633
2019-08-31,86.53,307818686.0,585416.4142,8.9425,1.2725,2.6733
2019-09-30,89.67,311564457.0,606614.081,9.2663,1.3186,2.6733
2019-10-31,91.57,297839340.0,619467.9853,9.4626,1.3465,2.6733
2019-11-30,84.03,351892110.0,568503.3822,8.6841,1.2358,2.6733
2019-12-31,80.7,336176568.0,545952.6729,8.3396,1.1867,2.6733
2020-01-31,80.3,375471462.0,543246.5878,8.2983,1.1809,2.6733
2020-02-29,69.6,472129554.0,470858.8108,7.1926,1.0235,4.8567
2020-03-31,51.03,729244667.0,345251.3598,3.6644,0.7008,4.8567
2020-04-30,63.8,486332780.0,431620.5766,4.5811,0.8761,4.8567
2020-05-31,61.57,402496650.0,416511.6013,4.4208,0.8454,4.8567
2020-06-30,68.1,774352119.0,460710.9916,4.8899,0.9351,4.8567
2020-07-31,64.43,435992177.0,435905.2113,4.6266,0.8848,4.8567
2020-08-31,63.77,461080298.0,431395.0695,4.5787,0.8756,4.8567
2020-09-30,57.87,491992854.0,391480.314,4.1551,0.7946,4.8567
2020-10-31,56.5,416084156.0,382234.5173,4.057,0.7758,4.2667
2020-11-30,68.43,572862950.0,462966.0555,4.9138,0.9397,4.2667
2020-12-31,82.17,1055039016.0,555874.9765,5.9,1.1283,4.2667
2021-01-31,83.53,845566821.0,565120.7672,5.9981,1.147,5.9333
2021-02-28,94.53,981405345.0,639538.1068,6.7879,1.2981,5.9333
2021-03-31,90.33,821526996.0,601672.1886,9.9559,1.1313,3.3333
2021-04-30,91.47,437161940.0,609220.8434,10.0808,1.1455,3.3333
2021-05-31,106.63,640955507.0,710239.6057,11.7524,1.3355,3.3333
2021-06-30,99.77,534038411.0,664503.6386,10.9956,1.2495,3.3333
2021-07-31,93.03,333715985.0,619655.7581,10.2535,1.1652,3.3333
2021-08-31,97.43,465355289.0,648962.3006,10.7384,1.2203,3.3333
2021-09-30,105.9,525072437.0,705355.193,11.6716,1.3263,3.3333
2021-10-31,99.23,503459847.0,660951.3407,10.9368,1.2428,3.3333
2021-11-30,86.53,341277923.0,576362.0022,9.5371,1.0837,3.3333
2021-12-31,86.13,363416204.0,573697.7711,9.493,1.0787,6.0
2022-01-31,96.2,284052590.0,640747.588,10.6025,1.2048,4.3333
2022-02-28,96.57,344526660.0,643189.7998,10.6429,1.2094,4.3333
2022-03-31,103.77,642979179.0,691145.9603,5.6395,1.078,6.0
2022-04-30,106.1,427806644.0,706687.3086,5.7663,1.1022,6.0
2022-05-31,98.13,308445203.0,653624.7051,5.3333,1.0195,6.0
2022-06-30,90.13,322671167.0,592635.6478,4.8986,0.9364,6.0
2022-07-31,97.73,248807643.0,642606.4051,5.3116,1.0153,6.0
2022-08-31,90.73,504543015.0,596580.7076,4.9312,0.9426,6.6667
2022-09-30,87.05,292796561.0,572362.4239,4.731,0.9043,6.6667
2022-10-31,91.3,228132065.0,600306.5974,4.962,0.9485,6.6667
2022-11-30,94.75,255320887.0,622990.6912,5.1495,0.9843,6.6667
2022-12-31,96.05,337955532.0,631538.3207,5.2201,0.9978,4.0
2023-01-31,95.15,279297494.0,625620.731,5.1712,0.9885,4.0
2023-02-28,102.65,328873360.0,674933.9784,5.5788,1.0664,4.0
2023-03-31,105.15,436917564.0,691371.7275,12.3415,1.0648,4.6667
2023-04-30,107.3,179109292.0,705508.1917,12.5939,1.0866,4.6667
2023-05-31,104.8,216587238.0,689070.4426,12.3005,1.0613,4.6667
2023-06-30,105.05,210024914.0,690714.2175,12.3298,1.0638,4.6667
2023-07-31,119.1,357748594.0,783094.3675,13.9789,1.2061,4.6667
2023-08-31,115.0,291909671.0,756136.4589,13.4977,1.1646,4.0
2023-09-30,124.4,358727255.0,817942.3956,14.6009,1.2598,4.0
2023-10-31,119.5,383895939.0,785724.4073,14.0258,1.2102,4.0
2023-11-30,131.9,288374522.0,867255.6429,15.4812,1.3357,4.0
2023-12-31,162.1,660844710.0,1065823.652,19.0258,1.6416,4.0
2024-01-31,172.6,700654778.0,1134862.198,20.2582,1.7479,4.0
2024-02-29,182.25,510122661.0,1198311.91,21.3908,1.8456,5.5
2024-03-31,181.05,364538357.0,1190421.79,12.0219,1.5461,5.5
2024-04-30,209.1,551131141.0,1374853.335,13.8845,1.7856,5.5
2024-05-31,204.3,494308153.0,1343292.857,13.5657,1.7446,5.5
2024-06-30,219.55,790569022.0,1443563.127,14.5784,1.8748,5.5
2024-07-31,240.97,516374478.0,1584401.761,16.0007,2.0577,5.5
2024-08-31,237.69,323398346.0,1562835.434,15.7829,2.0297,5.5
2024-09-30,240.29,333329286.0,1579930.693,15.9555,2.0519,5.5
2024-10-31,199.99,287040734.0,1314954.178,13.2795,1.7078,5.5
2024-11-30,199.46,284783280.0,1311469.375,13.2444,1.7033,5.5
2024-12-31,190.98,268162206.0,1255712.53,12.6813,1.6309,5.5
2025-01-31,177.12,329036792.0,1164581.649,11.761,1.5125,5.5
2025-02-28,156.04,282174224.0,1025978.548,10.3612,1.3325,6.5
2025-03-31,183.04,309381215.0,1203506.239,9.6693,1.4159,6.5
2025-04-30,189.09,266761950.0,1243285.592,9.9889,1.4627,6.5
2025-05-31,189.8,281354350.0,1247953.912,10.0264,1.4682,6.5
2025-06-30,190.84,276295246.0,1254792.016,10.0814,1.4763,6.5
2025-07-31,177.68,271199900.0,1168263.705,9.3862,1.3745,6.5
2025-08-31,173.07,194727359.0,1137952.495,9.1426,1.3388,7.5
2025-09-30,176.29,197213507.0,1159124.316,9.3127,1.3637,7.5
2025-10-31,182.76,204107222.0,1201665.211,9.6545,1.4138,7.5
2025-11-30,176.09,207509959.0,1157809.296,9.3022,1.3622,7.5
2025-12-31,172.16,174774188.0,1131969.155,9.0946,1.3318,7.5
2026-01-31,167.29,237150038.0,1099948.419,8.8373,1.2941,7.5
2026-02-28,169.53,317677730.0,1114676.643,8.9556,1.3114,6.0
2026-03-31,155.83,71558158.0,1024597.789,8.2319,1.2054,6.0
