BOS IN Equity,price,volume,mc,pe,bm,div
2015-01-31,23824.3,546018.0,748056.8623,307.3374,26.4155,55.0
2015-02-28,25885.9,2229525.0,812791.3902,333.9324,28.7013,55.0
2015-03-31,25421.35,1208572.0,798202.4398,78.9225,10.8643,55.0
2015-04-30,22503.8,560358.0,706594.6135,69.8648,9.6175,55.0
2015-05-31,23668.85,672827.0,743175.8658,73.4818,10.1154,55.0
2015-06-30,21852.3,614186.0,686138.2295,67.8421,9.339,55.0
2015-07-31,24669.7,491745.0,774601.4441,76.589,10.5431,0.0
2015-08-31,23210.45,680192.0,728782.5978,72.0586,9.9195,85.0
2015-09-30,19386.8,715914.0,608724.2391,60.1878,8.2853,85.0
2015-10-31,20457.5,532685.0,642343.0169,63.5119,8.7429,85.0
2015-11-30,18650.95,558030.0,585619.3088,57.9033,7.9709,85.0
2015-12-31,18647.95,441952.0,585525.1121,57.894,7.9696,85.0
2016-01-31,17495.95,447121.0,549353.5782,54.3175,7.4773,85.0
2016-02-29,16736.5,528721.0,525507.7063,51.9597,7.1527,85.0
2016-03-31,20784.5,467731.0,652610.4575,43.0908,6.8503,85.0
2016-04-30,19664.0,298656.0,617427.989,40.7678,6.481,85.0
2016-05-31,22347.55,490690.0,701688.5352,46.3314,7.3654,85.0
2016-06-30,22648.75,400387.0,711145.8587,46.9558,7.4647,85.0
2016-07-31,24976.55,375986.0,784236.2459,51.7819,8.2319,85.0
2016-08-31,24167.8,416856.0,758842.3848,50.1051,7.9653,85.0
2016-09-30,22797.85,330178.0,715827.4231,47.2649,7.5138,85.0
2016-10-31,21876.2,253947.0,686888.6142,45.3541,7.2101,85.0
2016-11-30,20525.35,394867.0,626448.8698,42.5535,6.7648,85.0
2016-12-31,21049.95,343305.0,642460.0388,43.6412,6.9377,85.0
2017-01-31,22130.75,323961.0,675446.878,45.8819,7.294,85.0
2017-02-28,21583.25,371153.0,658736.7726,44.7468,7.1135,150.0
2017-03-31,22751.25,442046.0,694384.9975,48.9373,7.8992,150.0
2017-04-30,22991.6,267313.0,701720.646,49.4543,7.9826,150.0
2017-05-31,23337.95,381499.0,712291.516,50.1993,8.1029,150.0
2017-06-30,23327.25,380245.0,711964.944,50.1763,8.0992,165.0
2017-07-31,24178.1,286612.0,737933.5161,52.0064,8.3946,165.0
2017-08-31,21986.8,393618.0,671053.4174,47.293,7.6338,165.0
2017-09-30,20545.1,243076.0,627051.6658,44.1919,7.1332,165.0
2017-10-31,21012.2,250534.0,641307.9037,45.1966,7.2954,165.0
2017-11-30,20333.75,593339.0,620601.097,43.7373,7.0598,165.0
2017-12-31,20165.55,510293.0,615467.5085,43.3755,7.0014,165.0
2018-01-31,19400.25,360204.0,592109.9862,41.7294,6.7357,165.0
2018-02-28,18687.3,349911.0,570350.2246,40.1959,6.4882,165.0
2018-03-31,18017.55,510354.0,549908.959,40.1071,5.5142,165.0
2018-04-30,19404.8,400158.0,592248.8556,43.1952,5.9388,90.0
2018-05-31,18367.5,302267.0,560589.692,40.8861,5.6213,90.0
2018-06-30,17509.95,335004.0,534416.6314,38.9772,5.3588,100.0
2018-07-31,18720.7,246575.0,571369.6173,41.6724,5.7294,100.0
2018-08-31,21990.35,484819.0,671161.7549,48.9506,6.7301,100.0
2018-09-30,19934.1,484088.0,608403.4832,44.3734,6.1008,100.0
2018-10-31,19746.5,386344.0,602677.7924,43.9558,6.0433,100.0
2018-11-30,18973.25,639659.0,579077.6302,42.2345,5.8067,100.0
2018-12-31,19611.2,630097.0,598548.3363,43.6546,6.0019,100.0
2019-01-31,18851.7,264636.0,575367.8343,41.964,5.7695,100.0
2019-02-28,19026.3,461905.0,580696.7555,42.3526,5.8229,100.0
2019-03-31,18184.85,369473.0,536337.4194,34.6197,5.8823,100.0
2019-04-30,18018.95,256890.0,531444.4245,34.3038,5.8286,100.0
2019-05-31,17722.85,450388.0,522711.3577,33.7401,5.7329,100.0
2019-06-30,16338.65,220481.0,481886.2612,31.105,5.2851,100.0
2019-07-31,14438.8,265316.0,425852.7692,27.4881,4.6706,100.0
2019-08-31,14476.85,457123.0,426975.0022,27.5605,4.6829,105.0
2019-09-30,14063.7,392299.0,414789.7049,26.774,4.5492,105.0
2019-10-31,15305.35,387166.0,451410.483,29.1378,4.9509,105.0
2019-11-30,16142.6,626989.0,476104.0331,30.7317,5.2217,105.0
2019-12-31,15374.6,375222.0,453452.9175,29.2696,4.9733,105.0
2020-01-31,13885.7,363055.0,409539.8369,26.4351,4.4917,105.0
2020-02-29,12128.45,392852.0,357712.1381,23.0897,3.9232,105.0
2020-03-31,9395.55,713482.0,277108.9693,47.4003,2.9923,105.0
2020-04-30,10612.45,660296.0,312999.7798,53.5396,3.3799,105.0
2020-05-31,9721.15,931614.0,286712.0985,49.043,3.096,105.0
2020-06-30,11418.1,1185564.0,336761.3309,57.604,3.6365,105.0
2020-07-31,13078.65,1552503.0,385736.9948,65.9815,4.1653,105.0
2020-08-31,12814.0,1482048.0,377931.503,64.6463,4.081,105.0
2020-09-30,13730.05,1785853.0,404949.1519,69.2678,4.3728,105.0
2020-10-31,11610.15,959013.0,342425.5844,58.5729,3.6976,105.0
2020-11-30,12816.1,3309951.0,377993.4396,64.6569,4.0817,105.0
2020-12-31,12785.4,2471559.0,377087.9849,64.502,4.0719,105.0
2021-01-31,15327.5,1997466.0,452063.7671,77.3269,4.8815,105.0
2021-02-28,14854.9,21475105.0,438125.0728,74.9426,4.731,105.0
2021-03-31,14088.4,842413.0,415518.1978,86.2071,4.2344,105.0
2021-04-30,13509.0,649140.0,398429.5828,82.6617,4.0603,105.0
2021-05-31,15256.5,1584015.0,449969.7187,93.3547,4.5855,105.0
2021-06-30,15025.15,827452.0,443146.365,91.9391,4.516,105.0
2021-07-31,14968.25,864418.0,441468.1769,91.5909,4.4989,115.0
2021-08-31,13859.2,1008985.0,408758.2555,84.8046,4.1655,115.0
2021-09-30,15474.5,1080690.0,456399.3322,94.6887,4.651,115.0
2021-10-31,16952.3,1617313.0,499985.0334,103.7313,5.0952,115.0
2021-11-30,16168.5,1567389.0,476867.9183,98.9353,4.8596,115.0
2021-12-31,17320.25,834709.0,510837.2182,105.9828,5.2058,115.0
2022-01-31,16533.9,590090.0,487644.8944,101.1711,4.9694,115.0
2022-02-28,15748.8,552901.0,464489.4376,96.3671,4.7335,115.0
2022-03-31,14438.5,905942.0,425843.9211,34.9539,3.9874,115.0
2022-04-30,14491.6,402518.0,427410.0334,35.0825,4.002,115.0
2022-05-31,14627.4,607520.0,431415.2697,35.4113,4.0395,115.0
2022-06-30,15229.6,491707.0,449176.3397,36.8691,4.2058,115.0
2022-07-31,17115.8,790185.0,504807.2435,41.4354,4.7267,210.0
2022-08-31,17540.05,1332857.0,517319.9203,42.4624,4.8439,210.0
2022-09-30,15814.85,796281.0,466437.4926,38.2859,4.3675,210.0
2022-10-31,16488.6,349181.0,486308.8325,39.917,4.5535,210.0
2022-11-30,17004.4,719726.0,501521.652,41.1657,4.696,210.0
2022-12-31,17264.2,646040.0,509184.0997,41.7946,4.7677,210.0
2023-01-31,17028.6,258531.0,502235.3981,41.2243,4.7027,210.0
2023-02-28,17996.25,507761.0,530774.9189,43.5668,4.9699,300.0
2023-03-31,19369.9,667105.0,571288.8574,40.0768,5.1911,300.0
2023-04-30,19371.85,474249.0,571346.37,40.0808,5.1917,300.0
2023-05-31,18568.4,597189.0,547649.705,38.4184,4.9763,300.0
2023-06-30,19042.35,417189.0,561628.2157,39.3991,5.1033,300.0
2023-07-31,18970.3,642782.0,559503.1989,39.25,5.084,480.0
2023-08-31,18573.85,568195.0,547810.4453,38.4297,4.9778,480.0
2023-09-30,19019.7,460464.0,560960.1847,39.3522,5.0973,480.0
2023-10-31,19450.95,519217.0,573679.317,40.2445,5.2128,480.0
2023-11-30,21599.55,580345.0,637049.3519,44.69,5.7887,480.0
2023-12-31,22203.8,605908.0,654870.8838,45.9402,5.9506,480.0
2024-01-31,23568.15,590902.0,695110.5316,48.763,6.3163,480.0
2024-02-29,28590.85,963202.0,843248.2372,59.1551,7.6623,410.0
2024-03-31,30031.3,845815.0,885732.3509,35.5535,7.3463,410.0
2024-04-30,29356.05,782142.0,865816.7705,34.754,7.1811,410.0
2024-05-31,30393.75,2118870.0,896422.3208,35.9826,7.4349,410.0
2024-06-30,34084.4,999205.0,1005273.023,40.3518,8.3377,410.0
2024-07-31,34978.45,574509.0,1031641.812,41.4103,8.5564,375.0
2024-08-31,32389.6,691890.0,955287.2021,38.3454,7.9232,375.0
2024-09-30,37678.9,1036885.0,1111287.912,44.6073,9.217,375.0
2024-10-31,35121.6,620885.0,1035863.827,41.5798,8.5915,375.0
2024-11-30,34966.2,586601.0,1031280.515,41.3958,8.5534,375.0
2024-12-31,34100.2,415741.0,1005739.023,40.3706,8.3416,375.0
2025-01-31,28729.15,632003.0,847327.2076,34.0119,7.0277,375.0
2025-02-28,26544.0,432878.0,782879.1802,31.4249,6.4932,375.0
2025-03-31,28358.45,520624.0,836393.9153,41.5052,6.055,375.0
2025-04-30,29455.0,418382.0,868735.1662,43.1101,6.2891,170.0
2025-05-31,31415.0,499555.0,926542.7006,45.9788,6.7076,170.0
2025-06-30,32680.0,561718.0,963852.1552,47.8302,6.9777,170.0
2025-07-31,40385.0,1354752.0,1191100.651,59.1072,8.6229,512.0
2025-08-31,39960.0,794681.0,1178565.854,58.4852,8.5321,512.0
2025-09-30,38145.0,667152.0,1125034.898,55.8288,8.1446,512.0
2025-10-31,37245.0,409921.0,1098490.622,54.5115,7.9524,512.0
2025-11-30,36110.0,448118.0,1065015.34,52.8503,7.7101,512.0
2025-12-31,36040.0,434924.0,1062950.786,52.7479,7.6951,512.0
2026-01-31,36500.0,736710.0,1076517.86,53.4211,7.7933,512.0
2026-02-28,36425.0,431628.0,1074305.837,53.3114,7.7773,512.0
2026-03-31,33275.0,97498.0,981400.871,48.7011,7.1048,512.0
