CCRI IN Equity,price,volume,mc,pe,bm,div
2014-03-31,248.44,7645508.0,189212.7099,20.0382,2.7591,3.4133
2014-04-30,246.21,14616004.0,187516.4343,19.8586,2.7344,3.4133
2014-05-31,286.09,13727637.0,217893.4265,23.0756,3.1773,3.4133
2014-06-30,304.4,13085137.0,231834.0816,24.5519,3.3806,3.4133
2014-07-31,334.39,13286141.0,254675.2844,26.9709,3.7137,3.4133
2014-08-31,338.09,4012781.0,257492.6738,27.2693,3.7548,3.1488
2014-09-30,346.57,10258371.0,263956.0806,27.9537,3.849,3.1488
2014-10-31,346.06,6043883.0,263566.1322,27.9125,3.8433,3.1488
2014-11-30,344.91,11214285.0,262688.7483,27.8195,3.8305,3.1488
2014-12-31,346.37,8520449.0,263800.0891,27.9372,3.8467,3.1488
2015-01-31,358.02,6324109.0,272671.415,28.8767,3.9761,3.1488
2015-02-28,395.78,14374938.0,301429.8025,31.9224,4.3954,3.4048
2015-03-31,405.48,33549262.0,308819.6312,29.2842,4.1084,3.4048
2015-04-30,420.03,14117895.0,319903.9144,30.3353,4.2559,3.4048
2015-05-31,467.46,49879758.0,356022.8844,33.7603,4.7364,3.4048
2015-06-30,429.56,12945766.0,327156.9423,31.0231,4.3523,3.4048
2015-07-31,420.3,13405211.0,320108.6495,30.3547,4.2586,3.4048
2015-08-31,364.81,29365230.0,277847.9922,26.3473,3.6964,3.4304
2015-09-30,380.17,25532883.0,289546.444,27.4566,3.852,3.4304
2015-10-31,339.24,17372273.0,258370.0577,24.5003,3.4372,3.4304
2015-11-30,355.89,10083641.0,271053.117,25.703,3.606,3.4304
2015-12-31,336.13,11688605.0,256001.1212,24.2756,3.4057,3.4304
2016-01-31,303.83,19254355.0,231405.1262,21.9433,3.0785,3.4304
2016-02-29,296.55,22016484.0,225858.1103,21.4173,3.0047,3.4304
2016-03-31,318.3,35938875.0,242421.1683,31.3581,2.9182,3.4304
2016-04-30,346.33,14267395.0,263770.8429,34.1198,3.1752,3.4304
2016-05-31,368.4,17433430.0,280577.6309,36.2938,3.3775,3.4304
2016-06-30,366.22,12453516.0,278920.3503,36.0794,3.3575,3.4304
2016-07-31,383.97,18125703.0,292441.7987,37.8285,3.5203,3.4304
2016-08-31,357.0,15414875.0,271901.2792,35.1715,3.273,3.4304
2016-09-30,353.13,15096980.0,268947.4079,34.7894,3.2375,3.456
2016-10-31,351.49,6938047.0,267699.573,34.628,3.2225,3.456
2016-11-30,299.52,17744445.0,228119.8109,29.5082,2.746,3.456
2016-12-31,284.17,24796480.0,216431.12,27.9962,2.6053,3.456
2017-01-31,303.48,19313012.0,231132.1501,29.8979,2.7823,3.456
2017-02-28,311.27,30155113.0,237069.1266,30.6658,2.8537,3.8656
2017-03-31,326.07,38316871.0,248338.623,36.2,2.8317,3.8656
2017-04-30,389.71,40975706.0,296811.6532,43.2659,3.3844,3.8656
2017-05-31,371.26,27186050.0,282761.3253,41.2178,3.2242,3.8656
2017-06-30,366.74,18471463.0,279312.7193,40.7151,3.1849,3.8656
2017-07-31,366.03,15233981.0,278776.5402,40.6369,3.1788,3.8656
2017-08-31,422.37,37388294.0,321683.0489,46.8913,3.668,3.8656
2017-09-30,430.93,34307794.0,328202.4985,47.8417,3.7423,4.8576
2017-10-31,442.35,23575547.0,336903.2219,49.11,3.8415,4.8576
2017-11-30,418.56,21863378.0,318782.8157,46.4686,3.6349,4.8576
2017-12-31,441.39,14200844.0,336172.0771,49.0034,3.8332,4.8576
2018-01-31,444.9,29087263.0,338840.7864,49.3924,3.8636,4.8576
2018-02-28,417.33,20257103.0,317844.4893,46.3318,3.6242,5.472
2018-03-31,398.43,19193847.0,303452.9568,35.4856,3.2553,5.472
2018-04-30,417.25,19789975.0,317783.5599,37.1614,3.409,5.472
2018-05-31,441.3,44428000.0,336098.948,39.3032,3.6055,5.472
2018-06-30,417.44,24423550.0,317929.7905,37.1785,3.4106,5.472
2018-07-31,428.35,19871906.0,326240.5654,38.1504,3.4998,5.472
2018-08-31,417.18,16690595.0,317734.8163,37.1557,3.4085,5.472
2018-09-30,401.57,19591298.0,305841.3907,35.7649,3.2809,5.472
2018-10-31,405.6,34621267.0,308912.2342,36.124,3.3139,5.472
2018-11-30,431.97,21257286.0,328994.5759,38.4724,3.5293,5.472
2018-12-31,440.13,32047864.0,335209.3782,39.1992,3.596,5.472
2019-01-31,419.52,27281766.0,319513.9558,37.3638,3.4276,5.472
2019-02-28,378.2,28984065.0,288043.903,33.6837,3.09,5.472
2019-03-31,420.24,25715798.0,320062.321,26.0349,3.0992,5.472
2019-04-30,394.56,17163736.0,300503.9724,24.444,2.9098,2.4
2019-05-31,424.04,23277733.0,322956.4692,26.2703,3.1272,2.4
2019-06-30,456.04,16835674.0,347328.2431,28.2528,3.3632,2.4
2019-07-31,409.44,23101115.0,311836.8473,25.3658,3.0195,2.4
2019-08-31,406.64,23894743.0,309704.3171,25.1924,2.9989,9.24
2019-09-30,483.8,39257815.0,368470.757,29.9726,3.5679,9.24
2019-10-31,470.68,61917745.0,358478.3296,29.1598,3.4711,9.24
2019-11-30,463.2,46324841.0,352781.4275,28.6964,3.416,6.84
2019-12-31,457.52,30751475.0,348455.4376,28.3445,3.3741,6.84
2020-01-31,453.6,24262040.0,345469.8953,28.1016,3.3452,6.84
2020-02-29,407.72,27001010.0,310526.8645,25.2593,3.0068,7.44
2020-03-31,265.32,57750711.0,202072.4705,50.0779,2.0115,7.44
2020-04-30,298.44,37644348.0,227297.2565,56.3291,2.2625,7.44
2020-05-31,300.88,42912600.0,229155.6043,56.7897,2.281,7.44
2020-06-30,334.32,79237381.0,254624.108,63.1013,2.5346,7.44
2020-07-31,360.88,63763529.0,274852.6804,68.1144,2.7359,7.44
2020-08-31,314.4,107090193.0,239452.6788,59.3415,2.3835,7.44
2020-09-30,291.96,59045534.0,222361.9723,55.1061,2.2134,2.88
2020-10-31,312.72,45446125.0,238173.1559,59.0244,2.3708,2.88
2020-11-30,324.84,72458646.0,247403.9651,61.312,2.4627,4.68
2020-12-31,319.44,76928883.0,243291.2284,60.2928,2.4217,4.68
2021-01-31,346.8,90309918.0,264129.0947,65.4569,2.6292,4.68
2021-02-28,446.28,116906959.0,339894.8453,84.2332,3.3834,4.68
2021-03-31,478.4,118024325.0,364358.0129,72.1136,3.5766,4.68
2021-04-30,471.92,50800776.0,359422.7288,71.1369,3.5282,4.68
2021-05-31,547.12,147833791.0,416696.3964,82.4724,4.0904,4.68
2021-06-30,558.68,76442090.0,425500.6995,84.215,4.1768,4.68
2021-07-31,515.12,48297118.0,392324.6307,77.6488,3.8511,4.68
2021-08-31,543.64,55492110.0,414045.9742,81.9479,4.0644,4.68
2021-09-30,563.44,56562079.0,429126.0093,84.9325,4.2124,4.0
2021-10-31,524.08,48116578.0,399148.7274,78.9994,3.9181,4.0
2021-11-30,496.0,35941355.0,377762.4958,74.7667,3.7082,4.8
2021-12-31,491.64,29825456.0,374441.8416,74.1094,3.6756,4.8
2022-01-31,517.0,34572824.0,393756.4724,77.9322,3.8652,4.8
2022-02-28,479.36,28027966.0,365089.1733,72.2584,3.5838,4.8
2022-03-31,537.72,53705955.0,409537.196,38.8146,3.8077,4.8
2022-04-30,517.12,30527633.0,393847.8665,37.3277,3.6618,4.8
2022-05-31,520.36,69477329.0,396315.5087,37.5615,3.6848,4.8
2022-06-30,475.44,33619188.0,362103.631,34.319,3.3667,4.8
2022-07-31,570.2,45360093.0,434274.5465,41.1592,4.0377,4.8
2022-08-31,557.24,33643763.0,424403.9781,40.2237,3.9459,3.2
2022-09-30,569.32,93688034.0,433604.3228,41.0956,4.0314,8.8
2022-10-31,638.4,47899465.0,486216.8897,46.0821,4.5206,8.8
2022-11-30,617.56,42395649.0,470344.7719,44.5778,4.373,8.0
2022-12-31,591.04,28065339.0,450146.6643,42.6635,4.1853,8.0
2023-01-31,502.76,48643535.0,382911.033,36.2911,3.5601,8.0
2023-02-28,472.4,43714604.0,359788.3125,34.0996,3.3451,12.8
2023-03-31,464.2,30462819.0,353543.0454,30.1272,3.1492,12.8
2023-04-30,489.36,26079369.0,372705.3527,31.7601,3.3199,12.8
2023-05-31,536.76,28289236.0,408806.0428,34.8364,3.6415,12.8
2023-06-30,529.44,32603086.0,403230.9995,34.3614,3.5918,12.8
2023-07-31,555.76,26252358.0,423276.7836,36.0696,3.7704,12.8
2023-08-31,537.92,29899183.0,409689.5196,34.9117,3.6494,9.6
2023-09-30,572.96,41619809.0,436376.612,37.1859,3.8871,8.5333
2023-10-31,550.56,24459485.0,419316.3703,35.7321,3.7351,8.5333
2023-11-30,620.8,27476141.0,472812.414,40.2908,4.2117,8.8
2023-12-31,687.72,41084850.0,523779.8863,44.634,4.6657,8.8
2024-01-31,710.0,57850335.0,540748.7339,46.08,4.8168,8.8
2024-02-29,781.92,72971908.0,595524.2957,50.7477,5.3047,8.8
2024-03-31,705.68,35915738.0,537458.5444,42.593,4.5458,8.8
2024-04-30,822.4,61392918.0,626354.5897,49.6379,5.2977,8.8
2024-05-31,859.88,67628429.0,654900.0299,51.9,5.5391,8.8
2024-06-30,833.92,92409274.0,635128.4284,50.3332,5.3719,8.8
2024-07-31,832.36,77695850.0,633940.3044,50.239,5.3618,8.8
2024-08-31,772.08,49960460.0,588029.9753,46.6007,4.9735,8.8
2024-09-30,734.64,53590393.0,559514.9998,44.3409,4.7323,9.2
2024-10-31,677.68,38105035.0,516133.2422,40.9029,4.3654,9.2
2024-11-30,662.68,25753823.0,504708.9732,39.9976,4.2688,9.4
2024-12-31,630.4,25261319.0,480123.9462,38.0493,4.0609,9.4
2025-01-31,624.08,35971519.0,475310.5209,37.6678,4.0201,9.4
2025-02-28,498.96,28278525.0,380016.8848,30.1159,3.2142,9.6
2025-03-31,553.28,31963219.0,421387.9711,32.6974,3.4038,9.6
2025-04-30,538.96,24151899.0,410481.6022,31.8511,3.3157,9.6
2025-05-31,627.52,76576153.0,477930.4866,37.0848,3.8605,9.6
2025-06-30,607.84,32924154.0,462941.8456,35.9218,3.7394,9.6
2025-07-31,578.2,29124669.0,440367.49,34.1701,3.5571,9.6
2025-08-31,527.35,27741099.0,401639.218,31.165,3.2442,9.2
2025-09-30,525.8,35310230.0,400458.7102,31.0734,3.2347,9.2
2025-10-31,545.25,21184696.0,415272.1791,32.2229,3.3544,9.2
2025-11-30,511.25,75384372.0,389377.1693,30.2136,3.1452,9.2
2025-12-31,524.95,33949271.0,399811.335,31.0232,3.2295,9.2
2026-01-31,502.25,27452168.0,382522.6079,29.6817,3.0898,9.2
2026-02-28,495.65,31936148.0,377495.9295,29.2916,3.0492,9.2
2026-03-31,481.0,6008493.0,366338.2267,28.4259,2.9591,9.2
