PHNX IN Equity,price,volume,mc,pe,bm,div
2017-01-31,172.9,2228304.0,52930.5374,63.8007,2.8311,1.1
2017-02-28,189.03,2339724.0,57866.9452,69.7509,3.0952,1.1
2017-03-31,189.23,10290678.0,57928.172,34.4986,2.6943,0.225
2017-04-30,206.7,5532882.0,63277.8605,37.6846,2.9431,0.225
2017-05-31,205.88,5792066.0,63025.3001,37.5342,2.9313,0.225
2017-06-30,225.03,5855768.0,68887.7628,41.0255,3.204,0.225
2017-07-31,243.7,5176784.0,74604.8118,44.4303,3.4699,0.225
2017-08-31,258.88,4396348.0,79250.3925,47.1969,3.686,0.225
2017-09-30,250.43,5093830.0,76663.5618,45.6563,3.5657,1.2
2017-10-31,262.8,4455834.0,80451.9678,47.9125,3.7419,1.2
2017-11-30,258.08,4337104.0,79017.7829,47.051,3.6746,1.2
2017-12-31,313.48,5706698.0,95991.6775,57.1513,4.4634,1.2
2018-01-31,326.8,8023404.0,100072.0319,59.5807,4.6531,1.2
2018-02-28,288.3,3994352.0,88286.1032,52.5615,4.1049,1.2
2018-03-31,295.7,11513606.0,90559.5089,37.3594,3.1757,1.2
2018-04-30,312.8,3978868.0,95823.3716,39.5199,3.3593,1.2
2018-05-31,347.75,6996914.0,106536.9341,43.9356,3.7347,1.2
2018-06-30,333.3,7235266.0,102116.0214,42.1099,3.5795,1.2
2018-07-31,314.23,5985114.0,96273.1045,39.6999,3.3746,1.2
2018-08-31,313.6,6143038.0,96081.6153,39.621,3.3679,1.2
2018-09-30,274.38,1738366.0,84064.8514,34.6652,2.9467,1.3
2018-10-31,276.7,7038998.0,84779.414,34.9589,2.9716,1.3
2018-11-30,307.27,2102768.0,94174.6259,38.8219,3.3,1.3
2018-12-31,281.8,1816194.0,86384.0152,35.6033,3.0264,1.3
2019-01-31,301.45,6631884.0,92416.4917,38.0859,3.2374,1.3
2019-02-28,311.75,3753324.0,95574.5075,39.3872,3.3481,1.3
2019-03-31,328.93,3181254.0,100839.9194,23.9392,2.9027,1.3
2019-04-30,300.1,5573988.0,92021.8777,21.8413,2.6483,1.3
2019-05-31,325.7,6404052.0,99876.6802,23.7045,2.8742,1.3
2019-06-30,317.85,1992212.0,97476.1338,23.1332,2.8049,1.3
2019-07-31,321.7,3736442.0,98661.3301,23.4134,2.8389,1.3
2019-08-31,348.0,5714706.0,106727.2082,25.3275,3.071,1.3
2019-09-30,348.73,17976602.0,106949.5566,25.3803,3.0774,1.5
2019-10-31,360.0,3400538.0,110411.0568,26.2009,3.1769,1.5
2019-11-30,376.3,3925230.0,115442.5859,27.3872,3.3207,1.5
2019-12-31,416.35,3319922.0,127729.6766,30.302,3.6742,1.5
2020-01-31,439.1,4946664.0,134715.6078,31.9578,3.8749,1.5
2020-02-29,428.23,7405924.0,131421.7729,31.1663,3.7789,1.5
2020-03-31,285.15,9435156.0,87519.6295,26.1366,2.3601,1.5
2020-04-30,271.0,15456156.0,83176.6425,24.8396,2.2429,1.5
2020-05-31,262.65,5889698.0,80613.8197,24.0742,2.1738,1.5
2020-06-30,292.48,5630830.0,89769.4629,26.808,2.4207,1.5
2020-07-31,308.5,5624172.0,94688.0222,28.2768,2.5533,1.5
2020-08-31,322.43,79037298.0,110687.218,29.5532,2.6686,1.5
2020-09-30,291.35,10688722.0,100039.9323,26.7049,2.4114,1.5
2020-10-31,288.1,9644668.0,98924.122,26.407,2.3845,0.0
2020-11-30,341.28,16676232.0,117214.6733,31.2809,2.8246,0.0
2020-12-31,387.28,16203376.0,133050.2742,35.4973,3.2053,0.0
2021-01-31,374.78,9222124.0,128772.699,34.3515,3.1018,0.0
2021-02-28,406.8,7161096.0,139796.1447,37.2869,3.3669,0.0
2021-03-31,390.33,6093426.0,134171.2351,231.6469,2.6628,0.0
2021-04-30,358.45,7534084.0,123214.4475,212.73,2.4453,0.0
2021-05-31,395.6,9368056.0,135997.1289,234.7774,2.6988,0.0
2021-06-30,407.58,9116728.0,140117.0897,241.8843,2.7805,0.0
2021-07-31,431.83,10454774.0,148453.8142,256.276,2.9459,0.0
2021-08-31,431.38,9636630.0,148299.1121,256.0089,2.9428,0.0
2021-09-30,479.23,23208378.0,164749.0976,284.4065,3.2693,0.5
2021-10-31,482.03,8002716.0,165711.6882,286.0682,3.2884,0.5
2021-11-30,473.93,17152652.0,163037.2387,281.2611,3.2331,0.5
2021-12-31,492.68,11028088.0,169636.0095,292.3887,3.361,0.5
2022-01-31,497.95,11778962.0,171490.1219,295.5193,3.397,0.5
2022-02-28,479.53,7546798.0,171190.5458,284.5846,3.2713,0.5
2022-03-31,549.98,10091372.0,196362.4426,82.6409,2.9831,0.5
2022-04-30,543.23,7521170.0,193952.4304,81.6266,2.9465,0.5
2022-05-31,583.45,12076042.0,208324.8203,87.6709,3.1647,0.5
2022-06-30,591.85,10621760.0,211343.6289,88.9331,3.2102,0.5
2022-07-31,627.0,7972850.0,223896.0896,94.2149,3.4009,0.5
2022-08-31,703.25,14359804.0,251128.5018,105.6724,3.8145,0.5
2022-09-30,699.55,11446532.0,249827.8221,105.1165,3.7944,1.2
2022-10-31,713.93,11904652.0,254974.2529,107.2765,3.8724,1.2
2022-11-30,729.23,9547908.0,260442.9363,109.5755,3.9554,1.2
2022-12-31,711.25,8346300.0,254035.9619,106.8745,3.8579,1.2
2023-01-31,684.33,6867718.0,244419.2051,102.8287,3.7118,1.2
2023-02-28,691.55,16256386.0,247000.1611,103.9144,3.751,1.2
2023-03-31,650.48,21541534.0,232361.3187,17.4017,2.7729,1.2
2023-04-30,722.85,7180722.0,258227.2561,19.3379,3.0814,1.2
2023-05-31,733.55,9212726.0,262052.1462,19.6241,3.127,1.2
2023-06-30,781.68,8602124.0,279248.1471,20.9116,3.3322,1.2
2023-07-31,865.38,7258110.0,309172.8914,23.1507,3.689,1.2
2023-08-31,899.93,8288328.0,321516.5845,24.075,3.8363,1.2
2023-09-30,907.18,12431268.0,324137.3524,24.269,3.8672,2.5
2023-10-31,907.68,12327824.0,324327.5028,24.2823,3.8693,2.5
2023-11-30,1185.53,16189486.0,423612.7106,31.7155,5.0537,2.5
2023-12-31,1122.33,12958652.0,401039.0163,30.0247,4.7843,2.5
2024-01-31,1211.9,25266750.0,433046.7412,32.421,5.1662,2.5
2024-02-29,1380.35,28146642.0,493238.7732,36.9275,5.8842,2.5
2024-03-31,1391.4,25894722.0,497254.9756,45.352,5.2579,2.5
2024-04-30,1575.83,20453800.0,563191.0997,51.3633,5.9548,2.5
2024-05-31,1549.83,50914240.0,553916.5897,50.5158,5.8566,2.5
2024-06-30,1794.15,15318194.0,641319.0395,58.4795,6.7799,2.5
2024-07-31,1798.6,17022332.0,642920.3184,58.6245,6.7967,2.5
2024-08-31,1884.7,14923776.0,673757.1473,61.4309,7.122,2.5
2024-09-30,1845.65,14439703.0,659801.1269,60.1581,6.9745,2.5
2024-10-31,1522.15,20240799.0,544153.163,49.6138,5.752,2.5
2024-11-30,1656.25,12587865.0,592092.5508,53.9847,6.2588,2.5
2024-12-31,1634.0,13562027.0,584159.2729,53.2595,6.1747,2.5
2025-01-31,1641.8,20545339.0,586947.7933,53.5137,6.2041,2.5
2025-02-28,1548.1,15113635.0,553464.8907,50.4596,5.8501,2.5
2025-03-31,1643.3,14276009.0,587518.1145,59.6912,5.6232,2.5
2025-04-30,1664.5,12989811.0,595097.6094,60.4613,5.6957,2.5
2025-05-31,1537.1,15910350.0,549549.1351,55.8336,5.2598,2.5
2025-06-30,1561.7,19639059.0,558344.2094,56.7272,5.344,2.5
2025-07-31,1484.0,25627831.0,530567.0258,53.9048,5.0781,2.5
2025-08-31,1503.2,12013190.0,537478.1251,54.6023,5.1438,2.5
2025-09-30,1555.5,15640935.0,556234.8382,56.502,5.3227,2.5
2025-10-31,1682.6,11897327.0,601684.8208,61.1188,5.7577,2.5
2025-11-30,1736.8,10781585.0,621066.324,63.0875,5.9431,2.5
2025-12-31,1853.5,9110618.0,662808.4676,67.3266,6.3425,2.5
2026-01-31,1670.7,11227461.0,597439.4965,60.6865,5.7169,2.5
2026-02-28,1658.6,9184361.0,593135.3826,60.247,5.6755,2.5
2026-03-31,1633.5,1737237.0,584159.3196,59.3353,5.5896,2.5
