TATA IN Equity,price,volume,mc,pe,bm,div
2005-09-30,35.11,1155067015.0,233801.1311,6.4886,3.1865,1.0778
2005-10-31,28.14,1517348276.0,187372.1462,5.2001,2.5537,1.0778
2005-11-30,28.99,1459855021.0,193058.4547,5.3579,2.6312,1.0778
2005-12-31,31.5,1342067069.0,210291.9821,5.8214,2.8589,1.0778
2006-01-31,33.53,1142715895.0,223852.0652,6.1967,3.0432,1.0778
2006-02-28,35.73,1137950965.0,238546.7675,6.6035,3.243,1.0778
2006-03-31,44.48,1386358686.0,296938.1456,7.934,2.8845,1.0778
2006-04-30,53.55,1394319182.0,350984.7624,9.5511,3.4724,1.0778
2006-05-31,42.88,2169986303.0,286256.1209,7.6486,2.7807,1.0778
2006-06-30,44.25,2193807990.0,295360.7482,7.8918,2.8692,1.0778
2006-07-31,41.14,1727356527.0,274633.1926,7.338,2.6678,1.0778
2006-08-31,41.14,1137625614.0,274660.8662,7.3388,2.6681,1.0778
2006-09-30,44.41,991685175.0,296467.6937,7.9214,2.8799,1.0778
2006-10-31,40.66,1124201929.0,284692.8741,7.253,2.6369,1.0778
2006-11-30,38.79,983905440.0,271603.213,6.9195,2.5157,1.0778
2006-12-31,39.98,1163521054.0,279932.9973,7.1317,2.5928,1.0778
2007-01-31,38.55,1097667535.0,269861.7946,6.8751,2.4995,1.0778
2007-02-28,36.69,1446639717.0,256859.2044,6.5439,2.3791,1.0778
2007-03-31,37.28,1059650802.0,261009.5848,6.1543,1.785,1.0778
2007-04-30,45.56,1984236886.0,318940.768,7.5203,2.1812,1.0778
2007-05-31,52.41,1201937170.0,366945.8668,8.6522,2.5095,1.0778
2007-06-30,49.53,612183486.0,363800.3378,8.1765,2.3716,1.2851
2007-07-31,54.41,840562319.0,399638.3858,8.982,2.6052,1.2851
2007-08-31,57.18,1080350051.0,420006.5888,9.4398,2.738,1.2851
2007-09-30,70.52,974832240.0,517931.5556,11.6407,3.3763,1.2851
2007-10-31,84.97,1068106377.0,661763.2495,14.0275,4.0686,1.2851
2007-11-30,77.48,461613532.0,603389.5647,12.7901,3.7097,1.2851
2007-12-31,87.75,541299351.0,683388.5444,14.4859,4.2015,1.2851
2008-01-31,69.29,625861005.0,539609.3309,11.4382,3.3176,1.2851
2008-02-29,75.21,595147231.0,585745.7095,12.4161,3.6012,1.2851
2008-03-31,65.14,660425293.0,507280.9896,3.9259,1.7664,1.2851
2008-04-30,76.76,625810467.0,597800.3452,4.6264,2.0816,1.2851
2008-05-31,84.69,769790472.0,659571.2211,5.1044,2.2967,1.2851
2008-06-30,68.37,832793609.0,532486.137,4.1209,1.8541,1.0778
2008-07-31,61.46,1216662010.0,478605.5682,3.7039,1.6665,1.501
2008-08-31,56.35,1120005025.0,438861.7994,3.3964,1.5281,1.501
2008-09-30,40.07,1076448787.0,312068.9489,2.4151,1.0866,1.501
2008-10-31,19.68,1874972180.0,153239.9907,1.1859,0.5336,1.501
2008-11-30,14.2,2521867539.0,110610.4152,0.856,0.3852,1.501
2008-12-31,20.38,3052189940.0,158682.8414,1.228,0.5525,1.501
2009-01-31,17.32,2411624496.0,134865.8035,1.0437,0.4696,1.501
2009-02-28,16.21,1889801605.0,126244.9125,0.977,0.4396,1.501
2009-03-31,19.32,3193306675.0,150429.0018,3.1042,0.5419,1.501
2009-04-30,22.34,3725663953.0,173954.0812,3.5897,0.6267,1.501
2009-05-31,38.03,4053351186.0,296145.6818,6.1112,1.0669,1.501
2009-06-30,36.65,4034172081.0,285405.9716,5.8896,1.0282,1.501
2009-07-31,43.37,4461243839.0,368032.0392,6.9705,1.2169,1.501
2009-08-31,39.8,3307339642.0,337704.3206,6.3961,1.1167,1.501
2009-09-30,47.79,2736514401.0,451991.229,7.6806,1.3409,1.501
2009-10-31,44.24,2090985924.0,418365.8142,7.1092,1.2412,1.501
2009-11-30,54.34,2590404263.0,513874.4133,8.7322,1.5245,1.501
2009-12-31,57.95,2375530455.0,548032.1566,9.3127,1.6258,1.501
2010-01-31,53.39,2023293166.0,504913.5508,8.5799,1.4979,1.501
2010-02-28,53.88,1905420365.0,509571.4248,8.6591,1.5117,1.501
2010-03-31,59.29,1205421466.0,560763.7176,9.5697,2.4543,1.501
2010-04-30,58.05,1326881005.0,549052.4906,9.5697,2.403,1.501
2010-05-31,46.97,2785928997.0,444228.1361,9.5697,1.9442,1.501
2010-06-30,45.56,2361922171.0,430875.5628,9.5697,1.8858,1.501
2010-07-31,50.38,1795303289.0,476434.0106,9.5697,2.0852,0.7505
2010-08-31,49.03,1796239132.0,471587.3479,9.5697,2.0296,0.7505
2010-09-30,61.15,2131875746.0,588108.3083,9.5697,2.5311,0.7505
2010-10-31,55.29,1797082608.0,531765.0332,9.5697,2.2886,0.7505
2010-11-30,54.86,1629241180.0,527614.848,9.5697,2.2708,0.7505
2010-12-31,63.83,1531974754.0,613866.5229,9.5697,2.642,0.7505
2011-01-31,60.01,1602022321.0,577146.4061,9.5697,2.484,0.7505
2011-02-28,56.96,1909086657.0,582386.8848,9.5697,2.3576,0.7505
2011-03-31,58.37,1337664681.0,596871.2086,6.2801,1.6763,0.7505
2011-04-30,57.83,597635650.0,591355.7254,6.222,1.6608,0.7505
2011-05-31,55.25,910862276.0,564977.3273,5.9445,1.5867,0.7505
2011-06-30,57.25,883305555.0,585360.6349,6.159,1.644,0.7505
2011-07-31,52.91,683684343.0,540996.9653,5.6922,1.5194,1.1257
2011-08-31,43.95,1318206599.0,449439.9435,4.7289,1.2622,1.1257
2011-09-30,38.96,1262333862.0,398409.7332,4.1919,1.1189,1.1257
2011-10-31,45.29,1002715591.0,463108.7498,4.8727,1.3006,1.1257
2011-11-30,36.14,1411987843.0,369489.4167,3.8876,1.0377,1.1257
2011-12-31,31.46,1482658250.0,321672.575,3.3845,0.9034,1.1257
2012-01-31,42.29,1677020790.0,432413.8865,4.5497,1.2144,1.1257
2012-02-29,44.33,1917521996.0,458947.4014,4.7692,1.273,1.1257
2012-03-31,44.26,1400864822.0,458170.4298,8.411,1.0747,1.1257
2012-04-30,43.5,836123841.0,450303.5925,8.2665,1.0562,1.1257
2012-05-31,37.87,1162728265.0,392030.7239,7.1968,0.9195,1.1257
2012-06-30,41.41,931281699.0,428742.6311,7.8707,1.0056,1.1257
2012-07-31,38.88,965815799.0,402519.8402,7.3893,0.9441,1.1257
2012-08-31,33.9,1121750255.0,350996.9122,6.4435,0.8233,1.1257
2012-09-30,37.61,1175976099.0,389359.884,7.1478,0.9133,1.1257
2012-10-31,36.79,1035775519.0,380910.3181,6.9926,0.8934,1.1257
2012-11-30,36.23,767064244.0,375083.0784,6.8857,0.8798,1.1257
2012-12-31,40.2,1015779864.0,416165.4559,7.6398,0.9761,1.1257
2013-01-31,37.98,1038644832.0,393244.7914,7.2191,0.9224,1.1257
2013-02-28,32.04,1003743375.0,331669.7858,6.0887,0.778,1.1257
2013-03-31,29.35,977461319.0,303844.6784,5.4656,0.8892,1.1257
2013-04-30,28.4,1151495470.0,294035.4048,5.4656,0.8605,1.1257
2013-05-31,27.37,1361028474.0,283352.0375,5.4656,0.8292,1.1257
2013-06-30,25.68,1190049063.0,265870.1637,5.4656,0.778,1.1257
2013-07-31,20.23,1293261674.0,209491.1208,5.4656,0.613,0.7505
2013-08-31,25.7,2448890761.0,266112.9675,5.4656,0.7787,0.7505
2013-09-30,25.47,1681987479.0,263733.4903,5.4656,0.7718,0.7505
2013-10-31,31.42,1699364666.0,325259.9738,5.4656,0.9518,0.7505
2013-11-30,37.58,1645756321.0,389068.8131,5.4656,1.1386,0.7505
2013-12-31,39.79,1067207165.0,411989.4921,5.4656,1.2056,0.7505
2014-01-31,33.4,1058882869.0,345801.1755,5.4656,1.0119,0.7505
2014-02-28,32.25,1363312470.0,333903.7892,5.4656,0.9771,0.7505
2014-03-31,36.96,1559823798.0,382610.3281,10.6432,0.944,0.7505
2014-04-30,37.59,1131457827.0,389117.4717,10.8242,0.96,0.7505
2014-05-31,44.57,1854854748.0,461424.4622,12.8356,1.1384,0.7505
2014-06-30,49.57,1466500808.0,513190.2459,14.2755,1.2661,0.7505
2014-07-31,51.91,1383266637.0,537470.6323,14.951,1.326,0.9381
2014-08-31,48.14,1216317593.0,498379.2103,13.8635,1.2296,0.9381
2014-09-30,43.06,1238239874.0,445836.4542,12.4019,1.1,0.9381
2014-10-31,45.97,1139817481.0,475895.5725,13.2381,1.1741,0.9381
2014-11-30,44.41,974329050.0,459724.8352,12.7883,1.1342,0.9381
2014-12-31,37.47,1161466691.0,387903.4524,10.7904,0.957,0.9381
2015-01-31,36.63,1176617679.0,379211.0741,10.5486,0.9356,0.9381
2015-02-28,33.33,1134898867.0,345024.1383,9.5976,0.8512,0.9381
2015-03-31,29.71,1147624191.0,307632.4951,8.7101,0.9178,0.9381
2015-04-30,33.8,1300951979.0,349977.4889,8.7101,1.0442,0.9381
2015-05-31,30.82,1142835541.0,319044.2767,8.7101,0.9519,0.9381
2015-06-30,28.57,1059596083.0,295832.2273,8.7101,0.8826,0.9381
2015-07-31,23.16,1428730794.0,239793.0956,8.7101,0.7154,0.7505
2015-08-31,21.14,2260019797.0,218911.9634,8.7101,0.6531,0.7505
2015-09-30,19.94,1864256768.0,206480.4055,8.7101,0.616,0.7505
2015-10-31,23.13,1614632498.0,239501.731,8.7101,0.7146,0.7505
2015-11-30,21.54,1218570867.0,222991.0683,8.7101,0.6653,0.7505
2015-12-31,24.37,1768028583.0,252321.775,8.7101,0.7528,0.7505
2016-01-31,23.42,1731692352.0,242512.4989,8.7101,0.7235,0.7505
2016-02-29,23.37,2281498898.0,241929.7696,8.7101,0.7218,0.7505
2016-03-31,29.99,2084883307.0,310497.5807,15.6404,0.7091,0.7505
2016-04-30,32.94,1973413004.0,340993.7459,17.1765,0.7788,0.7505
2016-05-31,31.37,1672924109.0,324725.8871,16.3571,0.7416,0.7505
2016-06-30,30.2,1608706599.0,312682.8154,15.7504,0.7141,0.7505
2016-07-31,33.31,1938061907.0,344830.047,17.3698,0.7875,0.7505
2016-08-31,34.72,1663540936.0,359446.8396,18.106,0.8209,0.7505
2016-09-30,35.11,1584233944.0,363477.3837,18.3091,0.8301,0.7505
2016-10-31,37.97,1624861355.0,393050.8943,19.7987,0.8977,0.7505
2016-11-30,38.94,1644377351.0,403102.9742,20.3051,0.9206,0.7505
2016-12-31,36.7,1018109164.0,379988.0464,19.1407,0.8678,0.7505
2017-01-31,43.44,1328424007.0,449721.316,22.6533,1.0271,0.7505
2017-02-28,45.28,1281465701.0,468805.6997,23.6146,1.0707,0.7505
2017-03-31,45.28,1340737629.0,468805.6997,23.3603,1.2381,0.7505
2017-04-30,42.14,1107228897.0,436318.5428,23.3603,1.1523,0.7505
2017-05-31,47.35,2406201461.0,490172.6861,23.3603,1.2945,0.7505
2017-06-30,51.2,1428134283.0,530041.1006,23.3603,1.3998,0.7505
2017-07-31,53.2,1025999905.0,550776.5609,23.3603,1.4546,0.9381
2017-08-31,59.86,1454328802.0,619684.332,23.3603,1.6366,0.9381
2017-09-30,61.22,1090116520.0,633766.9632,23.3603,1.6738,0.9381
2017-10-31,66.02,1072578542.0,683541.7802,23.3603,1.8052,0.9381
2017-11-30,65.12,855116560.0,674169.5295,23.3603,1.7805,0.9381
2017-12-31,68.71,1004430728.0,711318.5383,23.3603,1.8786,0.9381
2018-01-31,70.51,1180274786.0,698461.7506,23.3603,1.9277,0.9381
2018-02-28,67.16,1810137940.0,665324.3004,23.3603,1.8363,0.9381
2018-03-31,57.11,2305791600.0,644631.9662,4.459,1.1285,0.9381
2018-04-30,59.5,1688005200.0,671722.1747,4.6456,1.1758,0.9381
2018-05-31,57.57,1756362290.0,649847.6061,4.4949,1.1376,0.9381
2018-06-30,56.78,1731526550.0,640899.9458,4.4333,1.122,0.9381
2018-07-31,56.3,2081591000.0,635493.9862,4.3966,1.1127,1.0
2018-08-31,60.05,1976793700.0,677956.9982,4.689,1.1867,1.0
2018-09-30,58.13,1764243480.0,656083.9209,4.5387,1.1487,1.0
2018-10-31,55.39,1528928780.0,624892.4661,4.3247,1.0945,1.0
2018-11-30,52.95,1855272020.0,597466.208,4.1346,1.0464,1.0
2018-12-31,52.11,1485565780.0,587841.8672,4.0686,1.0297,1.0
2019-01-31,47.67,1830740480.0,537373.6717,3.7223,0.9421,1.0
2019-02-28,50.05,2183795730.0,564226.9267,3.9077,0.989,1.0
2019-03-31,52.1,1340748910.0,587555.8299,5.7997,0.9093,1.0
2019-04-30,55.72,1944640370.0,628490.4444,6.2027,0.9725,1.0
2019-05-31,48.83,2601699230.0,550725.457,5.4357,0.8522,1.0
2019-06-30,50.44,1878071160.0,568873.899,5.6149,0.8803,1.0
2019-07-31,43.21,1956131350.0,487175.9083,4.8095,0.7541,1.3
2019-08-31,34.49,3001032670.0,388908.6704,3.8394,0.602,1.3
2019-09-30,36.05,2756768190.0,406520.2881,4.0131,0.6292,1.3
2019-10-31,38.06,2998847000.0,429113.2595,4.2363,0.6642,1.3
2019-11-30,42.75,3970870950.0,482043.297,4.7589,0.7461,1.3
2019-12-31,47.21,3728853140.0,532404.3383,5.2548,0.8239,1.3
2020-01-31,43.87,2852941440.0,494766.8995,4.8836,0.7657,1.3
2020-02-29,38.17,3013264360.0,430478.9565,4.2496,0.6663,1.3
2020-03-31,26.96,4292217640.0,304041.1931,19.8276,0.4408,1.3
2020-04-30,29.83,2964237700.0,336403.9013,21.9383,0.4877,1.3
2020-05-31,29.52,2542390140.0,332884.8251,21.7103,0.4826,1.3
2020-06-30,32.67,3885568300.0,368394.3957,24.027,0.5341,1.3
2020-07-31,36.63,3292237590.0,413121.7424,26.9393,0.5989,1.3
2020-08-31,41.3,3592403890.0,465836.2042,30.3738,0.6752,1.0
2020-09-30,35.98,3307405130.0,405810.3942,26.4576,0.5882,1.0
2020-10-31,41.06,3879892770.0,463128.8549,30.1937,0.6712,1.0
2020-11-30,57.74,4802195550.0,651672.5536,42.4609,0.9439,1.0
2020-12-31,64.36,3740889740.0,726980.2255,47.3369,1.0523,1.0
2021-01-31,60.1,4513711910.0,678848.6081,44.2002,0.9826,1.0
2021-02-28,71.52,4957318300.0,824303.598,52.5953,1.1692,1.0
2021-03-31,81.19,4394763570.0,973264.6665,12.4202,1.3155,1.0
2021-04-30,103.4,5281641570.0,1239456.496,15.8188,1.6755,1.0
2021-05-31,112.57,5583522850.0,1355624.351,17.2209,1.824,1.0
2021-06-30,116.66,3099492030.0,1404940.583,17.8474,1.8903,2.5
2021-07-31,143.43,2510842680.0,1727324.076,21.9429,2.3241,2.5
2021-08-31,145.03,3342973740.0,1747336.574,22.1869,2.3499,2.5
2021-09-30,128.89,2214176780.0,1552933.708,19.7184,2.0885,2.5
2021-10-31,131.6,1732504280.0,1585524.954,20.1323,2.1323,2.5
2021-11-30,107.12,1998215570.0,1290637.433,16.3879,1.7357,2.5
2021-12-31,111.15,1402819360.0,1359319.879,17.0037,1.801,2.5
2022-01-31,108.56,1445224200.0,1327643.794,16.6075,1.759,2.5
2022-02-28,122.08,1984665840.0,1492995.405,18.6758,1.9781,2.5
2022-03-31,130.72,2199775760.0,1598725.041,3.9332,1.3949,2.5
2022-04-30,127.1,1262580860.0,1554513.053,3.8244,1.3563,2.5
2022-05-31,105.57,2262510880.0,1292125.455,3.1763,1.1264,2.5
2022-06-30,86.71,2074426770.0,1061277.295,2.6088,0.9252,5.1
2022-07-31,107.6,2029174591.0,1315206.39,3.2376,1.1482,5.1
2022-08-31,108.3,1446170348.0,1322734.916,3.2586,1.1556,5.1
2022-09-30,99.3,1556979607.0,1212812.347,2.9878,1.0596,5.1
2022-10-31,101.55,804811472.0,1240292.989,3.0555,1.0836,5.1
2022-11-30,107.65,998762200.0,1314796.064,3.2391,1.1487,5.1
2022-12-31,112.65,1106524147.0,1376781.029,3.3895,1.202,5.1
2023-01-31,119.7,1178520738.0,1462944.422,3.6016,1.2773,5.1
2023-02-28,103.95,1033508798.0,1270451.735,3.1277,1.1092,5.1
2023-03-31,104.5,1066131083.0,1277173.702,14.5746,1.2378,5.1
2023-04-30,107.95,518781509.0,1319339.477,15.0558,1.2786,5.1
2023-05-31,105.8,713680102.0,1293062.683,14.7559,1.2532,5.1
2023-06-30,112.0,752472323.0,1368837.623,15.6206,1.3266,3.6
2023-07-31,123.15,835636895.0,1505110.297,17.1757,1.4587,3.6
2023-08-31,122.9,730467178.0,1502054.856,17.1409,1.4557,3.6
2023-09-30,128.9,908931212.0,1575385.443,17.9777,1.5268,3.6
2023-10-31,118.75,551981280.0,1451363.673,16.5621,1.4066,3.6
2023-11-30,127.9,601474661.0,1563195.064,17.8382,1.5149,3.6
2023-12-31,139.6,814486361.0,1716774.302,19.47,1.6535,3.6
2024-01-31,135.95,919166991.0,1671887.295,18.9609,1.6103,3.6
2024-02-29,140.85,890020373.0,1758372.023,19.6444,1.6683,3.6
2024-03-31,155.85,1480600927.0,1945632.089,21.2971,2.1129,3.6
2024-04-30,165.0,1189109705.0,2059860.729,21.2971,2.237,3.6
2024-05-31,167.2,1074448365.0,2087325.539,21.2971,2.2668,3.6
2024-06-30,174.01,1072281122.0,2172341.609,21.2971,2.3591,3.6
2024-07-31,165.33,877185787.0,2063980.451,21.2971,2.2414,3.6
2024-08-31,152.76,1135520945.0,1907056.515,21.2971,2.071,3.6
2024-09-30,168.55,1065556090.0,2104178.945,21.2971,2.2851,3.6
2024-10-31,148.56,934363346.0,1854623.697,21.2971,2.0141,3.6
2024-11-30,144.54,825296028.0,1804450.213,21.2971,1.9596,3.6
2024-12-31,138.05,647882989.0,1723428.476,21.2971,1.8716,3.6
2025-01-31,134.62,682659058.0,1680608.051,21.2971,1.8251,3.6
2025-02-28,137.2,627395923.0,1712817.0,21.2971,1.8601,3.6
2025-03-31,154.24,837933358.0,1925545.875,56.292,2.111,3.6
2025-04-30,140.08,936853888.0,1748771.176,51.1241,1.9172,3.6
2025-05-31,161.02,784029717.0,2010187.998,58.7664,2.2038,3.6
2025-06-30,159.76,505047192.0,1994458.046,58.3066,2.1865,3.6
2025-07-31,157.94,549333093.0,1971737.004,57.6423,2.1616,3.6
2025-08-31,154.48,457116479.0,1928542.057,56.3796,2.1142,3.6
2025-09-30,168.77,525198873.0,2106939.687,61.5949,2.3098,3.6
2025-10-31,182.84,610044096.0,2282590.818,66.7299,2.5024,3.6
2025-11-30,167.96,498275096.0,2096827.575,61.2993,2.2987,3.6
2025-12-31,180.08,564139085.0,2248134.733,65.7226,2.4646,3.6
2026-01-31,193.13,677958653.0,2411052.093,70.4854,2.6432,3.6
2026-02-28,212.33,745755044.0,2650746.601,77.4927,2.906,3.6
2026-03-31,200.6,151355034.0,2504308.314,73.2117,2.7455,3.6
