ENGR IN Equity,price,volume,mc,pe,bm,div
2006-04-30,68.15,4609572.0,46168.7386,32.1567,4.7129,0.5
2006-05-31,51.5,3347844.0,34707.2784,24.3008,3.5615,0.5
2006-06-30,43.61,4250268.0,29389.2956,20.5774,3.0158,0.5
2006-07-31,35.55,3937848.0,23959.0006,16.7753,2.4586,0.5
2006-08-31,42.24,11133684.0,28462.7199,19.9286,2.9208,0.5
2006-09-30,42.45,6485220.0,28603.1102,20.0269,2.9352,0.6667
2006-10-31,43.52,6704016.0,29327.5239,20.5341,3.0095,0.6667
2006-11-30,43.03,9333084.0,28993.3951,20.3002,2.9752,0.6667
2006-12-31,41.19,2566668.0,27755.153,19.4332,2.8481,0.6667
2007-01-31,45.84,8264052.0,30888.6635,21.6272,3.1697,0.6667
2007-02-28,40.59,1517124.0,27350.8291,19.1501,2.8067,0.7083
2007-03-31,37.6,1410396.0,25340.4407,17.4605,2.3962,0.7083
2007-04-30,41.58,1392060.0,28019.0867,19.3062,2.6495,0.7083
2007-05-31,39.64,2048928.0,26713.4574,18.4065,2.5261,0.7083
2007-06-30,42.53,3866076.0,28662.0741,19.7492,2.7103,0.7083
2007-07-31,39.9,5069352.0,26884.7335,18.5245,2.5422,0.7083
2007-08-31,37.53,3892200.0,25289.9002,17.4257,2.3914,0.7083
2007-09-30,50.88,37732380.0,34286.0447,23.6244,3.2421,0.7917
2007-10-31,69.06,30530412.0,46539.2835,32.0673,4.4008,0.7917
2007-11-30,68.6,48115740.0,46224.8099,31.8506,4.3711,0.7917
2007-12-31,79.15,8350020.0,53339.7749,36.7531,5.0439,0.8333
2008-01-31,70.88,14008836.0,47766.2921,32.9128,4.5168,0.8333
2008-02-29,69.15,4220856.0,46598.2473,32.1079,4.4064,0.8333
2008-03-31,55.65,4810152.0,37498.1678,18.9365,3.175,0.8333
2008-04-30,56.81,1590588.0,38284.3518,19.3335,3.2415,0.8333
2008-05-31,50.88,1085436.0,34288.8525,17.3158,2.9032,0.8333
2008-06-30,41.74,2359848.0,28128.5395,14.2049,2.3816,0.8333
2008-07-31,49.88,2790936.0,33612.1727,16.9741,2.8459,0.8333
2008-08-31,49.91,2428296.0,33631.8273,16.984,2.8476,0.8333
2008-09-30,46.67,2206428.0,31447.359,15.8809,2.6626,0.9167
2008-10-31,32.41,5441736.0,21839.0677,11.0287,1.8491,0.9167
2008-11-30,29.28,668724.0,19733.2178,9.9652,1.6708,0.9167
2008-12-31,40.78,2242800.0,27477.1299,13.8759,2.3265,0.9583
2009-01-31,41.67,1849776.0,28080.8069,14.1808,2.3776,0.9583
2009-02-28,41.15,2386812.0,27727.0241,14.0021,2.3476,0.9583
2009-03-31,43.34,1808748.0,29203.9269,8.3168,2.0705,0.9583
2009-04-30,51.13,2217180.0,34457.3205,9.8129,2.443,0.9583
2009-05-31,66.93,3005616.0,45104.4978,12.845,3.1979,0.9583
2009-06-30,87.86,14912856.0,59205.2724,16.8607,4.1976,0.9583
2009-07-31,87.15,8661084.0,58725.1351,16.724,4.1636,0.9583
2009-08-31,87.55,4131912.0,58994.6875,16.8007,4.1827,0.9583
2009-09-30,97.94,6273276.0,65997.3369,18.795,4.6792,1.5417
2009-10-31,94.99,3485748.0,64012.2224,18.2296,4.5384,1.5417
2009-11-30,118.24,14520252.0,79679.7459,22.6915,5.6492,1.5417
2009-12-31,129.17,6413220.0,87041.7973,24.7881,6.1712,1.6667
2010-01-31,177.73,72220992.0,119766.7052,34.1076,8.4914,1.6667
2010-02-28,160.03,15737364.0,107836.3669,30.7101,7.6455,1.6667
2010-03-31,183.33,43314636.0,123540.3848,28.0472,10.7034,10.0
2010-04-30,206.18,15671424.0,138941.1673,31.5436,12.0377,10.0
2010-05-31,170.18,75006316.0,114679.0255,26.0348,9.9354,10.0
2010-06-30,156.4,29369982.0,105396.2074,23.9274,9.1312,10.0
2010-07-31,161.78,60791934.0,109018.3596,24.7497,9.445,10.0
2010-08-31,162.63,87841898.0,109588.634,24.8797,9.4946,10.0
2010-09-30,174.55,28449262.0,117624.5723,26.7041,10.1909,10.0
2010-10-31,172.63,11625798.0,116327.3663,26.4096,10.0785,10.0
2010-11-30,163.43,9637086.0,110127.7326,25.0021,9.5413,8.8333
2010-12-31,166.73,6987102.0,112351.5143,25.507,9.734,8.8333
2011-01-31,141.15,5429012.0,95117.2064,21.5943,8.2408,8.8333
2011-02-28,141.7,6196346.0,95487.8367,21.6784,8.273,8.3333
2011-03-31,152.35,10346810.0,102664.5866,19.3215,6.8908,0.5
2011-04-30,144.73,7233754.0,97526.3032,18.3545,6.546,0.5
2011-05-31,130.9,4411792.0,88210.0058,16.6011,5.9207,0.5
2011-06-30,137.1,6945506.0,92388.0198,17.3874,6.2011,0.5
2011-07-31,143.18,6836172.0,96481.7997,18.1579,6.4759,0.5
2011-08-31,126.9,8604682.0,85514.5129,16.0938,5.7397,4.0
2011-09-30,123.13,15193508.0,82970.6414,15.6151,5.569,4.0
2011-10-31,121.23,3435408.0,81690.2823,15.3741,5.4831,4.0
2011-11-30,104.6,6658102.0,70487.1399,13.2657,4.7311,4.0
2011-12-31,102.98,5538300.0,69392.0959,13.0596,4.6576,4.0
2012-01-31,115.35,17756044.0,77731.2771,14.629,5.2173,4.0
2012-02-29,135.93,24353798.0,91596.2188,17.2384,6.1479,3.0
2012-03-31,127.15,11538556.0,85682.9812,13.3072,4.5125,3.0
2012-04-30,125.98,3904814.0,84891.1801,13.1842,4.4708,3.0
2012-05-31,110.2,3255136.0,74260.8299,11.5332,3.911,3.0
2012-06-30,111.28,3942188.0,74985.2437,11.6457,3.9491,3.0
2012-07-31,119.7,7732862.0,80662.6256,12.5275,4.2481,3.0
2012-08-31,103.5,9238610.0,69745.8793,10.832,3.6732,3.0
2012-09-30,118.15,6312874.0,79618.1221,12.3653,4.1931,3.0
2012-10-31,117.03,7159374.0,78860.0147,12.2475,4.1532,3.0
2012-11-30,114.38,4908038.0,77074.2507,11.9702,4.0592,3.0
2012-12-31,114.53,5853754.0,77175.3317,11.9859,4.0645,3.0
2013-01-31,110.45,8267516.0,74429.2983,11.5594,3.9199,3.0
2013-02-28,95.4,3233994.0,64287.5061,9.9843,3.3857,3.0
2013-03-31,77.33,6648140.0,52107.2475,8.2436,2.2702,3.5
2013-04-30,86.65,10989066.0,58391.1154,9.2377,2.544,3.5
2013-05-31,80.55,4406242.0,54280.4887,8.5874,2.3649,3.5
2013-06-30,71.45,4320118.0,48148.2379,7.6173,2.0977,3.5
2013-07-31,68.55,7323836.0,46194.0057,7.3081,2.0126,3.5
2013-08-31,64.97,6569446.0,43784.9092,6.927,1.9076,3.0
2013-09-30,86.7,12280650.0,58424.8037,9.2431,2.5455,3.0
2013-10-31,88.65,6225554.0,59738.8564,9.451,2.6027,3.0
2013-11-30,77.9,7935410.0,52494.7199,8.3049,2.2871,3.0
2013-12-31,83.05,10666734.0,55965.1667,8.8539,2.4383,3.0
2014-01-31,72.97,10341534.0,49175.8945,7.7799,2.1425,3.0
2014-02-28,75.0,23569678.0,50540.4877,7.9957,2.202,3.0
2014-03-31,112.83,62269406.0,76029.7403,15.8462,3.015,3.25
2014-04-30,114.28,32759706.0,77006.8564,16.0499,3.0537,3.25
2014-05-31,139.3,52946536.0,93870.5324,19.5646,3.7225,3.25
2014-06-30,162.28,33192620.0,109352.7685,22.7914,4.3364,3.25
2014-07-31,139.9,18447750.0,94274.8563,19.6489,3.7385,3.25
2014-08-31,116.98,25967054.0,78826.3139,16.4291,3.1259,3.25
2014-09-30,122.25,34226006.0,82380.9949,17.1699,3.2668,3.25
2014-10-31,136.25,19197154.0,91815.2193,19.1362,3.641,3.25
2014-11-30,114.8,39549620.0,77360.6398,16.1236,3.0678,3.25
2014-12-31,115.18,40562740.0,77613.3422,16.1763,3.0778,3.25
2015-01-31,108.25,28119730.0,72946.7705,15.2037,2.8927,3.25
2015-02-28,103.23,27761410.0,69560.6461,14.4979,2.7584,3.25
2015-03-31,96.58,34553778.0,65079.3013,20.8136,2.4729,3.0
2015-04-30,91.78,19647654.0,61844.7101,19.7791,2.35,3.0
2015-05-31,105.33,31144660.0,70975.6915,22.6994,2.697,3.0
2015-06-30,113.7,31538368.0,76619.3793,24.5043,2.9114,3.0
2015-07-31,120.85,30134610.0,81437.5725,26.0453,3.0945,3.0
2015-08-31,93.7,29591444.0,63141.9159,20.194,2.3993,2.5
2015-09-30,95.58,12736508.0,64405.4281,20.5981,2.4473,2.5
2015-10-31,98.2,20470708.0,66174.3452,21.1638,2.5145,2.5
2015-11-30,109.15,26090322.0,73553.2564,23.5237,2.7949,2.5
2015-12-31,120.68,27811362.0,81319.6447,26.0075,3.09,2.5
2016-01-31,96.33,35589294.0,64910.833,20.7597,2.4665,2.5
2016-02-29,75.1,63499146.0,50607.875,16.1853,1.923,2.5
2016-03-31,85.05,30609716.0,57312.913,20.5932,2.031,2.0
2016-04-30,89.65,25130644.0,60412.7296,21.707,2.1408,2.0
2016-05-31,89.68,38543410.0,60429.5764,21.7131,2.1414,2.0
2016-06-30,101.85,39634498.0,68633.9823,24.661,2.4322,2.0
2016-07-31,113.58,48740462.0,76535.1452,27.5,2.7122,2.0
2016-08-31,130.8,90861686.0,88142.6105,31.6707,3.1235,2.0
2016-09-30,124.23,62940448.0,83711.8944,30.0787,2.9665,2.0
2016-10-31,135.63,65017710.0,91394.0485,32.839,3.2387,2.0
2016-11-30,146.4,109631860.0,98655.0319,35.4479,3.496,2.0
2016-12-31,151.0,154544934.0,101754.8485,36.5617,3.6059,2.0
2017-01-31,147.9,76640576.0,99665.8417,35.8111,3.5318,2.0
2017-02-28,150.55,86971147.0,101451.6056,36.4528,3.5951,2.0
2017-03-31,143.95,66718905.0,97004.0427,29.3776,3.4098,3.5
2017-04-30,166.4,101029420.0,112132.4953,33.9592,3.9416,3.5
2017-05-31,158.1,64333927.0,106539.348,32.2653,3.745,3.5
2017-06-30,153.7,58105433.0,103574.3061,31.3673,3.6408,3.5
2017-07-31,158.85,37646011.0,107044.7529,32.4184,3.7627,3.5
2017-08-31,155.5,40416690.0,104787.2778,31.7347,3.6834,3.5
2017-09-30,148.75,38884628.0,100238.6339,30.3571,3.5235,3.0
2017-10-31,185.55,63166824.0,125037.1665,37.8673,4.3952,3.0
2017-11-30,187.6,80206583.0,126418.611,38.2857,4.4438,3.0
2017-12-31,199.3,55314790.0,134302.9274,40.6735,4.7209,3.0
2018-01-31,177.5,53237310.0,112164.2781,36.2245,4.2045,3.0
2018-02-28,173.1,44687880.0,109383.8668,35.3265,4.1003,3.0
2018-03-31,158.45,35665017.0,100126.3645,26.7652,4.2767,3.0
2018-04-30,158.85,34022783.0,100379.1291,26.8328,4.2875,3.0
2018-05-31,131.5,32412179.0,83096.3517,22.2128,3.5493,3.0
2018-06-30,124.2,49471560.0,78483.3984,20.9797,3.3522,3.0
2018-07-31,135.95,42750185.0,85908.3575,22.9645,3.6694,3.0
2018-08-31,128.25,39605221.0,81042.6396,21.6639,3.4616,3.0
2018-09-30,118.9,72722290.0,75134.2678,20.0845,3.2092,4.0
2018-10-31,115.7,76147577.0,73112.1513,19.5439,3.1228,4.0
2018-11-30,117.5,36333597.0,74249.5919,19.848,3.1714,4.0
2018-12-31,125.0,37134534.0,78988.9275,21.1149,3.3738,4.0
2019-01-31,112.6,36357711.0,71153.2259,19.0203,3.0391,4.0
2019-02-28,107.2,62184659.0,67740.9042,18.1081,2.8934,4.75
2019-03-31,117.3,60820669.0,74123.2096,20.1201,3.1616,4.75
2019-04-30,111.55,39280396.0,70489.7189,19.1338,3.0066,4.75
2019-05-31,121.6,47095334.0,76840.4287,20.8576,3.2775,4.75
2019-06-30,121.35,20707114.0,76682.4508,20.8148,3.2707,4.75
2019-07-31,100.1,37014964.0,63254.3331,17.1698,2.698,4.75
2019-08-31,102.6,53910661.0,64834.1117,17.5986,2.7654,4.75
2019-09-30,117.35,56041967.0,74154.8051,20.1286,3.1629,4.0
2019-10-31,119.6,34853719.0,75576.6058,20.5146,3.2236,4.0
2019-11-30,105.75,24130603.0,66824.6327,18.1389,2.8503,4.0
2019-12-31,99.0,19120768.0,62559.2306,16.9811,2.6683,4.0
2020-01-31,91.5,20548260.0,57819.8949,15.6947,2.4662,4.0
2020-02-29,70.0,31135583.0,44233.7994,12.0069,1.8867,4.35
2020-03-31,60.05,33865539.0,37946.2808,8.9493,1.5771,4.35
2020-04-30,67.3,38467408.0,42527.6386,10.0298,1.7676,4.35
2020-05-31,63.35,20747182.0,40031.5885,9.4411,1.6638,4.35
2020-06-30,75.4,92417670.0,47646.1211,11.237,1.9803,4.35
2020-07-31,64.25,65450008.0,40600.3087,9.5753,1.6874,4.35
2020-08-31,66.85,90402400.0,42243.2784,9.9627,1.7557,4.35
2020-09-30,64.35,71926025.0,40663.4999,9.5902,1.6901,5.15
2020-10-31,65.05,35097532.0,41105.8383,9.6945,1.7085,5.15
2020-11-30,74.2,52088843.0,46887.8278,11.0581,1.9488,5.15
2020-12-31,78.35,83743572.0,49510.2602,11.6766,2.0578,5.15
2021-01-31,72.7,47392413.0,45939.9607,10.8346,1.9094,5.15
2021-02-28,80.1,99074599.0,50616.1052,11.9374,2.1037,5.15
2021-03-31,77.0,163703915.0,48657.1798,19.2982,2.472,2.95
2021-04-30,72.75,29578278.0,45971.5562,18.2331,2.3355,2.95
2021-05-31,85.0,119896896.0,53712.4712,21.3033,2.7288,2.95
2021-06-30,79.6,92656559.0,50300.1495,19.9499,2.5555,2.95
2021-07-31,75.05,42210054.0,47424.9525,18.8095,2.4094,2.95
2021-08-31,73.1,40264685.0,46192.7252,18.3208,2.3468,2.95
2021-09-30,78.75,43882984.0,49763.0248,19.7368,2.5282,2.0
2021-10-31,72.45,58419873.0,45781.9828,18.1579,2.3259,2.0
2021-11-30,71.7,42920004.0,40298.4381,17.9699,2.3018,2.0
2021-12-31,70.0,22097001.0,39342.9661,17.5439,2.2473,2.0
2022-01-31,69.45,31998726.0,39033.8428,17.406,2.2296,2.0
2022-02-28,61.65,25216368.0,34649.9123,15.4511,1.9792,2.6
2022-03-31,64.05,44473024.0,35998.814,25.8266,2.0338,2.6
2022-04-30,64.4,22385605.0,36195.5288,25.9677,2.0449,2.6
2022-05-31,62.3,18603812.0,35015.2398,25.121,1.9782,2.6
2022-06-30,57.0,28233688.0,32036.4153,22.9839,1.8099,2.6
2022-07-31,67.0,20283765.0,37656.839,27.0161,2.1275,2.6
2022-08-31,67.95,18279679.0,38190.7792,27.3992,2.1576,2.6
2022-09-30,63.85,43214897.0,35886.4055,25.746,2.0274,3.0
2022-10-31,70.25,20731318.0,39483.4767,28.3266,2.2307,3.0
2022-11-30,80.25,153515768.0,45103.9004,32.3589,2.5482,3.0
2022-12-31,78.85,109270586.0,44317.0411,31.7944,2.5037,3.0
2023-01-31,87.55,127960417.0,49206.8098,35.3024,2.78,3.0
2023-02-28,71.35,44640759.0,40101.7233,28.7702,2.2656,3.0
2023-03-31,74.45,35282183.0,41844.0547,12.086,2.1332,3.0
2023-04-30,82.8,30811423.0,46537.1085,13.4416,2.3725,3.0
2023-05-31,110.85,434821978.0,62302.397,17.9951,3.1762,3.0
2023-06-30,114.95,117770138.0,64606.7708,18.6607,3.2937,3.0
2023-07-31,158.65,196746538.0,89168.0225,25.7549,4.5459,3.0
2023-08-31,154.3,123338658.0,86723.1382,25.0487,4.4212,3.0
2023-09-30,147.45,90564861.0,82873.1479,23.9367,4.2249,3.0
2023-10-31,123.7,72162585.0,69524.6415,20.0812,3.5444,3.0
2023-11-30,147.55,128204587.0,82929.3521,23.9529,4.2278,3.0
2023-12-31,171.45,222807085.0,96362.1649,27.8328,4.9126,3.0
2024-01-31,233.85,416806975.0,131433.6089,37.9627,6.7006,3.0
2024-02-29,209.55,235395559.0,117775.9793,34.0179,6.0043,3.0
2024-03-31,201.95,227540925.0,113504.4572,25.4987,5.0335,3.0
2024-04-30,244.6,184722890.0,137475.5644,30.8838,6.0965,3.0
2024-05-31,248.35,227921272.0,139583.2233,31.3573,6.19,3.0
2024-06-30,250.84,219085827.0,140982.7088,31.6717,6.252,3.0
2024-07-31,262.05,269303780.0,147283.2038,33.0871,6.5314,3.0
2024-08-31,217.5,115633383.0,122244.2161,27.4621,5.4211,3.0
2024-09-30,211.71,116587455.0,118989.9908,26.7311,5.2767,3.0
2024-10-31,194.74,96603222.0,109452.1317,24.5884,4.8538,3.0
2024-11-30,201.36,66062893.0,113172.8522,25.4242,5.0188,3.0
2024-12-31,182.01,66009734.0,102297.3323,22.9811,4.5365,3.0
2025-01-31,171.05,54045518.0,96137.3479,21.5972,4.2633,3.0
2025-02-28,150.18,69709618.0,84407.5236,18.9621,3.7431,3.0
2025-03-31,160.58,102387992.0,90252.7643,15.5601,3.3817,3.0
2025-04-30,178.65,86630635.0,100408.8699,17.311,3.7622,3.0
2025-05-31,229.48,131524162.0,128977.4838,22.2364,4.8326,3.0
2025-06-30,240.81,146179720.0,135345.4238,23.3343,5.0712,3.0
2025-07-31,213.79,90698520.0,120159.0389,20.7161,4.5022,3.0
2025-08-31,198.34,42808500.0,111475.4843,19.219,4.1768,4.0
2025-09-30,193.07,70942823.0,108513.521,18.7083,4.0659,4.0
2025-10-31,202.18,32811921.0,113633.727,19.5911,4.2577,4.0
2025-11-30,196.84,47481113.0,110632.4207,19.0736,4.1452,4.0
2025-12-31,201.24,36922190.0,113105.4071,19.5,4.2379,5.0
2026-01-31,172.47,47946820.0,96935.4481,16.7122,3.632,5.0
2026-02-28,221.75,493290042.0,124632.8962,21.4874,4.6698,3.0
2026-03-31,205.14,15222885.0,115297.3721,19.8779,4.32,4.5
