DIVI IN Equity,price,volume,mc,pe,bm,div
2019-05-31,1592.3,15256894.0,422705.6199,31.2461,6.0758,10.0
2019-06-30,1596.95,12811993.0,423940.0488,31.3373,6.0936,10.0
2019-07-31,1633.75,11770174.0,433709.2926,32.0595,6.234,10.0
2019-08-31,1625.4,14219612.0,431492.6299,31.8956,6.2021,16.0
2019-09-30,1665.5,10730252.0,442137.92,32.6825,6.3552,16.0
2019-10-31,1755.05,7799550.0,465910.6313,34.4398,6.6969,16.0
2019-11-30,1786.2,14208671.0,474179.9776,35.051,6.8157,16.0
2019-12-31,1845.8,10184602.0,490001.905,36.2206,7.0431,16.0
2020-01-31,1952.3,9494433.0,518274.3087,38.3104,7.4495,16.0
2020-02-29,2106.95,15671152.0,559329.0246,41.3452,8.0396,16.0
2020-03-31,1989.05,21821035.0,528030.279,38.3616,7.2235,16.0
2020-04-30,2332.9,22472399.0,619311.6503,44.9932,8.4722,16.0
2020-05-31,2390.1,11439007.0,634496.4531,46.0964,8.6799,16.0
2020-06-30,2278.9,17648341.0,604976.347,43.9518,8.2761,16.0
2020-07-31,2616.55,33573593.0,694611.813,50.4638,9.5023,16.0
2020-08-31,3122.8,38126293.0,829005.2816,60.2276,11.3408,16.0
2020-09-30,3047.95,31835231.0,809134.9584,58.784,11.069,16.0
2020-10-31,3142.05,24636930.0,834115.5486,60.5988,11.4107,16.0
2020-11-30,3605.1,36793244.0,957040.7742,69.5294,13.0924,16.0
2020-12-31,3841.9,23202034.0,1019903.734,74.0964,13.9523,16.0
2021-01-31,3369.85,17396558.0,894589.2909,64.9923,12.238,16.0
2021-02-28,3363.1,21891948.0,892797.378,64.8621,12.2135,16.0
2021-03-31,3622.8,15152033.0,961739.568,48.4656,10.3473,16.0
2021-04-30,4062.35,16953908.0,1078426.282,54.3458,11.6027,0.0
2021-05-31,4194.0,13948399.0,1113375.22,56.107,11.9787,0.0
2021-06-30,4408.25,12218869.0,1170251.863,58.9732,12.5907,0.0
2021-07-31,4906.1,10625743.0,1302415.4,65.6334,14.0126,0.0
2021-08-31,5173.6,10348170.0,1373428.246,69.212,14.7766,20.0
2021-09-30,4798.7,10176184.0,1273904.075,64.1967,13.7058,20.0
2021-10-31,5150.15,12107254.0,1367203.007,68.8983,14.7096,20.0
2021-11-30,4878.8,13148496.0,1295168.108,65.2682,13.9346,20.0
2021-12-31,4678.2,13649009.0,1241915.111,62.5846,13.3617,20.0
2022-01-31,4036.1,11204827.0,1071457.736,53.9946,11.5277,20.0
2022-02-28,4265.0,13732253.0,1132223.494,57.0569,12.1815,20.0
2022-03-31,4402.05,9271777.0,1168605.963,39.4732,9.9641,20.0
2022-04-30,4505.4,7711770.0,1196042.14,40.3999,10.198,20.0
2022-05-31,3591.3,19810484.0,953377.3114,32.2032,8.1289,20.0
2022-06-30,3630.4,10438695.0,963757.1328,32.5538,8.2174,20.0
2022-07-31,3831.65,6376435.0,1017182.685,34.3584,8.673,20.0
2022-08-31,3626.85,15097987.0,962814.7194,32.522,8.2094,30.0
2022-09-30,3705.2,9653515.0,983614.1826,33.2245,8.3868,30.0
2022-10-31,3608.9,7791125.0,958049.5584,32.361,8.1688,30.0
2022-11-30,3404.7,19009904.0,903840.8743,30.5299,7.7066,30.0
2022-12-31,3413.2,10179702.0,906097.3573,30.6062,7.7258,30.0
2023-01-31,3315.3,5981788.0,880107.9833,29.7283,7.5042,30.0
2023-02-28,2825.6,16977770.0,750108.0196,25.3372,6.3958,30.0
2023-03-31,2823.35,7212052.0,749510.7153,41.1028,5.8706,30.0
2023-04-30,3267.9,13026350.0,867524.7726,47.5746,6.795,30.0
2023-05-31,3443.6,14035228.0,914167.6021,50.1325,7.1603,30.0
2023-06-30,3583.6,10663839.0,951333.2033,52.1706,7.4514,30.0
2023-07-31,3684.3,9674217.0,978065.8893,53.6366,7.6608,30.0
2023-08-31,3592.1,11422952.0,953589.6862,52.2944,7.4691,30.0
2023-09-30,3765.15,7759578.0,999529.024,54.8137,7.8289,30.0
2023-10-31,3388.35,6236734.0,899500.463,49.3281,7.0455,30.0
2023-11-30,3788.7,11164993.0,1005780.809,55.1565,7.8779,30.0
2023-12-31,3903.9,9002998.0,1036362.79,56.8336,8.1175,30.0
2024-01-31,3670.6,11191328.0,974428.9697,53.4372,7.6323,30.0
2024-02-29,3488.8,10262547.0,926166.7819,50.7905,7.2543,30.0
2024-03-31,3445.3,8794373.0,914618.8987,57.1644,6.7395,30.0
2024-04-30,4002.4,13120943.0,1062511.445,66.4078,7.8293,30.0
2024-05-31,4307.2,14931538.0,1143426.268,71.4651,8.4255,30.0
2024-06-30,4596.45,9635966.0,1220213.055,76.2643,8.9913,30.0
2024-07-31,4923.2,13441184.0,1306954.913,81.6857,9.6305,30.0
2024-08-31,5093.9,12821449.0,1352270.4,84.518,9.9644,30.0
2024-09-30,5443.35,17697062.0,1445038.395,90.3161,10.648,30.0
2024-10-31,5889.65,15482566.0,1563517.022,97.7211,11.521,30.0
2024-11-30,6172.7,9315963.0,1638657.904,102.4175,12.0747,30.0
2024-12-31,6098.8,12606504.0,1619039.776,101.1913,11.9301,30.0
2025-01-31,5577.7,8339196.0,1480704.099,92.5452,10.9108,30.0
2025-02-28,5480.25,9243051.0,1454834.186,90.9283,10.7202,30.0
2025-03-31,5775.45,5624199.0,1533200.51,69.98,10.2425,30.0
2025-04-30,6087.0,12445717.0,1615907.247,73.755,10.795,30.0
2025-05-31,6612.0,13943945.0,1755278.251,80.1163,11.7261,30.0
2025-06-30,6809.5,8295509.0,1807708.296,82.5094,12.0763,30.0
2025-07-31,6595.5,6652534.0,1750898.019,79.9164,11.6968,30.0
2025-08-31,6131.5,9632418.0,1627720.598,74.2942,10.8739,30.0
2025-09-30,5689.5,8339442.0,1510383.486,68.9386,10.0901,30.0
2025-10-31,6738.0,11011865.0,1788727.292,81.643,11.9495,30.0
2025-11-30,6477.0,6701180.0,1719439.993,78.4806,11.4867,30.0
2025-12-31,6392.5,7153688.0,1697007.898,77.4567,11.3368,30.0
2026-01-31,6051.0,7426132.0,1606350.378,73.3188,10.7312,30.0
2026-02-28,6408.5,8489815.0,1701255.395,77.6506,11.3652,30.0
2026-03-31,6356.5,1148328.0,1687451.029,77.0205,11.273,30.0
