KSB IN Equity,price,volume,mc,pe,bm,div
2010-02-28,43.54,1320990.0,7576.8311,10.7018,2.1326,0.55
2010-03-31,45.69,4840360.0,7951.0171,11.2303,2.2379,0.55
2010-04-30,44.85,2144400.0,7805.6937,11.0251,2.197,1.25
2010-05-31,42.88,6212250.0,7461.9647,10.5396,2.1002,1.25
2010-06-30,53.92,6742920.0,9383.3662,13.2534,2.641,1.25
2010-07-31,57.0,8059030.0,9919.4094,14.0106,2.7919,1.25
2010-08-31,54.24,2109840.0,9439.059,13.3321,2.6567,1.25
2010-09-30,53.6,1231060.0,9327.6734,13.1748,2.6254,1.25
2010-10-31,49.5,1344200.0,8614.9797,12.1681,2.4248,1.25
2010-11-30,49.81,1926690.0,8668.0619,12.2431,2.4397,1.25
2010-12-31,52.9,905000.0,9207.5858,15.769,2.3402,1.25
2011-01-31,46.4,1136730.0,8074.5855,13.8286,2.0522,1.25
2011-02-28,47.39,1355080.0,8247.7553,14.1252,2.0962,1.25
2011-03-31,57.05,2315090.0,9928.9816,17.0045,2.5235,1.0
2011-04-30,53.99,3174960.0,9396.4192,16.0924,2.3882,1.0
2011-05-31,47.45,961110.0,8258.1977,14.1431,2.0989,1.0
2011-06-30,46.16,400405.0,8033.6861,13.7586,2.0418,1.0
2011-07-31,46.88,658285.0,8158.9949,13.9732,2.0737,1.0
2011-08-31,43.59,428745.0,7586.4033,12.9925,1.9281,1.0
2011-09-30,40.37,487525.0,7025.9945,12.0328,1.7857,1.0
2011-10-31,40.89,290325.0,7116.4953,12.1878,1.8087,1.0
2011-11-30,35.57,382190.0,6190.6026,10.6021,1.5734,1.0
2011-12-31,29.05,628435.0,5055.8618,12.6524,1.1866,1.0
2012-01-31,36.39,469405.0,6333.3154,15.8493,1.4864,1.0
2012-02-29,46.4,2003105.0,8075.4557,20.2091,1.8953,1.0
2012-03-31,47.83,1914610.0,8324.2854,20.8319,1.9537,0.8
2012-04-30,44.62,970115.0,7765.6202,19.4338,1.8226,0.8
2012-05-31,37.0,609020.0,6439.4431,16.115,1.5113,0.8
2012-06-30,37.07,278335.0,6451.6258,16.1455,1.5142,0.8
2012-07-31,41.23,894305.0,7175.628,17.9573,1.6841,0.8
2012-08-31,40.9,880655.0,7118.1952,17.8136,1.6706,0.8
2012-09-30,41.18,897345.0,7166.9261,17.9355,1.6821,0.8
2012-10-31,45.81,3782405.0,7972.7267,19.9521,1.8712,0.8
2012-11-30,45.6,1538380.0,7936.1785,19.8606,1.8626,0.8
2012-12-31,44.62,719225.0,7765.6202,14.0491,1.6614,0.8
2013-01-31,37.55,1023850.0,6535.1645,11.823,1.3982,0.8
2013-02-28,38.78,3638435.0,6749.2325,12.2103,1.444,0.8
2013-03-31,40.8,1014195.0,7100.7913,12.8463,1.5192,1.1
2013-04-30,41.8,434420.0,7274.8303,13.1612,1.5564,1.1
2013-05-31,40.95,541735.0,7126.8971,12.8936,1.5248,1.1
2013-06-30,41.63,374765.0,7245.2524,13.1077,1.5501,1.1
2013-07-31,41.56,490550.0,7233.0696,13.0856,1.5475,1.1
2013-08-31,39.32,1200545.0,6843.2218,12.3804,1.4641,1.1
2013-09-30,43.2,622495.0,7518.4939,13.602,1.6086,1.1
2013-10-31,47.69,1392395.0,8299.93,15.0157,1.7757,1.1
2013-11-30,52.56,1986765.0,9147.5009,16.5491,1.9571,1.1
2013-12-31,53.85,1169895.0,9372.0115,14.0381,1.8313,1.1
2014-01-31,48.4,1769480.0,8423.4978,12.6173,1.6459,1.1
2014-02-28,50.36,2589005.0,8764.6147,13.1283,1.7126,1.1
2014-03-31,65.16,11271815.0,11340.395,16.9864,2.2159,1.1
2014-04-30,66.4,5612380.0,11556.2036,17.3097,2.2581,1.1
2014-05-31,99.51,8119755.0,17318.6419,25.9411,3.3841,1.1
2014-06-30,109.02,5586665.0,18973.7548,28.4202,3.7075,1.1
2014-07-31,106.4,2394675.0,18517.7721,27.7372,3.6184,1.1
2014-08-31,106.54,1248050.0,18542.1376,27.7737,3.6231,1.1
2014-09-30,107.88,3151275.0,18775.3501,28.123,3.6687,1.1
2014-10-31,106.84,580430.0,18594.3493,27.8519,3.6333,1.1
2014-11-30,111.12,1865845.0,19339.2372,28.9677,3.7789,1.1
2014-12-31,132.18,3920965.0,23004.5029,33.6165,4.1284,1.1
2015-01-31,138.03,2196550.0,24022.6323,35.1043,4.3111,0.9
2015-02-28,137.42,1723175.0,23916.5759,34.9491,4.2921,0.9
2015-03-31,149.58,1576955.0,26032.7852,38.0417,4.6719,1.1
2015-04-30,113.71,1367675.0,19789.9987,28.9191,3.5515,1.1
2015-05-31,114.95,647315.0,20005.8073,29.2345,3.5903,1.1
2015-06-30,123.93,623860.0,21568.6795,31.5183,3.8707,1.1
2015-07-31,124.61,956975.0,21687.0261,31.6913,3.892,1.1
2015-08-31,119.37,1260495.0,20775.0606,30.3586,3.7283,1.1
2015-09-30,118.32,665705.0,20592.3195,30.0916,3.6955,1.1
2015-10-31,121.44,727040.0,21135.3218,30.885,3.793,1.1
2015-11-30,114.99,572825.0,20012.7689,29.2447,3.5915,1.1
2015-12-31,124.45,496875.0,21659.1798,31.5063,3.5928,1.1
2016-01-31,110.68,582600.0,19262.6599,28.0203,3.1953,1.1
2016-02-29,104.27,1067030.0,18147.0686,26.3975,3.0102,1.1
2016-03-31,126.69,1248190.0,22049.0277,32.0734,3.6575,1.1
2016-04-30,136.89,3930205.0,23824.2276,34.6557,3.952,1.1
2016-05-31,137.03,970790.0,23848.5931,34.6911,3.956,1.1
2016-06-30,149.04,958700.0,25938.804,37.7316,4.3027,1.1
2016-07-31,135.24,1400825.0,23537.0629,34.238,3.9043,1.1
2016-08-31,133.06,832595.0,23157.6575,33.6861,3.8414,1.1
2016-09-30,118.57,2428345.0,20635.8293,30.0177,3.4231,1.1
2016-10-31,118.15,899940.0,20562.7328,29.9114,3.4109,1.1
2016-11-30,120.58,693995.0,20985.6481,30.5266,3.4811,1.1
2016-12-31,126.23,1087135.0,21968.9696,32.0543,3.3278,1.1
2017-01-31,122.55,716240.0,21328.5053,31.1199,3.2308,1.1
2017-02-28,124.46,561565.0,21660.9202,31.6049,3.2812,1.1
2017-03-31,145.29,2302855.0,25286.157,36.8944,3.8303,1.1
2017-04-30,140.05,2272545.0,24374.1915,35.5637,3.6922,1.1
2017-05-31,134.74,841240.0,23450.0433,34.2153,3.5522,1.1
2017-06-30,153.22,3549680.0,26666.288,38.9081,4.0394,1.1
2017-07-31,148.24,6221055.0,25799.5727,37.6435,3.9081,1.1
2017-08-31,141.96,1973155.0,24706.6064,36.0488,3.7425,1.1
2017-09-30,147.12,1992665.0,25604.6488,37.3591,3.8786,1.1
2017-10-31,168.0,2569920.0,29238.5875,42.6612,4.429,1.1
2017-11-30,174.09,1446200.0,30298.4869,44.2077,4.5896,1.1
2017-12-31,181.07,2293175.0,31513.2807,44.4671,4.4359,1.1
2018-01-31,179.52,2446510.0,31243.5199,44.0864,4.3979,1.1
2018-02-28,159.99,1410535.0,27844.5348,39.2903,3.9195,1.1
2018-03-31,159.53,894995.0,27764.4768,39.1773,3.9082,1.1
2018-04-30,165.38,2699975.0,28782.6062,40.6139,4.0515,1.2
2018-05-31,163.06,5950145.0,28378.8352,40.0442,3.9947,1.2
2018-06-30,156.31,1130490.0,27204.0705,38.3865,3.8293,1.2
2018-07-31,156.6,653885.0,27254.5419,38.4578,3.8364,1.2
2018-08-31,154.94,689895.0,26965.6367,38.0501,3.7957,1.2
2018-09-30,146.63,453555.0,25519.3708,36.0093,3.5922,1.2
2018-10-31,160.05,1376085.0,27854.9772,39.305,3.9209,1.2
2018-11-30,156.12,586535.0,27171.003,38.3399,3.8246,1.2
2018-12-31,154.94,702080.0,26965.6367,37.6616,3.5586,1.2
2019-01-31,140.13,625525.0,24388.1159,34.0617,3.2184,1.2
2019-02-28,129.9,510960.0,22607.6947,31.5751,2.9835,1.2
2019-03-31,137.45,1175970.0,23921.6908,33.4103,3.1569,1.2
2019-04-30,133.58,290105.0,23248.159,32.4696,3.068,1.2
2019-05-31,136.1,1485700.0,23686.7378,33.0822,3.1259,1.2
2019-06-30,143.39,491025.0,24955.4838,34.8542,3.2933,1.2
2019-07-31,122.38,693165.0,21298.9197,29.7472,2.8108,1.2
2019-08-31,122.51,592890.0,21321.5448,29.7788,2.8137,1.2
2019-09-30,138.69,813880.0,24137.4994,33.7117,3.1854,1.2
2019-10-31,139.24,454035.0,24233.221,33.8454,3.198,1.2
2019-11-30,134.89,820480.0,23476.1504,32.788,3.0981,1.2
2019-12-31,134.96,586465.0,23488.3331,23.3172,2.8345,1.2
2020-01-31,148.05,1500340.0,25766.5065,25.5788,3.1094,1.2
2020-02-29,133.25,2155900.0,23190.7261,23.0218,2.7986,1.2
2020-03-31,85.01,6572400.0,14795.0741,14.6873,1.7854,1.2
2020-04-30,98.36,2708625.0,17118.4977,16.9938,2.0658,1.6
2020-05-31,92.53,1402115.0,16103.849,15.9865,1.9433,1.6
2020-06-30,93.43,3403850.0,16260.4843,16.142,1.9622,1.6
2020-07-31,101.41,6069150.0,17649.3173,17.5207,2.1298,1.6
2020-08-31,104.74,3271825.0,18228.8679,18.0961,2.1998,1.6
2020-09-30,95.81,3132815.0,16674.6977,16.5532,2.0122,1.6
2020-10-31,90.57,3366870.0,15762.7317,15.6479,1.9022,1.6
2020-11-30,113.85,8912815.0,19814.3646,19.67,2.3911,1.6
2020-12-31,128.88,4258375.0,22430.174,23.9198,2.5185,1.6
2021-01-31,126.15,3385215.0,21955.047,23.4131,2.4651,1.6
2021-02-28,145.05,6962825.0,25244.3881,26.9209,2.8345,1.6
2021-03-31,179.25,7224965.0,31196.5293,33.2684,3.5028,1.6
2021-04-30,176.89,6667730.0,30785.7967,32.8304,3.4567,1.7
2021-05-31,195.33,9466185.0,33995.0799,36.2528,3.817,1.7
2021-06-30,202.35,12106260.0,35216.8352,37.5557,3.9542,1.7
2021-07-31,231.82,10689240.0,40345.772,43.0252,4.5301,1.7
2021-08-31,238.19,5866855.0,41454.4018,44.2075,4.6546,1.7
2021-09-30,244.24,6962125.0,42507.3391,45.3304,4.7728,1.7
2021-10-31,265.09,3227930.0,46136.0568,49.2001,5.1802,1.7
2021-11-30,248.39,3425555.0,43229.6019,46.1006,4.8539,1.7
2021-12-31,244.05,3123855.0,42474.2716,28.4308,4.2019,1.7
2022-01-31,246.03,1992720.0,42818.8693,28.6615,4.236,1.7
2022-02-28,219.42,4396095.0,38187.6857,25.5615,3.7778,1.7
2022-03-31,263.89,7946665.0,45927.2098,30.7421,4.5435,1.7
2022-04-30,266.98,2651795.0,46464.991,31.1021,4.5967,2.5
2022-05-31,271.02,5667375.0,47168.1094,31.5727,4.6662,2.5
2022-06-30,296.75,3057595.0,51646.1385,34.5701,5.1092,2.5
2022-07-31,295.75,3737445.0,51472.0993,34.4536,5.092,2.5
2022-08-31,382.69,5692710.0,66603.0691,44.5818,6.5889,2.5
2022-09-30,399.61,3305090.0,69547.8127,46.5529,6.8802,2.5
2022-10-31,416.27,3223510.0,72447.3061,48.4937,7.1671,2.5
2022-11-30,404.86,3002155.0,70461.5186,47.1645,6.9706,2.5
2022-12-31,386.76,2064530.0,67311.4087,36.8343,5.8884,2.5
2023-01-31,363.53,989260.0,63268.4776,34.6219,5.5347,2.5
2023-02-28,383.13,4142780.0,66679.6464,36.4886,5.8331,2.5
2023-03-31,418.96,6955280.0,72915.4716,39.901,6.3787,2.5
2023-04-30,450.11,3434060.0,78336.7933,42.8676,6.8529,3.0
2023-05-31,421.33,3440025.0,73327.9446,40.1267,6.4147,3.0
2023-06-30,431.56,1892050.0,75108.3658,41.101,6.5705,3.0
2023-07-31,454.28,3526045.0,79062.5369,43.2648,6.9164,3.0
2023-08-31,558.38,16504605.0,97180.0197,53.179,8.5013,3.0
2023-09-30,597.93,14654695.0,104063.2708,56.9457,9.1035,3.0
2023-10-31,612.32,7045425.0,106567.6952,58.3162,9.3226,3.0
2023-11-30,684.56,3902045.0,119140.2884,65.1962,10.4224,3.0
2023-12-31,693.35,4105660.0,120670.0932,57.8081,9.2687,3.0
2024-01-31,729.65,5017940.0,126987.7169,60.8346,9.754,3.0
2024-02-29,731.92,6205710.0,127382.7859,61.0238,9.7843,3.0
2024-03-31,771.18,6323470.0,134215.5657,64.2971,10.3091,3.0
2024-04-30,902.4,8067690.0,157052.9921,75.2376,12.0633,3.0
2024-05-31,949.67,3694755.0,165279.8261,79.1788,12.6952,3.0
2024-06-30,939.34,3915085.0,163482.0009,78.3175,12.5571,3.5
2024-07-31,961.65,7721149.0,167364.8159,80.1776,12.8553,3.5
2024-08-31,928.5,2472718.0,161595.4158,77.4137,12.4122,3.5
2024-09-30,899.3,3440463.0,156513.4705,74.9792,12.0218,3.5
2024-10-31,800.65,5128859.0,139344.5015,66.7542,10.7031,3.5
2024-11-30,832.05,2299016.0,144809.333,69.3722,11.1228,3.5
2024-12-31,768.3,2959949.0,133714.3327,54.0295,9.0022,3.5
2025-01-31,702.55,2283195.0,122271.254,49.4058,8.2318,3.5
2025-02-28,617.0,11962336.0,107382.1987,43.3896,7.2294,3.5
2025-03-31,713.8,9700189.0,124229.1952,50.1969,8.3636,3.5
2025-04-30,732.65,2853140.0,127509.8345,51.5225,8.5845,3.5
2025-05-31,846.2,1988129.0,147271.988,59.5077,9.915,4.0
2025-06-30,818.05,1958442.0,142372.7839,57.5281,9.5851,4.0
2025-07-31,838.6,3313207.0,145949.2899,58.9733,9.8259,4.0
2025-08-31,825.9,10441524.0,143738.9918,58.0802,9.6771,4.0
2025-09-30,821.6,2499255.0,142990.6232,57.7778,9.6267,4.0
2025-10-31,790.65,1289564.0,137604.1093,55.6013,9.2641,4.0
2025-11-30,767.85,3475458.0,133636.0151,53.9979,8.9969,4.0
2025-12-31,754.75,2274647.0,131356.1013,48.5682,7.8226,4.0
2026-01-31,708.2,1797759.0,123254.5756,45.5727,7.3402,4.0
2026-02-28,770.25,22386767.0,134053.7092,49.5656,7.9833,4.0
2026-03-31,751.75,1026644.0,130833.9836,48.3752,7.7915,4.0
