FSOL IN Equity,price,volume,mc,pe,bm,div
2017-09-30,41.6,138123029.0,28366.3174,10.5051,1.3122,0.0
2017-10-31,43.85,58764403.0,29900.5533,11.0732,1.3832,0.0
2017-11-30,42.65,116560708.0,29220.7291,10.7702,1.3454,0.0
2017-12-31,40.85,80305244.0,27992.8854,9.3052,1.2775,0.0
2018-01-31,41.0,207422522.0,28108.6611,9.3394,1.2775,0.0
2018-02-28,51.45,217683358.0,35286.8651,11.7198,1.2775,0.0
2018-03-31,53.0,165014342.0,36371.035,11.0647,1.5472,0.0
2018-04-30,63.85,173648695.0,43845.6079,13.3299,1.8639,0.0
2018-05-31,72.65,267045783.0,49962.0185,15.167,2.1208,0.0
2018-06-30,70.5,209913472.0,48533.3176,13.7695,1.9524,0.0
2018-07-31,72.1,107121034.0,49748.1918,14.082,1.9967,1.5
2018-08-31,75.35,136149108.0,51995.3459,14.7168,2.0867,1.5
2018-09-30,61.9,65527896.0,42733.5613,11.337,1.708,1.5
2018-10-31,61.1,64025825.0,42194.0396,11.1905,1.6859,1.5
2018-11-30,52.3,52188808.0,36119.1112,9.5788,1.4431,1.5
2018-12-31,46.9,51785441.0,32400.9485,8.6531,1.2372,1.5
2019-01-31,49.05,54672752.0,33889.6581,9.0498,1.2939,1.5
2019-02-28,43.3,43256319.0,29918.7479,7.9889,1.1423,1.5
2019-03-31,46.95,54313749.0,32445.5018,8.5675,1.1973,1.5
2019-04-30,50.55,70553385.0,34934.462,9.2245,1.2891,1.5
2019-05-31,54.65,62439413.0,37767.9199,9.9726,1.3937,1.5
2019-06-30,49.35,30055762.0,34180.3697,8.9564,1.2308,1.5
2019-07-31,49.2,37398788.0,34096.0719,8.9292,1.2271,2.0
2019-08-31,48.3,26209738.0,33472.3632,8.7659,1.2046,2.0
2019-09-30,46.95,41626907.0,32543.1385,9.152,1.2017,2.0
2019-10-31,49.15,36163394.0,34078.6362,9.5809,1.258,2.0
2019-11-30,41.85,35137345.0,29017.1093,8.1579,1.0712,2.0
2019-12-31,41.1,30304178.0,28505.7205,8.22,1.3707,2.0
2020-01-31,43.9,32197603.0,30447.716,8.78,1.464,2.0
2020-02-29,40.0,32882988.0,27752.0336,8.0,1.334,2.5
2020-03-31,27.45,38156859.0,19045.5451,5.602,0.6887,2.5
2020-04-30,35.25,25544955.0,24457.394,7.1939,0.8844,2.5
2020-05-31,31.6,30096146.0,21924.9262,6.449,0.7928,2.5
2020-06-30,35.7,69484116.0,24776.0777,7.3306,0.875,2.5
2020-07-31,48.85,137867909.0,33908.197,10.0308,1.1973,2.5
2020-08-31,61.8,128870839.0,42903.5317,12.6899,1.5147,2.5
2020-09-30,72.75,100354132.0,50532.8615,13.4297,1.7527,2.5
2020-10-31,70.0,56905602.0,48661.8501,12.9221,1.6865,2.5
2020-11-30,79.1,52925024.0,55004.4985,14.6019,1.9057,2.5
2020-12-31,101.5,147316464.0,70599.7424,17.299,2.39,2.5
2021-01-31,87.0,57985237.0,60524.0946,14.8277,2.39,2.5
2021-02-28,99.6,107530612.0,69292.2987,16.9752,2.39,3.0
2021-03-31,113.9,160946596.0,79285.701,21.7474,2.8324,3.0
2021-04-30,112.8,82536175.0,78523.4342,21.5374,2.805,3.0
2021-05-31,142.4,118492253.0,99185.3129,27.1891,3.5411,3.0
2021-06-30,186.95,149661487.0,130238.8633,31.8083,4.3812,3.0
2021-07-31,194.8,188778974.0,135707.5712,33.1439,4.5651,3.0
2021-08-31,181.35,144042768.0,126337.6182,30.8555,4.2499,3.0
2021-09-30,195.5,99393614.0,136195.2267,31.0448,4.5869,3.0
2021-10-31,197.65,103163931.0,137693.0259,31.3862,4.6374,3.0
2021-11-30,169.6,111443157.0,118209.6441,26.932,3.9792,3.0
2021-12-31,183.1,127776890.0,127619.0202,28.1669,4.2983,3.0
2022-01-31,158.65,88130632.0,110577.5945,24.4057,4.2983,3.0
2022-02-28,126.9,115844978.0,88448.1358,19.5215,4.2983,3.5
2022-03-31,125.05,88091917.0,87158.7028,16.2202,2.8737,3.5
2022-04-30,125.0,82042204.0,87123.8533,16.2137,2.8726,3.5
2022-05-31,111.05,100383243.0,77400.8312,14.4042,2.552,3.5
2022-06-30,102.9,60207401.0,71720.356,14.6382,2.4038,3.5
2022-07-31,111.55,61293253.0,77749.3266,15.8688,2.4038,3.5
2022-08-31,107.45,93441350.0,74891.6643,15.2855,2.4038,3.5
2022-09-30,104.8,91670785.0,73044.6386,15.0812,2.2216,3.5
2022-10-31,103.85,39844581.0,72382.4973,14.9445,2.2014,3.5
2022-11-30,109.9,65312250.0,76599.2918,15.8151,2.3297,3.5
2022-12-31,102.3,46758751.0,71302.1615,14.0608,2.1548,3.5
2023-01-31,108.05,34839131.0,75309.8587,14.8511,2.1548,3.5
2023-02-28,112.65,66882334.0,78516.0165,15.4833,2.1548,3.5
2023-03-31,105.5,58526117.0,73532.5321,14.2492,2.1812,3.5
2023-04-30,116.8,18573354.0,81408.5285,15.7755,2.4149,3.5
2023-05-31,134.6,115855412.0,93814.9652,18.1796,2.7829,3.5
2023-06-30,127.3,36488703.0,88726.9321,15.9047,2.5312,3.5
2023-07-31,144.5,73658387.0,100715.1744,18.0537,2.8731,3.5
2023-08-31,163.2,81965340.0,113748.9028,20.39,3.245,3.5
2023-09-30,167.55,60832543.0,116780.8129,21.0426,3.1823,3.5
2023-10-31,156.05,43493806.0,108765.4184,19.5983,2.9639,3.5
2023-11-30,177.55,49801554.0,123750.7212,22.2985,3.3723,3.5
2023-12-31,184.85,55461996.0,128838.7542,24.518,3.5157,3.5
2024-01-31,204.6,125242205.0,142604.323,27.1376,3.5157,3.5
2024-02-29,205.7,74134278.0,143371.0129,27.2835,3.5157,3.5
2024-03-31,197.65,28526936.0,137760.2368,26.523,3.7181,3.5
2024-04-30,211.45,52650730.0,147378.7102,28.3749,3.9777,3.5
2024-05-31,183.3,31320689.0,127758.4184,24.5974,3.4481,3.5
2024-06-30,209.96,54094239.0,146340.1938,27.7284,3.8096,3.5
2024-07-31,273.44,137939753.0,190585.1715,36.1119,4.9613,3.5
2024-08-31,303.25,307695394.0,211362.468,40.0488,5.5022,3.5
2024-09-30,311.15,161683847.0,216868.6955,40.0608,5.5628,3.5
2024-10-31,340.2,156698788.0,237116.279,43.801,6.0822,3.5
2024-11-30,366.7,118079116.0,255586.5359,47.2129,6.556,3.5
2024-12-31,376.0,56629993.0,262068.5506,45.7424,6.75,3.5
2025-01-31,335.15,128514112.0,233596.4753,40.7728,6.75,3.5
2025-02-28,346.0,73461409.0,241158.8258,42.0927,6.75,4.0
2025-03-31,340.25,88544639.0,237151.1285,39.5183,5.7801,4.0
2025-04-30,340.7,38748857.0,237464.7744,39.5705,5.7878,4.0
2025-05-31,371.45,51534956.0,258897.2423,43.142,6.3101,4.0
2025-06-30,374.65,31298511.0,261127.613,41.2159,6.2691,4.0
2025-07-31,341.7,26185302.0,238161.7652,37.591,5.7177,4.0
2025-08-31,351.0,24691935.0,244643.7799,38.6141,5.8733,4.0
2025-09-30,328.8,24331049.0,229170.5836,33.9671,5.2494,4.0
2025-10-31,353.9,39230805.0,246665.0533,36.5601,5.6501,4.0
2025-11-30,345.8,17928342.0,241019.4276,35.7233,5.5208,4.0
2025-12-31,335.8,10639886.0,234049.5194,36.8202,5.2303,4.0
2026-01-31,319.85,13508071.0,222932.5157,35.0713,5.2303,4.0
2026-02-28,213.15,38587105.0,148563.5946,23.3717,5.2303,5.5
2026-03-31,223.31,8989566.0,155645.0197,24.4857,5.2303,5.5
