ADSEZ IN Equity,price,volume,mc,pe,bm,div
2011-11-30,125.75,41020066.0,251926.9237,27.4563,6.0168,0.9
2011-12-31,120.05,28992124.0,240507.5721,26.2118,5.7441,0.9
2012-01-31,146.25,32483397.0,292996.5216,31.9323,6.9977,0.9
2012-02-29,148.65,31056962.0,297804.6697,32.4563,7.1125,0.7
2012-03-31,129.5,49952675.0,259439.5286,23.219,5.391,0.7
2012-04-30,127.8,15596142.0,256033.7587,22.9142,5.3202,0.7
2012-05-31,123.45,32865324.0,247318.9946,22.1342,5.1391,0.7
2012-06-30,121.15,20716079.0,242711.1883,21.7218,5.0434,0.7
2012-07-31,120.45,17848221.0,241308.8125,21.5963,5.0142,1.0
2012-08-31,113.75,33896319.0,227886.0724,20.395,4.7353,1.0
2012-09-30,127.5,40637448.0,255432.7405,22.8604,5.3077,1.0
2012-10-31,127.25,29909812.0,254931.892,22.8156,5.2973,1.0
2012-11-30,130.15,23441719.0,260741.7347,23.3355,5.418,1.0
2012-12-31,135.0,32877263.0,270458.1958,24.2051,5.6199,1.0
2013-01-31,150.55,74898900.0,301610.9732,26.9932,6.2673,1.0
2013-02-28,138.65,54674231.0,277770.5841,24.8595,5.7719,1.0
2013-03-31,138.7,28798804.0,277870.7538,18.068,4.4908,1.0
2013-04-30,145.0,26705325.0,290492.1362,18.8886,4.6948,0.7
2013-05-31,152.05,69955574.0,304616.0642,19.807,4.923,0.7
2013-06-30,150.3,82801170.0,311128.7425,19.5791,4.8664,0.7
2013-07-31,125.25,30979869.0,259273.9521,16.3159,4.0553,1.0
2013-08-31,125.95,50624107.0,260722.9881,16.4071,4.078,1.0
2013-09-30,138.05,28857251.0,285770.6115,17.9833,4.4697,1.0
2013-10-31,145.5,60222215.0,301192.4952,18.9538,4.7109,1.0
2013-11-30,157.95,56654190.0,326964.6366,20.5756,5.114,1.0
2013-12-31,155.4,49856924.0,321686.0052,20.2434,5.0315,1.0
2014-01-31,146.95,37481521.0,304194.0699,19.1427,4.7579,1.0
2014-02-28,167.25,39571813.0,346216.1157,21.7871,5.4152,1.0
2014-03-31,187.45,48589035.0,388031.1562,22.1834,4.4269,1.0
2014-04-30,188.2,111978814.0,389583.6949,22.2722,4.4446,1.0
2014-05-31,227.5,177027062.0,470936.7194,26.9231,5.3727,1.0
2014-06-30,243.7,95771573.0,504471.5539,28.8402,5.7553,1.0
2014-07-31,260.55,178795987.0,539351.9219,30.8343,6.1533,1.0
2014-08-31,282.85,97084554.0,585514.0706,33.4734,6.6799,1.0
2014-09-30,277.55,73696138.0,574542.7976,32.8462,6.5547,1.0
2014-10-31,285.65,46227223.0,591310.2149,33.8047,6.746,1.0
2014-11-30,290.25,52906527.0,600832.4518,34.3491,6.8547,1.0
2014-12-31,319.05,64048744.0,660449.9354,37.7574,7.5348,1.0
2015-01-31,341.05,67216737.0,705991.0687,40.3609,8.0544,1.0
2015-02-28,330.75,57630910.0,684669.6996,39.142,7.8111,1.0
2015-03-31,308.2,62304704.0,637989.8765,27.5671,5.9265,1.0
2015-04-30,317.55,38122937.0,657344.8582,28.4034,6.1063,1.0
2015-05-31,323.85,55470592.0,670386.1827,28.9669,6.2274,1.1
2015-06-30,307.9,103459330.0,637646.0162,27.5403,5.9207,1.1
2015-07-31,325.0,79583379.0,673059.2896,29.0698,6.2495,1.1
2015-08-31,355.45,136122737.0,736119.7676,31.7934,6.8351,1.1
2015-09-30,299.0,83719065.0,619214.5464,26.7442,5.7496,1.1
2015-10-31,296.25,61596694.0,613519.4293,26.4982,5.6967,1.1
2015-11-30,267.7,72695321.0,554393.7594,23.9445,5.1477,1.1
2015-12-31,260.9,74232251.0,540311.2881,23.3363,5.0169,1.1
2016-01-31,212.25,85809758.0,439559.4899,18.9848,4.0814,1.1
2016-02-29,196.7,98314400.0,407356.1916,17.5939,3.7824,1.1
2016-03-31,247.7,68272222.0,512974.7262,17.7055,3.8455,2.2
2016-04-30,238.2,71312315.0,493300.6854,17.0264,3.698,2.2
2016-05-31,192.15,221567676.0,397933.3615,13.7348,2.9831,1.1
2016-06-30,206.85,105156041.0,428376.3509,14.7856,3.2113,1.1
2016-07-31,232.4,105640861.0,481289.1658,16.6119,3.608,1.1
2016-08-31,262.95,146299549.0,544556.739,18.7956,4.0823,1.1
2016-09-30,256.75,95896743.0,531716.8387,18.3524,3.986,1.1
2016-10-31,305.3,113796919.0,632261.5418,21.8227,4.7397,1.1
2016-11-30,277.9,103646671.0,575517.4664,19.8642,4.3144,1.1
2016-12-31,268.45,76651168.0,555946.9732,19.1887,4.1676,1.1
2017-01-31,293.35,72953491.0,607513.6695,20.9685,4.5542,1.1
2017-02-28,301.75,65916137.0,624909.6635,21.569,4.6846,1.1
2017-03-31,339.6,94368974.0,703295.1838,17.9778,4.0512,1.1
2017-04-30,327.7,92120531.0,678650.859,17.3478,3.9093,1.1
2017-05-31,339.0,102250990.0,702052.6128,17.946,4.0441,0.0
2017-06-30,363.05,95437234.0,751859.0002,19.2192,4.331,0.0
2017-07-31,395.9,71654628.0,819889.7623,20.9582,4.7228,1.3
2017-08-31,392.95,68467623.0,813780.4549,20.802,4.6876,1.3
2017-09-30,376.75,80754740.0,780231.038,19.9444,4.4944,1.3
2017-10-31,430.35,74476214.0,891234.0469,22.7819,5.1338,1.3
