EIM IN Equity,price,volume,mc,pe,bm,div
2021-10-31,2484.8,15983318.0,679343.505,50.4016,5.9379,17.0
2021-11-30,2370.45,18983839.0,648107.1571,48.0822,5.6647,17.0
2021-12-31,2591.9,12846109.0,708654.0279,52.574,6.1939,17.0
2022-01-31,2645.5,15415158.0,723308.8587,53.6613,6.322,17.0
2022-02-28,2589.8,14171907.0,708111.1496,52.5314,6.1888,17.0
2022-03-31,2457.15,18954681.0,671841.5751,40.0644,5.3287,17.0
2022-04-30,2630.35,12773525.0,719198.4563,42.8885,5.7043,17.0
2022-05-31,2780.75,18533464.0,760337.2802,45.3408,6.0305,17.0
2022-06-30,2794.35,15509299.0,764055.9126,45.5625,6.06,17.0
2022-07-31,3093.45,15530150.0,845838.4822,50.4394,6.7086,17.0
2022-08-31,3358.75,25451662.0,918469.3996,54.7652,7.2839,21.0
2022-09-30,3671.6,17256967.0,1004020.022,59.8663,7.9624,21.0
2022-10-31,3850.45,12843422.0,1052927.577,62.7825,8.3503,21.0
2022-11-30,3484.5,16429796.0,952934.1607,56.8156,7.5567,21.0
2022-12-31,3227.75,15201941.0,882718.6791,52.6292,6.9999,21.0
2023-01-31,3263.35,10677478.0,892454.4966,53.2097,7.0771,21.0
2023-02-28,3105.9,13525998.0,849406.4083,50.6424,6.7356,21.0
2023-03-31,2948.85,11365539.0,806456.1277,27.6731,5.3799,21.0
2023-04-30,3301.1,11540650.0,902790.0107,30.9788,6.0225,21.0
2023-05-31,3671.95,17418969.0,1004842.41,34.459,6.6991,21.0
2023-06-30,3580.1,10465178.0,979724.6526,33.597,6.5315,21.0
2023-07-31,3365.5,29583085.0,920997.5471,31.5831,6.14,21.0
2023-08-31,3336.6,15110072.0,913392.4482,31.3119,6.0873,37.0
2023-09-30,3446.95,12826990.0,943600.7011,32.3475,6.2886,37.0
2023-10-31,3295.55,8043757.0,902155.0329,30.9267,6.0124,37.0
2023-11-30,3896.9,12173694.0,1066875.746,36.57,7.1095,37.0
2023-12-31,4143.5,15687820.0,1134388.784,38.8842,7.5594,37.0
2024-01-31,3839.6,13815074.0,1051188.41,36.0323,7.0049,37.0
2024-02-29,3792.4,14422092.0,1038380.471,35.5893,6.9188,37.0
2024-03-31,4019.3,14427526.0,1100506.969,27.4956,6.0985,37.0
2024-04-30,4597.4,18168475.0,1258794.003,31.4503,6.9757,37.0
2024-05-31,4733.45,15227166.0,1297015.072,32.381,7.1821,37.0
2024-06-30,4672.95,12815073.0,1280437.436,31.9671,7.0903,37.0
2024-07-31,4962.7,12815906.0,1359831.983,33.9492,7.5299,37.0
2024-08-31,4960.5,13817102.0,1359478.152,33.9342,7.5266,51.0
2024-09-30,5026.25,11294544.0,1377497.644,34.384,7.6264,51.0
2024-10-31,4894.65,14232382.0,1341431.254,33.4837,7.4267,51.0
2024-11-30,4831.85,11443434.0,1324566.927,33.0541,7.3314,51.0
2024-12-31,4821.9,7424476.0,1321839.309,32.986,7.3163,51.0
2025-01-31,5194.3,12355846.0,1423926.237,35.5336,7.8813,51.0
2025-02-28,4773.6,12778949.0,1308684.159,32.6556,7.243,51.0
2025-03-31,5347.7,7971226.0,1466147.251,30.9545,6.8845,51.0
2025-04-30,5567.0,9108442.0,1526271.433,32.2239,7.1668,51.0
2025-05-31,5333.5,11891260.0,1462724.322,30.8723,6.8662,51.0
2025-06-30,5656.5,10677102.0,1551307.796,32.742,7.282,51.0
2025-07-31,5468.5,7749348.0,1499748.374,31.6537,7.04,51.0
2025-08-31,6103.0,12332329.0,1673918.573,35.3265,7.8568,70.0
2025-09-30,7005.5,13860708.0,1921454.459,40.5505,9.0187,70.0
2025-10-31,7007.0,7639202.0,1921865.876,40.5592,9.0206,70.0
2025-11-30,7053.5,10952849.0,1934769.668,40.8283,9.0804,70.0
2025-12-31,7312.5,10982269.0,2005813.171,42.3275,9.4139,70.0
2026-01-31,7122.5,8350186.0,1953696.316,41.2277,9.1693,70.0
2026-02-28,8010.5,12164486.0,2197393.931,46.3678,10.3125,70.0
2026-03-31,7754.5,1706199.0,2127169.495,44.886,9.9829,70.0
