LICHF IN Equity,price,volume,mc,pe,bm,div
2004-10-31,28.05,24889345.0,10526.8704,6.214,1.0786,1.0
2004-11-30,34.76,9921250.0,13045.0629,7.7005,1.3366,1.0
2004-12-31,41.35,10179800.0,15518.2207,9.1604,1.59,1.0
2005-01-31,42.19,22176770.0,15833.4639,9.3465,1.6223,1.0
2005-02-28,49.93,45503355.0,21203.4241,11.0612,1.9199,1.0
2005-03-31,46.69,32081880.0,19827.5159,12.4667,1.6379,1.0
2005-04-30,50.0,58549115.0,21233.1505,13.3505,1.754,1.0
2005-05-31,47.97,26887770.0,20371.0846,12.8084,1.6828,1.0
2005-06-30,41.32,28310955.0,17547.0756,11.0328,1.4495,1.0
2005-07-31,42.26,45882715.0,17946.2588,11.2838,1.4825,1.0
2005-08-31,41.25,41924480.0,17517.3491,11.0141,1.447,1.0
2005-09-30,40.3,33778055.0,17113.9193,10.7605,1.4137,1.0
2005-10-31,38.52,39758375.0,16358.0191,10.2852,1.3513,1.0
2005-11-30,40.63,30614975.0,17254.0581,10.8486,1.4253,1.0
2005-12-31,39.4,44126600.0,16731.7226,10.5202,1.3821,1.0
2006-01-31,39.24,43043385.0,16663.7765,10.4775,1.3765,1.0
2006-02-28,40.12,56589945.0,17037.4799,10.7124,1.4074,1.0
2006-03-31,37.95,45851135.0,16115.9612,7.819,1.1837,1.0
2006-04-30,43.07,123212190.0,17793.3801,8.8739,1.3434,1.0
2006-05-31,35.89,42565800.0,15241.1554,7.3946,1.1195,1.0
2006-06-30,31.39,26289705.0,13330.1719,6.4674,0.9791,1.0
2006-07-31,29.24,27700255.0,12417.1464,6.0245,0.912,1.2
2006-08-31,32.85,32568500.0,13950.1799,6.7682,1.0246,1.2
2006-09-30,33.77,33910520.0,14340.8698,6.9578,1.0533,1.2
2006-10-31,37.33,39728780.0,15852.6701,7.6913,1.1644,1.2
2006-11-30,34.53,28318330.0,14663.6137,7.1144,1.0771,1.2
2006-12-31,32.21,21361175.0,13678.3955,6.6364,1.0047,1.2
2007-01-31,33.39,18721760.0,14179.4979,6.8795,1.0415,1.2
2007-02-28,28.91,14655285.0,12277.0076,5.9565,0.9018,1.2
2007-03-31,27.59,30916745.0,11716.4524,4.1606,0.75,2.0
2007-04-30,30.32,24323530.0,12875.7825,4.5723,0.8242,2.0
2007-05-31,33.68,44314435.0,14302.6502,5.079,0.9155,2.0
2007-06-30,41.3,45326175.0,17538.5823,6.2281,1.1227,1.6
2007-07-31,37.5,44125770.0,15924.8629,5.6551,1.0194,1.6
2007-08-31,37.14,21869395.0,15771.9842,5.6008,1.0096,1.6
2007-09-30,47.99,61994775.0,20379.673,7.237,1.3045,1.6
2007-10-31,71.1,208859610.0,30193.681,10.722,1.9327,1.6
2007-11-30,68.98,163439135.0,29293.3912,10.4023,1.8751,1.6
2007-12-31,76.52,153528615.0,32495.3653,11.5394,2.08,1.6
2008-01-31,56.02,179895965.0,23789.7329,8.4479,1.5228,1.6
2008-02-29,62.13,79583115.0,26384.436,9.3693,1.6889,1.6
2008-03-31,56.39,43727605.0,23946.859,6.1161,1.2914,0.6
2008-04-30,71.9,109874055.0,30533.413,7.7983,1.6465,0.6
2008-05-31,68.03,73028160.0,28889.9595,7.3785,1.5579,0.6
2008-06-30,53.13,74640025.0,22562.4511,5.7625,1.2167,2.0
2008-07-31,64.67,142300885.0,27463.0851,7.0141,1.481,2.0
2008-08-31,65.55,47630570.0,27836.7903,7.1095,1.5011,2.0
2008-09-30,57.08,47663575.0,24239.8778,6.1909,1.3072,2.0
2008-10-31,39.03,57145405.0,16574.6747,4.2332,0.8938,2.0
2008-11-30,32.73,52097495.0,13899.2852,3.5499,0.7495,2.0
2008-12-31,46.1,210416310.0,19577.0562,5.0,1.0557,2.0
2009-01-31,44.81,87555215.0,19029.2383,4.8601,1.0262,2.0
2009-02-28,40.61,70974840.0,17245.6454,4.4046,0.93,2.0
2009-03-31,44.88,64892170.0,19058.9649,3.5461,0.8423,2.0
2009-04-30,73.12,134283165.0,31051.5043,5.7775,1.3724,2.0
2009-05-31,105.5,147146040.0,44802.1568,8.336,1.9801,2.0
2009-06-30,123.66,236444200.0,52514.0731,9.7709,2.3209,2.6
2009-07-31,123.15,194372765.0,52297.4939,9.7306,2.3113,2.6
2009-08-31,129.35,120518250.0,54930.4169,10.2204,2.4277,2.6
2009-09-30,154.43,184443800.0,73302.2086,12.2021,2.8984,2.6
2009-10-31,148.87,166249850.0,70663.0822,11.7628,2.7941,2.6
2009-11-30,172.05,197636925.0,81665.7708,13.5943,3.2291,2.6
2009-12-31,160.56,97260140.0,76211.8928,12.6865,3.0135,2.6
2010-01-31,154.02,75889010.0,73107.5967,12.1697,2.8907,2.6
2010-02-28,150.47,50955730.0,71422.5431,11.8892,2.8241,2.6
2010-03-31,174.31,115634190.0,82738.5092,57.0386,2.4032,2.6
2010-04-30,191.18,117169335.0,90746.0742,62.5589,2.6358,2.6
2010-05-31,187.9,108818900.0,89189.1795,61.4856,2.5906,2.6
2010-06-30,199.54,84696510.0,94714.2569,65.2945,2.751,3.0
2010-07-31,227.28,111315965.0,107881.4088,74.3717,3.1335,3.0
2010-08-31,240.52,131249560.0,114165.9471,78.7042,3.316,3.0
2010-09-30,287.33,145880755.0,136384.9226,94.0216,3.9614,3.0
2010-10-31,268.11,111011155.0,127261.9054,87.7323,3.6964,3.0
2010-11-30,200.36,516833730.0,95103.4806,65.5628,2.7624,3.0
2010-12-31,195.4,266008120.0,92749.1491,63.9398,2.694,3.0
2011-01-31,179.85,243446972.0,85368.1395,58.8514,2.4796,3.0
2011-02-28,188.05,268733803.0,89260.3761,61.5347,2.5926,3.0
2011-03-31,226.1,195239021.0,107321.303,11.2768,2.5604,3.0
2011-04-30,219.25,137238022.0,104069.8615,10.9352,2.4828,3.0
2011-05-31,230.8,145467257.0,109552.2191,11.5112,2.6136,3.0
2011-06-30,243.15,89527357.0,115414.3071,12.1272,2.7534,3.0
2011-07-31,212.45,125347125.0,100842.1532,10.596,2.4058,3.5
2011-08-31,211.65,102603517.0,100462.4228,10.5561,2.3967,3.5
2011-09-30,211.55,69261311.0,100414.9565,10.5511,2.3956,3.5
2011-10-31,234.0,83535177.0,111071.1407,11.6708,2.6498,3.5
2011-11-30,223.4,59545731.0,106039.7129,11.1421,2.5298,3.5
2011-12-31,221.35,47036998.0,105066.6538,11.0399,2.5066,3.5
2012-01-31,251.0,63336419.0,119140.4116,12.5187,2.8423,3.5
2012-02-29,260.4,67456290.0,123602.2437,12.9875,2.9488,3.5
2012-03-31,263.35,101704436.0,125002.4996,13.631,2.3275,3.5
2012-04-30,260.05,41972258.0,123436.1117,13.4601,2.2983,3.5
2012-05-31,237.05,36058757.0,119630.3628,12.2697,2.095,3.5
2012-06-30,270.0,35751647.0,136259.0085,13.9752,2.3862,3.5
2012-07-31,262.05,37231887.0,132246.9377,13.5637,2.316,3.6
2012-08-31,240.1,31598496.0,121169.585,12.4275,2.122,3.6
2012-09-30,281.8,54157482.0,142214.0318,14.5859,2.4905,3.6
2012-10-31,243.05,88917182.0,122658.3408,12.5802,2.1481,3.6
2012-11-30,265.7,49294898.0,134088.9576,13.7526,2.3482,3.6
2012-12-31,291.35,52611182.0,147033.5634,15.0802,2.5749,3.6
2013-01-31,281.5,79512437.0,142062.6329,14.5704,2.4879,3.6
2013-02-28,232.4,61676433.0,117283.6799,12.029,2.0539,3.6
2013-03-31,224.9,63224818.0,113498.7074,10.8333,1.7372,3.6
2013-04-30,243.65,52358615.0,122961.1386,11.7365,1.882,3.6
2013-05-31,255.9,60360334.0,129143.2603,12.3266,1.9767,3.6
2013-06-30,254.75,51878733.0,128562.8978,12.2712,1.9678,3.6
2013-07-31,165.7,101850062.0,83622.6582,7.9817,1.2799,3.8
2013-08-31,165.9,119870033.0,83723.5908,7.9913,1.2815,3.8
2013-09-30,187.95,92601682.0,94851.4098,9.0535,1.4518,3.8
2013-10-31,224.55,70696894.0,113322.0754,10.8165,1.7345,3.8
2013-11-30,208.05,56602282.0,104995.136,10.0217,1.6071,3.8
2013-12-31,219.25,75214364.0,110647.3615,10.5612,1.6936,3.8
2014-01-31,195.75,61892867.0,98787.7812,9.4292,1.512,3.8
2014-02-28,206.4,38320391.0,104162.442,9.9422,1.5943,3.8
2014-03-31,236.15,89316966.0,119176.1661,9.041,1.571,3.8
2014-04-30,262.4,83549764.0,132423.5697,10.0459,1.7457,3.8
2014-05-31,318.35,75460998.0,160659.4643,12.188,2.1179,3.8
2014-06-30,327.35,68945927.0,165201.4312,12.5325,2.1777,3.8
2014-07-31,289.7,94045861.0,146200.8695,11.0911,1.9273,3.8
2014-08-31,302.65,54287227.0,152736.2553,11.5869,2.0134,4.5
2014-09-30,325.5,55246405.0,164267.8047,12.4617,2.1654,4.5
2014-10-31,362.05,55872553.0,182713.2371,13.861,2.4086,4.5
2014-11-30,422.4,67558431.0,213169.6488,16.1715,2.8101,4.5
2014-12-31,436.0,77067076.0,220033.0656,16.6922,2.9006,4.5
2015-01-31,478.5,81144405.0,241481.2428,18.3193,3.1833,4.5
2015-02-28,479.0,68291614.0,241733.5743,18.3384,3.1866,4.5
2015-03-31,437.6,69818957.0,220840.5263,15.8264,2.8025,4.5
2015-04-30,430.05,44563470.0,217030.3207,15.5533,2.7542,4.5
2015-05-31,419.0,47294895.0,211453.7946,15.1537,2.6834,4.5
2015-06-30,450.9,54238763.0,227552.5442,16.3074,2.8877,4.5
2015-07-31,499.2,57294750.0,251927.7668,18.0542,3.197,4.5
2015-08-31,443.0,51460678.0,223565.7065,16.0217,2.8371,5.0
2015-09-30,470.55,57667969.0,237469.172,17.0181,3.0135,5.0
2015-10-31,479.8,52964358.0,242137.3047,17.3526,3.0728,5.0
2015-11-30,484.6,29340537.0,244559.6871,17.5262,3.1035,5.0
2015-12-31,510.05,35487242.0,257403.3603,18.4467,3.2665,5.0
2016-01-31,475.9,40298061.0,240169.119,17.2116,3.0478,5.0
2016-02-29,421.85,57323007.0,212892.0842,15.2568,2.7017,5.0
2016-03-31,493.15,45218567.0,248874.5557,14.9213,2.7009,5.0
2016-04-30,462.3,48999336.0,233305.7023,13.9879,2.5319,5.0
2016-05-31,470.75,44217343.0,237570.1046,14.2436,2.5782,5.0
2016-06-30,495.0,37924701.0,249808.1822,14.9773,2.711,5.0
2016-07-31,520.0,66394598.0,262424.7571,15.7337,2.8479,5.0
2016-08-31,573.05,52089267.0,289197.1289,17.3389,3.1385,5.5
2016-09-30,578.8,32882676.0,292098.9411,17.5129,3.17,5.5
2016-10-31,588.4,42731507.0,296943.7059,17.8033,3.2225,5.5
2016-11-30,564.4,79485386.0,284831.794,17.0772,3.0911,5.5
2016-12-31,559.7,34662014.0,282459.878,16.9349,3.0654,5.5
2017-01-31,553.55,79040415.0,279356.2005,16.7489,3.0317,5.5
2017-02-28,560.8,43794762.0,283015.0073,16.9682,3.0714,5.5
2017-03-31,618.45,40358869.0,312108.8289,16.0678,2.4626,5.5
2017-04-30,668.9,25687996.0,337569.0769,17.3785,2.6634,5.5
2017-05-31,734.1,37554217.0,370473.1042,19.0725,2.9231,5.5
2017-06-30,742.2,33979340.0,374560.8744,19.2829,2.9553,5.5
2017-07-31,690.45,37855065.0,348444.5645,17.9384,2.7493,5.5
2017-08-31,673.85,39498460.0,340067.1588,17.5071,2.6832,6.2
2017-09-30,627.35,37995453.0,316600.3295,16.299,2.498,6.2
2017-10-31,598.7,41396910.0,302141.7347,15.5547,2.3839,6.2
2017-11-30,581.6,43238792.0,293511.9938,15.1104,2.3158,6.2
2017-12-31,563.5,33400039.0,284377.5937,14.6402,2.2438,6.2
2018-01-31,534.95,40005035.0,269969.4654,13.8984,2.1301,6.2
2018-02-28,507.8,35654284.0,256267.8714,13.193,2.022,6.2
2018-03-31,534.4,43222727.0,269691.9072,13.4313,1.8845,6.2
2018-04-30,546.8,35872541.0,275949.7284,13.743,1.9282,6.2
2018-05-31,475.15,35234305.0,239790.6245,11.9422,1.6755,6.2
2018-06-30,468.65,35834044.0,236510.315,11.7788,1.6526,6.2
2018-07-31,529.05,39540263.0,266991.9602,13.2969,1.8656,6.2
2018-08-31,520.9,54729575.0,262878.9567,13.092,1.8369,6.8
2018-09-30,417.4,58220840.0,210646.3362,10.4907,1.4719,6.8
2018-10-31,411.1,66867257.0,207466.9593,10.3324,1.4497,6.8
2018-11-30,466.35,34054947.0,235349.5901,11.721,1.6445,6.8
2018-12-31,488.7,38384050.0,246628.8081,12.2827,1.7233,6.8
2019-01-31,448.85,36193905.0,226517.9876,11.2812,1.5828,6.8
2019-02-28,475.5,48054440.0,239967.2565,11.951,1.6768,6.8
2019-03-31,532.2,44703646.0,268581.6486,11.0346,1.6446,6.8
2019-04-30,496.75,29593804.0,250691.3453,10.2996,1.5351,6.8
2019-05-31,558.6,39608057.0,281904.7518,11.582,1.7262,6.8
2019-06-30,555.25,27330590.0,280214.1308,11.5125,1.7159,6.8
2019-07-31,518.4,43822175.0,261617.2992,10.7485,1.602,6.8
2019-08-31,425.4,132556901.0,214683.6402,8.8202,1.3146,7.6
2019-09-30,376.65,66610360.0,190081.3189,7.8095,1.1639,7.6
2019-10-31,412.4,55450443.0,208123.0212,8.5507,1.2744,7.6
2019-11-30,464.1,66144395.0,234214.0983,9.6226,1.4342,7.6
2019-12-31,434.15,58270859.0,219099.4415,9.0017,1.3416,7.6
2020-01-31,437.7,87541767.0,220890.9951,9.0753,1.3526,7.6
2020-02-29,320.25,177795787.0,161618.3258,6.6401,0.9897,7.6
2020-03-31,235.3,100425491.0,118747.2039,4.9402,0.6501,7.6
2020-04-30,283.25,106248448.0,142945.7948,5.9469,0.7826,7.6
2020-05-31,239.55,135372668.0,120892.0217,5.0294,0.6619,7.6
2020-06-30,265.05,194215448.0,133760.9282,5.5648,0.7323,7.6
2020-07-31,262.5,109020726.0,132474.0375,5.5112,0.7253,7.6
2020-08-31,301.3,151992109.0,152054.9619,6.3258,0.8325,7.6
2020-09-30,275.8,80939413.0,139186.0554,5.7905,0.762,8.0
2020-10-31,282.95,122091687.0,142794.3922,5.9406,0.7818,8.0
2020-11-30,329.0,180207327.0,166034.1227,6.9074,0.909,8.0
2020-12-31,361.25,163133659.0,182309.5041,7.5845,0.9981,8.0
2021-01-31,395.7,169999289.0,199695.144,8.3078,1.0933,8.0
2021-02-28,429.5,148185550.0,216752.7529,9.0174,1.1867,8.0
2021-03-31,428.2,84872337.0,216096.691,7.8829,1.0489,8.0
2021-04-30,405.7,66491347.0,204741.7738,7.4687,0.9938,8.0
2021-05-31,466.25,61437602.0,235299.1177,8.5834,1.1421,8.0
2021-06-30,470.0,143989901.0,237191.6039,8.6524,1.1513,8.0
2021-07-31,410.45,58054730.0,207138.9284,7.5561,1.0055,8.0
2021-08-31,402.25,79951059.0,203000.6918,7.4052,0.9854,8.0
2021-09-30,427.05,95004274.0,234904.4042,7.8617,1.0461,8.5
2021-10-31,406.85,74629836.0,223793.1316,7.4899,0.9966,8.5
2021-11-30,372.1,41442241.0,204678.4423,6.8501,0.9115,8.5
2021-12-31,369.65,44674477.0,203330.7879,6.805,0.9055,8.5
2022-01-31,385.35,99728569.0,211966.7771,7.0941,0.944,8.5
2022-02-28,343.05,102487580.0,188699.1122,6.3154,0.8404,8.5
2022-03-31,358.95,63138655.0,197445.1139,8.3244,0.7977,8.5
2022-04-30,378.7,70855367.0,208308.8581,8.7825,0.8416,8.5
2022-05-31,378.0,86114368.0,207923.814,8.7662,0.8401,8.5
2022-06-30,327.35,62878432.0,180063.1231,7.5916,0.7275,8.5
2022-07-31,386.15,36893960.0,212406.8274,8.9552,0.8582,8.5
2022-08-31,409.2,53186887.0,225085.7796,9.4898,0.9094,8.5
2022-09-30,413.85,53021496.0,227643.5726,9.5976,0.9197,8.5
2022-10-31,405.3,42550427.0,222940.5339,9.3994,0.9007,8.5
2022-11-30,386.6,89204212.0,212654.3558,8.9657,0.8592,8.5
2022-12-31,414.15,40482634.0,227808.5915,9.6046,0.9204,8.5
2023-01-31,401.2,39224236.0,220685.2756,9.3043,0.8916,8.5
2023-02-28,350.55,46705655.0,192824.5847,8.1296,0.7791,8.5
2023-03-31,328.75,27122980.0,180833.2113,6.2548,0.6652,8.5
2023-04-30,344.2,23226288.0,189331.6846,6.5487,0.6965,8.5
2023-05-31,372.0,55893099.0,204623.436,7.0776,0.7527,8.5
2023-06-30,392.2,52989866.0,215734.7086,7.4619,0.7936,8.5
2023-07-31,417.4,51569812.0,229596.2962,7.9414,0.8446,8.5
2023-08-31,423.35,102287047.0,232869.1711,8.0546,0.8566,8.5
2023-09-30,464.35,71020256.0,255421.7541,8.8347,0.9396,8.5
2023-10-31,459.2,44172665.0,252588.9296,8.7367,0.9292,8.5
2023-11-30,491.15,49448355.0,270163.4424,9.3446,0.9938,8.5
2023-12-31,536.1,51670994.0,294888.7743,10.1998,1.0848,8.5
2024-01-31,625.6,66868360.0,344119.4128,11.9026,1.2659,8.5
2024-02-29,647.95,50345721.0,356413.3209,12.3278,1.3111,8.5
2024-03-31,610.95,34775287.0,336060.9899,7.0548,1.0677,8.5
2024-04-30,673.85,62568126.0,370659.9526,7.7812,1.1776,8.5
2024-05-31,632.7,54815854.0,348024.8601,7.306,1.1057,8.5
2024-06-30,796.8,85601062.0,438290.1984,9.2009,1.3924,8.5
2024-07-31,767.25,60849650.0,422035.8368,8.8597,1.3408,8.5
2024-08-31,674.4,73628546.0,370962.4872,7.7875,1.1785,9.0
2024-09-30,662.45,77898920.0,364389.2344,7.6495,1.1576,9.0
2024-10-31,631.05,45014886.0,347117.2561,7.287,1.1028,9.0
2024-11-30,638.8,27317809.0,351380.2444,7.3764,1.1163,9.0
2024-12-31,598.05,26607847.0,328965.1771,6.9059,1.0451,9.0
2025-01-31,598.1,33135595.0,328992.6803,6.9065,1.0452,9.0
2025-02-28,496.9,30216657.0,273326.3047,5.7379,0.8683,9.0
2025-03-31,563.85,29310080.0,310153.0226,5.6983,0.8532,9.0
2025-04-30,600.95,36089596.0,330560.3599,6.0733,0.9093,9.0
2025-05-31,596.45,49303472.0,328085.0764,6.0278,0.9025,9.0
2025-06-30,618.85,45043782.0,340406.4876,6.2542,0.9364,9.0
2025-07-31,586.05,39718713.0,322364.4211,5.9227,0.8868,9.0
2025-08-31,555.2,35892953.0,305394.9776,5.6109,0.8401,10.0
2025-09-30,565.0,25859913.0,310785.595,5.71,0.8549,10.0
2025-10-31,570.95,30386926.0,314058.4699,5.7701,0.8639,10.0
2025-11-30,549.1,20667689.0,302039.5933,5.5493,0.8309,10.0
2025-12-31,539.55,25274937.0,296786.4917,5.4528,0.8164,10.0
2026-01-31,526.3,34397458.0,289498.1569,5.3188,0.7964,10.0
2026-02-28,537.75,38597551.0,295796.3783,5.4346,0.8137,10.0
2026-03-31,521.8,4378200.0,287022.8667,5.2734,0.7896,10.0
