ZEN IN Equity,price,volume,mc,pe,bm,div
2018-07-31,84.85,1170963.0,6547.0311,124.5161,5.5286,0.15
2018-08-31,84.65,1200197.0,6531.5991,124.5161,5.5156,0.15
2018-09-30,69.8,1207737.0,5385.7722,124.5161,4.548,0.1
2018-10-31,68.45,1118381.0,5281.6061,124.5161,4.4601,0.1
2018-11-30,60.2,919807.0,4645.0356,124.5161,3.9225,0.1
2018-12-31,78.4,2409411.0,6049.3487,124.5161,5.1084,0.1
2019-01-31,75.55,2873469.0,5829.4425,124.5161,4.9227,0.1
2019-02-28,69.95,1064398.0,5397.3462,124.5161,4.5578,0.1
2019-03-31,73.05,2309488.0,5636.5424,42.2254,4.1719,0.1
2019-04-30,75.2,1108073.0,5802.4365,43.4682,4.2947,0.1
2019-05-31,73.35,1001523.0,5659.6904,42.3988,4.189,0.1
2019-06-30,72.85,1606189.0,5621.1104,42.1098,4.1604,0.1
2019-07-31,53.6,1298367.0,4135.7792,30.9827,3.0611,0.1
2019-08-31,56.0,1191082.0,4320.9634,32.3699,3.1981,0.1
2019-09-30,63.6,1206994.0,4907.3798,36.763,3.6322,0.3
2019-10-31,64.2,675789.0,4953.6759,37.1098,3.6664,0.3
2019-11-30,60.1,1749409.0,4637.3196,34.7399,3.4323,0.3
2019-12-31,56.45,561370.0,4355.6854,32.6301,3.2238,0.3
2020-01-31,57.75,1230819.0,4455.9935,33.3815,3.2981,0.3
2020-02-29,55.15,930316.0,4255.3773,31.8786,3.1496,0.3
2020-03-31,22.75,3734928.0,1755.3914,2.9856,0.9182,0.3
2020-04-30,40.4,2404327.0,3117.2664,5.3018,1.6306,0.3
2020-05-31,37.05,1671440.0,2858.7802,4.8622,1.4954,0.3
2020-06-30,50.05,7966335.0,3861.861,6.5682,2.0201,0.3
2020-07-31,58.8,10529500.0,4537.0115,7.7165,2.3732,0.3
2020-08-31,82.9,27870306.0,6396.569,10.8793,3.3459,0.3
2020-09-30,80.85,14828611.0,6238.3909,10.6102,3.2632,0.4
2020-10-31,73.95,6081824.0,5705.9864,9.7047,2.9847,0.4
2020-11-30,79.35,6149781.0,6122.6507,10.4134,3.2026,0.4
2020-12-31,90.0,15162439.0,7155.8998,11.811,3.6325,0.4
2021-01-31,88.85,18801713.0,7064.4633,11.6601,3.5861,0.4
2021-02-28,84.55,4385599.0,6722.5703,11.0958,3.4125,0.4
2021-03-31,77.4,8205736.0,6154.0738,198.4615,3.0107,0.4
2021-04-30,74.45,2700425.0,5919.5194,190.8974,2.896,0.4
2021-05-31,71.85,4047438.0,5712.7934,184.2308,2.7949,0.4
2021-06-30,90.9,30518873.0,7227.4588,233.0769,3.5359,0.4
2021-07-31,94.35,38362608.0,7501.7685,241.9231,3.6701,0.4
2021-08-31,97.15,21065558.0,7724.3965,249.1026,3.779,0.1
2021-09-30,205.2,84311939.0,16315.452,526.1538,7.982,0.1
2021-10-31,209.85,26669426.0,16685.1735,538.0769,8.1629,0.1
2021-11-30,205.0,10710263.0,16299.55,525.641,7.9742,0.1
2021-12-31,216.0,17858363.0,17174.16,553.8462,8.4021,0.1
2022-01-31,199.9,8387767.0,15894.049,512.5641,7.7758,0.1
2022-02-28,197.85,8881465.0,15731.0535,507.3077,7.6961,0.1
2022-03-31,205.0,6240295.0,16299.55,820.0,5.7592,0.1
2022-04-30,194.1,5945666.0,15432.891,776.4,5.453,0.1
2022-05-31,185.0,6602796.0,14709.35,740.0,5.1973,0.1
2022-06-30,172.6,4985719.0,13723.426,690.4,4.849,0.1
2022-07-31,175.4,2146728.0,13946.054,701.6,4.9276,0.1
2022-08-31,209.6,11363144.0,16665.296,838.4,5.8884,0.1
2022-09-30,194.25,8965616.0,15444.8175,777.0,5.4572,0.1
2022-10-31,202.65,5775896.0,16112.7015,810.6,5.6932,0.1
2022-11-30,193.45,4002527.0,15381.2095,773.8,5.4347,0.1
2022-12-31,184.25,5316131.0,14649.7175,737.0,5.1763,0.1
2023-01-31,201.55,6442587.0,16025.2405,806.2,5.6623,0.1
2023-02-28,263.6,40116639.0,20958.836,1054.4,7.4055,0.1
2023-03-31,328.15,45264337.0,26091.2065,60.8813,8.2522,0.1
2023-04-30,290.95,17692235.0,23133.4345,53.9796,7.3167,0.1
2023-05-31,372.4,31372162.0,29609.524,69.0909,9.365,0.1
2023-06-30,417.9,28277357.0,35122.0963,77.5325,10.5092,0.1
2023-07-31,617.65,61297792.0,51909.9372,114.5918,15.5325,0.1
2023-08-31,840.5,21766624.0,70639.2005,155.9369,21.1367,0.1
2023-09-30,764.55,4856081.0,64256.039,141.846,19.2267,0.2
2023-10-31,718.35,3034055.0,60373.1942,133.2746,18.0649,0.2
2023-11-30,772.4,4207978.0,64915.7864,143.3024,19.4241,0.2
2023-12-31,794.6,4756022.0,66781.569,147.4212,19.9824,0.2
2024-01-31,840.4,4820642.0,70630.7961,155.9184,21.1342,0.2
2024-02-29,865.85,8050496.0,72769.7225,160.6401,21.7742,0.2
2024-03-31,956.5,8255357.0,80388.3347,61.9094,17.9187,0.2
2024-04-30,1110.45,7783828.0,93326.9485,71.8738,20.8027,0.2
2024-05-31,965.3,10299294.0,81127.9242,62.479,18.0836,0.2
2024-06-30,1175.05,11971261.0,98756.2077,76.055,22.0129,0.2
2024-07-31,1705.15,17738994.0,143308.0699,110.3657,31.9436,0.2
2024-08-31,1696.65,13899527.0,153191.1325,109.8155,31.7844,0.2
2024-09-30,1716.3,7340258.0,154965.338,111.0874,32.1525,1.0
2024-10-31,1884.35,9806521.0,170138.6323,121.9644,35.3007,1.0
2024-11-30,1897.4,6084226.0,171316.9215,122.8091,35.5452,1.0
2024-12-31,2445.65,26293210.0,220818.6092,158.2945,45.8159,1.0
2025-01-31,1741.1,14947507.0,157204.5388,112.6926,32.6171,1.0
2025-02-28,1045.3,25817392.0,94380.5091,67.657,19.5822,1.0
2025-03-31,1478.55,19388521.0,133498.8059,46.1038,7.8497,1.0
2025-04-30,1416.4,7834684.0,127887.2602,44.1659,7.5197,1.0
2025-05-31,2139.8,15736736.0,193203.3038,66.7228,11.3603,1.0
2025-06-30,1981.3,17045609.0,178892.2823,61.7805,10.5188,1.0
2025-07-31,1464.1,8771560.0,132194.1102,45.6533,7.773,1.0
2025-08-31,1459.6,8502246.0,131787.8036,45.5129,7.7491,2.0
2025-09-30,1432.8,12287087.0,129368.0221,44.6773,7.6068,2.0
2025-10-31,1357.2,8315044.0,122542.0712,42.3199,7.2054,2.0
2025-11-30,1406.7,10930748.0,127011.4438,43.8634,7.4682,2.0
2025-12-31,1368.4,7778509.0,123553.3232,42.6692,7.2649,2.0
2026-01-31,1415.6,12516440.0,127815.028,44.1409,7.5155,2.0
2026-02-28,1359.9,8295266.0,122785.8551,42.4041,7.2198,2.0
2026-03-31,1404.9,5772036.0,126848.9233,43.8073,7.4587,2.0
